model,scenario,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Improved Rice,Emissions,CH4,Mha/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Natural Regeneration,Emissions,CH4,Mha/yr,0.0,0.000120961238643,0.0002419224772861,0.0003628837159292,0.0004838449545723,0.0006048061932154,0.0007257674318585,0.0008467286705015,0.0009676899091446,0.0010886511477877,0.0012096123864308,0.0013305736250739,0.001451534863717,0.00157249610236,0.0016934573410031,0.0018144185796462,0.0019353798182893,0.0020563410569324,0.0021773022955755,0.0022982635342185,0.0024192247728616,0.0025401860115047,0.0026611472501478,0.0026611472501514,0.0027821084887946,0.0029030697274379,0.0030240309660811,0.0031449922047244,0.0032659534433676,0.0033869146820109,0.0035078759206541,0.0036288371592974,0.0037497983979406,0.0038707596365838,0.0039917208752271,0.0041126821138703,0.0042336433525136,0.0043546045911568,0.0044755658298001,0.0045965270684433,0.0047174883070866,0.0048384495457298,0.0049594107843731,0.0050803720230163,0.0052013332616596,0.0053222945003028,0.0054432557389461,0.0055642169775893,0.0056851782162326,0.0058061394548758,0.005927100693519,0.0060480619321623,0.0061690231708055,0.0062899844094488,0.006410945648092,0.0065319068867353,0.0066528681253785,0.0067738293640218,0.006894790602665,0.0070157518413083,0.0071367130799515
PD22,baseline,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.002498388136686,0.004996776273372,0.007495164410058,0.009993552546744,0.01249194068343,0.014990328820116,0.017488716956802,0.019987105093488,0.022485493230174,0.02498388136686,0.0274822695035461,0.0299806576402321,0.0324790457769181,0.0349774339136041,0.0374758220502901,0.0399742101869761,0.0424725983236621,0.0449709864603481,0.0474693745970341,0.0499677627337201,0.0524661508704061,0.0549645390070922,0.0574629271437782,0.0599613152804642,0.0599613152804749,0.0624597034171614,0.0649580915538479,0.0674564796905343,0.0699548678272208,0.0724532559639072,0.0749516441005937,0.0774500322372802,0.0799484203739666,0.0824468085106531,0.0849451966473395,0.087443584784026,0.0899419729207124,0.0924403610573989,0.0949387491940854,0.0974371373307718,0.0999355254674583,0.1024339136041447,0.1049323017408312,0.1074306898775177,0.1099290780142041,0.1124274661508906,0.114925854287577,0.1174242424242635,0.1199226305609499,0.1224210186976364,0.1249194068343229,0.1274177949710093,0.1299161831076958,0.1324145712443822,0.1349129593810687,0.1374113475177552,0.1399097356544416,0.1424081237911281,0.1449065119278145,0.147404900064501
PD22,baseline,Agriculture,Silvopasture,Emissions,CO2,Mha,0.0,0.0030398264025291,0.0060796528050582,0.0091194792075874,0.0121593056101165,0.0151991320126456,0.0182389584151748,0.0212787848177039,0.024318611220233,0.0273584376227622,0.0303982640252913,0.0334380904278204,0.0364779168303496,0.0395177432328787,0.0425575696354078,0.045597396037937,0.0486372224404661,0.0516770488429953,0.0547168752455244,0.0577567016480535,0.0607965280505827,0.0638363544531118,0.0668761808556409,0.0699160072581701,0.0729558336606992,0.0759956600632136,0.0790354864657416,0.0820753128682696,0.0851151392707976,0.0881549656733255,0.0911947920758535,0.0942346184783815,0.0972744448809095,0.1003142712834375,0.1033540976859654,0.1063939240884934,0.1094337504910214,0.1124735768935494,0.1155134032960774,0.1185532296986053,0.1215930561011333,0.1246328825036613,0.1276727089061893,0.1307125353087173,0.1337523617112452,0.1367921881137732,0.1398320145163012,0.1428718409188292,0.1459116673213571,0.1489514937238851,0.1519913201264131,0.1550311465289411,0.1580709729314691,0.161110799333997,0.164150625736525,0.167190452139053,0.170230278541581,0.173270104944109,0.1763099313466369,0.1793497577491649,0.1823895841516929
PD22,baseline,Agriculture,Trees in Croplands,Emissions,CO2,Mha,0.0,0.0131392763290883,0.0262785526581766,0.039417828987265,0.0525571053163533,0.0656963816454416,0.07883565797453,0.0919749343036183,0.1051142106327066,0.118253486961795,0.1313927632908833,0.1445320396199717,0.15767131594906,0.1708105922781483,0.1839498686072367,0.197089144936325,0.2102284212654133,0.2233676975945017,0.23650697392359,0.2496462502526784,0.2627855265817667,0.2759248029108551,0.2890640792399434,0.3022033555690318,0.31534263189812,0.328481908227161,0.3416211845562458,0.3547604608853305,0.3678997372144152,0.3810390135435,0.3941782898725847,0.4073175662016695,0.4204568425307542,0.4335961188598389,0.4467353951889237,0.4598746715180084,0.4730139478470931,0.4861532241761779,0.4992925005052626,0.5124317768343474,0.5255710531634321,0.5387103294925168,0.5518496058216016,0.5649888821506863,0.5781281584797711,0.5912674348088558,0.6044067111379405,0.6175459874670253,0.63068526379611,0.6438245401251947,0.6569638164542795,0.6701030927833642,0.683242369112449,0.6963816454415337,0.7095209217706184,0.7226601980997032,0.7357994744287879,0.7489387507578726,0.7620780270869574,0.7752173034160421,0.7883565797451269
PD22,pathway,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0004316765985319,0.0008633531970638,0.0008633531970638,0.0008633531970638,0.0008633531970638,0.0008633531970638,0.0008633531970638,0.0010858326747687,0.0013083121524737,0.0015307916301786,0.0017532711078835,0.0019757505855884,0.0023091377432239,0.0026425249008593,0.0029759120584947,0.0033092992161302,0.0036426863737656,0.0052604774414945,0.0068782685092234,0.0084960595769523,0.0101138506446812,0.0117316417124102,0.013337146600027,0.0149426514876439,0.0173910326054711,0.0198394137232984,0.0222877948411257,0.0239547306293029,0.0273926473345341,0.0308305640397654,0.0342684807449966,0.0348163779662102,0.0353642751874239,0.041756409434916,0.0481485436824081,0.0494435734780039,0.0507386032735997,0.0520336330691955,0.0559685312942751,0.0599034295193546,0.0602140724357832,0.0655977305695923,0.071378148459382,0.0775693518144007,0.0841831253626495,0.0912285015082053,0.0987112337369189,0.1066332709665189,0.1149922524849162,0.1237810461220657,0.1329873544924826,0.1425934151441282,0.1525758198936333,0.1629054762303438,0.173547729274868,0.1844626564054125,0.1956055385588939,0.206927502844476,0.2183763211530727,0.2298973397352307
PD22,pathway,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0038809244110297,0.0077618488220594,0.0077618488220594,0.0077618488220594,0.0077618488220594,0.0077618488220594,0.0077618488220594,0.0097620175569747,0.01176218629189,0.0137623550268053,0.0157625237617206,0.0177626924966359,0.0207599602725389,0.0237572280484418,0.0267544958243448,0.0297517636002477,0.0327490313761507,0.047293541938102,0.0618380525000534,0.0763825630620047,0.090927073623956,0.1054715841859074,0.1199056376684679,0.1343396911510284,0.1563514983233303,0.1783633054956321,0.2003751126679339,0.2153614515474487,0.2462695316004187,0.2771776116533886,0.3080856917063586,0.3130114803818962,0.317937269057434,0.3754048036053739,0.4328723381533139,0.444515111386403,0.4561578846194921,0.4678006578525812,0.5031767765223522,0.5385528951921229,0.5413456842420299,0.5897466639180055,0.6417146533126815,0.6973757484840557,0.7568358982807162,0.820176307191372,0.8874487010769186,0.958670601393033,1.0338207845079384,1.112835129705047,1.1956030791647276,1.2819649421973505,1.3717102710034177,1.4645775136823649,1.560255110682781,1.658384143596774,1.75856257232268,1.860351012386734,1.9632799147233049,2.0668579229069386
PD22,pathway,Agriculture,Improved Rice,Emissions,CH4,Mha/yr,0.0,2.147276390639128e-06,4.294552781278256e-06,4.294552781278256e-06,4.294552781278256e-06,4.294552781278256e-06,4.294552781278256e-06,4.294552781278256e-06,5.401225997992268e-06,6.5078992147062805e-06,7.614572431420292e-06,8.721245648134304e-06,9.827918864848316e-06,1.1486276938849614e-05,1.314463501285091e-05,1.4802993086852203e-05,1.6461351160853502e-05,1.81197092348548e-05,2.616704044654236e-05,3.421437165822992e-05,4.226170286991748e-05,5.030903408160505e-05,5.8356365293292605e-05,6.634258171540043e-05,7.432879813750828e-05,8.650770935826149e-05,9.86866205790147e-05,0.0001108655317997,0.0001191573221697,0.0001362584515783,0.0001533595809868,0.0001704607103953,0.0001731860996603,0.0001759114889254,0.0002077076970175,0.0002395039051097,0.0002459457342816,0.0002523875634535,0.0002588293926255,0.0002784026428017,0.0002979758929779,0.0002995211150321,0.0003263008896257,0.0003550542547722,0.0003858509781505,0.0004187496801915,0.000453795290521,0.0004910164285369,0.0005304227886842,0.000572002628141,0.0006157204695608,0.0006615151424154,0.0007092982914544,0.00075895347803,0.0008103359881097,0.0008632734389315,0.0009175672445552,0.0009729949602414,0.0010293134789862,0.0010862630040204,0.0011435716727824
