model,scenario,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Improved Forest Mgmt,Emissions,CH4,m3/yr,0.0,0.0020000000374435,0.004000000074887,0.0060000001123305,0.008000000149774,0.0100000001872175,0.0120000002246611,0.0140000002621046,0.0160000002995481,0.0180000003369916,0.0200000003744351,0.0220000004118786,0.0240000004493222,0.0260000004867657,0.0280000005242092,0.0300000005616527,0.0320000005990962,0.0340000006365397,0.0360000006739833,0.0380000007114268,0.0400000007488703,0.0420000007863138,0.0440000008237573,0.0460000008612008,0.0480000008986444,0.0500000009360879,0.0500000009360879,0.0500000009360879,0.0500000009360879,0.0500000009360879,0.0500000009360879,0.051050283752005,0.0528849862902376,0.0547196888284702,0.0565543913667028,0.0583890939049354,0.060223796443168,0.0620584989814005,0.0638932015196331,0.0657279040578657,0.0675626065960983,0.0693973091343309,0.0712320116725635,0.0730667142107961,0.0749014167490287,0.0767361192872613,0.0785708218254939,0.0804055243637265,0.082240226901959,0.0840749294401916,0.0859096319784242,0.0877443345166568,0.0895790370548894,0.091413739593122,0.0932484421313546,0.0950831446695872,0.0969178472078198,0.0987525497460524,0.100587252284285,0.1024219548225175,0.1042566573607501
PD22,baseline,Forests & Wetlands,Natural Regeneration,Emissions,CH4,Mha/yr,0.0,0.0079300960966068,0.0158601921932137,0.0237902882898205,0.0317203843864274,0.0396504804830342,0.0475805765796411,0.0555106726762479,0.0634407687728548,0.0713708648694616,0.0793009609660685,0.0872310570626754,0.0951611531592822,0.1030912492558891,0.1110213453524959,0.1189514414491028,0.1268815375457096,0.1348116336423165,0.1427417297389233,0.1506718258355302,0.1586019219321371,0.1665320180287439,0.1744621141253508,0.1744621141253759,0.1823922102219839,0.1903223063185919,0.1982524024151999,0.2061824985118079,0.2141125946084159,0.2220426907050239,0.2299727868016319,0.2379028828982399,0.2458329789948479,0.2537630750914559,0.2616931711880639,0.2696232672846719,0.2775533633812799,0.2854834594778879,0.2934135555744959,0.3013436516711039,0.3092737477677119,0.3172038438643199,0.3251339399609279,0.3330640360575359,0.3409941321541438,0.3489242282507518,0.3568543243473598,0.3647844204439678,0.3727145165405758,0.3806446126371838,0.3885747087337918,0.3965048048303998,0.4044349009270078,0.4123649970236158,0.4202950931202238,0.4282251892168318,0.4361552853134398,0.4440853814100478,0.4520154775066558,0.4599455736032638,0.4678756696998718
PD22,baseline,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha/yr,0.0,0.0364661654135338,0.0729323308270676,0.1093984962406015,0.1458646616541353,0.1823308270676691,0.218796992481203,0.2552631578947368,0.2917293233082706,0.3281954887218045,0.3646616541353383,0.4011278195488721,0.437593984962406,0.4740601503759398,0.5105263157894736,0.5469924812030076,0.5834586466165413,0.6199248120300752,0.656390977443609,0.6928571428571428,0.6928571428571857,0.7293233082707218,0.7657894736842579,0.802255639097794,0.83872180451133,0.8751879699248661,0.9116541353384022,0.9481203007519384,0.9845864661654744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PD22,baseline,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.0025020311692148,0.0050040623384297,0.0075060935076445,0.0100081246768594,0.0125101558460743,0.0150121870152891,0.017514218184504,0.0200162493537188,0.0225182805229337,0.0250203116921486,0.0275223428613634,0.0300243740305783,0.0325264051997931,0.035028436369008,0.0375304675382229,0.0400324987074377,0.0425345298766526,0.0450365610458674,0.0475385922150823,0.0500406233842972,0.052542654553512,0.0550446857227269,0.0575467168919417,0.0600487480611566,0.0625507792303707,0.0650528103995853,0.0675548415687998,0.0700568727380144,0.0725589039072289,0.0750609350764435,0.077562966245658,0.0800649974148726,0.0825670285840871,0.0850690597533017,0.0875710909225162,0.0900731220917308,0.0925751532609453,0.0950771844301598,0.0975792155993744,0.1000812467685889,0.1025832779378035,0.105085309107018,0.1075873402762326,0.1100893714454471,0.1125914026146617,0.1150934337838762,0.1175954649530908,0.1200974961223053,0.1225995272915199,0.1251015584607344,0.127603589629949,0.1301056207991635,0.1326076519683781,0.1351096831375926,0.1376117143068072,0.1401137454760217,0.1426157766452362,0.1451178078144508,0.1476198389836653,0.1501218701528799
PD22,baseline,Agriculture,Silvopasture,Emissions,CO2,Mha,0.0,0.0040038436899423,0.0080076873798846,0.012011531069827,0.0160153747597693,0.0200192184497117,0.024023062139654,0.0280269058295964,0.0320307495195387,0.0360345932094811,0.0400384368994234,0.0440422805893657,0.0480461242793081,0.0520499679692504,0.0560538116591928,0.0600576553491351,0.0640614990390775,0.0680653427290198,0.0720691864189622,0.0760730301089045,0.0800768737988469,0.0840807174887892,0.0880845611787315,0.0920884048686739,0.0960922485586162,0.0960922485586479,0.1000960922485916,0.1040999359385352,0.1081037796284789,0.1121076233184226,0.1161114670083662,0.1201153106983099,0.1241191543882536,0.1281229980781972,0.1321268417681409,0.1361306854580846,0.1401345291480282,0.1441383728379719,0.1481422165279156,0.1521460602178592,0.1561499039078029,0.1601537475977466,0.1641575912876902,0.1681614349776339,0.1721652786675775,0.1761691223575212,0.1801729660474649,0.1841768097374085,0.1881806534273522,0.1921844971172959,0.1961883408072395,0.2001921844971832,0.2041960281871269,0.2081998718770705,0.2122037155670142,0.2162075592569579,0.2202114029469015,0.2242152466368452,0.2282190903267889,0.2322229340167325,0.2362267777066762
PD22,baseline,Agriculture,Trees in Croplands,Emissions,CO2,Mha,0.0,0.014829042081949,0.0296580841638981,0.0444871262458471,0.0593161683277962,0.0741452104097453,0.0889742524916943,0.1038032945736434,0.1186323366555924,0.1334613787375415,0.1482904208194906,0.1631194629014396,0.1779485049833887,0.1927775470653377,0.2076065891472868,0.2224356312292358,0.2372646733111849,0.252093715393134,0.266922757475083,0.2817517995570321,0.2965808416389812,0.3114098837209302,0.3262389258028793,0.3410679678848284,0.3558970099667774,0.3558970099667817,0.370726052048731,0.3855550941306802,0.4003841362126294,0.4152131782945787,0.4300422203765279,0.4448712624584772,0.4597003045404264,0.4745293466223756,0.4893583887043249,0.5041874307862741,0.5190164728682234,0.5338455149501726,0.5486745570321219,0.5635035991140711,0.5783326411960203,0.5931616832779696,0.6079907253599188,0.6228197674418681,0.6376488095238173,0.6524778516057665,0.6673068936877158,0.682135935769665,0.6969649778516143,0.7117940199335635,0.7266230620155127,0.741452104097462,0.7562811461794112,0.7711101882613605,0.7859392303433097,0.8007682724252589,0.8155973145072082,0.8304263565891574,0.8452553986711067,0.8600844407530559,0.8749134828350051
PD22,pathway,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.000456759008095,0.00091351801619,0.00091351801619,0.00091351801619,0.00091351801619,0.00091351801619,0.00091351801619,0.0011489245819005,0.001384331147611,0.0016197377133215,0.001855144279032,0.0020905508447425,0.0024433093402251,0.0027960678357077,0.0031488263311903,0.0035015848266729,0.0038543433221555,0.0055661355432623,0.0072779277643691,0.0089897199854759,0.0107015122065827,0.0124133044276896,0.0141120965847198,0.0158108887417501,0.0184015321415095,0.0209921755412688,0.0235828189410282,0.0253466114184412,0.0289842870059876,0.0326219625935339,0.0362596381810803,0.0368393707682778,0.0374191033554753,0.0441826502061129,0.0509461970567504,0.0523164740810354,0.0536867511053204,0.0550570281296055,0.059220562164933,0.0633840962002605,0.0637127889087886,0.0694092625130656,0.0755255494526265,0.0820764903953832,0.0890745548166114,0.0965292999448956,0.1044468135702605,0.1128291578515803,0.1216738349084609,0.1309732981587466,0.1407145356819043,0.15087875294517,0.1614411816413122,0.1723710388500744,0.1836316560830775,0.1951807910293119,0.2069711262410251,0.2189509490860826,0.2310649967603803,0.2432554398785085
PD22,pathway,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0013032671920943,0.0026065343841887,0.0026065343841887,0.0026065343841887,0.0026065343841887,0.0026065343841887,0.0026065343841887,0.0032782182447297,0.0039499021052706,0.0046215859658116,0.0052932698263525,0.0059649536868934,0.0069714769644802,0.0079780002420669,0.0089845235196537,0.0099910467972404,0.0109975700748271,0.015881814505507,0.0207660589361868,0.0256503033668667,0.0305345477975465,0.0354187922282264,0.0402659436695928,0.0451130951109592,0.0525049592876586,0.059896823464358,0.0672886876410574,0.072321304028991,0.0827006576152606,0.0930800112015302,0.1034593647877998,0.1051135116085349,0.1067676584292701,0.1260660380045138,0.1453644175797575,0.1492742191560406,0.1531840207323237,0.1570938223086068,0.1689736040211595,0.1808533857337121,0.1817912422744991,0.1980449494319103,0.2154965069589532,0.2341882596266244,0.2541557864990285,0.2754263571477357,0.2980173418202306,0.3219346244595954,0.3471710778816694,0.3737051694778747,0.4014997724289554,0.4305012604297748,0.4606389622474808,0.4918250451971424,0.5239548833446434,0.5569079470078503,0.5905492256534701,0.6247311680002289,0.6592960930867103,0.6940789967435215
