model,scenario,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Natural Regeneration,Emissions,CH4,Mha/yr,0.0,0.0001843997787202,0.0003687995574405,0.0005531993361607,0.000737599114881,0.0009219988936013,0.0011063986723215,0.0012907984510418,0.0014751982297621,0.0016595980084823,0.0018439977872026,0.0020283975659229,0.0022127973446431,0.0023971971233634,0.0025815969020837,0.0027659966808039,0.0029503964595242,0.0031347962382445,0.0033191960169647,0.003503595795685,0.0036879955744053,0.0038723953531255,0.0040567951318458,0.0042411949105343,0.0044255946892519,0.0046099944679696,0.0047943942466872,0.0049787940254049,0.0051631938041225,0.0053475935828402,0.0055319933615578,0.0057163931402755,0.0059007929189931,0.0060851926977107,0.0062695924764284,0.006453992255146,0.0066383920338637,0.0068227918125813,0.007007191591299,0.0071915913700166,0.0073759911487343,0.0075603909274519,0.0077447907061696,0.0079291904848872,0.0081135902636049,0.0082979900423225,0.0084823898210402,0.0086667895997578,0.0088511893784755,0.0090355891571931,0.0092199889359108,0.0094043887146284,0.0095887884933461,0.0097731882720637,0.0099575880507813,0.010141987829499,0.0103263876082166,0.0105107873869343,0.0106951871656519,0.0108795869443696,0.0110639867230872
PD22,baseline,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.002531152647975,0.0050623052959501,0.0075934579439252,0.0101246105919003,0.0126557632398753,0.0151869158878504,0.0177180685358255,0.0202492211838006,0.0227803738317757,0.0253115264797507,0.0278426791277258,0.0303738317757009,0.032904984423676,0.035436137071651,0.0379672897196261,0.0404984423676012,0.0430295950155763,0.0455607476635514,0.0480919003115264,0.0506230529595015,0.0531542056074766,0.0556853582554517,0.0582165109034267,0.0607476635514018,0.0607476635514103,0.0632788161993858,0.0658099688473612,0.0683411214953366,0.0708722741433121,0.0734034267912875,0.0759345794392629,0.0784657320872384,0.0809968847352138,0.0835280373831892,0.0860591900311646,0.0885903426791401,0.0911214953271155,0.0936526479750909,0.0961838006230664,0.0987149532710418,0.1012461059190172,0.1037772585669927,0.1063084112149681,0.1088395638629435,0.111370716510919,0.1139018691588944,0.1164330218068698,0.1189641744548453,0.1214953271028207,0.1240264797507961,0.1265576323987716,0.129088785046747,0.1316199376947224,0.1341510903426979,0.1366822429906733,0.1392133956386487,0.1417445482866242,0.1442757009345996,0.146806853582575,0.1493380062305505
PD22,baseline,Agriculture,Silvopasture,Emissions,CO2,Mha,0.0,0.0052794022092267,0.0105588044184535,0.0158382066276803,0.021117608836907,0.0263970110461338,0.0316764132553606,0.0369558154645873,0.0422352176738141,0.0475146198830409,0.0527940220922677,0.0580734243014944,0.0633528265107212,0.068632228719948,0.0739116309291747,0.0791910331384015,0.0844704353476283,0.0897498375568551,0.0950292397660818,0.1003086419753086,0.1055880441845354,0.1108674463937621,0.1161468486029889,0.1214262508122157,0.1267056530214425,0.1319850552306576,0.1372644574398833,0.1425438596491091,0.1478232618583348,0.1531026640675605,0.1583820662767863,0.163661468486012,0.1689408706952377,0.1742202729044635,0.1794996751136892,0.184779077322915,0.1900584795321407,0.1953378817413664,0.2006172839505922,0.2058966861598179,0.2111760883690436,0.2164554905782694,0.2217348927874951,0.2270142949967208,0.2322936972059466,0.2375730994151723,0.2428525016243981,0.2481319038336238,0.2534113060428495,0.2586907082520753,0.263970110461301,0.2692495126705267,0.2745289148797525,0.2798083170889782,0.285087719298204,0.2903671215074297,0.2956465237166554,0.3009259259258812,0.3062053281351069,0.3114847303443326,0.3167641325535584
PD22,baseline,Agriculture,Trees in Croplands,Emissions,CO2,Mha,0.0,0.0038461538461538,0.0076923076923076,0.0115384615384615,0.0153846153846153,0.0192307692307692,0.023076923076923,0.0269230769230769,0.0307692307692307,0.0346153846153846,0.0384615384615384,0.0423076923076923,0.0461538461538461,0.0499999999999999,0.0538461538461538,0.0576923076923076,0.0615384615384615,0.0653846153846153,0.0692307692307692,0.073076923076923,0.0769230769230769,0.0807692307692307,0.0846153846153846,0.0884615384615384,0.0923076923076923,0.0923076923077133,0.096153846153868,0.1000000000000227,0.1038461538461774,0.1076923076923321,0.1115384615384869,0.1153846153846416,0.1192307692307963,0.123076923076951,0.1269230769231057,0.1307692307692605,0.1346153846154152,0.1384615384615699,0.1423076923077246,0.1461538461538793,0.1500000000000341,0.1538461538461888,0.1576923076923435,0.1615384615384982,0.165384615384653,0.1692307692308077,0.1730769230769624,0.1769230769231171,0.1807692307692718,0.1846153846154266,0.1884615384615813,0.192307692307736,0.1961538461538907,0.2000000000000454,0.2038461538462002,0.2076923076923549,0.2115384615385096,0.2153846153846643,0.219230769230819,0.2230769230769738,0.2269230769231285
PD22,pathway,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,6.849071246004116e-06,1.3698142492008232e-05,1.3698142492008232e-05,1.3698142492008232e-05,1.3698142492008232e-05,1.3698142492008232e-05,1.3698142492008232e-05,1.722804844187189e-05,2.075795439173555e-05,2.428786034159921e-05,2.7817766291462872e-05,3.134767224132653e-05,3.663726264977894e-05,4.192685305823135e-05,4.721644346668376e-05,5.250603387513617e-05,5.779562428358858e-05,8.346383590707477e-05,0.0001091320475305,0.000134800259154,0.0001604684707775,0.000186136682401,0.0002116099589198,0.0002370832354386,0.0002759297626082,0.0003147762897778,0.0003536228169475,0.0003800707689897,0.0004346174748618,0.0004891641807338,0.0005437108866058,0.0005524039385719,0.000561096990538,0.0006625159301423,0.0007639348697466,0.0007844820834846,0.0008050292972226,0.0008255765109606,0.0008880084296261,0.0009504403482916,0.0009553690738095,0.001040787320358,0.0011325006402217,0.0012307315682387,0.0013356670833696,0.0014474504956276,0.0015661730910231,0.0016918657914927,0.0018244911414845,0.0019639359804958,0.0021100051956354,0.0022624169641221,0.00242079988682,0.0025846923758673,0.0027535445896955,0.002926723107633,0.0031035184076668,0.0032831550622837,0.0034648044093755,0.0036475993011164
PD22,pathway,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0002784980456652,0.0005569960913304,0.0005569960913304,0.0005569960913304,0.0005569960913304,0.0005569960913304,0.0005569960913304,0.0007005296994809,0.0008440633076315,0.000987596915782,0.0011311305239325,0.0012746641320831,0.001489750315043,0.0017048364980029,0.0019199226809628,0.0021350088639227,0.0023500950468826,0.0033938200303295,0.0044375450137764,0.0054812699972233,0.0065249949806702,0.0075687199641171,0.0086045184647258,0.0096403169653345,0.0112199007525434,0.0127994845397523,0.0143790683269612,0.0154544992417608,0.0176724862413407,0.0198904732409207,0.0221084602405006,0.0224619385292295,0.0228154168179585,0.0269393301864627,0.031063243554967,0.0318987376919626,0.0327342318289583,0.0335697259659539,0.0361083427668254,0.0386469595676968,0.0388473722039605,0.0423206627967202,0.0460499246814494,0.0500442066058172,0.054311111538639,0.058856466774912,0.0636839842011983,0.0687949211702949,0.0741877546584719,0.0798578833150291,0.0857973734279331,0.0919947654735595,0.098434957560022,0.1050991805268234,0.1119650766269463,0.1190068896063221,0.1261957687658044,0.1335001835461038,0.1408864387542015,0.148319274284586
PD22,pathway,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.0001083333333333,0.0002166666666666,0.000325,0.0004333333333333,0.0005416666666666,0.00065,0.0007583333333333,0.0008666666666666,0.000975,0.0010833333333333,0.0011916666666666,0.0013,0.0014083333333333,0.0015166666666666,0.0016249999999999,0.0017333333333333,0.0018416666666666,0.00195,0.0020583333333333,0.0021666666666666,0.002275,0.0023833333333333,0.0024916666666666,0.0026,0.0026000000000003,0.0027083333333337,0.002816666666667,0.0029250000000004,0.0030333333333337,0.0031416666666671,0.0031447062090177,0.0031949849420107,0.0032452636750037,0.0038318488932555,0.0044184341115074,0.0045372747531272,0.0046561153947471,0.004774956036367,0.005136048755135,0.005497141473903,0.0055256481566284,0.0060196888258545,0.0065501388380393,0.0071182852865702,0.0077252096173271,0.0083717407044408,0.0090584065264582,0.0097853859291745,0.0105524622777753,0.0113589810763816,0.0122038138342158,0.0130853305492467,0.0140013831291756,0.0149493018496113,0.0159259065458069,0.0169275336495532,0.0179500794389379,0.0189890590088841,0.0200396795569286,0.0210969256875383
PD22,pathway,Agriculture,Silvopasture,Emissions,CO2,Mha,0.0,5.416666666666666e-05,0.0001083333333333,0.0001625,0.0002166666666666,0.0002708333333333,0.000325,0.0003791666666666,0.0004333333333333,0.0004875,0.0005416666666666,0.0005958333333333,0.00065,0.0007041666666666,0.0007583333333333,0.0008125,0.0008666666666666,0.0009208333333333,0.000975,0.0010291666666666,0.0010833333333333,0.0011375,0.0011916666666666,0.0012458333333333,0.0013,0.0013541666666665,0.0014083333333332,0.0014624999999998,0.0015166666666665,0.0015708333333331,0.0016249999999998,0.0016791666666664,0.0017333333333331,0.0017874999999997,0.0018416666666664,0.0018958333333331,0.0019499999999997,0.0020041666666664,0.002058333333333,0.0021124999999997,0.0021666666666663,0.002220833333333,0.0022749999999997,0.0023291666666663,0.0017063926878553,0.0018518843615368,0.0020068705520458,0.0021714778262023,0.0023457490568535,0.0025296323123825,0.0027229706972821,0.0029254936901648,0.003136810547553,0.003356406329564,0.0035836410508647,0.0038177523635509,0.0040578620384209,0.0043029863327921,0.004552050126896,0.0048039044919179,0.0050573471391154
