model,scenario,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Coastal Restoration,Emissions,CH4,Mha/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Improved Rice,Emissions,CH4,Mha/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha/yr,0.0,0.0045691662785281,0.0091383325570563,0.0137074988355845,0.0182766651141127,0.0228458313926409,0.027414997671169,0.0319841639496972,0.0365533302282254,0.0411224965067536,0.0456916627852818,0.0502608290638099,0.0548299953423381,0.0593991616208663,0.0639683278993945,0.0685374941779227,0.0731066604564508,0.077675826734979,0.0822449930135072,0.0868141592920354,0.0868141592920466,0.0913833255705753,0.0959524918491041,0.1005216581276329,0.1050908244061616,0.1096599906846904,0.1142291569632192,0.118798323241748,0.1233674895202767,0.1279366557988055,0.1325058220773343,0.137074988355863,0.1416441546343918,0.1462133209129206,0.1507824871914493,0.1553516534699781,0.1599208197485069,0.1644899860270356,0.1690591523055644,0.1736283185840932,0.178197484862622,0.1827666511411507,0.1873358174196795,0.1919049836982083,0.196474149976737,0.2010433162552658,0.2056124825337946,0.2101816488123233,0.2147508150908521,0.2193199813693809,0.2238891476479096,0.2284583139264384,0.2330274802049672,0.237596646483496,0.2421658127620247,0.2467349790405535,0.2513041453190823,0.255873311597611,0.2604424778761398,0.2650116441546686,0.2695808104331973
PD22,baseline,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.002498215560314,0.0049964311206281,0.0074946466809421,0.0099928622412562,0.0124910778015703,0.0149892933618843,0.0174875089221984,0.0199857244825124,0.0224839400428265,0.0249821556031406,0.0274803711634546,0.0299785867237687,0.0324768022840828,0.0349750178443968,0.0374732334047109,0.0399714489650249,0.042469664525339,0.0449678800856531,0.0474660956459671,0.0499643112062812,0.0524625267665952,0.0549607423269093,0.0574589578872234,0.0599571734475374,0.0599571734475716,0.0624553890078871,0.0649536045682026,0.0674518201285181,0.0699500356888336,0.0724482512491491,0.0749464668094646,0.07744468236978,0.0799428979300955,0.082441113490411,0.0849393290507265,0.087437544611042,0.0899357601713575,0.092433975731673,0.0949321912919884,0.0974304068523039,0.0999286224126194,0.1024268379729349,0.1049250535332504,0.1074232690935659,0.1099214846538814,0.1124197002141969,0.1149179157745123,0.1174161313348278,0.1199143468951433,0.1224125624554588,0.1249107780157743,0.1274089935760898,0.1299072091364053,0.1324054246967207,0.1349036402570362,0.1374018558173517,0.1399000713776672,0.1423982869379827,0.1448965024982982,0.1473947180586137
PD22,baseline,Agriculture,Silvopasture,Emissions,CO2,Mha,0.0,0.0053207661903314,0.0106415323806628,0.0159622985709942,0.0212830647613256,0.026603830951657,0.0319245971419884,0.0372453633323198,0.0425661295226512,0.0478868957129826,0.053207661903314,0.0585284280936454,0.0638491942839768,0.0691699604743083,0.0744907266646397,0.0798114928549711,0.0851322590453025,0.0904530252356339,0.0957737914259653,0.1010945576162967,0.1064153238066281,0.1117360899969595,0.1170568561872909,0.1223776223776223,0.1276983885679537,0.1330191547582657,0.1383399209485958,0.1436606871389258,0.1489814533292559,0.154302219519586,0.159622985709916,0.1649437519002461,0.1702645180905762,0.1755852842809062,0.1809060504712363,0.1862268166615663,0.1915475828518964,0.1968683490422265,0.2021891152325565,0.2075098814228866,0.2128306476132166,0.2181514138035467,0.2234721799938768,0.2287929461842068,0.2341137123745369,0.239434478564867,0.244755244755197,0.2500760109455271,0.2553967771358572,0.2607175433261872,0.2660383095165173,0.2713590757068473,0.2766798418971774,0.2820006080875075,0.2873213742778375,0.2926421404681676,0.2979629066584977,0.3032836728488277,0.3086044390391578,0.3139252052294878,0.3192459714198179
PD22,baseline,Agriculture,Trees in Croplands,Emissions,CO2,Mha,0.0,0.1351291837933059,0.2702583675866118,0.4053875513799178,0.5405167351732237,0.6756459189665297,0.8107751027598356,0.9459042865531416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PD22,pathway,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.003853343016012,0.007706686032024,0.007706686032024,0.007706686032024,0.007706686032024,0.007706686032024,0.007706686032024,0.0096926397402763,0.0116785934485287,0.013664547156781,0.0156505008650334,0.0176364545732857,0.0206124210256519,0.0235883874780181,0.0265643539303843,0.0295403203827505,0.0325162868351167,0.0469574308151249,0.061398574795133,0.0758397187751411,0.0902808627551492,0.1047220067351573,0.1190534786447097,0.1333849505542621,0.1552403217117457,0.1770956928692292,0.1989510640267128,0.2138308962885438,0.2445193152827318,0.2752077342769198,0.3058961532711078,0.3107869347914307,0.3156777163117538,0.3727368340488548,0.4297959517859558,0.4413559808339918,0.4529160098820279,0.4644760389300639,0.4996007425760197,0.5347254462219754,0.5374983871610128,0.5855553852495365,0.637154042626383,0.6924195591957427,0.751457130836876,0.8143473849251958,0.8811416797103658,0.9518574121245889,1.0264735093706088,1.104926306432239,1.187106031214736,1.272854127936426,1.3619616444321687,1.454168887628196,1.549166512199953,1.6465981505417109,1.7460646198161296,1.8471296582169965,1.9493270537233869,2.0521689419375773
PD22,pathway,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0044291277757605,0.0088582555515211,0.0088582555515211,0.0088582555515211,0.0088582555515211,0.0088582555515211,0.0088582555515211,0.0111409598667207,0.0134236641819204,0.0157063684971201,0.0179890728123197,0.0202717771275194,0.0236924265789529,0.0271130760303865,0.03053372548182,0.0339543749332536,0.0373750243846871,0.0539740324796913,0.0705730405746954,0.0871720486696996,0.1037710567647038,0.1203700648597079,0.1368430131641712,0.1533159614686345,0.1784370656737175,0.2035581698788004,0.2286792740838833,0.245782521341051,0.2810565492167236,0.316330577092396,0.3516046049680685,0.3572261902219184,0.3628477754757684,0.4284329367706843,0.4940180980656002,0.5073054813928818,0.5205928647201634,0.5338802480474452,0.5742534512341857,0.614626654420926,0.6178139413254656,0.6730518436272026,0.732360616718539,0.7958841684661945,0.8637434136158305,0.9360310272670797,1.0128060418624614,1.0940884538661655,1.1798540416837873,1.270029627170955,1.3644890355667376,1.4630500189337723,1.5654724024849762,1.6714576885778036,1.7806503080444973,1.892640643144213,2.006969863249852,2.1231365182503343,2.2406047325169687,2.358813742643596
