model,scenario,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0040710479284472,0.0081420958568945,0.0122131437853417,0.016284191713789,0.0203552396422363,0.0244262875706835,0.0284973354991308,0.0325683834275781,0.0366394313560253,0.0407104792844726,0.0447815272129198,0.0488525751413671,0.0529236230698144,0.0569946709982616,0.0610657189267089,0.0651367668551562,0.0692078147836034,0.0732788627120507,0.0732788627120507,0.0732788627120507,0.0732788627120507,0.0732788627120507,0.0732788627120507,0.0732788627120507,0.0732788627120507,0.0741245668649952,0.0773755150278532,0.0806264631907112,0.0838774113535691,0.0871283595164271,0.0903793076792851,0.0936302558421431,0.0968812040050011,0.100132152167859,0.103383100330717,0.106634048493575,0.109884996656433,0.113135944819291,0.1163868929821489,0.1196378411450069,0.1228887893078649,0.1261397374707229,0.1293906856335809,0.1326416337964389,0.1358925819592968,0.1391435301221548,0.1423944782850128,0.1456454264478708,0.1488963746107288,0.1521473227735867,0.1553982709364447,0.1586492190993027,0.1619001672621607,0.1651511154250187,0.1684020635878766,0.1716530117507346,0.1749039599135926,0.1781549080764506,0.1814058562393086,0.1846568044021665
PD22,baseline,Forests & Wetlands,Improved Forest Mgmt,Emissions,CH4,m3/yr,0.0,0.0020000000051849,0.0040000000103698,0.0060000000155548,0.0080000000207397,0.0100000000259247,0.0120000000311096,0.0140000000362946,0.0160000000414795,0.0180000000466645,0.0200000000518494,0.0220000000570344,0.0240000000622193,0.0260000000674043,0.0280000000725892,0.0300000000777742,0.0320000000829591,0.0340000000881441,0.036000000093329,0.038000000098514,0.0400000001036989,0.0420000001088839,0.0440000001140688,0.0460000001192538,0.0480000001244387,0.0500000001296237,0.0500000001296237,0.0500000001296237,0.0500000001296237,0.0500000001296237,0.0500000001296237,0.051050283752005,0.0528849862902376,0.0547196888284702,0.0565543913667028,0.0583890939049354,0.060223796443168,0.0620584989814005,0.0638932015196331,0.0657279040578657,0.0675626065960983,0.0693973091343309,0.0712320116725635,0.0730667142107961,0.0749014167490287,0.0767361192872613,0.0785708218254939,0.0804055243637265,0.082240226901959,0.0840749294401916,0.0859096319784242,0.0877443345166568,0.0895790370548894,0.091413739593122,0.0932484421313546,0.0950831446695872,0.0969178472078198,0.0987525497460524,0.100587252284285,0.1024219548225175,0.1042566573607501
PD22,baseline,Forests & Wetlands,Natural Regeneration,Emissions,CH4,Mha/yr,0.0,0.0075027382256297,0.0150054764512595,0.0225082146768893,0.0300109529025191,0.0375136911281489,0.0450164293537787,0.0525191675794085,0.0600219058050383,0.0675246440306681,0.0750273822562979,0.0825301204819277,0.0900328587075575,0.0975355969331873,0.105038335158817,0.1125410733844468,0.1200438116100766,0.1275465498357064,0.1350492880613362,0.142552026286966,0.1500547645125958,0.1575575027382256,0.1650602409638554,0.1725629791894292,0.1800657174150544,0.1875684556406796,0.1950711938663047,0.2025739320919299,0.2100766703175551,0.2175794085431803,0.2250821467688055,0.2325848849944307,0.2400876232200559,0.2475903614456811,0.2550930996713063,0.2625958378969315,0.2700985761225567,0.2776013143481819,0.2851040525738071,0.2926067907994323,0.3001095290250575,0.3076122672506827,0.3151150054763079,0.3226177437019331,0.3301204819275583,0.3376232201531834,0.3451259583788086,0.3526286966044338,0.360131434830059,0.3676341730556842,0.3751369112813094,0.3826396495069346,0.3901423877325598,0.397645125958185,0.4051478641838102,0.4126506024094354,0.4201533406350606,0.4276560788606858,0.435158817086311,0.4426615553119362,0.4501642935375614
PD22,baseline,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha/yr,0.0,0.0400399733510992,0.0800799467021985,0.1201199200532977,0.160159893404397,0.2001998667554963,0.2402398401065955,0.2802798134576948,0.3203197868087941,0.3603597601598933,0.4003997335109927,0.4404397068620919,0.4804796802131911,0.5205196535642904,0.5605596269153896,0.600599600266489,0.6406395736175883,0.6806795469686875,0.7207195203197867,0.760759493670886,0.7607594936708892,0.8007994670219887,0.8408394403730881,0.8808794137241875,0.920919387075287,0.9609593604263864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PD22,baseline,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.0025063798760481,0.0050127597520962,0.0075191396281443,0.0100255195041924,0.0125318993802406,0.0150382792562887,0.0175446591323368,0.0200510390083849,0.0225574188844331,0.0250637987604812,0.0275701786365293,0.0300765585125774,0.0325829383886255,0.0350893182646737,0.0375956981407218,0.0401020780167699,0.042608457892818,0.0451148377688662,0.0476212176449143,0.0501275975209624,0.0526339773970105,0.0551403572730587,0.0576467371491068,0.0601531170251549,0.0626594969011691,0.0651658767772147,0.0676722566532603,0.070178636529306,0.0726850164053516,0.0751913962813972,0.0776977761574428,0.0802041560334885,0.0827105359095341,0.0852169157855797,0.0877232956616254,0.090229675537671,0.0927360554137166,0.0952424352897622,0.0977488151658079,0.1002551950418535,0.1027615749178991,0.1052679547939448,0.1077743346699904,0.110280714546036,0.1127870944220816,0.1152934742981273,0.1177998541741729,0.1203062340502185,0.1228126139262641,0.1253189938023098,0.1278253736783554,0.130331753554401,0.1328381334304467,0.1353445133064923,0.1378508931825379,0.1403572730585836,0.1428636529346292,0.1453700328106748,0.1478764126867204,0.1503827925627661
PD22,baseline,Forests & Wetlands,Peat Restoration,Emissions,CH4,Mha/yr,0.0,0.0081448554229444,0.016871486233242,0.0262445341405987,0.0363385857331366,0.0472401614530776,0.0590502018163471,0.0718872022112051,0.0858912026419594,0.1012289173994522,0.1181004036326942,0.1367478357852249,0.1574672048435923,0.1806241467323558,0.2066757063572149,0.2362008072653884,0.2699437797318725,0.3088779787316619,0.3543012108980827,0.4079832125493074,0.472401614530777,0.5511352169525732,0.6495522199798185,0.7760883667291337,0.9448032290615538,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PD22,baseline,Agriculture,Silvopasture,Emissions,CO2,Mha,0.0,0.0104903107675092,0.0209806215350185,0.0314709323025278,0.0419612430700371,0.0524515538375464,0.0629418646050557,0.0734321753725649,0.0839224861400742,0.0944127969075835,0.1049031076750928,0.115393418442602,0.1258837292101114,0.1363740399776206,0.1468643507451299,0.1573546615126392,0.1678449722801485,0.1783352830476578,0.1888255938151671,0.1993159045826763,0.2098062153501856,0.2202965261176949,0.2307868368852041,0.2412771476527135,0.2517674584202228,0.2622577691877197,0.2727480799552282,0.2832383907227367,0.2937287014902452,0.3042190122577537,0.3147093230252622,0.3251996337927707,0.3356899445602792,0.3461802553277877,0.3566705660952962,0.3671608768628047,0.3776511876303132,0.3881414983978217,0.3986318091653302,0.4091221199328387,0.4196124307003472,0.4301027414678557,0.4405930522353642,0.4510833630028728,0.4615736737703813,0.4720639845378898,0.4825542953053983,0.4930446060729068,0.5035349168404153,0.5140252276079238,0.5245155383754323,0.5350058491429408,0.5454961599104493,0.5559864706779578,0.5664767814454663,0.5769670922129748,0.5874574029804833,0.5979477137479918,0.6084380245155003,0.6189283352830088,0.6294186460505173
PD22,baseline,Agriculture,Trees in Croplands,Emissions,CO2,Mha,0.0,0.0182421227197346,0.0364842454394693,0.0547263681592039,0.0729684908789386,0.0912106135986733,0.1094527363184079,0.1276948590381426,0.1459369817578772,0.1641791044776119,0.1824212271973466,0.2006633499170813,0.2189054726368159,0.2371475953565505,0.2553897180762852,0.2736318407960199,0.2918739635157545,0.3101160862354892,0.3283582089552239,0.3466003316749586,0.3648424543946932,0.3830845771144279,0.4013266998341626,0.4195688225538972,0.4378109452736318,0.4560530679933521,0.4742951907130859,0.4925373134328197,0.5107794361525535,0.5290215588722873,0.5472636815920211,0.5655058043117549,0.5837479270314887,0.6019900497512225,0.6202321724709563,0.6384742951906901,0.6567164179104239,0.6749585406301577,0.6932006633498915,0.7114427860696253,0.7296849087893591,0.7479270315090929,0.7661691542288267,0.7844112769485605,0.8026533996682943,0.8208955223880281,0.8391376451077619,0.8573797678274957,0.8756218905472295,0.8938640132669633,0.9121061359866972,0.9303482587064308,0.9485903814261648,0.9668325041458984,0.9850746268656324,1.0,1.0,1.0,1.0,1.0,1.0
PD22,pathway,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0002192628348889,0.0004385256697779,0.0004385256697779,0.0004385256697779,0.0004385256697779,0.0004385256697779,0.0004385256697779,0.0005515303616053,0.0006645350534327,0.0007775397452601,0.0008905444370875,0.0010035491289148,0.0011728875029368,0.0013422258769587,0.0015115642509807,0.0016809026250026,0.0018502409990246,0.0026719706387008,0.003493700278377,0.0043154299180532,0.0051371595577294,0.0059588891974056,0.0067743782794734,0.0075898673615412,0.0088334811840397,0.0100770950065381,0.0113207088290366,0.0121674006991463,0.013913632404698,0.0156598641102496,0.0174060958158012,0.0176843909523911,0.0179626860889809,0.0212094626825291,0.0244562392760773,0.0251140277807442,0.0257718162854111,0.0264296047900781,0.0284282698619506,0.0304269349338231,0.0305847207547964,0.0333192589449751,0.0362553245498018,0.0394000416913197,0.0427593962230096,0.0463379760019164,0.050138703413971,0.0541625683790058,0.0584083718132004,0.0628724910512808,0.067548679844059,0.0724279160541251,0.0774983098902267,0.0827450843031056,0.0881506369322818,0.0936946897565228,0.0993545284832803,0.1051053289533799,0.1109205627812241,0.1167724695181735
