model,scenario,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,9.81461661408486e-05,0.0001962923322816,0.0002944384984225,0.0003925846645633,0.0004907308307042,0.000588876996845,0.0006870231629859,0.0007851693291267,0.0008833154952676,0.0009814616614084,0.0010796078275493,0.0011777539936901,0.001275900159831,0.0013740463259718,0.0014721924921127,0.0015703386582535,0.0016684848243944,0.0017666309905352,0.0018647771566761,0.0019629233228169,0.0020610694889578,0.0021592156550986,0.0022573618212395,0.0022573618212395,0.0022573618212395,0.0023158339448983,0.0024115252270107,0.0025072165091231,0.0026029077912355,0.0026985990733479,0.0027942903554603,0.0028899816375727,0.0029856729196851,0.0030813642017974,0.0031770554839098,0.0032727467660222,0.0033684380481346,0.003464129330247,0.0035598206123594,0.0036555118944718,0.0037512031765842,0.0038468944586966,0.003942585740809,0.0040382770229214,0.0041339683050338,0.0042296595871462,0.0043253508692586,0.004421042151371,0.0045167334334834,0.0046124247155958,0.0047081159977082,0.0048038072798206,0.004899498561933,0.0049951898440454,0.0050908811261578,0.0051865724082702,0.0052822636903826,0.005377954972495,0.0054736462546074,0.0055693375367198
PD22,baseline,Forests & Wetlands,Improved Forest Mgmt,Emissions,CH4,m3/yr,0.0,0.002,0.004,0.006,0.008,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.042,0.044,0.046,0.048,0.05,0.05,0.05,0.05,0.05,0.05,0.051050283752005,0.0528849862902376,0.0547196888284702,0.0565543913667028,0.0583890939049354,0.060223796443168,0.0620584989814005,0.0638932015196331,0.0657279040578657,0.0675626065960983,0.0693973091343309,0.0712320116725635,0.0730667142107961,0.0749014167490287,0.0767361192872613,0.0785708218254939,0.0804055243637265,0.082240226901959,0.0840749294401916,0.0859096319784242,0.0877443345166568,0.0895790370548894,0.091413739593122,0.0932484421313546,0.0950831446695872,0.0969178472078198,0.0987525497460524,0.100587252284285,0.1024219548225175,0.1042566573607501
PD22,baseline,Agriculture,Improved Rice,Emissions,CH4,Mha/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha/yr,0.0,0.0801564722617354,0.1603129445234708,0.2404694167852062,0.3206258890469416,0.4007823613086771,0.4809388335704125,0.561095305832148,0.6412517780938833,0.7214082503556188,0.8015647226173542,0.8817211948790896,0.961877667140825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PD22,baseline,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.0025001838370468,0.0050003676740936,0.0075005515111405,0.0100007353481873,0.0125009191852342,0.015001103022281,0.0175012868593278,0.0200014706963747,0.0225016545334215,0.0250018383704684,0.0275020222075152,0.030002206044562,0.0325023898816089,0.0350025737186557,0.0375027575557026,0.0400029413927494,0.0425031252297963,0.0450033090668431,0.0475034929038899,0.0500036767409368,0.0525038605779836,0.0550040444150305,0.0575042282520773,0.0600044120891242,0.0625045959261214,0.0650047797631643,0.0675049636002071,0.07000514743725,0.0725053312742929,0.0750055151113358,0.0775056989483786,0.0800058827854215,0.0825060666224644,0.0850062504595072,0.0875064342965501,0.090006618133593,0.0925068019706358,0.0950069858076787,0.0975071696447216,0.1000073534817644,0.1025075373188073,0.1050077211558502,0.107507904992893,0.1100080888299359,0.1125082726669788,0.1150084565040217,0.1175086403410645,0.1200088241781074,0.1225090080151503,0.1250091918521931,0.127509375689236,0.1300095595262789,0.1325097433633217,0.1350099272003646,0.1375101110374075,0.1400102948744503,0.1425104787114932,0.1450106625485361,0.147510846385579,0.1500110302226218
PD22,baseline,Agriculture,Silvopasture,Emissions,CO2,Mha,0.0,0.0011894566561994,0.0023789133123988,0.0035683699685983,0.0047578266247977,0.0059472832809972,0.0071367399371966,0.0083261965933961,0.0095156532495955,0.010705109905795,0.0118945665619944,0.0130840232181939,0.0142734798743933,0.0154629365305928,0.0166523931867922,0.0178418498429917,0.0190313064991911,0.0202207631553906,0.02141021981159,0.0225996764677895,0.0237891331239889,0.0249785897801884,0.0261680464363878,0.0273575030925873,0.0285469597487867,0.0297364164049795,0.0309258730611787,0.0321153297173779,0.0333047863735771,0.0344942430297763,0.0356836996859755,0.0368731563421746,0.0380626129983738,0.039252069654573,0.0404415263107722,0.0416309829669714,0.0428204396231706,0.0440098962793698,0.0451993529355689,0.0463888095917681,0.0475782662479673,0.0487677229041665,0.0499571795603657,0.0511466362165649,0.052336092872764,0.0535255495289632,0.0547150061851624,0.0559044628413616,0.0570939194975608,0.05828337615376,0.0594728328099591,0.0606622894661583,0.0618517461223575,0.0630412027785567,0.0642306594347559,0.0654201160909551,0.0666095727471542,0.0677990294033534,0.0689884860595526,0.0701779427157518,0.071367399371951
PD22,baseline,Agriculture,Trees in Croplands,Emissions,CO2,Mha,0.0,0.000462333937198,0.0009246678743961,0.0013870018115942,0.0018493357487922,0.0023116696859903,0.0027740036231884,0.0032363375603864,0.0036986714975845,0.0041610054347826,0.0046233393719806,0.0050856733091787,0.0055480072463768,0.0060103411835748,0.0064726751207729,0.006935009057971,0.007397342995169,0.0078596769323671,0.0083220108695652,0.0087843448067632,0.0092466787439613,0.0097090126811594,0.0101713466183574,0.0106336805555555,0.0110960144927536,0.0115583484298866,0.0120206823670798,0.012483016304273,0.0129453502414662,0.0134076841786594,0.0138700181158526,0.0143323520530458,0.014794685990239,0.0152570199274322,0.0157193538646254,0.0161816878018186,0.0166440217390118,0.017106355676205,0.0175686896133981,0.0180310235505913,0.0184933574877845,0.0189556914249777,0.0194180253621709,0.0198803592993641,0.0203426932365573,0.0208050271737505,0.0212673611109437,0.0217296950481369,0.0221920289853301,0.0226543629225233,0.0231166968597165,0.0235790307969097,0.0240413647341029,0.024503698671296,0.0249660326084892,0.0254283665456824,0.0258907004828756,0.0263530344200688,0.026815368357262,0.0272777022944552,0.0277400362316484
PD22,pathway,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0005110888029788,0.0010221776059576,0.0010221776059576,0.0010221776059576,0.0010221776059576,0.0010221776059576,0.0010221776059576,0.0012855849121083,0.0015489922182589,0.0018123995244096,0.0020758068305602,0.0023392141367108,0.0027339319507037,0.0031286497646966,0.0035233675786895,0.0039180853926824,0.0043128032066753,0.0062282067821468,0.0081436103576183,0.0100590139330898,0.0119744175085613,0.0138898210840328,0.015790678285881,0.0176915354877293,0.0205903263394965,0.0234891171912637,0.0263879080430309,0.0283614971129954,0.0324318607592833,0.0365022244055713,0.0405725880518592,0.0412212776864093,0.0418699673209594,0.0494380130573769,0.0570060587937945,0.058539325202731,0.0600725916116676,0.0616058580206041,0.0662646290323729,0.0709234000441416,0.0712911895348188,0.0776652376083381,0.084509034260872,0.0918391854028989,0.0996696437076653,0.1080111032007525,0.1168703757922955,0.1262497689273408,0.1361464876118584,0.1465520876256533,0.1574520093283639,0.1688252226470575,0.1806440131759526,0.1928739364802656,0.2054739624905277,0.2183968243290497,0.2315895763126526,0.2449943547828467,0.2585493236293456,0.2721897748752024
PD22,pathway,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0008695652173913,0.0017391304347826,0.0026086956521739,0.0034782608695652,0.0043478260869565,0.0052173913043478,0.0060869565217391,0.0069565217391304,0.0248531621777483,0.029079461329802,0.0333057604818556,0.0375320596339093,0.0438652004528076,0.0501983412717059,0.0565314820906042,0.0628646229095025,0.0691977637284008,0.0999298972639313,0.1306620307994617,0.1613941643349922,0.1921262978705226,0.222858431406053,0.2533571723018432,0.2838559131976334,0.3303662302341642,0.376876547270695,0.4233868643072257,0.4550525684017172,0.5203604548011136,0.5856683412005098,0.650976227599906,0.6613842777504858,0.6717923279010658,0.7932195796578313,0.9146468314145968,0.9392476772250582,0.9638485230355196,0.9884493688459812,1.0631980926546916,1.1379468164634017,1.1438478996007633,1.2461177810324429,1.355924651662261,1.4735349488430718,1.599172539452271,1.733009006244744,1.8751536444805488,2.0256434764928413,2.184433657356582,2.3513887018372435,2.5262750044338484,2.708755143300733,2.898384448275304,3.0946102676955918,3.296774285168103,3.504118116394328,3.7157922621739794,3.9308683157199273,4.1483541333278495,4.367211492967776
