model,scenario,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Natural Regeneration,Emissions,CH4,Mha/yr,0.0,0.003030303030303,0.006060606060606,0.009090909090909,0.0121212121212121,0.0151515151515151,0.0181818181818181,0.0212121212121212,0.0242424242424242,0.0272727272727272,0.0303030303030303,0.0333333333333333,0.0363636363636363,0.0393939393939393,0.0424242424242424,0.0454545454545454,0.0484848484848484,0.0515151515151515,0.0545454545454545,0.0575757575757575,0.0606060606060606,0.0636363636363636,0.0666666666666666,0.0696969696969347,0.072727272727235,0.0757575757575352,0.0787878787878355,0.0818181818181358,0.0848484848484361,0.0878787878787363,0.0909090909090366,0.0939393939393369,0.0969696969696372,0.0999999999999374,0.1030303030302377,0.106060606060538,0.1090909090908383,0.1121212121211385,0.1151515151514388,0.1181818181817391,0.1212121212120393,0.1242424242423396,0.1272727272726399,0.1303030303029402,0.1333333333332405,0.1363636363635407,0.139393939393841,0.1424242424241413,0.1454545454544415,0.1484848484847418,0.1515151515150421,0.1545454545453424,0.1575757575756426,0.1606060606059429,0.1636363636362432,0.1666666666665435,0.1696969696968437,0.172727272727144,0.1757575757574443,0.1787878787877446,0.1818181818180448
PD22,baseline,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha/yr,0.0,0.0547117794486215,0.1094235588972431,0.1641353383458646,0.2188471177944862,0.2735588972431078,0.3282706766917293,0.3829824561403509,0.4376942355889724,0.492406015037594,0.5471177944862156,0.6018295739348372,0.6565413533834586,0.7112531328320802,0.7659649122807018,0.8206766917293234,0.8753884711779449,0.9301002506265664,0.984812030075188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PD22,baseline,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.0024570024570024,0.0049140049140049,0.0073710073710073,0.0098280098280098,0.0122850122850122,0.0147420147420147,0.0171990171990171,0.0196560196560196,0.0221130221130221,0.0245700245700245,0.027027027027027,0.0294840294840294,0.0319410319410319,0.0343980343980343,0.0368550368550368,0.0393120393120393,0.0417690417690417,0.0442260442260442,0.0466830466830466,0.0491400491400491,0.0515970515970515,0.054054054054054,0.0565110565110565,0.0589680589680589,0.0614250614250266,0.0638820638820263,0.0663390663390259,0.0687960687960256,0.0712530712530252,0.0737100737100249,0.0761670761670245,0.0786240786240242,0.0810810810810238,0.0835380835380235,0.0859950859950231,0.0884520884520227,0.0909090909090224,0.093366093366022,0.0958230958230217,0.0982800982800213,0.100737100737021,0.1031941031940206,0.1056511056510203,0.1081081081080199,0.1105651105650196,0.1130221130220192,0.1154791154790189,0.1179361179360185,0.1203931203930182,0.1228501228500178,0.1253071253070175,0.1277641277640171,0.1302211302210167,0.1326781326780164,0.135135135135016,0.1375921375920157,0.1400491400490153,0.142506142506015,0.1449631449630146,0.1474201474200143
PD22,baseline,Agriculture,Silvopasture,Emissions,CO2,Mha,0.0,0.0005935422602089,0.0011870845204178,0.0017806267806267,0.0023741690408357,0.0029677113010446,0.0035612535612535,0.0041547958214624,0.0047483380816714,0.0053418803418803,0.0059354226020892,0.0065289648622981,0.0071225071225071,0.007716049382716,0.0083095916429249,0.0089031339031339,0.0094966761633428,0.0100902184235517,0.0106837606837606,0.0112773029439696,0.0118708452041785,0.0124643874643874,0.0130579297245963,0.0136514719848053,0.0142450142450142,0.0148385565051754,0.0154320987653804,0.0160256410255854,0.0166191832857904,0.0172127255459955,0.0178062678062005,0.0183998100664055,0.0189933523266105,0.0195868945868156,0.0201804368470206,0.0207739791072256,0.0213675213674306,0.0219610636276357,0.0225546058878407,0.0231481481480457,0.0237416904082508,0.0243352326684558,0.0249287749286608,0.0255223171888658,0.0261158594490709,0.0267094017092759,0.0273029439694809,0.0278964862296859,0.028490028489891,0.029083570750096,0.029677113010301,0.030270655270506,0.0308641975307111,0.0314577397909161,0.0320512820511211,0.0326448243113262,0.0332383665715312,0.0338319088317362,0.0344254510919412,0.0350189933521463,0.0356125356123513
PD22,baseline,Agriculture,Trees in Croplands,Emissions,CO2,Mha,0.0,0.0036121286121286,0.0072242572242572,0.0108363858363858,0.0144485144485144,0.018060643060643,0.0216727716727716,0.0252849002849002,0.0288970288970288,0.0325091575091575,0.0361212861212861,0.0397334147334147,0.0433455433455433,0.0469576719576719,0.0505698005698005,0.0541819291819291,0.0577940577940577,0.0614061864061864,0.065018315018315,0.0686304436304436,0.0722425722425722,0.0758547008547008,0.0794668294668294,0.083078958078958,0.0866910866910867,0.0903032153031802,0.0939153439153059,0.0975274725274317,0.1011396011395575,0.1047517297516833,0.1083638583638091,0.1119759869759349,0.1155881155880607,0.1192002442001864,0.1228123728123122,0.126424501424438,0.1300366300365638,0.1336487586486896,0.1372608872608154,0.1408730158729412,0.144485144485067,0.1480972730971927,0.1517094017093185,0.1553215303214443,0.1589336589335701,0.1625457875456959,0.1661579161578217,0.1697700447699475,0.1733821733820733,0.176994301994199,0.1806064306063248,0.1842185592184506,0.1878306878305764,0.1914428164427022,0.195054945054828,0.1986670736669538,0.2022792022790795,0.2058913308912053,0.2095034595033311,0.2131155881154569,0.2167277167275827
PD22,pathway,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,6.191930626455072e-05,0.0001238386125291,0.0001238386125291,0.0001238386125291,0.0001238386125291,0.0001238386125291,0.0001238386125291,0.0001557508703731,0.0001876631282171,0.0002195753860612,0.0002514876439052,0.0002833999017492,0.0003312206582797,0.0003790414148102,0.0004268621713406,0.0004746829278711,0.0005225036844016,0.0007545581921869,0.0009866126999722,0.0012186672077575,0.0014507217155428,0.0016827762233281,0.0019130684123966,0.0021433606014652,0.0024945542052015,0.0028457478089379,0.0031969414126743,0.0034360451953266,0.0039291769011156,0.0044223086069046,0.0049154403126935,0.0049940302014139,0.0050726200901343,0.0059895021252055,0.0069063841602768,0.0070921420790704,0.0072778999978641,0.0074636579166577,0.0080280762083769,0.0085924945000961,0.0086370528429543,0.0094092799637772,0.0102384179501128,0.0111264786371856,0.0120751524158689,0.0130857348861469,0.0141590513228985,0.0152953812771443,0.0164943861304479,0.0177550428506994,0.0190755875118934,0.0204534722837525,0.0218853395173329,0.023367016208855,0.024893531493329,0.0264591589054933,0.0280574839828259,0.0296814964414567,0.0313237047280029,0.0329762693573905
PD22,pathway,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0004464854012259,0.0008929708024519,0.0008929708024519,0.0008929708024519,0.0008929708024519,0.0008929708024519,0.0008929708024519,0.0011230825092377,0.0013531942160234,0.0015833059228091,0.0018134176295948,0.0020435293363805,0.0023883534462504,0.0027331775561203,0.0030780016659903,0.0034228257758602,0.0037676498857301,0.0054409397894017,0.0071142296930733,0.0087875195967449,0.0104608095004164,0.012134099404088,0.0137946816463401,0.0154552638885922,0.0179876374975971,0.020520011106602,0.0230523847156069,0.0247765052649565,0.0283323607936948,0.0318882163224332,0.0354440718511715,0.0360107648604199,0.0365774578696683,0.0431888763108994,0.0498002947521305,0.0511397509558085,0.0524792071594865,0.0538186633631645,0.0578885495204938,0.0619584356778231,0.0622797352980742,0.0678480815325286,0.0738267984922939,0.080230393043025,0.0870710541915569,0.0943581242014542,0.1020975539337257,0.1102913591643412,0.1189370981962341,0.1280273941880028,0.1375495278884511,0.1474851274989868,0.1578099818110821,0.1684940002862733,0.1795013391985341,0.1907907063678623,0.2023158486295249,0.214026216492657,0.225867790146317,0.2377840409268338
PD22,pathway,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.0001,0.0001999999999999,0.0003,0.0003999999999999,0.0005,0.0006,0.0006999999999999,0.0007999999999999,0.0009,0.001,0.0010999999999999,0.0012,0.0013,0.0013999999999999,0.0014999999999999,0.0015999999999999,0.0017,0.0018,0.0019,0.002,0.0021,0.0021999999999999,0.0023,0.0024,0.0024999999999985,0.0025999999999984,0.0026999999999983,0.0027999999999982,0.0028999999999981,0.002999999999998,0.0030999999999978,0.0030382216621457,0.0030860334479591,0.0036438376157827,0.0042016417836063,0.0043146514591654,0.0044276611347245,0.0045406708102835,0.0048840463629438,0.005227421915604,0.0052545299059527,0.0057243302619691,0.0062287535212196,0.0067690236253132,0.0073461689585331,0.0079609777259518,0.0086139520006273,0.0093052618532103,0.0100347012781648,0.0108016478927274,0.0116050285759949,0.0124432933026715,0.0133143993775104,0.0142158080672705,0.0151444952433257,0.0160969770919817,0.0170693512421676,0.0180573528425604,0.0190564242515653,0.0200617961561404
