model,scenario,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Improved Forest Mgmt,Emissions,CH4,m3/yr,0.0,0.002,0.004,0.006,0.008,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.042,0.044,0.046,0.048,0.05,0.05,0.05,0.05,0.05,0.05,0.051050283752005,0.0528849862902376,0.0547196888284702,0.0565543913667028,0.0583890939049354,0.060223796443168,0.0620584989814005,0.0638932015196331,0.0657279040578657,0.0675626065960983,0.0693973091343309,0.0712320116725635,0.0730667142107961,0.0749014167490287,0.0767361192872613,0.0785708218254939,0.0804055243637265,0.082240226901959,0.0840749294401916,0.0859096319784242,0.0877443345166568,0.0895790370548894,0.091413739593122,0.0932484421313546,0.0950831446695872,0.0969178472078198,0.0987525497460524,0.100587252284285,0.1024219548225175,0.1042566573607501
PD22,baseline,Forests & Wetlands,Natural Regeneration,Emissions,CH4,Mha/yr,0.0,0.000212665076908,0.0004253301538161,0.0006379952307241,0.0008506603076322,0.0010633253845402,0.0012759904614483,0.0014886555383564,0.0017013206152644,0.0019139856921725,0.0021266507690805,0.0023393158459886,0.0025519809228967,0.0027646459998047,0.0029773110767128,0.0031899761536208,0.0034026412305289,0.003615306307437,0.003827971384345,0.0040406364612531,0.0042533015381611,0.0044659666150692,0.0046786316919772,0.0048912967688039,0.0051039618457053,0.0053166269226068,0.0055292919995082,0.0057419570764096,0.0059546221533111,0.0061672872302125,0.0063799523071139,0.0065926173840153,0.0068052824609168,0.0070179475378182,0.0072306126147196,0.0074432776916211,0.0076559427685225,0.0078686078454239,0.0080812729223254,0.0082939379992268,0.0085066030761282,0.0087192681530297,0.0089319332299311,0.0091445983068325,0.0093572633837339,0.0095699284606354,0.0097825935375368,0.0099952586144382,0.0102079236913397,0.0104205887682411,0.0106332538451425,0.010845918922044,0.0110585839989454,0.0112712490758468,0.0114839141527482,0.0116965792296497,0.0119092443065511,0.0121219093834525,0.012334574460354,0.0125472395372554,0.0127599046141568
PD22,baseline,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha/yr,0.0,0.0969298245614035,0.193859649122807,0.2907894736842105,0.3877192982456141,0.4846491228070176,0.5815789473684211,0.6785087719298246,0.7754385964912281,0.8723684210526317,0.9692982456140352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PD22,baseline,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.002500058114444,0.005000116228888,0.007500174343332,0.010000232457776,0.01250029057222,0.0150003486866641,0.0175004068011081,0.0200004649155521,0.0225005230299961,0.0250005811444401,0.0275006392588841,0.0300006973733282,0.0325007554877722,0.0350008136022162,0.0375008717166602,0.0400009298311042,0.0425009879455482,0.0450010460599923,0.0475011041744363,0.0500011622888803,0.0525012204033243,0.0550012785177683,0.0575013366322123,0.0600013947466564,0.0625014528610776,0.0650015109755202,0.0675015690899627,0.0700016272044052,0.0725016853188478,0.0750017434332903,0.0775018015477329,0.0800018596621754,0.0825019177766179,0.0850019758910605,0.087502034005503,0.0900020921199455,0.0925021502343881,0.0950022083488306,0.0975022664632732,0.1000023245777157,0.1025023826921582,0.1050024408066008,0.1075024989210433,0.1100025570354858,0.1125026151499284,0.1150026732643709,0.1175027313788135,0.120002789493256,0.1225028476076985,0.1250029057221411,0.1275029638365836,0.1300030219510262,0.1325030800654687,0.1350031381799112,0.1375031962943538,0.1400032544087963,0.1425033125232389,0.1450033706376814,0.1475034287521239,0.1500034868665665
PD22,baseline,Agriculture,Silvopasture,Emissions,CO2,Mha,0.0,0.0012782706375124,0.0025565412750248,0.0038348119125372,0.0051130825500497,0.0063913531875621,0.0076696238250745,0.0089478944625869,0.0102261651000994,0.0115044357376118,0.0127827063751242,0.0140609770126367,0.0153392476501491,0.0166175182876615,0.0178957889251739,0.0191740595626864,0.0204523302001988,0.0217306008377112,0.0230088714752237,0.0242871421127361,0.0255654127502485,0.0268436833877609,0.0281219540252734,0.0294002246627858,0.0306784953002982,0.0306784953003216,0.031956765937835,0.0332350365753484,0.0345133072128618,0.0357915778503752,0.0370698484878886,0.038348119125402,0.0396263897629154,0.0409046604004288,0.0421829310379422,0.0434612016754556,0.044739472312969,0.0460177429504824,0.0472960135879958,0.0485742842255092,0.0498525548630226,0.051130825500536,0.0524090961380494,0.0536873667755628,0.0549656374130762,0.0562439080505896,0.057522178688103,0.0588004493256164,0.0600787199631298,0.0613569906006432,0.0626352612381566,0.06391353187567,0.0651918025131834,0.0664700731506968,0.0677483437882102,0.0690266144257236,0.070304885063237,0.0715831557007504,0.0728614263382638,0.0741396969757772,0.0754179676132906
PD22,baseline,Agriculture,Trees in Croplands,Emissions,CO2,Mha,0.0,0.0006554307116104,0.0013108614232209,0.0019662921348314,0.0026217228464419,0.0032771535580524,0.0039325842696629,0.0045880149812734,0.0052434456928838,0.0058988764044943,0.0065543071161048,0.0072097378277153,0.0078651685393258,0.0085205992509363,0.0091760299625468,0.0098314606741573,0.0104868913857677,0.0111423220973782,0.0117977528089887,0.0124531835205992,0.0131086142322097,0.0137640449438202,0.0144194756554307,0.0150749063670411,0.0157303370786516,0.0163857677902612,0.0170411985018716,0.0176966292134821,0.0183520599250925,0.019007490636703,0.0196629213483134,0.0203183520599239,0.0209737827715343,0.0216292134831448,0.0222846441947552,0.0229400749063657,0.0235955056179761,0.0242509363295866,0.024906367041197,0.0255617977528075,0.0262172284644179,0.0268726591760284,0.0275280898876388,0.0281835205992493,0.0288389513108597,0.0294943820224702,0.0301498127340806,0.0308052434456911,0.0314606741573015,0.032116104868912,0.0327715355805224,0.0334269662921329,0.0340823970037433,0.0347378277153538,0.0353932584269642,0.0360486891385747,0.0367041198501851,0.0373595505617956,0.038014981273406,0.0386704119850165,0.0393258426966269
PD22,pathway,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,4.960948902511089e-05,9.921897805022178e-05,9.921897805022178e-05,9.921897805022178e-05,9.921897805022178e-05,9.921897805022178e-05,9.921897805022178e-05,0.0001247869454708,0.0001503549128914,0.0001759228803121,0.0002014908477327,0.0002270588151533,0.0002653726051389,0.0003036863951244,0.00034200018511,0.0003803139750955,0.0004186277650811,0.000604548865489,0.000790469965897,0.0009763910663049,0.0011623121667129,0.0013482332671208,0.0015327424051489,0.0017172515431769,0.0019986263886219,0.0022800012340668,0.0025613760795118,0.0027529450294396,0.0031480400881883,0.003543135146937,0.0039382302056857,0.0040011960956022,0.0040641619855187,0.0047987640345443,0.00553336608357,0.0056821945506453,0.0058310230177207,0.005979851484796,0.0064320610578326,0.0068842706308692,0.0069199705886749,0.0075386757258365,0.0082029776102548,0.0089144881158916,0.0096745615768396,0.0104842360223838,0.0113441726593028,0.0122545954627045,0.0132152331329149,0.0142252660208892,0.0152832808764945,0.0163872363887763,0.0175344424234535,0.0187215555873637,0.0199445932442815,0.0211989673742069,0.0224795387366138,0.0237806907214063,0.0250964211273685,0.0264204489918704
PD22,pathway,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.005581622845426,0.011163245690852,0.011163245690852,0.011163245690852,0.011163245690852,0.011163245690852,0.011163245690852,0.0140399282342638,0.0169166107776757,0.0197932933210875,0.0226699758644994,0.0255466584079113,0.0298573886669941,0.034168118926077,0.0384788491851598,0.0427895794442427,0.0471003097033255,0.0680185147055682,0.0889367197078109,0.1098549247100536,0.1307731297122963,0.1516913347145389,0.1724506781434887,0.1932100215724385,0.2248678414034188,0.2565256612343992,0.2881834810653794,0.3097371323607937,0.3541897491759044,0.398642365991015,0.4430949828061257,0.4501793502637817,0.4572637177214379,0.5399146713940922,0.6225656250667464,0.6393104936030244,0.6560553621393024,0.6728002306755804,0.723678869689656,0.7745575087037314,0.7785741535832642,0.848185407317718,0.9229268055299078,1.0029797020838869,1.088496474725546,1.1795939133691749,1.2763464111789524,1.3787791678616832,1.4868616591671011,1.600501665402508,1.7195401801079884,1.8437475329506428,1.9728210537104311,2.106384573230514,2.2439900003538145,2.3851211314718714,2.52919974449671,2.67559390792002,2.82362830691621,2.972596262880108
