model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,nz,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,0.0398627516272204,0.0445879262516568,0.049870781393428,0.0557765285489761,0.0623778523426968,0.0697557287561596,0.078000323308695,0.0872119745079194,0.0975022675399959,0.1089952025617894,0.1218284610141226,0.1361547720085052,0.1521433789387728,0.1699816039064913,0.1898765041736866,0.2120566104962293,0.2367737316504888,0.2643048025307491,0.2949537446371671,0.3290532973615802,0.3669667659914561,0.4090896176074804,0.45585083893368,0.5077139507140728,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083
PD22,baseline,nz,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,nz,Agriculture,AFOLU,Cropland Soil Health,Cropland Soil Health,Emissions,CO2,CO2,Mha,0.0484720083473401,0.0530943784565987,0.0580406882301876,0.0633116779843445,0.0689038324049336,0.0748089077786707,0.0810135575018915,0.0874990915950895,0.0942414033380473,0.1012110900293066,0.1083737852167225,0.1156907069787599,0.1231194119155243,0.1306147288522662,0.1381298315834471,0.1456173980603409,0.1530307957779205,0.1603252307652476,0.162,0.162,0.162,0.162,0.162,0.162,0.264,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653
PD22,baseline,nz,Agriculture,AFOLU,Improved Rice,Improved Rice,Emissions,CH4,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,nz,Agriculture,AFOLU,Nitrogen Fertilizer Management,Nitrogen Fertilizer Management,Emissions,N2O,N2O,Percent adoption,0.007464946755575,0.0083507899617299,0.0093414289046036,0.0104491794231364,0.0116877842720468,0.0130725733041495,0.0146206403375818,0.0163510381133265,0.0182849927767411,0.020446139316651,0.0228607793561589,0.0255581625978966,0.0285707930671682,0.0319347610492566,0.0356901012588806,0.0398811772814973,0.0445570916544199,0.0497721200709574,0.0555861670478407,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999,0.0586829599999999
PD22,baseline,nz,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.0299221487165198,0.0334739620744262,0.0374462183888563,0.0418883948020286,0.0468557174179068,0.0524098108488699,0.0586194164977067,0.06556118565729,0.0733205537299011,0.0819927019951853,0.0916836133550278,0.1025112283069382,0.1146067069875716,0.128115802413784,0.1432003489402431,0.1600398683460099,0.1788332937280911,0.1998008083678413,0.2231857927686822,0.2492568679384786,0.278310016477209,0.3106707548788441,0.346696320397394,0.3867778235879835,0.4313423029562636,0.4808546008180376,0.5358189593516933,0.5967802129229597,0.6643244272866933,0.7390788087366335,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098,0.8098
PD22,baseline,nz,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,nz,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,nz,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,nz,Forests & Wetlands,AFOLU,Coastal Restoration,Coastal Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
