model,scenario,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Coastal Restoration,Emissions,CH4,Mha/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha/yr,0.0,0.6150526315789474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PD22,baseline,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.0024509803921568,0.0049019607843137,0.0073529411764705,0.0098039215686274,0.0122549019607843,0.0147058823529411,0.017156862745098,0.0196078431372549,0.0220588235294117,0.0245098039215686,0.0269607843137254,0.0294117647058823,0.0318627450980392,0.034313725490196,0.0367647058823529,0.0392156862745098,0.0416666666666666,0.0441176470588235,0.0465686274509804,0.0490196078431372,0.0514705882352941,0.0539215686274509,0.0563725490196078,0.0588235294117647,0.0612745098038942,0.0637254901960489,0.0661764705882035,0.0686274509803581,0.0710784313725128,0.0735294117646674,0.075980392156822,0.0784313725489767,0.0808823529411313,0.0833333333332859,0.0857843137254406,0.0882352941175952,0.0906862745097498,0.0931372549019045,0.0955882352940591,0.0980392156862137,0.1004901960783684,0.102941176470523,0.1053921568626776,0.1078431372548323,0.1102941176469869,0.1127450980391415,0.1151960784312962,0.1176470588234508,0.1200980392156054,0.1225490196077601,0.1249999999999147,0.1274509803920693,0.129901960784224,0.1323529411763786,0.1348039215685332,0.1372549019606879,0.1397058823528425,0.1421568627449971,0.1446078431371518,0.1470588235293064
PD22,pathway,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,3.054315555650484e-06,6.108631111300968e-06,6.108631111300968e-06,6.108631111300968e-06,6.108631111300968e-06,6.108631111300968e-06,6.108631111300968e-06,7.682778359213141e-06,9.256925607125311e-06,1.0831072855037484e-05,1.240522010294966e-05,1.3979367350861831e-05,1.6338238749225744e-05,1.869711014758965e-05,2.105598154595357e-05,2.341485294431748e-05,2.577372434268139e-05,3.722035925585767e-05,4.866699416903393e-05,6.011362908221022e-05,7.156026399538649e-05,8.300689890856276e-05,9.43666033020782e-05,0.0001057263076955,0.0001230497590009,0.0001403732103063,0.0001576966616117,0.0001694910186035,0.0001938159009518,0.0002181407833002,0.0002424656656485,0.0002463422969307,0.0002502189282129,0.0002954462931715,0.0003406736581302,0.0003498366047971,0.0003589995514641,0.0003681624981311,0.0003960037591576,0.0004238450201841,0.0004260429653475,0.0004641348861056,0.000505034069288,0.0005488397534037,0.0005956353209621,0.0006454846804825,0.0006984285405914,0.0007544806908008,0.0008136244279593,0.0008758092885995,0.0009409482629185,0.0010089156731895,0.0010795458954738,0.0011526330865354,0.0012279320467561,0.0013051603047552,0.0013840014520676,0.0014641096899373,0.0015451154798566,0.0016266321207681
PD22,pathway,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,2.415685939469019e-05,4.831371878938038e-05,4.831371878938038e-05,4.831371878938038e-05,4.831371878938038e-05,4.831371878938038e-05,4.831371878938038e-05,6.076379247741303e-05,7.321386616544566e-05,8.56639398534783e-05,9.811401354151096e-05,0.0001105640872295,0.000129220615562,0.0001478771438945,0.000166533672227,0.0001851902005596,0.0002038467288921,0.0002943792050236,0.000384911681155,0.0004754441572865,0.000565976633418,0.0006565091095495,0.0007463540442982,0.0008361989790469,0.0009732117302804,0.0011102244815139,0.0012472372327473,0.0013405198744099,0.0015329075802558,0.0017252952861017,0.0019176829919477,0.0019483436211794,0.0019790042504111,0.0023367115914479,0.0026944189324846,0.0027668895106687,0.0028393600888528,0.0029118306670368,0.0031320297315192,0.0033522287960016,0.0033696125441122,0.0036708850082897,0.0039943603661875,0.0043408235041935,0.0047109339021551,0.0051051970183622,0.0055239348210411,0.0059672563726975,0.0064350295665872,0.0069268552825598,0.0074420453521736,0.007979605778863,0.0085382266278384,0.0091162798662349,0.0097118261879803,0.0103226315012462,0.0109461933027168,0.0115797766385952,0.0122204587952298,0.0128651813188025
PD22,pathway,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,8.333333333333334e-06,1.6666666666666667e-05,2.5e-05,3.3333333333333335e-05,4.166666666666667e-05,5e-05,5.833333333333333e-05,6.666666666666667e-05,7.500000000000001e-05,8.333333333333334e-05,9.166666666666668e-05,0.0001,0.0001083333333333,0.0001166666666666,0.000125,0.0001333333333333,0.0001416666666666,0.00015,0.0001583333333333,0.0001666666666666,0.000175,0.0001833333333333,0.0001916666666666,0.0002,0.0002083333333332,0.0002166666666665,0.0002249999999998,0.0002333333333332,0.0002416666666665,0.0002499999999998,0.0002583333333331,0.0002538072150195,0.0002578013199769,0.0003043992111464,0.000350997102316,0.0003604377140334,0.0003698783257509,0.0003793189374684,0.0004080038730714,0.0004366888086745,0.0004389533582368,0.0004781995796239,0.0005203381319937,0.0005654712610826,0.0006136848761428,0.0006650448223153,0.0007195930418214,0.0007773437420372,0.000838279713655,0.0009023489640116,0.0009694618466433,0.0010394888754074,0.0011122594074578,0.001187561361885,0.001265142108779,0.0013447106170205,0.001425940890009,0.0015084766502384,0.0015919371610644,0.0016759240032156
PD22,pathway,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha/yr,0.0,0.0307526315789473,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
PD22,pathway,Forests & Wetlands,Coastal Restoration,Emissions,CH4,Mha/yr,0.0,2.773962063492064e-06,5.750587936507937e-06,9.373204920634924e-06,1.1843171111111112e-05,1.3122486984126988e-05,1.496546349206349e-05,1.6745098412698414e-05,1.882870158730159e-05,2.0633780952380957e-05,2.273632063492064e-05,2.4933939682539683e-05,2.6929019047619048e-05,2.9237769475686488e-05,3.334408753872541e-05,3.798059147133811e-05,4.320211671263429e-05,4.906525717230814e-05,5.562721013296869e-05,6.29442545000867e-05,7.106983246244245e-05,8.00522274569186e-05,8.99318651594011e-05,0.0001007383094081,0.0001124870799084,0.0001251764789339,0.0001387846724636,0.0001532673166398,0.0001685560405354,0.0001845580788258,0.0002011572846404,0.0002182166424893,0.000235582252586,0.0002530885903819,0.0002705646857748,0.0002878407444251,0.0003047546730147,0.0003211579835539,0.0003369206362298,0.0003519345186432,0.0003661154248824,0.0003794035614882,0.0003917627441671,0.0004031785433523,0.0004136556832715,0.0004232150021154,0.0004318902503989,0.0004397249532804,0.0004467695025572,0.0004530785849089,0.0004587090011184,0.0004637178897555,0.0004681613389745,0.000472093350797,0.0004755651117622,0.0004786245200365,0.0004813159199731,0.0004836799989655,0.0004857538068961,0.000487570864556,0.0004891613334401
