model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,serbia,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,0.0118700514456018,0.0132781739429722,0.0148527621800296,0.0166133505009809,0.0185817291966125,0.0207821959084198,0.0232418327467998,0.0259908111612248,0.0290627266000968,0.0324949649419687,0.0363291025498674,0.0406113415740462,0.0453929817771576,0.0507309296465518,0.0566882448501284,0.0633347231373541,0.0707475135294323,0.0790117660180021,0.0882213039272846,0.0984793125105861,0.1098990321634883,0.1226044407563874,0.1367309049364224,0.1524257747549491,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541
PD22,baseline,serbia,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,serbia,Agriculture,AFOLU,Cropland Soil Health,Cropland Soil Health,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,serbia,Agriculture,AFOLU,Improved Rice,Improved Rice,Emissions,CH4,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,serbia,Agriculture,AFOLU,Nitrogen Fertilizer Management,Nitrogen Fertilizer Management,Emissions,N2O,N2O,Percent adoption,0.1832472388588368,0.201449801938368,0.221074745949045,0.2421567958254219,0.2647162938504598,0.2887566165135958,0.3142617309082914,0.3411940384929953,0.3694926670836367,0.3990723740296208,0.4298232116058699,0.4616110777816095,0.4942792314822249,0.5276507932314342,0.5615321840097417,0.5957173837589225,0.6299928240330608,0.6641426749076988,0.6979542513806402,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999,0.7261960199999999
PD22,baseline,serbia,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.0007284729589064,0.0008149440212232,0.000911651023729,0.0010197985176254,0.0011407310160938,0.0012759488079051,0.001427125444433,0.0015961270481492,0.0017850335960262,0.0019961623343644,0.0022320934815453,0.0024956983709082,0.0027901701759697,0.0031190573428144,0.0034862998275035,0.0038962681972319,0.0043538055995681,0.0048642725307782,0.0054335942376467,0.006068310462432,0.0067756270820394,0.0075634689940349,0.0084405333572332,0.0094163419966223,0.0105012914250574,0.0117066985122066,0.0130448393414213,0.0145289782376093,0.0161733833289922,0.0179933243353009,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197
PD22,baseline,serbia,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,serbia,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,serbia,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,serbia,Forests & Wetlands,AFOLU,Coastal Restoration,Coastal Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
