model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,ssudan,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,1.479849955841801,1.6441217821137148,1.8251824135253367,2.024415848117199,2.2432450194107463,2.483114456635805,2.745468338002501,3.031723542186161,3.3432374474221103,3.681270440275071,4.046943384758234,4.441190669074542,4.864709885591068,5.317909692279511,5.800857919743127,6.31323248146493,6.854278056925645,7.42277177928564,8.017001201187783,8.634757572787741,9.27334690619819,9.929620415722006,10.600024753480213,11.280671092952067,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572,11.9572
PD22,baseline,ssudan,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ssudan,Agriculture,AFOLU,Cropland Soil Health,Cropland Soil Health,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ssudan,Agriculture,AFOLU,Improved Rice,Improved Rice,Emissions,CH4,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ssudan,Agriculture,AFOLU,Nitrogen Fertilizer Management,Nitrogen Fertilizer Management,Emissions,N2O,N2O,Percent adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ssudan,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.0248851328615855,0.0278390432959073,0.0311426204247212,0.0348370125381914,0.0389681491231199,0.0435872810666381,0.048751578024498,0.054524788012433,0.0609779644616987,0.0681902660855396,0.0762498349027478,0.0852547576175266,0.0953141152139235,0.1065491250290953,0.119094378647879,0.1330991776249791,0.148728967182812,0.1661668655279717,0.1856152831297378,0.2072976220416683,0.2314600399309466,0.2583732567006735,0.2883343732246322,0.3216686615352576,0.3587312735987679,0.3999088013975118,0.4456206043071301,0.4963198007084977,0.5524937995879613,0.6146642249805856,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735,0.6735
PD22,baseline,ssudan,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ssudan,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ssudan,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ssudan,Forests & Wetlands,AFOLU,Coastal Restoration,Coastal Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ssudan,Forests & Wetlands,AFOLU,Improved Forest Mgmt,Improved Forest Mgmt,Emissions,CO2,CO2,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ssudan,Forests & Wetlands,AFOLU,Natural Regeneration,Natural Regeneration,Emissions,CO2,CO2,Mha,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
PD22,baseline,ssudan,Forests & Wetlands,AFOLU,Peat Restoration,Peat Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,ssudan,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,1.479849955841801,1.6441217821137148,1.8251824135253367,2.024415848117199,2.2432450194107463,2.483114456635805,2.745468338002501,3.031723542186161,3.3432374474221103,3.681270440275071,4.046943384758234,4.441190669074542,4.864709885591068,5.317909692279511,5.800857919743127,6.31323248146493,6.854278056925645,7.42277177928564,8.017001201187783,8.634757572787741,9.27334690619819,9.929620415722006,10.600024753480213,11.280671092952067,11.9572,11.96742067845879,12.65598311407507,13.342022572827572,14.02126640637217,14.689610419884986,15.343215375833706,15.978590063195442,16.59265741317382,17.18280151308127,17.746894803781665,18.283306088714436,18.79089111028001,19.268968282335333,19.717282673504084,20.135961525854064,20.5254645109106,20.88653163343005,21.220131263446373,21.527410276188263,21.8096477646534,22.06821330416856,22.304530320834967,22.520044761786828,22.716198989365164,22.894410620491875,23.056055898583704,23.20245710750625,23.33487350377958,23.45449524340965,23.562439803457163,23.659750437482767,23.74739625172185,23.826273540230076,23.897208068695186,23.96095804567909,24.018217565220592,24.069620345166765,24.11574362100265,24.15711208535869,24.1942017890538,24.22744394090126,24.25722856101904,24.28390795655175,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078,24.3078
PD22,pathway,ssudan,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009129073007329,0.0010213248056687,0.0011425896622653,0.0012782171288449,0.0014298993841447,0.0015995257333663,0.0017892050082008,0.0020012903700375,0.00223840673786,0.0025034810730862,0.0027997757619961,0.0031309253412399,0.0035009768118943,0.0039144337807854,0.0043763046521448,0.0048921550653882,0.0054681647324873,0.0061111887670521,0.0068288235119215,0.0076294767570392,0.0085224420878974,0.0095179769091219,0.0106273834390843,0.011863091660151,0.0132387428250699,0.0147692716526451,0.0164709847853762,0.018361632419937,0.0204604692530997,0.0227883000111498,0.0253675038580724,0.0282220309263971,0.0313773631196926,0.0348604302528985,0.0386994716070956,0.042923832190474,0.0475636825629756,0.052649651179872,0.0582123590537394,0.0642818483631899,0.0708868996948039,0.0780542371139211,0.0858076263793676,0.0941668793901965,0.1031467872466301,0.1127560147525016,0.122996000124882,0.1338599141406061,0.1453317416853634,0.1573855542271953,0.1699850426238566,0.1830833745964176,0.1966234293294558,0.21053844289747,0.2247530734144472,0.239184865817042,0.2537460657763212,0.2683457037244954,0.2828918468160561,0.2972939017864313,0.3114648471029349,0.3253232791410449,0.3387951735068961,0.3518152868934986,0.3643281539194039,0.3762886637980018,0.3876622301534247,0.3984245912109824,0.4085612952515501,0.4180669369471529,0.4269442142203401,0.4352028735189249,0.4428586052160148,0.4499319417298258,0.4564472003368232,0.4624315017361654,0.4679138851302247,0.4729245315231465,0.4774940994341294,0.4816531713737485
PD22,pathway,ssudan,Agriculture,AFOLU,Cropland Soil Health,Cropland Soil Health,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037703036095073,0.0042180674841803,0.0047188908713582,0.0052790317820322,0.00590547890782,0.0066060350718734,0.007389409740893,0.0082653214622853,0.0092446111412666,0.010339367117135,0.011563063032567,0.0129307095098242,0.0144590206476489,0.0161665963247574,0.0180741212311903,0.0202045814361376,0.0225834991260623,0.0252391858935725,0.0282030146051147,0.031509709400531,0.0351976527518405,0.0393092077003434,0.043891052364057,0.0489945225219197,0.0546759564948466,0.0609970346135435,0.0680251032482572,0.075833470642371,0.0845016586188359,0.0941155906164797,0.104767692495718,0.1165568782109605,0.1295883879250634,0.1439734416692277,0.1598286675647336,0.1772752603815347,0.1964378244151142,0.2174428550668911,0.2404168169999803,0.2654837842954715,0.2927626206642602,0.322363696392496,0.3543851639719093,0.3889088464687084,0.4259958310694158,0.4656819033802388,0.5079730032320992,0.5528409259598257,0.6002195292034627,0.6500017282266356,0.7020375664127694,0.7561336266316155,0.8120540001371357,0.869522952176086,0.9282293210515956,0.9878325676720136,1.0479702669993738,1.1082667150717134,1.1683422295938246,1.2278226607345708,1.286348609901644,1.3435838804416536,1.3992227518951867,1.45299576965755,1.5046738619185938,1.5540707213046698,1.601043506217656,1.64549201562223,1.6873565639744852,1.7266148272908612,1.7632779479810168,1.7973861788366,1.8290043210376583,1.8582171733917487,1.885125166156309,1.909840307713624,1.9324825298568031,1.9531764800158515,1.972048777756088,1.9892257287275148
PD22,pathway,ssudan,Agriculture,AFOLU,Improved Rice,Improved Rice,Emissions,CH4,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,ssudan,Agriculture,AFOLU,Nitrogen Fertilizer Management,Nitrogen Fertilizer Management,Emissions,N2O,N2O,Percent adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,ssudan,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.0248851328615855,0.0278390432959073,0.0311426204247212,0.0348370125381914,0.0389681491231199,0.0435872810666381,0.048751578024498,0.054524788012433,0.0609779644616987,0.0681902660855396,0.0762498349027478,0.0852547576175266,0.0953141152139235,0.1065491250290953,0.119094378647879,0.1330991776249791,0.148728967182812,0.1661668655279717,0.1856152831297378,0.2072976220416683,0.2314600399309466,0.2583732567006735,0.2883343732246322,0.3216686615352576,0.3587312735987679,0.3999088013975118,0.4456206043071301,0.4963198007084977,0.5524937995879613,0.6146642249805856,0.6735,0.6833860622645975,0.7592458317323193,0.8428585733099914,0.9348634092054888,1.0359174418042565,1.1466877462636782,1.2678412356422906,1.4000322162329826,1.543887517373134,1.6999891782134011,1.868854807205429,2.0509158993613386,2.246494598759939,2.455779621264613,2.678802290651583,2.9154138692493823,3.1652655544558432,3.4277926335101143,3.702204308229173,3.9874805908414968,4.282377413482747,4.58544068531758,4.895029491059087,5.209347993343928,5.526484938984013,5.844459048211498,6.161268061466034,6.47493889470906,6.783576254753327,7.085407204140584,7.378819522020975,7.662392236004853,7.934917332898899,8.195412318326213,8.443123915246844,8.677523712187659,8.898296956650563,9.10532592281564,9.298669370326277,9.47853957280682,9.645278260129626,9.799332619917813,9.941232272450344,10.071567895399308,10.190971950647649,10.30010176805127,10.399625077547515,10.490207953637178,10.572505043531104,10.647151888397213,10.714759111198015,10.775908229236151,10.831148849600618,10.880997016668202,10.925934498837062,10.966408823703835,11.00283389462603,11.035591045372971,11.065030412228047,11.0914725237625,11.11521002717506,11.1365094864397,11.155613201547173,11.172741009983902,11.18809204146014,11.201846404987323,11.214166793946168,11.2252,11.2252,11.2252,11.2252,11.2252,11.2252,11.2252,11.2252,11.2252,11.2252,11.2252,11.2252,11.2252
PD22,pathway,ssudan,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
