model,scenario,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0002484898032209,0.0004969796064418,0.0007454694096627,0.0009939592128836,0.0012424490161046,0.0014909388193255,0.0017394286225464,0.0019879184257673,0.0022364082289883,0.0024848980322092,0.0027333878354301,0.002981877638651,0.003230367441872,0.0034788572450929,0.0037273470483138,0.0039758368515347,0.0042243266547557,0.0044728164579766,0.0047213062611975,0.0049697960644184,0.0052182858676394,0.0054667756708603,0.0057152654740812,0.0057152654740812,0.0057152654740812,0.0058638686508842,0.0061061866849385,0.0063485047189928,0.0065908227530471,0.0068331407871013,0.0070754588211556,0.0073177768552099,0.0075600948892642,0.0078024129233185,0.0080447309573727,0.008287048991427,0.0085293670254813,0.0087716850595356,0.0090140030935899,0.0092563211276441,0.0094986391616984,0.0097409571957527,0.009983275229807,0.0102255932638612,0.0104679112979155,0.0107102293319698,0.0109525473660241,0.0111948654000784,0.0114371834341326,0.0116795014681869,0.0119218195022412,0.0121641375362955,0.0124064555703498,0.012648773604404,0.0128910916384583,0.0131334096725126,0.0133757277065669,0.0136180457406211,0.0138603637746754,0.0141026818087297
PD22,baseline,Forests & Wetlands,Improved Forest Mgmt,Emissions,CH4,m3/yr,0.0,0.002,0.004,0.006,0.008,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.042,0.044,0.046,0.048,0.05,0.05,0.05,0.05,0.05,0.05,0.051050283752005,0.0528849862902376,0.0547196888284702,0.0565543913667028,0.0583890939049354,0.060223796443168,0.0620584989814005,0.0638932015196331,0.0657279040578657,0.0675626065960983,0.0693973091343309,0.0712320116725635,0.0730667142107961,0.0749014167490287,0.0767361192872613,0.0785708218254939,0.0804055243637265,0.082240226901959,0.0840749294401916,0.0859096319784242,0.0877443345166568,0.0895790370548894,0.091413739593122,0.0932484421313546,0.0950831446695872,0.0969178472078198,0.0987525497460524,0.100587252284285,0.1024219548225175,0.1042566573607501
PD22,baseline,Forests & Wetlands,Natural Regeneration,Emissions,CH4,Mha/yr,0.0,0.0005472330528763,0.0010944661057527,0.0016416991586291,0.0021889322115055,0.0027361652643819,0.0032833983172583,0.0038306313701347,0.0043778644230111,0.0049250974758875,0.0054723305287639,0.0060195635816403,0.0065667966345167,0.0071140296873931,0.0076612627402695,0.0082084957931459,0.0087557288460223,0.0093029618988986,0.009850194951775,0.0103974280046514,0.0109446610575278,0.0114918941104042,0.0120391271632806,0.0120391271633053,0.0125863602161828,0.0131335932690603,0.0136808263219379,0.0142280593748154,0.0147752924276929,0.0153225254805704,0.0158697585334479,0.0164169915863254,0.0169642246392029,0.0175114576920805,0.018058690744958,0.0186059237978355,0.019153156850713,0.0197003899035905,0.020247622956468,0.0207948560093456,0.0213420890622231,0.0218893221151006,0.0224365551679781,0.0229837882208556,0.0235310212737331,0.0240782543266107,0.0246254873794882,0.0251727204323657,0.0257199534852432,0.0262671865381207,0.0268144195909982,0.0273616526438758,0.0279088856967533,0.0284561187496308,0.0290033518025083,0.0295505848553858,0.0300978179082633,0.0306450509611408,0.0311922840140184,0.0317395170668959,0.0322867501197734
PD22,baseline,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha/yr,0.0,0.1131578947368421,0.2263157894736842,0.3394736842105263,0.4526315789473684,0.5657894736842105,0.6789473684210526,0.7921052631578946,0.9052631578947368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PD22,baseline,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.0025036591942069,0.0050073183884138,0.0075109775826207,0.0100146367768276,0.0125182959710345,0.0150219551652415,0.0175256143594484,0.0200292735536553,0.0225329327478622,0.0250365919420691,0.027540251136276,0.030043910330483,0.0325475695246899,0.0350512287188968,0.0375548879131037,0.0400585471073106,0.0425622063015176,0.0450658654957245,0.0475695246899314,0.0500731838841383,0.0525768430783452,0.0550805022725521,0.0575841614667591,0.060087820660966,0.0625914798551363,0.0650951390493403,0.0675987982435444,0.0701024574377484,0.0726061166319524,0.0751097758261565,0.0776134350203605,0.0801170942145645,0.0826207534087686,0.0851244126029726,0.0876280717971766,0.0901317309913807,0.0926353901855847,0.0951390493797887,0.0976427085739928,0.1001463677681968,0.1026500269624008,0.1051536861566049,0.1076573453508089,0.1101610045450129,0.112664663739217,0.115168322933421,0.117671982127625,0.1201756413218291,0.1226793005160331,0.1251829597102371,0.1276866189044412,0.1301902780986452,0.1326939372928492,0.1351975964870533,0.1377012556812573,0.1402049148754613,0.1427085740696654,0.1452122332638694,0.1477158924580734,0.1502195516522775
PD22,baseline,Agriculture,Silvopasture,Emissions,CO2,Mha,0.0,0.000103811697636,0.000207623395272,0.0003114350929081,0.0004152467905441,0.0005190584881802,0.0006228701858162,0.0007266818834522,0.0008304935810883,0.0009343052787243,0.0010381169763604,0.0011419286739964,0.0012457403716324,0.0013495520692685,0.0014533637669045,0.0015571754645406,0.0016609871621766,0.0017647988598126,0.0018686105574487,0.0019724222550847,0.0020762339527208,0.0021800456503568,0.0022838573479928,0.0023876690456289,0.0024914807432649,0.0025952924408798,0.0026991041385144,0.0028029158361491,0.0029067275337837,0.0030105392314183,0.0031143509290529,0.0032181626266876,0.0033219743243222,0.0034257860219568,0.0035295977195914,0.0036334094172261,0.0037372211148607,0.0038410328124953,0.0039448445101299,0.0040486562077646,0.0041524679053992,0.0042562796030338,0.0043600913006685,0.0044639029983031,0.0045677146959377,0.0046715263935723,0.004775338091207,0.0048791497888416,0.0049829614864762,0.0050867731841108,0.0051905848817455,0.0052943965793801,0.0053982082770147,0.0055020199746493,0.005605831672284,0.0057096433699186,0.0058134550675532,0.0059172667651878,0.0060210784628225,0.0061248901604571,0.0062287018580917
PD22,baseline,Agriculture,Trees in Croplands,Emissions,CO2,Mha,0.0,0.001951747758638,0.0039034955172761,0.0058552432759141,0.0078069910345522,0.0097587387931902,0.0117104865518283,0.0136622343104664,0.0156139820691044,0.0175657298277425,0.0195174775863805,0.0214692253450186,0.0234209731036566,0.0253727208622947,0.0273244686209328,0.0292762163795708,0.0312279641382089,0.0331797118968469,0.035131459655485,0.0370832074141231,0.0390349551727611,0.0409867029313992,0.0429384506900372,0.0448901984486753,0.0468419462073133,0.046841946207337,0.0487936939659761,0.0507454417246151,0.0526971894832541,0.0546489372418932,0.0566006850005322,0.0585524327591713,0.0605041805178103,0.0624559282764494,0.0644076760350884,0.0663594237937275,0.0683111715523665,0.0702629193110055,0.0722146670696446,0.0741664148282836,0.0761181625869227,0.0780699103455617,0.0800216581042008,0.0819734058628398,0.0839251536214789,0.0858769013801179,0.0878286491387569,0.089780396897396,0.091732144656035,0.0936838924146741,0.0956356401733131,0.0975873879319522,0.0995391356905912,0.1014908834492303,0.1034426312078693,0.1053943789665083,0.1073461267251474,0.1092978744837864,0.1112496222424255,0.1132013700010645,0.1151531177597036
PD22,pathway,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0002684095488298,0.0005368190976597,0.0005368190976597,0.0005368190976597,0.0005368190976597,0.0005368190976597,0.0005368190976597,0.000675153249749,0.0008134874018382,0.0009518215539275,0.0010901557060167,0.001228489858106,0.0014357846173562,0.0016430793766063,0.0018503741358565,0.0020576688951066,0.0022649636543568,0.0032708800558177,0.0042767964572787,0.0052827128587396,0.0062886292602006,0.0072945456616615,0.008292822714425,0.0092910997671885,0.0108134636697826,0.0123358275723768,0.0138581914749709,0.0148946652712217,0.0170323064472875,0.0191699476233532,0.021307588799419,0.0216482624575492,0.0219889361156795,0.025963462127199,0.0299379881387186,0.0307432167852082,0.0315484454316979,0.0323536740781876,0.0348003303502139,0.0372469866222402,0.0374401393790247,0.0407876112032199,0.0443817818465282,0.0482313722688169,0.0523437100239459,0.0567244113151362,0.0613770535671237,0.0663028485855285,0.0715003285176366,0.0769650586951094,0.0826893928019295,0.0886622864318121,0.09486918475376,0.1012919985137215,0.1079091798664488,0.1146959055694031,0.121624370030187,0.1286641848732805,0.1357828755025538,0.1429464590978064
PD22,pathway,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0013043478260869,0.0026086956521739,0.0039130434782608,0.0052173913043478,0.0065217391304347,0.0078260869565217,0.0091304347826086,0.0104347826086956,0.0117391304347826,0.0130434782608695,0.0143478260869565,0.0156521739130434,0.0169565217391304,0.0182608695652173,0.0195652173913043,0.0372445165424293,0.0409966231658087,0.0592040568999765,0.0774114906341442,0.095618924368312,0.1138263581024797,0.1320337918366475,0.1501029507251329,0.1681721096136184,0.1957274212036424,0.2232827327936664,0.2508380443836904,0.2695985775005874,0.3082906199050244,0.3469826623094613,0.3856747047138982,0.3918410153997309,0.3980073260855636,0.4699476174202782,0.5418879087549927,0.5564628249215062,0.5710377410880199,0.5856126572545334,0.6298979794527864,0.6741833016510392,0.6776794331532373,0.7382698274717995,0.8033255554848672,0.8730044695732648,0.947439200988602,1.0267314049457992,1.110945834066169,1.2001044224493025,1.2941806014549186,1.393094102056894,1.4967065232986507,1.6048179576180182,1.71716495755504,1.8334201013737093,1.9531933656447469,2.0760354411184627,2.201443036984327,2.32886611316668,2.457716868277432,2.587380201552744
