model,scenario,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0001203438947135,0.000240687789427,0.0003610316841406,0.0004813755788541,0.0006017194735676,0.0007220633682812,0.0008424072629947,0.0009627511577082,0.0010830950524218,0.0012034389471353,0.0013237828418488,0.0014441267365624,0.0015644706312759,0.0016848145259894,0.001805158420703,0.0019255023154165,0.00204584621013,0.0021661901048436,0.0021661901048436,0.0021661901048436,0.0021661901048436,0.0021661901048436,0.0021661901048436,0.0021661901048436,0.0021661901048436,0.002192110560685,0.0022882709021487,0.0023844312436125,0.0024805915850762,0.00257675192654,0.0026729122680038,0.0027690726094675,0.0028652329509313,0.002961393292395,0.0030575536338588,0.0031537139753226,0.0032498743167863,0.0033460346582501,0.0034421949997138,0.0035383553411776,0.0036345156826413,0.0037306760241051,0.0038268363655689,0.0039229967070326,0.0040191570484964,0.0041153173899601,0.0042114777314239,0.0043076380728876,0.0044037984143514,0.0044999587558152,0.0045961190972789,0.0046922794387427,0.0047884397802064,0.0048846001216702,0.004980760463134,0.0050769208045977,0.0051730811460615,0.0052692414875252,0.005365401828989,0.0054615621704527
PD22,baseline,Forests & Wetlands,Natural Regeneration,Emissions,CH4,Mha/yr,0.0,0.0029904306220095,0.0059808612440191,0.0089712918660287,0.0119617224880382,0.0149521531100478,0.0179425837320574,0.0209330143540669,0.0239234449760765,0.0269138755980861,0.0299043062200956,0.0328947368421052,0.0358851674641148,0.0388755980861244,0.0418660287081339,0.0448564593301435,0.0478468899521531,0.0508373205741626,0.0538277511961722,0.0568181818181818,0.0598086124401913,0.0627990430622009,0.0657894736842105,0.0687799043061758,0.0717703349281819,0.074760765550188,0.0777511961721941,0.0807416267942002,0.0837320574162063,0.0867224880382124,0.0897129186602185,0.0927033492822246,0.0956937799042307,0.0986842105262368,0.1016746411482429,0.104665071770249,0.1076555023922551,0.1106459330142612,0.1136363636362673,0.1166267942582734,0.1196172248802796,0.1226076555022857,0.1255980861242918,0.1285885167462979,0.131578947368304,0.1345693779903101,0.1375598086123162,0.1405502392343223,0.1435406698563284,0.1465311004783345,0.1495215311003406,0.1525119617223467,0.1555023923443528,0.1584928229663589,0.161483253588365,0.1644736842103711,0.1674641148323772,0.1704545454543833,0.1734449760763894,0.1764354066983955,0.1794258373204016
PD22,baseline,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha/yr,0.0,0.422046783625731,0.844093567251462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PD22,baseline,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.0024995484686637,0.0049990969373274,0.0074986454059911,0.0099981938746549,0.0124977423433186,0.0149972908119823,0.017496839280646,0.0199963877493098,0.0224959362179735,0.0249954846866372,0.0274950331553009,0.0299945816239647,0.0324941300926284,0.0349936785612921,0.0374932270299558,0.0399927754986196,0.0424923239672833,0.044991872435947,0.0474914209046107,0.0499909693732745,0.0524905178419382,0.0549900663106019,0.0574896147792656,0.0599891632479294,0.0624887117165826,0.0649882601852454,0.0674878086539081,0.0699873571225708,0.0724869055912336,0.0749864540598963,0.077486002528559,0.0799855509972218,0.0824850994658845,0.0849846479345473,0.08748419640321,0.0899837448718727,0.0924832933405355,0.0949828418091982,0.0974823902778609,0.0999819387465237,0.1024814872151864,0.1049810356838492,0.1074805841525119,0.1099801326211746,0.1124796810898374,0.1149792295585001,0.1174787780271628,0.1199783264958256,0.1224778749644883,0.1249774234331511,0.1274769719018138,0.1299765203704765,0.1324760688391393,0.134975617307802,0.1374751657764648,0.1399747142451275,0.1424742627137902,0.144973811182453,0.1474733596511157,0.1499729081197784
PD22,baseline,Agriculture,Silvopasture,Emissions,CO2,Mha,0.0,0.0009178340556027,0.0018356681112054,0.0027535021668082,0.0036713362224109,0.0045891702780137,0.0055070043336164,0.0064248383892192,0.0073426724448219,0.0082605065004247,0.0091783405560274,0.0100961746116302,0.0110140086672329,0.0119318427228357,0.0128496767784384,0.0137675108340412,0.0146853448896439,0.0156031789452466,0.0165210130008494,0.0174388470564521,0.0183566811120549,0.0192745151676576,0.0201923492232604,0.0211101832788631,0.0220280173344659,0.0229458513900198,0.0238636854456189,0.0247815195012179,0.025699353556817,0.0266171876124161,0.0275350216680152,0.0284528557236143,0.0293706897792134,0.0302885238348125,0.0312063578904115,0.0321241919460106,0.0330420260016097,0.0339598600572088,0.0348776941128079,0.035795528168407,0.0367133622240061,0.0376311962796052,0.0385490303352042,0.0394668643908033,0.0403846984464024,0.0413025325020015,0.0422203665576006,0.0431382006131997,0.0440560346687988,0.0449738687243979,0.0458917027799969,0.046809536835596,0.0477273708911951,0.0486452049467942,0.0495630390023933,0.0504808730579924,0.0513987071135915,0.0523165411691906,0.0532343752247896,0.0541522092803887,0.0550700433359878
PD22,baseline,Agriculture,Trees in Croplands,Emissions,CO2,Mha,0.0,0.0006335070952794,0.0012670141905589,0.0019005212858384,0.0025340283811178,0.0031675354763973,0.0038010425716768,0.0044345496669562,0.0050680567622357,0.0057015638575152,0.0063350709527946,0.0069685780480741,0.0076020851433536,0.008235592238633,0.0088690993339125,0.009502606429192,0.0101361135244714,0.0107696206197509,0.0114031277150304,0.0120366348103098,0.0126701419055893,0.0133036490008688,0.0139371560961482,0.0145706631914277,0.0152041702867072,0.0152041702867222,0.0158376773820023,0.0164711844772824,0.0171046915725625,0.0177381986678426,0.0183717057631227,0.0190052128584028,0.0196387199536829,0.020272227048963,0.0209057341442431,0.0215392412395232,0.0221727483348033,0.0228062554300834,0.0234397625253635,0.0240732696206436,0.0247067767159236,0.0253402838112037,0.0259737909064838,0.0266072980017639,0.027240805097044,0.0278743121923241,0.0285078192876042,0.0291413263828843,0.0297748334781644,0.0304083405734445,0.0310418476687246,0.0316753547640047,0.0323088618592848,0.0329423689545649,0.033575876049845,0.0342093831451251,0.0348428902404052,0.0354763973356853,0.0361099044309654,0.0367434115262454,0.0373769186215255
PD22,pathway,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0003960429170493,0.0007920858340986,0.0007920858340986,0.0007920858340986,0.0007920858340986,0.0007920858340986,0.0007920858340986,0.0009962002605779,0.0012003146870572,0.0014044291135365,0.0016085435400158,0.001812657966495,0.0021185249578162,0.0024243919491374,0.0027302589404586,0.0030361259317798,0.003341992923101,0.0048262399168428,0.0063104869105847,0.0077947339043265,0.0092789808980684,0.0107632278918103,0.0122362028948361,0.0137091778978619,0.0159554520837931,0.0182017262697243,0.0204480004556554,0.0219773354122614,0.0251314618234287,0.0282855882345961,0.0314397146457634,0.0319423845020184,0.0324450543582733,0.0383095360145809,0.0441740176708886,0.0453621464220366,0.0465502751731846,0.0477384039243327,0.0513484874374363,0.05495857095054,0.0552435711733954,0.0601828235650269,0.0654860843176877,0.0711662213580232,0.0772340466180912,0.0836978469025752,0.0905629007633525,0.0978309962405091,0.1054999674920576,0.1135632710884046,0.1220096247584333,0.1308227322902497,0.139981117779772,0.1494580902207636,0.1592218553960463,0.1692357861832676,0.179458854951438,0.1898462231285405,0.2003499738880785,0.2109199649929357
PD22,pathway,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0005555555555555,0.0011111111111111,0.0016666666666666,0.0022222222222222,0.0027777777777777,0.0033333333333333,0.0038888888888888,0.0044444444444444,0.0129495973856767,0.0151516862812106,0.0173537751767444,0.0195558640722783,0.022855710715735,0.0261555573591917,0.0294554040026484,0.0327552506461052,0.0360550972895619,0.0520678989299216,0.0680807005702812,0.0840935022106409,0.1001063038510006,0.1161191054913603,0.132010299237489,0.1479014929836177,0.1721354265006372,0.1963693600176566,0.2206032935346761,0.2371025267519596,0.2711308258043387,0.3051591248567177,0.3391874239090967,0.3446104786518293,0.350033533394562,0.4133025053931096,0.4765714773916572,0.4893896067835707,0.5022077361754843,0.5150258655673978,0.5539732587197506,0.5929206518721032,0.5959953773425166,0.6492825115811881,0.7064967507459069,0.7677769204888494,0.8332396653604964,0.902974387569638,0.9770380347836892,1.055449897276668,1.138186608857992,1.2251775757244947,1.31630107907182,1.411381307185578,1.5101865672319228,1.6124289032370485,1.7177653032257734,1.825800615415837,1.936092213128812,2.048156355341422,2.161476091275825,2.275510461307288
PD22,pathway,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.0032291666666666,0.0064583333333333,0.0096875,0.0129166666666666,0.0161458333333333,0.019375,0.0226041666666666,0.0258333333333333,0.0290624999999999,0.0322916666666666,0.0355208333333333,0.03875,0.0419791666666666,0.0452083333333333,0.0484375,0.0516666666666666,0.0548958333333333,0.0581249999999999,0.0613541666666666,0.0645833333333333,0.0678125,0.0710416666666666,0.0742708333333333,0.0775,0.0807291666666531,0.0839583333333185,0.0871874999999839,0.0904166666666493,0.0936458333333147,0.09687499999998,0.1001041666666454,0.1033333333333108,0.0979569191994703,0.1156627473176844,0.1333685754358985,0.1369557302234847,0.140542885011071,0.1441300397986572,0.1550294716532462,0.1659289035078351,0.1667893657371106,0.1817017755635857,0.1977131860949305,0.2148624477037398,0.2331822033790887,0.2526974723380156,0.2734241913909211,0.2953677589229113,0.3185216359032233,0.3428660666490067,0.368366988140734,0.3949751994526143,0.4226258613220088,0.4512383892409547,0.480716791274018,0.5109504841555584,0.5418155987655126,0.5731767601303145,0.6048892995232733,0.6368018293395039
