model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,turkey,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0673204483307834,0.0753154715202438,0.0842578959113037,0.0942594610743576,0.1054449532074639,0.1179536951894217,0.1319411984229531,0.1475809918957187,0.1650666447934024,0.1846139997921945,0.2064636347764165,0.2308835710846767,0.258172246386009,0.2886617697898566,0.322721475639375,0.3607617904263023,0.4032384241445856,0.4506568928758815,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999,0.4637999999999999
PD22,baseline,turkey,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,turkey,Agriculture,AFOLU,Cropland Soil Health,Cropland Soil Health,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045
PD22,baseline,turkey,Agriculture,AFOLU,Improved Rice,Improved Rice,Emissions,CH4,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,turkey,Agriculture,AFOLU,Nitrogen Fertilizer Management,Nitrogen Fertilizer Management,Emissions,N2O,N2O,Percent adoption,0.5115779245101868,0.560362833315026,0.6125666303977584,0.6681971291223704,0.7272172285481123,0.7895399237854436,0.8550243535819692,0.9234732622173044,0.994632225203666,1.0681909237921543,1.1437866513638262,1.2210101000396825,1.2994133183696503,1.3785195657231264,1.457834634126091,1.5368590824310386,1.6151007469965226,1.6920868682348036,1.7673752068198016,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998,1.7754743999999998
PD22,baseline,turkey,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.018433292166803,0.0206213574013059,0.0230684330407934,0.0258049990693981,0.0288650770715738,0.0322866303799477,0.0361120065670009,0.0403884260275611,0.045168520534385,0.0505109257273503,0.0564809314963526,0.0631511941091448,0.0706025136828076,0.0789246801575406,0.0882173902486592,0.0985912368629458,0.1101687710890107,0.1230856350157264,0.1374917611887055,0.1535526313575052,0.1714505831541378,0.1913861483216718,0.2135793999149675,0.2382712783557989,0.2657248571826244,0.296226498658391,0.3300868370054303,0.3676415129272608,0.4092515673835601,0.4553033856226233,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989
PD22,baseline,turkey,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,turkey,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,turkey,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,turkey,Forests & Wetlands,AFOLU,Coastal Restoration,Coastal Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
