model,scenario,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.000125126816028,0.000250253632056,0.0003753804480841,0.0005005072641121,0.0006256340801402,0.0007507608961682,0.0008758877121963,0.0010010145282243,0.0011261413442523,0.0012512681602804,0.0013763949763084,0.0015015217923365,0.0016266486083645,0.0017517754243926,0.0018769022404206,0.0020020290564487,0.0021271558724767,0.0022522826885047,0.0049550219147105,0.0076577611409163,0.010360500367122,0.0130632395933278,0.0157659788195335,0.0157659788195335,0.0157659788195335,0.0159833982367274,0.0163732238296461,0.0167630494225647,0.0171528750154834,0.0175427006084021,0.0179325262013207,0.0183223517942394,0.0187121773871581,0.0191020029800768,0.0194918285729954,0.0198816541659141,0.0202714797588328,0.0206613053517514,0.0210511309446701,0.0214409565375888,0.0218307821305074,0.0222206077234261,0.0226104333163448,0.0230002589092634,0.0233900845021821,0.0237799100951008,0.0241697356880195,0.0245595612809381,0.0249493868738568,0.0253392124667755,0.0257290380596941,0.0261188636526128,0.0265086892455315,0.0268985148384501,0.0272883404313688,0.0276781660242875,0.0280679916172061,0.0284578172101248,0.0288476428030435,0.0292374683959621
PD22,baseline,Forests & Wetlands,Improved Forest Mgmt,Emissions,CH4,m3/yr,0.0,0.002,0.004,0.006,0.008,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.042,0.044,0.046,0.048,0.05,0.05,0.05,0.05,0.05,0.05,0.051050283752005,0.0528849862902376,0.0547196888284702,0.0565543913667028,0.0583890939049354,0.060223796443168,0.0620584989814005,0.0638932015196331,0.0657279040578657,0.0675626065960983,0.0693973091343309,0.0712320116725635,0.0730667142107961,0.0749014167490287,0.0767361192872613,0.0785708218254939,0.0804055243637265,0.082240226901959,0.0840749294401916,0.0859096319784242,0.0877443345166568,0.0895790370548894,0.091413739593122,0.0932484421313546,0.0950831446695872,0.0969178472078198,0.0987525497460524,0.100587252284285,0.1024219548225175,0.1042566573607501
PD22,baseline,Agriculture,Improved Rice,Emissions,CH4,Mha/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Natural Regeneration,Emissions,CH4,Mha/yr,0.0,0.0056051817355891,0.0112103634711783,0.0168155452067675,0.0224207269423566,0.0280259086779458,0.033631090413535,0.0392362721491242,0.0448414538847133,0.0504466356203025,0.0560518173558917,0.0616569990914808,0.06726218082707,0.0728673625626592,0.0784725442982484,0.0840777260338375,0.0896829077694267,0.0952880895050159,0.1008932712406051,0.1064984529761942,0.1121036347117834,0.1177088164473726,0.1233139981829617,0.1233139981829651,0.1289191799185545,0.1345243616541438,0.1401295433897331,0.1457347251253224,0.1513399068609118,0.1569450885965011,0.1625502703320904,0.1681554520676798,0.1737606338032691,0.1793658155388584,0.1849709972744477,0.1905761790100371,0.1961813607456264,0.2017865424812157,0.207391724216805,0.2129969059523944,0.2186020876879837,0.224207269423573,0.2298124511591623,0.2354176328947517,0.241022814630341,0.2466279963659303,0.2522331781015197,0.257838359837109,0.2634435415726983,0.2690487233082876,0.274653905043877,0.2802590867794663,0.2858642685150556,0.2914694502506449,0.2970746319862343,0.3026798137218236,0.3082849954574129,0.3138901771930023,0.3194953589285916,0.3251005406641809,0.3307057223997702
PD22,baseline,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.0024992884588017,0.0049985769176035,0.0074978653764052,0.009997153835207,0.0124964422940088,0.0149957307528105,0.0174950192116123,0.0199943076704141,0.0224935961292158,0.0249928845880176,0.0274921730468194,0.0299914615056211,0.0324907499644229,0.0349900384232247,0.0374893268820264,0.0399886153408282,0.04248790379963,0.0449871922584317,0.0474864807172335,0.0499857691760353,0.052485057634837,0.0549843460936388,0.0574836345524405,0.0599829230112423,0.0624822114700265,0.0649814999288267,0.0674807883876269,0.0699800768464271,0.0724793653052273,0.0749786537640275,0.0774779422228277,0.0799772306816279,0.0824765191404282,0.0849758075992284,0.0874750960580286,0.0899743845168288,0.092473672975629,0.0949729614344292,0.0974722498932294,0.0999715383520296,0.1024708268108298,0.10497011526963,0.1074694037284302,0.1099686921872304,0.1124679806460307,0.1149672691048309,0.1174665575636311,0.1199658460224313,0.1224651344812315,0.1249644229400317,0.1274637113988319,0.1299629998576321,0.1324622883164323,0.1349615767752325,0.1374608652340327,0.139960153692833,0.1424594421516332,0.1449587306104334,0.1474580190692336,0.1499573075280338
PD22,baseline,Forests & Wetlands,Peat Restoration,Emissions,CH4,Mha/yr,0.0,0.006951724137931,0.0144,0.0224,0.0310153846153846,0.04032,0.0504,0.0613565217391304,0.0733090909090909,0.0864,0.1008,0.1167157894736842,0.1344,0.1541647058823529,0.1764,0.2016,0.2304,0.2636307692307692,0.3023999999999999,0.3482181818181818,0.4032,0.4703999999999999,0.5544,0.6624,0.8063999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PD22,baseline,Agriculture,Silvopasture,Emissions,CO2,Mha,0.0,0.012470350216269,0.024940700432538,0.037411050648807,0.049881400865076,0.062351751081345,0.074822101297614,0.087292451513883,0.099762801730152,0.1122331519464211,0.12470350216269,0.1371738523789591,0.1496442025952281,0.1621145528114971,0.1745849030277661,0.1870552532440351,0.1995256034603041,0.2119959536765731,0.2244663038928422,0.2369366541091111,0.2494070043253801,0.2618773545416492,0.2743477047579182,0.2868180549741872,0.2992884051904562,0.3117587554067214,0.3242291056229902,0.3366994558392591,0.3491698060555279,0.3616401562717968,0.3741105064880656,0.3865808567043345,0.3990512069206033,0.4115215571368722,0.4239919073531411,0.4364622575694099,0.4489326077856788,0.4614029580019476,0.4738733082182165,0.4863436584344853,0.4988140086507542,0.5112843588670231,0.5237547090832919,0.5362250592995608,0.5486954095158296,0.5611657597320985,0.5736361099483673,0.5861064601646362,0.598576810380905,0.6110471605971739,0.6235175108134428,0.6359878610297116,0.6484582112459805,0.6609285614622493,0.6733989116785182,0.685869261894787,0.6983396121110559,0.7108099623273247,0.7232803125435936,0.7357506627598625,0.7482210129761313
PD22,baseline,Agriculture,Trees in Croplands,Emissions,CO2,Mha,0.0,0.0098599523241954,0.0197199046483909,0.0295798569725864,0.0394398092967818,0.0492997616209773,0.0591597139451728,0.0690196662693682,0.0788796185935637,0.0887395709177592,0.0985995232419547,0.1084594755661501,0.1183194278903456,0.1281793802145411,0.1380393325387365,0.147899284862932,0.1577592371871275,0.1676191895113229,0.1774791418355185,0.1873390941597139,0.1971990464839094,0.2070589988081049,0.2169189511323003,0.2267789034564958,0.2366388557806913,0.2464988081048389,0.2563587604290305,0.266218712753222,0.2760786650774136,0.2859386174016052,0.2957985697257967,0.3056585220499883,0.3155184743741799,0.3253784266983714,0.335238379022563,0.3450983313467546,0.3549582836709462,0.3648182359951377,0.3746781883193293,0.3845381406435209,0.3943980929677124,0.404258045291904,0.4141179976160956,0.4239779499402871,0.4338379022644787,0.4436978545886703,0.4535578069128618,0.4634177592370534,0.473277711561245,0.4831376638854365,0.4929976162096281,0.5028575685338197,0.5127175208580113,0.5225774731822028,0.5324374255063944,0.542297377830586,0.5521573301547775,0.5620172824789691,0.5718772348031607,0.5817371871273522,0.5915971394515438
PD22,pathway,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0099926098378863,0.0199852196757726,0.0199852196757726,0.0199852196757726,0.0199852196757726,0.0199852196757726,0.0199852196757726,0.0251352570537602,0.0302852944317477,0.0354353318097353,0.0405853691877229,0.0457354065657105,0.0534527760097396,0.0611701454537687,0.0688875148977979,0.076604884341827,0.0843222537858561,0.1217714808090732,0.1592207078322903,0.1966699348555074,0.2341191618787244,0.2715683889019415,0.3087332108759264,0.3458980328499114,0.4025740660842821,0.4592500993186527,0.5159261325530234,0.554512979773169,0.6340951494051561,0.713677319037143,0.7932594886691301,0.8059424165402934,0.818625344411457,0.9665928362416968,1.1145603280719367,1.1445381575855955,1.1745159870992543,1.2044938166129135,1.2955802985967235,1.3866667805805335,1.393857657902423,1.5184805710153235,1.6522878259581295,1.7956040950450165,1.9487021755259648,2.111791152837025,2.285004210800325,2.468386463685517,2.6618832648545245,2.8653295161926904,3.078440553264665,3.300805204249713,3.5318816078465325,3.770996319839804,4.017347136241821,4.270009913412085,4.527949477910039,4.790034501951333,5.055055989916455,5.321748796563991
