model,scenario,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Coastal Restoration,Emissions,CH4,Mha/yr,0.0,0.0003311258278145,0.0006622516556291,0.0009933774834437,0.0013245033112582,0.0016556291390728,0.0019867549668874,0.0023178807947019,0.0026490066225165,0.0029801324503311,0.0033112582781456,0.0036423841059602,0.0039735099337748,0.0043046357615894,0.0046357615894039,0.0049668874172185,0.0052980132450331,0.0056291390728476,0.0059602649006622,0.0062913907284768,0.0066225165562913,0.0069536423841059,0.0072847682119205,0.007615894039735,0.0079470198675496,0.0082781456953642,0.0135761589403973,0.013735743135399,0.0140879398183457,0.0144401365012925,0.0147923331842392,0.0151445298671859,0.0154967265501326,0.0158489232330794,0.0162011199160261,0.0165533165989728,0.0169055132819195,0.0172577099648663,0.017609906647813,0.0179621033307597,0.0183143000137064,0.0186664966966532,0.0190186933795999,0.0193708900625466,0.0197230867454933,0.0200752834284401,0.0204274801113868,0.0207796767943335,0.0211318734772802,0.021484070160227,0.0218362668431737,0.0221884635261204,0.0225406602090671,0.0228928568920139,0.0232450535749606,0.0235972502579073,0.0239494469408541,0.0243016436238008,0.0246538403067475,0.0250060369896942,0.025358233672641
PD22,baseline,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.0016115671846243,0.0032231343692487,0.004834701553873,0.0064462687384974,0.0080578359231217,0.0096694031077461,0.0112809702923705,0.0128925374769948,0.0145041046616192,0.0161156718462435,0.0177272390308679,0.0193388062154923,0.0209503734001166,0.022561940584741,0.0241735077693653,0.0257850749539897,0.0273966421386141,0.0290082093232384,0.0290082093232384,0.0290082093232384,0.0290082093232384,0.0290082093232384,0.0290082093232384,0.0290082093232384,0.0290082093232384,0.0293528588880533,0.0306407534807675,0.0319286480734817,0.0332165426661958,0.03450443725891,0.0357923318516242,0.0370802264443383,0.0383681210370525,0.0396560156297667,0.0409439102224808,0.042231804815195,0.0435196994079092,0.0448075940006233,0.0460954885933375,0.0473833831860517,0.0486712777787659,0.04995917237148,0.0512470669641942,0.0525349615569084,0.0538228561496225,0.0551107507423367,0.0563986453350509,0.057686539927765,0.0589744345204792,0.0602623291131934,0.0615502237059075,0.0628381182986217,0.0641260128913359,0.06541390748405,0.0667018020767642,0.0679896966694784,0.0692775912621925,0.0705654858549067,0.0718533804476209,0.073141275040335
PD22,baseline,Forests & Wetlands,Improved Forest Mgmt,Emissions,CH4,m3/yr,0.0,0.0022222222222222,0.005,0.0085714285714285,0.0133333333333333,0.02,0.03,0.0466666666666666,0.08,0.18,0.1890256704370756,0.1995253763228248,0.210025082208574,0.2205247880943233,0.2310244939800725,0.2415241998658217,0.2520239057515709,0.2625236116373202,0.2730233175230694,0.2835230234088186,0.2940227292945678,0.3045224351803171,0.3150221410660663,0.3255218469518155,0.3360215528375647,0.3465212587233139,0.3570209646090632,0.3675206704948124,0.3780203763805616,0.3885200822663108,0.3990197881520601,0.4095194940378093,0.4200191999235585,0.4305189058093077,0.4410186116950569,0.4515183175808062,0.4620180234665554,0.4725177293523046,0.4830174352380538,0.493517141123803,0.5040168470095523,0.5145165528953015,0.5250162587810507,0.5355159646668,0.5460156705525492,0.5565153764382984,0.5670150823240476,0.5775147882097968,0.5880144940955461,0.5985141999812953,0.6090139058670445,0.6195136117527937,0.630013317638543,0.6405130235242922,0.6510127294100414,0.6615124352957906,0.6720121411815398,0.6825118470672891,0.6930115529530383,0.7035112588387875,0.7140109647245367
PD22,baseline,Agriculture,Improved Rice,Emissions,CH4,Mha/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Natural Regeneration,Emissions,CH4,Mha/yr,0.0,0.0014485389474961,0.0028970778949923,0.0043456168424884,0.0057941557899846,0.0072426947374807,0.0086912336849769,0.010139772632473,0.0115883115799692,0.0130368505274653,0.0144853894749615,0.0159339284224576,0.0173824673699538,0.0188310063174499,0.0202795452649461,0.0217280842124422,0.0231766231599384,0.0246251621074345,0.0260737010549307,0.0275222400024268,0.028970778949923,0.0304193178974191,0.0318678568449153,0.0333163957923687,0.0347649347398615,0.0362134736873542,0.037662012634847,0.0391105515823397,0.0405590905298325,0.0420076294773252,0.043456168424818,0.0449047073723107,0.0463532463198035,0.0478017852672962,0.049250324214789,0.0506988631622817,0.0521474021097745,0.0535959410572672,0.05504448000476,0.0564930189522527,0.0579415578997455,0.0593900968472382,0.060838635794731,0.0622871747422237,0.0637357136897165,0.0651842526372092,0.066632791584702,0.0680813305321947,0.0695298694796875,0.0709784084271802,0.072426947374673,0.0738754863221657,0.0753240252696585,0.0767725642171512,0.078221103164644,0.0796696421121367,0.0811181810596295,0.0825667200071222,0.084015258954615,0.0854637979021077,0.0869123368496005
PD22,baseline,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha/yr,0.0,0.0038228636106395,0.007645727221279,0.0114685908319185,0.015291454442558,0.0191143180531975,0.022937181663837,0.0267600452744765,0.030582908885116,0.0344057724957555,0.038228636106395,0.0420514997170345,0.045874363327674,0.0496972269383135,0.053520090548953,0.0573429541595925,0.061165817770232,0.0649886813808715,0.068811544991511,0.0726344086021505,0.0764572722127638,0.0802801358234006,0.0841029994340374,0.0879258630446742,0.0917487266553109,0.0955715902659477,0.0993944538765845,0.1032173174872213,0.107040181097858,0.1108630447084948,0.1146859083191316,0.1185087719297683,0.1223316355404051,0.1261544991510419,0.1299773627616787,0.1338002263723154,0.1376230899829522,0.141445953593589,0.1452688172042258,0.1490916808148625,0.1529145444254993,0.1567374080361361,0.1605602716467729,0.1643831352574096,0.1682059988680464,0.1720288624786832,0.1758517260893199,0.1796745896999567,0.1834974533105935,0.1873203169212303,0.191143180531867,0.1949660441425038,0.1987889077531406,0.2026117713637774,0.2064346349744141,0.2102574985850509,0.2140803621956877,0.2179032258063244,0.2217260894169612,0.225548953027598,0.2293718166382348
PD22,baseline,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.0024999202758909,0.0049998405517819,0.0074997608276729,0.0099996811035638,0.0124996013794548,0.0149995216553458,0.0174994419312368,0.0199993622071277,0.0224992824830187,0.0249992027589097,0.0274991230348007,0.0299990433106916,0.0324989635865826,0.0349988838624736,0.0374988041383646,0.0399987244142555,0.0424986446901465,0.0449985649660375,0.0474984852419285,0.0499984055178194,0.0524983257937104,0.0549982460696014,0.0574981663454923,0.0599980866213833,0.0624980068972291,0.0649979271731169,0.0674978474490046,0.0699977677248924,0.0724976880007801,0.0749976082766679,0.0774975285525556,0.0799974488284434,0.0824973691043311,0.0849972893802188,0.0874972096561066,0.0899971299319943,0.0924970502078821,0.0949969704837698,0.0974968907596576,0.0999968110355453,0.1024967313114331,0.1049966515873208,0.1074965718632086,0.1099964921390963,0.112496412414984,0.1149963326908718,0.1174962529667595,0.1199961732426473,0.122496093518535,0.1249960137944228,0.1274959340703105,0.1299958543461983,0.132495774622086,0.1349956948979738,0.1374956151738615,0.1399955354497493,0.142495455725637,0.1449953760015248,0.1474952962774125,0.1499952165533002
PD22,baseline,Forests & Wetlands,Peat Restoration,Emissions,CH4,Mha/yr,0.0,0.1706150254506487,0.3534168384334866,0.5497595264520904,0.7612054981644327,0.9895671476137624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PD22,baseline,Agriculture,Silvopasture,Emissions,CO2,Mha,0.0,0.0075234007196068,0.0150468014392136,0.0225702021588204,0.0300936028784272,0.037617003598034,0.0451404043176408,0.0526638050372476,0.0601872057568544,0.0677106064764613,0.0752340071960681,0.0827574079156749,0.0902808086352817,0.0978042093548885,0.1053276100744953,0.1128510107941021,0.1203744115137089,0.1278978122333157,0.1354212129529226,0.1429446136725294,0.1504680143921362,0.157991415111743,0.1655148158313498,0.1730382165509566,0.1805616172705634,0.1880850179901614,0.1956084187097673,0.2031318194293732,0.210655220148979,0.2181786208685849,0.2257020215881908,0.2332254223077967,0.2407488230274026,0.2482722237470085,0.2557956244666144,0.2633190251862203,0.2708424259058262,0.2783658266254321,0.2858892273450379,0.2934126280646438,0.3009360287842497,0.3084594295038556,0.3159828302234615,0.3235062309430674,0.3310296316626733,0.3385530323822792,0.3460764331018851,0.3535998338214909,0.3611232345410968,0.3686466352607027,0.3761700359803086,0.3836934366999145,0.3912168374195204,0.3987402381391263,0.4062636388587322,0.413787039578338,0.4213104402979439,0.4288338410175498,0.4363572417371557,0.4438806424567616,0.4514040431763675
