model,scenario,region,variable,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,historical,world,Concentration|CO2,PPM,353.98583333333335,355.3866666666667,356.17,356.83916666666664,358.7075,360.7241666666667,362.50666666666666,363.64166666666665,366.5183333333334,368.21,369.38166666666666,370.9308333333333,373.0158333333333,375.5675,377.3041666666666,379.5591666666666,381.76666666666665,383.5566666666667,385.4166666666667,387.33833333333337,389.9091666666666,391.6891666666666,393.94416666666666,396.645,398.6991666666667,400.8616666666667,404.2066666666667,406.51,408.5225,411.4191666666666,413.9433333333333,416.1075,417.5675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,historical,world,Concentration|CH4,PPM,1714.5166666666669,1725.0666666666666,1735.5,1736.5666666666666,1742.125,1748.8333333333333,1751.4916666666668,1754.6333333333332,1765.6666666666667,1772.4416666666666,1773.35,1771.275,1772.7416666666668,1777.325,1777.0083333333332,1774.1666666666667,1775.0083333333332,1781.4583333333333,1787.0916666666665,1793.5666666666666,1798.9416666666666,1803.175,1808.1,1813.4583333333333,1822.7416666666668,1834.35,1843.225,1849.725,1857.425,1866.675,1879.2833333333333,1895.7916666666667,1908.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,historical,world,Concentration|N2O,PPM,308.78,309.57,310.0,310.25,310.98,311.78,312.81,313.53,314.2,315.15,316.14,316.3666666666667,316.93333333333334,317.625,318.2583333333333,318.93333333333334,319.8333333333333,320.46666666666664,321.51666666666665,322.26666666666665,323.19166666666666,324.225,325.06666666666666,325.95,327.09166666666664,328.175,328.9583333333333,329.75,330.925,331.875,333.03333333333336,334.325,335.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,historical,world,Radiative forcing,W/m2,1.48920629327043,0.602592938596808,0.050660377916966,0.835134354779409,1.42788735055137,1.6601415266069,1.76736443409432,1.83892962795489,1.91567034664513,1.98547811716526,2.03778055501043,2.06484958906763,2.08934573079374,2.11539108706765,2.14295993888862,2.12386094123076,2.04967892808329,2.02521453148087,2.069290273384,2.11402636902778,2.15948900943732,2.20815733587996,2.2551476276713,2.30032333815626,2.34367678388143,2.38582734893548,2.42657923078704,2.4660573062258,2.50438590907997,2.54167717760516,2.57803030811743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,historical,world,Temperature change,F,0.603,0.618,0.633,0.647,0.659,0.671,0.683,0.695,0.708,0.722,0.735,0.749,0.763,0.777,0.792,0.808,0.825,0.841,0.859,0.876,0.892,0.909,0.927,0.946,0.966,0.987,1.009,1.033,1.056,1.079,1.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,world,Concentration|CO2,PPM,278.0008405573164,278.00145160487057,278.00198241579153,278.00247222841006,278.00293850697744,278.0033893453011,278.0038188898837,278.00426294123184,278.00466408151914,278.0050555178934,278.00544434639323,278.00579926762214,278.00616821540956,278.006537173524,278.0069298653891,278.0073181704443,278.00772159488344,278.0081140541796,278.0084986455189,278.00887253055095,278.00926206275,278.0096386893189,278.010010326308,278.01038782207735,278.0107656090859,278.01113596185087,278.0114736293676,278.01181576767976,278.0121710539476,278.0125219576935,278.01281864626236,278.01269015464925,278.0127218446953,278.0127739973471,278.01283396119265,278.0128961403089,278.0129492354627,278.01299244227926,278.0130237295609,278.0130405803658,278.01304027332105,278.01302019117514,278.0129768333492,278.0129061843205,278.01280312442196,278.01266195227646,278.01248821988935,278.01228729009676,278.01206871696587,278.01183892217233,278.011597701205,278.01134527208,278.0110823374764,278.0108098796482,278.0105290651422,278.01024113751595,278.0099473249089,278.0096488705912,278.00934691842036,278.00904224075117,278.0087357644528
PD22,pathway,world,Concentration|CH4,PPM,722.0,758.2285266946045,792.331189950335,823.4202163522598,851.4323960743798,877.0765818480087,901.1366394970017,925.2236281627347,947.1430380063533,964.2483346095586,978.0083640863963,989.4754435756498,1000.4072272389309,1012.4012748826892,1026.6978229811236,1042.0638166717872,1057.5246415980105,1072.3632682814632,1085.3287592117329,1097.500160031142,1109.4299276961315,1121.661014335046,1134.0837776651433,1145.6778611595971,1156.7603901882696,1167.7131376256502,1176.4929968504025,1183.383295713653,1190.405995304195,1197.874606907866,1202.2130233654548,1204.0471955880348,1207.2785219878501,1211.7318653357238,1217.2854648328582,1223.815561579082,1230.868225073543,1237.9707085227817,1244.9157863220832,1251.3108381606303,1256.5013638451583,1259.5987812042163,1259.2574817892448,1253.3927732104419,1238.9777723947404,1212.0394260738822,1172.2283627733168,1124.4876678361725,1074.016243651691,1024.7190029547398,978.8967372674786,937.0152889560381,899.0251460236183,864.7335861323486,833.8438099829084,806.1066137683199,781.2699902901946,759.0781169153904,739.287732628281,721.6684542371264,706.0098927393427
PD22,pathway,world,Concentration|N2O,PPM,273.0,270.7531030463085,268.52469914390934,266.3146360087718,264.12276262953407,261.9489293568853,259.7929876744236,257.6547902663006,255.53419112091555,253.43104537086515,251.34520931239635,249.2765405309454,247.22489781846977,245.19014104880804,243.17213127991593,241.17073064712275,239.18580238470756,237.21721098747187,235.2648219304267,233.32850179602448,231.4081184429657,229.50354074382008,227.61463855865136,225.7412828052806,223.8833455479607,222.04069993280768,220.2132200858121,218.40078121308383,216.60325947602763,214.82053207372508,213.05247724501706,211.29897421390837,209.5599032422516,207.83514554634888,206.12458332332037,204.4280997397113,202.74557891748876,201.07690593072152,199.421966802136,197.7806484878374,196.15283886814385,194.53842673614406,192.93730179113015,191.34935463111083,189.77447673874147,188.21256047403963,186.66349913808614,185.12718697938507,183.60351914220595,182.0923916452513,180.59370132804034,179.1073458420265,177.63322367090805,176.17123413197484,174.72127737060237,173.2832543540405,171.85706686428435,170.44261749133167,169.0398096266587,167.64854745667955,166.2687359562903
PD22,pathway,world,Concentration|CF4,PPM,34.497,34.49631006759129,34.49562014905792,34.49493024458275,34.494240353945706,34.49355047689114,34.49286061361977,34.49217076417877,34.49148092853589,34.49079110670025,34.490101298673885,34.48941150439789,34.48872172391329,34.488031957234654,34.48734220434222,34.48665246521937,34.4859627396918,34.48527302785936,34.48458332981693,34.48389364545118,34.483203974820505,34.482514317987984,34.48182467493929,34.481135045670456,34.480445430212136,34.47975582857466,34.479066240742874,34.478376666719804,34.4776871064997,34.47699756007183,34.476308027424245,34.47561850855781,34.47492900348414,34.474239512203184,34.47355003471453,34.47286057101768,34.47217112111113,34.471481684992774,34.47079226266041,34.47010285411073,34.46941345933908,34.468724078339264,34.46803471110305,34.467345357619685,34.466656017875025,34.46596669185253,34.465277379542464,34.4645880809526,34.46389879610732,34.4632095250318,34.46252026773767,34.46183102422719,34.46114179450075,34.46045257855828,34.45976337639965,34.45907418802468,34.45838501343314,34.45769585262476,34.4570067055993,34.45631757235656,34.45562845289634
PD22,pathway,world,Concentration|C2F6,PPM,0.0,1.0203510601841253e-10,1.8835130112031856e-10,2.7011508624946636e-10,3.573879715534536e-10,4.4962167476209284e-10,5.478040292162796e-10,6.529639722904548e-10,7.614778489981959e-10,8.720693429513582e-10,9.80126844397263e-10,1.074758153154507e-09,1.1676491026754449e-09,1.2649059783712944e-09,1.3674984996770075e-09,1.475039566157382e-09,1.5808946316543088e-09,1.6841932818608287e-09,1.7693054410046877e-09,1.8314590705888389e-09,1.888971437377545e-09,1.9487446583261154e-09,2.004248540873237e-09,2.0544090220687153e-09,2.103043286929554e-09,2.151210909922517e-09,2.1988345369105333e-09,2.245834748812556e-09,2.2904981550436773e-09,2.3349165403295967e-09,2.378019997634543e-09,2.419954759857808e-09,2.4620358270531643e-09,2.5041161754629567e-09,2.546182771103444e-09,2.5882170012362585e-09,2.630184572514129e-09,2.671979109621921e-09,2.7133980804311893e-09,2.7541428818689056e-09,2.7937709502295156e-09,2.831653364891807e-09,2.8668947303244752e-09,2.8982151845113115e-09,2.9237538967955093e-09,2.9419158988875575e-09,2.952979931859317e-09,2.958382905053043e-09,2.960347068175181e-09,2.961006808835832e-09,2.961210885678009e-09,2.9612668495182524e-09,2.9612370181360527e-09,2.9611452540229044e-09,2.961003302616984e-09,2.960820018556944e-09,2.960601361814381e-09,2.9603510802694333e-09,2.9600744730539127e-09,2.9597859308669747e-09,2.9594967578622138e-09
