model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,austria,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0070769970246561,0.0140847107107494,0.0210150019782923,0.0278587894996361,0.0346059440854172,0.0412451720994353,0.0477638869819791,0.054148067941839,0.0603821048758277,0.0664486285972689,0.0723283255092543,0.0779997359537544,0.0834390356149802,0.0886197995678398,0.0935127488551302,0.0980854798676965,0.1023021773096298,0.106123312176888,0.1095053269847694,0.1124003114696915,0.1147556731842725,0.1165138088182313,0.1176117837202167,0.1179810289648129,0.1179810289648129,0.1179810289648129,0.1179810289648129,0.1179810289648129,0.1179810289648129,0.1179810289648129
PD22,baseline,austria,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,austria,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0008353,0.0007931,0.0007312999999999,0.0007191,0.0007448,0.0007444,0.000811,0.0007891,0.0007479,0.0007595,0.0008244,0.000837,0.0008409,0.0008241,0.0008573,0.0008241,0.0007966,0.0008386,0.0009046999999999,0.0008745,0.0008702,0.0009149,0.000926,0.0008662,0.0009131,0.0008368,0.0008675,0.0008842,0.0008846,0.0008964999999999,0.0008853727272727,0.0008742454545454,0.0008631181818181,0.0008519909090909,0.0008408636363636,0.0008297363636363,0.000818609090909,0.0008074818181818,0.0007963545454545,0.0007852272727272,0.0007741,0.00077437,0.00077464,0.00077491,0.00077518,0.00077545,0.00077572,0.00077599,0.00077626,0.00077653,0.0007768,0.00077707,0.00077734,0.00077761,0.00077788,0.00077815,0.00077842,0.00077869,0.00077896,0.00077923,0.0007795
PD22,baseline,austria,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,2.17e-05,2.06e-05,1.9e-05,1.86e-05,1.93e-05,1.93e-05,2.1e-05,2.05e-05,1.94e-05,1.97e-05,2.14e-05,2.17e-05,2.18e-05,2.14e-05,2.22e-05,2.14e-05,2.07e-05,2.17e-05,2.35e-05,2.2700000000000003e-05,2.26e-05,2.37e-05,2.4e-05,2.25e-05,2.37e-05,2.17e-05,2.25e-05,2.29e-05,2.29e-05,2.32e-05,2.2918181818181817e-05,2.2636363636363637e-05,2.2354545454545453e-05,2.2072727272727272e-05,2.179090909090909e-05,2.1509090909090907e-05,2.1227272727272727e-05,2.0945454545454543e-05,2.0663636363636365e-05,2.038181818181818e-05,2.01e-05,2.0105e-05,2.011e-05,2.0115e-05,2.012e-05,2.0125e-05,2.013e-05,2.0135e-05,2.014e-05,2.0145e-05,2.015e-05,2.0155e-05,2.016e-05,2.0165e-05,2.017e-05,2.0175e-05,2.018e-05,2.0185e-05,2.019e-05,2.0195e-05,2.02e-05
PD22,baseline,austria,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0010879,0.0010471999999999,0.0009435,0.0008927,0.0009382,0.0009079,0.0009088,0.001001,0.0009629,0.0009684,0.0008914,0.0009621,0.0009297,0.0008365,0.0010351,0.0009534,0.0008952,0.0009211,0.0010934999999999,0.0009877,0.0009397,0.0011023,0.0009271,0.0009108,0.0010945,0.0009628,0.0011075,0.0009519999999999,0.0009331,0.0010485,0.0010507727272727,0.0010530454545454,0.0010553181818181,0.0010575909090909,0.0010598636363636,0.0010621363636363,0.001064409090909,0.0010666818181818,0.0010689545454545,0.0010712272727272,0.0010735,0.001073895,0.00107429,0.001074685,0.00107508,0.001075475,0.00107587,0.001076265,0.00107666,0.001077055,0.00107745,0.001077845,0.00107824,0.0010786349999999,0.00107903,0.001079425,0.00107982,0.001080215,0.0010806099999999,0.001081005,0.0010814
PD22,baseline,austria,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0008171153333333,0.0016342306666666,0.0023812198501681,0.0031198808034216,0.0038492266405661,0.0045681540792216,0.005275429850119,0.0059696755545777,0.0066493508012951,0.0073127344378464,0.0079579036752751,0.0085827108863143,0.0091847578392942,0.0097613671109322,0.0103095504023465,0.0108259734642981,0.0113069173205275,0.0117482354630171,0.0121453066812163,0.0124929831801957,0.0127855336421691,0.0130165808941392,0.0131790338643721,0.0132650135453893,0.0132657727352546,0.0132657727352546,0.0132657727352546,0.0132657727352546,0.0132657727352546,0.0132657727352546
PD22,baseline,austria,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.2080662,0.2082867,0.2042151,0.195295,0.1910928,0.1808067,0.1806176,0.1774267,0.1725723,0.1711399,0.1696716,0.1687151,0.1658512,0.1613984,0.1585957,0.1583253,0.1557742,0.1547704,0.1552297,0.1548829,0.1568384,0.1560985,0.1535972,0.1523007,0.1527942,0.1530964,0.1528565999999999,0.1531071,0.1488756,0.1464205,0.1467409818181818,0.1470614636363636,0.1473819454545454,0.1477024272727272,0.1480229090909091,0.1483433909090909,0.1486638727272727,0.1489843545454545,0.1493048363636363,0.1496253181818181,0.1499458,0.1494130099999999,0.1488802199999999,0.14834743,0.14781464,0.14728185,0.14674906,0.1462162699999999,0.14568348,0.14515069,0.1446179,0.14408511,0.1435523199999999,0.14301953,0.14248674,0.14195395,0.14142116,0.1408883699999999,0.14035558,0.13982279,0.13929
PD22,baseline,austria,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,austria,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0539613,0.0532089,0.0522639,0.051622,0.0517067,0.048579,0.0482837,0.0476428999999999,0.0471554,0.0477446,0.0452416,0.0444934,0.0447006,0.0431464,0.0422130999999999,0.0414756,0.0414992999999999,0.0411559,0.0421095,0.04072,0.0414331,0.0413859,0.0403132999999999,0.0400455,0.0396477,0.0395662,0.0394864,0.0392383,0.038628,0.0382746,0.038522509090909,0.0387704181818181,0.0390183272727272,0.0392662363636363,0.0395141454545454,0.0397620545454545,0.0400099636363636,0.0402578727272727,0.0405057818181818,0.0407536909090909,0.0410016,0.04091643,0.04083126,0.04074609,0.04066092,0.04057575,0.04049058,0.04040541,0.04032024,0.04023507,0.0401499,0.04006473,0.03997956,0.03989439,0.03980922,0.03972405,0.03963888,0.03955371,0.03946854,0.03938337,0.0392982
PD22,baseline,austria,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0019967,0.0019837,0.0019485,0.0018845,0.0018626,0.001747,0.0017385,0.0017082,0.001678,0.0016766,0.0016365,0.0016145,0.0016023,0.0015529,0.001522,0.0015127,0.0015046,0.001488,0.0015027999999999,0.0014854,0.0015094,0.0015042,0.0014740999999999,0.001465,0.0014631,0.0014647,0.0014627,0.0014605,0.0014361999999999,0.0014169,0.0014209454545454,0.0014249909090909,0.0014290363636363,0.0014330818181818,0.0014371272727272,0.0014411727272727,0.0014452181818181,0.0014492636363636,0.001453309090909,0.0014573545454545,0.0014614,0.00145692,0.00145244,0.00144796,0.00144348,0.001439,0.00143452,0.00143004,0.00142556,0.00142108,0.0014166,0.00141212,0.00140764,0.0014031599999999,0.0013986799999999,0.0013942,0.0013897199999999,0.0013852399999999,0.00138076,0.00137628,0.0013717999999999
