model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,azerbaijan,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00552448,0.01104896,0.01657344,0.02209792,0.0276224,0.0324350002006678,0.0371630570620549,0.0417965522941169,0.0463242860171898,0.0507337388004803,0.0550109179439954,0.059140186293065,0.0631040717114641,0.0668830551664237,0.0704553351976978,0.0737965663552089,0.0768795689983553,0.079674007658652,0.0821460349812254,0.0842578980867347,0.0859675040426184,0.0872279410128903,0.0879869515838725,0.0881863547579578,0.0881863547579578,0.0881863547579578,0.0881863547579578,0.0881863547579578,0.0881863547579578,0.0881863547579578
PD22,baseline,azerbaijan,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,azerbaijan,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0002506999999999,0.0005013999999999,0.0005679999999999,0.0005179,0.0004834,0.0005178,0.0005969,0.0005769,0.000539,0.0006276,0.0007058,0.0007872,0.0007288,0.0007532,0.0007279,0.0006932,0.0006217,0.0007439,0.0009601,0.0007921,0.0007995,0.0008411,0.0008517,0.0007559,0.0006815,0.0007384,0.0007476,0.0008237,0.0008179999999999,0.0007932454545454,0.0007684909090909,0.0007437363636363,0.0007189818181818,0.0006942272727272,0.0006694727272727,0.0006447181818181,0.0006199636363636,0.000595209090909,0.0005704545454545,0.0005457,0.00054526,0.00054482,0.00054438,0.00054394,0.0005435,0.00054306,0.00054262,0.00054218,0.00054174,0.0005413,0.00054086,0.00054042,0.00053998,0.00053954,0.0005391,0.00053866,0.00053822,0.00053778,0.00053734,0.0005369
PD22,baseline,azerbaijan,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0,6.5e-06,1.3e-05,1.47e-05,1.34e-05,1.25e-05,1.34e-05,1.55e-05,1.5e-05,1.4e-05,1.63e-05,1.83e-05,2.04e-05,1.89e-05,1.95e-05,1.89e-05,1.8e-05,1.6100000000000002e-05,1.93e-05,2.49e-05,2.05e-05,2.07e-05,2.18e-05,2.21e-05,1.96e-05,1.77e-05,1.91e-05,1.94e-05,2.14e-05,2.12e-05,2.0554545454545456e-05,1.990909090909091e-05,1.9263636363636365e-05,1.8618181818181815e-05,1.7972727272727274e-05,1.7327272727272727e-05,1.6681818181818183e-05,1.6036363636363636e-05,1.5390909090909092e-05,1.4745454545454544e-05,1.41e-05,1.409e-05,1.408e-05,1.407e-05,1.406e-05,1.405e-05,1.404e-05,1.403e-05,1.402e-05,1.401e-05,1.4e-05,1.399e-05,1.398e-05,1.397e-05,1.396e-05,1.395e-05,1.394e-05,1.393e-05,1.392e-05,1.391e-05,1.39e-05
PD22,baseline,azerbaijan,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0,0.00017695,0.0003539,0.00032,0.0002881,0.0002597999999999,0.0002843,0.0003049,0.0002678,0.0002933,0.0004068999999999,0.0005208,0.0005672,0.0005329,0.0005624,0.0005597,0.0005451,0.0005254999999999,0.0006443,0.000768,0.0005396999999999,0.0006355,0.0007133,0.0007477,0.0006138,0.0007387,0.0007607,0.0007259,0.0008106,0.0008601,0.0008326363636363,0.0008051727272727,0.000777709090909,0.0007502454545454,0.0007227818181818,0.0006953181818181,0.0006678545454545,0.0006403909090909,0.0006129272727272,0.0005854636363636,0.000558,0.000559035,0.00056007,0.000561105,0.00056214,0.000563175,0.00056421,0.000565245,0.00056628,0.000567315,0.00056835,0.000569385,0.00057042,0.000571455,0.00057249,0.000573525,0.00057456,0.000575595,0.00057663,0.000577665,0.0005787
PD22,baseline,azerbaijan,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.1466000000000015e-05,2.2931999999999976e-05,3.439799999999999e-05,4.586400000000001e-05,5.733e-05,6.879599999999996e-05,8.026199999999997e-05,9.1728e-05,0.0001031939999999,0.0001146599999999,0.0001261259999999,0.000137592,0.0001490579999999,0.000160524,0.0001719899999999,0.0001834559999999,0.0001949219999999,0.0002063879999999,0.0002178539999999,0.0002293199999999,0.0002407859999999,0.0002522519999999,0.0002637179999999,0.0002637179999999,0.0002637179999999,0.0002637179999999,0.0002637179999999,0.0002637179999999,0.0002637179999999,0.0002637179999999
PD22,baseline,azerbaijan,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0502218,0.1004436,0.0954893,0.0897294,0.0906496,0.0932353,0.0986045,0.1027262999999999,0.1066456,0.1100727,0.1161965,0.1195937,0.1249371,0.128969,0.1329005,0.1382489,0.1416118999999999,0.1452511,0.1479325,0.1500204,0.1502239,0.1516537,0.1531477,0.154205,0.1543488999999999,0.1530588,0.1508969,0.1489306,0.1474804,0.1491225363636363,0.1507646727272727,0.1524068090909091,0.1540489454545454,0.1556910818181818,0.1573332181818182,0.1589753545454545,0.1606174909090909,0.1622596272727273,0.1639017636363636,0.1655439,0.16643447,0.16732504,0.16821561,0.16910618,0.16999675,0.17088732,0.17177789,0.17266846,0.17355903,0.1744496,0.17534017,0.17623074,0.17712131,0.17801188,0.17890245,0.17979302,0.18068359,0.18157416,0.18246473,0.1833553
PD22,baseline,azerbaijan,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,azerbaijan,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0021621,0.0043242,0.0040682,0.0038119,0.0038182,0.0039126,0.0040987,0.004226,0.0043505,0.0044757999999999,0.0047485999999999,0.0048046,0.0049893,0.0051302,0.0052735,0.0055229,0.0056421,0.0057762,0.0058495,0.0058791,0.0058756,0.0059162,0.0059704,0.0060374,0.0060046,0.0059074,0.0058285,0.0057195,0.0056612,0.0057587909090909,0.0058563818181818,0.0059539727272727,0.0060515636363636,0.0061491545454545,0.0062467454545454,0.0063443363636363,0.0064419272727272,0.0065395181818181,0.006637109090909,0.0067347,0.006776615,0.00681853,0.006860445,0.00690236,0.006944275,0.00698619,0.007028105,0.00707002,0.007111935,0.00715385,0.007195765,0.00723768,0.007279595,0.00732151,0.007363425,0.00740534,0.007447255,0.00748917,0.007531085,0.007573
PD22,baseline,azerbaijan,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0,7.105e-05,0.0001421,0.000108,9.39e-05,8.57e-05,8.42e-05,8.36e-05,8.51e-05,8.8e-05,8.78e-05,8.989999999999999e-05,9.26e-05,9.65e-05,0.0001004,0.0001033,0.0001055,0.0001071,0.0001101,0.0001121,0.0001105,0.0001109,0.0001128,0.0001152,0.00012,0.0001202,0.0001187,0.0001194999999999,0.0001178,0.0001185,0.0001201818181818,0.0001218636363636,0.0001235454545454,0.0001252272727272,0.000126909090909,0.0001285909090909,0.0001302727272727,0.0001319545454545,0.0001336363636363,0.0001353181818181,0.000137,0.000138175,0.00013935,0.000140525,0.0001417,0.000142875,0.00014405,0.000145225,0.0001464,0.000147575,0.00014875,0.000149925,0.0001511,0.000152275,0.00015345,0.000154625,0.0001558,0.000156975,0.00015815,0.000159325,0.0001605
