model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,bahrain,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bahrain,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0007504,0.0007244,0.0007319,0.0007141,0.00069,0.0006382,0.0006914,0.0006956,0.0007151999999999,0.0007482,0.0007133,0.0006837999999999,0.0009123,0.0007938,0.00074,0.0007312999999999,0.0007364,0.0007288,0.000627,0.0006439,0.0007446,0.0007446,0.0007483,0.0007641,0.0007643,0.0007451,0.0007673,0.0007574,0.0007771,0.000803,0.0007919454545454,0.0007808909090909,0.0007698363636363,0.0007587818181818,0.0007477272727272,0.0007366727272727,0.0007256181818181,0.0007145636363636,0.000703509090909,0.0006924545454545,0.0006814,0.0006874299999999,0.00069346,0.00069949,0.00070552,0.00071155,0.00071758,0.00072361,0.00072964,0.00073567,0.0007417,0.00074773,0.00075376,0.00075979,0.00076582,0.00077185,0.00077788,0.00078391,0.00078994,0.00079597,0.000802
PD22,baseline,bahrain,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,4.62e-05,4.63e-05,4.62e-05,4.62e-05,4.57e-05,4.31e-05,4.66e-05,4.7100000000000006e-05,4.26e-05,4.48e-05,4.47e-05,4.25e-05,5.28e-05,4.74e-05,4.45e-05,4.33e-05,4.35e-05,4.33e-05,3.95e-05,4.03e-05,4.53e-05,4.55e-05,4.59e-05,4.67e-05,4.67e-05,0.0001031,0.0001594,0.0002172,0.0002299,0.0002332,0.0002163636363636,0.0001995272727272,0.0001826909090909,0.0001658545454545,0.0001490181818181,0.0001321818181818,0.0001153454545454,9.85090909090909e-05,8.167272727272726e-05,6.483636363636362e-05,4.8e-05,4.8515e-05,4.903e-05,4.9545e-05,5.006e-05,5.0575e-05,5.109e-05,5.1605e-05,5.212e-05,5.2635e-05,5.315e-05,5.3665e-05,5.418e-05,5.4695e-05,5.521e-05,5.5725e-05,5.624e-05,5.6755e-05,5.727e-05,5.7785e-05,5.83e-05
PD22,baseline,bahrain,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8.000000000000001e-07,8.000000000000001e-07,8.000000000000001e-07,8.000000000000001e-07,9e-07,8.000000000000001e-07,7e-07,7e-07,8.000000000000001e-07,8.000000000000001e-07,7e-07,8.000000000000001e-07,8.000000000000001e-07,8.000000000000001e-07,8.000000000000001e-07,9e-07,8.000000000000001e-07,3.3e-06,5.7000000000000005e-06,7.8e-06,8.7e-06,8.8e-06,8.090909090909092e-06,7.381818181818182e-06,6.672727272727274e-06,5.963636363636364e-06,5.254545454545456e-06,4.545454545454546e-06,3.836363636363637e-06,3.127272727272728e-06,2.418181818181819e-06,1.7090909090909095e-06,1e-06,1.015e-06,1.03e-06,1.045e-06,1.06e-06,1.075e-06,1.09e-06,1.105e-06,1.12e-06,1.135e-06,1.15e-06,1.165e-06,1.18e-06,1.195e-06,1.21e-06,1.225e-06,1.24e-06,1.255e-06,1.27e-06,1.285e-06,1.3e-06
PD22,baseline,bahrain,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,N2O,AFOLU,Mt,2.4e-06,2.4e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.6e-06,2.6e-06,2.1e-06,2.1e-06,2e-06,1.9e-06,2.1e-06,2e-06,1.9e-06,1.8e-06,1.9e-06,2e-06,1.9e-06,2e-06,2.1e-06,2.1e-06,2.2e-06,2.2e-06,2.2e-06,9.3e-06,1.6e-05,2.21e-05,2.4500000000000003e-05,2.48e-05,2.279090909090909e-05,2.078181818181818e-05,1.8772727272727277e-05,1.6763636363636362e-05,1.4754545454545454e-05,1.2745454545454548e-05,1.0736363636363636e-05,8.727272727272728e-06,6.71818181818182e-06,4.709090909090909e-06,2.7000000000000004e-06,2.7350000000000005e-06,2.770000000000001e-06,2.805e-06,2.8400000000000003e-06,2.8750000000000004e-06,2.91e-06,2.945e-06,2.9800000000000003e-06,3.0150000000000004e-06,3.0500000000000004e-06,3.085e-06,3.12e-06,3.1550000000000003e-06,3.19e-06,3.225e-06,3.26e-06,3.295e-06,3.3300000000000003e-06,3.365e-06,3.4e-06
PD22,baseline,bahrain,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,N2O,AFOLU,Mt,4.61e-05,4.5e-05,4.56e-05,4.48e-05,4.3700000000000005e-05,4.12e-05,4.4e-05,4.45e-05,4.29e-05,4.46e-05,4.3200000000000007e-05,4.13e-05,5.34e-05,4.7600000000000005e-05,4.5100000000000005e-05,4.45e-05,4.5e-05,4.46e-05,3.93e-05,4.03e-05,4.5400000000000006e-05,4.55e-05,4.58e-05,4.66e-05,4.65e-05,7.560000000000001e-05,0.0001051,0.0001303,0.0001416,0.000144,0.0001349454545454,0.0001258909090909,0.0001168363636363,0.0001077818181818,9.872727272727274e-05,8.967272727272728e-05,8.061818181818181e-05,7.156363636363637e-05,6.250909090909092e-05,5.3454545454545457e-05,4.44e-05,4.482e-05,4.524e-05,4.566e-05,4.608e-05,4.6500000000000005e-05,4.6920000000000005e-05,4.734e-05,4.776e-05,4.818e-05,4.86e-05,4.902e-05,4.944e-05,4.986e-05,5.028e-05,5.07e-05,5.1120000000000005e-05,5.154000000000001e-05,5.196e-05,5.238e-05,5.28e-05
PD22,baseline,bahrain,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,N2O,AFOLU,Mt,5.6e-06,6.2e-06,6.2e-06,4.2e-06,4.2e-06,4.2e-06,4.2e-06,4.2e-06,1.41e-05,3e-06,2.4e-06,2.1e-06,1.72e-05,4.72e-05,6.81e-05,5.86e-05,5.64e-05,2.4e-05,4.84e-05,2.63e-05,5.37e-05,7.180000000000001e-05,6.93e-05,7.35e-05,7.86e-05,4.5e-05,4.3e-06,3.3e-06,6.39e-05,2.3800000000000003e-05,2.402727272727273e-05,2.4254545454545455e-05,2.4481818181818183e-05,2.470909090909091e-05,2.493636363636364e-05,2.5163636363636366e-05,2.539090909090909e-05,2.5618181818181825e-05,2.5845454545454547e-05,2.6072727272727274e-05,2.63e-05,2.6465e-05,2.663e-05,2.6795000000000003e-05,2.6960000000000003e-05,2.7125e-05,2.729e-05,2.7455e-05,2.7620000000000003e-05,2.7785e-05,2.795e-05,2.8115e-05,2.828e-05,2.8445000000000003e-05,2.861e-05,2.8775e-05,2.894e-05,2.9105e-05,2.9270000000000003e-05,2.9435e-05,2.96e-05
PD22,baseline,bahrain,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bahrain,Commercial,Oil products,Other kerosene,OTHKERO,Final consumption,Commercial and public services,COMMPUB,Mt,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.009875595678248,0.051693320243512,0.0389146172427799,0.048651449476684,0.0462443398588633,0.0458262033256005,0.0454080667923376,0.0449899302590748,0.044571793725812,0.0441536571925491,0.0437355206592863,0.0433173841260234,0.0428992475927606,0.0424811110594978,0.0420629745262349,0.0416448379929721,0.0412267014597092,0.0408085649264464,0.0403904283931836,0.0399722918599207,0.0395541553266579,0.039136018793395,0.0387178822601322,0.0382997457268694,0.0378816091936065,0.0374634726603437,0.0370453361270808,0.036627199593818,0.0362090630605552,0.0357909265272923,0.0353727899940295,0.0349546534607666,0.0345365169275038,0.034118380394241
PD22,baseline,bahrain,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
