model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,benin,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0333014544049685,0.0658589082431579,0.0976067120953632,0.128475940695147,0.1583947555593022,0.1872888896536564,0.2150822628447153,0.241697732863666,0.2670579811444387,0.2910865262500275,0.313708849882913,0.3348536120759902,0.3544539236521681,0.3724486361549159,0.3887836030214179,0.4034128616390853,0.4162996848355845,0.4274174528151231,0.436750302744667,0.4442935228792789,0.4500536706411096,0.4540484084129992,0.4563060657140724,0.4568649505541792,0.4568649505541792,0.4568649505541792,0.4568649505541792,0.4568649505541792,0.4568649505541792,0.4568649505541792
PD22,baseline,benin,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,benin,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0012493,0.0012665,0.0012829999999999,0.0013476999999999,0.0013124,0.001342,0.0014064,0.0015978,0.0016326,0.0017172,0.0018019,0.0017256,0.0018949,0.0018268,0.0019683,0.0020857,0.0019443,0.0019282,0.002394,0.0023889,0.0025502,0.0022979,0.0026334,0.0028823,0.0027262,0.0028082,0.0028243,0.0030896,0.0033279,0.0028701,0.0028630909090909,0.0028560818181818,0.0028490727272727,0.0028420636363636,0.0028350545454545,0.0028280454545454,0.0028210363636363,0.0028140272727272,0.0028070181818181,0.002800009090909,0.002793,0.002823435,0.00285387,0.002884305,0.00291474,0.002945175,0.00297561,0.003006045,0.00303648,0.003066915,0.00309735,0.003127785,0.00315822,0.003188655,0.00321909,0.003249525,0.00327996,0.003310395,0.00334083,0.003371265,0.0034017
PD22,baseline,benin,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,3.24e-05,3.2800000000000004e-05,3.33e-05,3.49e-05,3.4000000000000007e-05,3.48e-05,3.65e-05,4.14e-05,4.23e-05,4.45e-05,4.67e-05,4.47e-05,4.91e-05,4.74e-05,5.1e-05,5.41e-05,5.04e-05,5e-05,6.21e-05,6.19e-05,6.610000000000001e-05,5.96e-05,6.83e-05,7.47e-05,7.07e-05,7.280000000000001e-05,7.32e-05,8.010000000000001e-05,8.63e-05,7.439999999999999e-05,7.421818181818181e-05,7.403636363636364e-05,7.385454545454545e-05,7.367272727272727e-05,7.34909090909091e-05,7.330909090909091e-05,7.312727272727274e-05,7.294545454545455e-05,7.276363636363637e-05,7.25818181818182e-05,7.240000000000001e-05,7.319000000000001e-05,7.398e-05,7.477e-05,7.556000000000002e-05,7.635000000000001e-05,7.714000000000001e-05,7.793000000000001e-05,7.872e-05,7.951e-05,8.03e-05,8.109000000000001e-05,8.188000000000001e-05,8.267e-05,8.346e-05,8.425e-05,8.504e-05,8.583000000000001e-05,8.662000000000001e-05,8.741e-05,8.82e-05
PD22,baseline,benin,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.000164,0.0001746,0.0001787,0.0001803,0.0001858,0.0001984,0.0001989,0.0002321,0.0002384,0.0002543,0.0002685,0.0002596999999999,0.0002935,0.0002763,0.0002942,0.0003079,0.0002858,0.0003073,0.000337,0.0003756,0.0003628,0.0003839,0.0004057,0.0004548,0.0004396,0.0004543,0.0004891,0.0005132,0.0006554,0.0005904,0.0005882545454545,0.000586109090909,0.0005839636363636,0.0005818181818181,0.0005796727272727,0.0005775272727272,0.0005753818181818,0.0005732363636363,0.0005710909090909,0.0005689454545454,0.0005668,0.000580985,0.00059517,0.000609355,0.00062354,0.000637725,0.00065191,0.000666095,0.00068028,0.000694465,0.00070865,0.000722835,0.00073702,0.000751205,0.00076539,0.000779575,0.00079376,0.000807945,0.00082213,0.000836315,0.0008505
PD22,baseline,benin,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,benin,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0436659,0.0466409,0.0477201,0.0476439,0.0536861,0.046553,0.0542819,0.0558494,0.0565919999999999,0.059307,0.0631331,0.06534,0.0670525,0.0682842,0.0700452,0.0704841,0.0738226,0.075698,0.0776123,0.079808,0.0818469999999999,0.0839570999999999,0.0860807,0.0882816,0.0905203,0.0928355,0.0951919,0.0976256,0.1001043,0.1014404,0.1019530363636363,0.1024656727272727,0.102978309090909,0.1034909454545454,0.1040035818181818,0.1045162181818181,0.1050288545454545,0.1055414909090909,0.1060541272727272,0.1065667636363636,0.1070794,0.1087884,0.1104974,0.1122064,0.1139154,0.1156244,0.1173334,0.1190424,0.1207514,0.1224604,0.1241694,0.1258784,0.1275874,0.1292964,0.1310054,0.1327144,0.1344234,0.1361324,0.1378414,0.1395504,0.1412594
PD22,baseline,benin,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,benin,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0023272,0.0023978,0.002422,0.0024606,0.0027193,0.0024733999999999,0.0027513,0.0026338,0.0023464,0.0023317999999999,0.0025821999999999,0.0028879,0.0029893999999999,0.0030758,0.0031387,0.0031955,0.0032781,0.0033717,0.0032303,0.0033317999999999,0.0034267,0.003525,0.0036241,0.0037274,0.0038336,0.003943,0.0040542999999999,0.0041706,0.0042887,0.0043792,0.004468809090909,0.0045584181818181,0.0046480272727272,0.0047376363636363,0.0048272454545454,0.0049168545454545,0.0050064636363636,0.0050960727272727,0.0051856818181818,0.0052752909090909,0.0053649,0.005492235,0.00561957,0.005746905,0.0058742399999999,0.0060015749999999,0.00612891,0.006256245,0.00638358,0.0065109149999999,0.00663825,0.0067655849999999,0.0068929199999999,0.0070202549999999,0.00714759,0.007274925,0.0074022599999999,0.007529595,0.0076569299999999,0.0077842649999999,0.0079116
PD22,baseline,benin,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.000229,0.0002556,0.0002555,0.0002658,0.0002878,0.0002731,0.0002895,0.0002416,0.0001516,0.0001229,0.0001527,0.0001672,0.0001774,0.0001771,0.0001862,0.0001908999999999,0.0001946,0.0002019,0.0001997,0.0002072,0.0002147,0.0002228,0.0002309,0.0002394,0.0002484,0.0002579,0.0002671,0.0002771,0.0002871,0.0002954999999999,0.0002993999999999,0.0003033,0.0003072,0.0003110999999999,0.0003149999999999,0.0003189,0.0003228,0.0003266999999999,0.0003305999999999,0.0003345,0.0003384,0.0003477,0.000357,0.0003662999999999,0.0003755999999999,0.0003849,0.0003942,0.0004035,0.0004127999999999,0.0004220999999999,0.0004313999999999,0.0004407,0.00045,0.0004592999999999,0.0004686,0.0004778999999999,0.0004871999999999,0.0004965,0.0005057999999999,0.0005151,0.0005244
