model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,bolivia,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0322021153143317,0.0640840141196482,0.0956079814381551,0.1267319116797537,0.1574088103745682,0.1875862425816393,0.2172057230808758,0.2462020432188425,0.2745025290935632,0.3020262256522394,0.3286830012675732,0.3543725674891171,0.3789834089798224,0.4023916191981199,0.4244596382364596,0.4450348904538476,0.4639483212305544,0.4810128344283671,0.4960216350720251,0.5087464854992259,0.5189358878864095,0.5263132117738575,0.5305747921050852,0.53138803145706,0.53138803145706,0.53138803145706,0.53138803145706,0.53138803145706,0.53138803145706,0.53138803145706
PD22,baseline,bolivia,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,bolivia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0010337,0.001195,0.0012319,0.0012554,0.0012085,0.0012363,0.0012454,0.0011484,0.0012838,0.0013575,0.001338,0.0013178,0.0013561,0.0013165,0.001379,0.0015138,0.0015194,0.0016556,0.0018484,0.0018456,0.0017016,0.0017247,0.0016708,0.0018791,0.0019341,0.0019064,0.0018125,0.0018679,0.0020107,0.0020619,0.0020534818181818,0.0020450636363636,0.0020366454545454,0.0020282272727272,0.002019809090909,0.0020113909090909,0.0020029727272727,0.0019945545454545,0.0019861363636363,0.0019777181818181,0.0019693,0.001980635,0.00199197,0.002003305,0.00201464,0.002025975,0.00203731,0.002048645,0.00205998,0.002071315,0.00208265,0.002093985,0.00210532,0.002116655,0.00212799,0.002139325,0.00215066,0.002161995,0.00217333,0.002184665,0.002196
PD22,baseline,bolivia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,2.68e-05,3.1e-05,3.19e-05,3.2500000000000004e-05,3.13e-05,3.2099999999999994e-05,3.2300000000000006e-05,2.98e-05,3.33e-05,3.52e-05,3.47e-05,3.4200000000000005e-05,3.52e-05,3.41e-05,3.58e-05,3.92e-05,3.94e-05,4.29e-05,4.79e-05,4.78e-05,4.41e-05,4.47e-05,4.33e-05,4.87e-05,5.01e-05,4.94e-05,4.7e-05,4.84e-05,5.21e-05,5.35e-05,5.328181818181818e-05,5.306363636363636e-05,5.284545454545455e-05,5.262727272727273e-05,5.240909090909091e-05,5.219090909090909e-05,5.197272727272728e-05,5.1754545454545456e-05,5.153636363636364e-05,5.131818181818182e-05,5.11e-05,5.139e-05,5.168e-05,5.197e-05,5.226e-05,5.255e-05,5.284e-05,5.313e-05,5.342e-05,5.371e-05,5.4e-05,5.429e-05,5.458e-05,5.487e-05,5.516e-05,5.545e-05,5.574e-05,5.603e-05,5.632e-05,5.661e-05,5.69e-05
PD22,baseline,bolivia,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0003349,0.0004096,0.0004159,0.0004702,0.0005001,0.0005734,0.0005873,0.0005982,0.0006782,0.000676,0.0007074,0.0007074,0.0007284,0.0008234,0.0008279,0.0009563,0.0009758,0.000966,0.0009178,0.0011243,0.0010995,0.001122,0.0012958,0.0014414,0.0014033,0.0015503,0.0015253,0.0013555,0.0016016,0.0015693,0.0015788727272727,0.0015884454545454,0.0015980181818181,0.0016075909090909,0.0016171636363636,0.0016267363636363,0.001636309090909,0.0016458818181818,0.0016554545454545,0.0016650272727272,0.0016746,0.00169683,0.00171906,0.00174129,0.00176352,0.00178575,0.00180798,0.00183021,0.00185244,0.00187467,0.0018969,0.00191913,0.00194136,0.00196359,0.00198582,0.00200805,0.00203028,0.00205251,0.00207474,0.00209697,0.0021192
PD22,baseline,bolivia,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0554490096480959,0.1104387156537896,0.1649221765571403,0.2188485812429209,0.2721631400771024,0.3248070245253052,0.3767173681342487,0.4278273428611867,0.4780663254369992,0.5273601685546759,0.5756315909740451,0.622800698907703,0.6687856481016173,0.713503451695022,0.7568709331729431,0.7988058165735547,0.8392279378094385,0.8780605519260023,0.9164939519260024,0.954951186592669,0.9934322559260024,1.0319371599260023,1.070465898592669,1.1090184719260023,1.128294758592669,1.128294758592669,1.128294758592669,1.128294758592669,1.128294758592669,1.128294758592669
PD22,baseline,bolivia,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.3899713,0.395553,0.4044142,0.4126983,0.4225631,0.4329816,0.4438075,0.4551362,0.4654633,0.4794192,0.5103491,0.4895634,0.5050773,0.517909,0.5312043,0.5445425,0.5576768,0.5705988,0.5830873000000001,0.6055392,0.6125349999999999,0.6383402,0.6545658,0.67123,0.659707,0.6656963,0.6743671000000001,0.6818202,0.6956078,0.706608,0.6943909181818182,0.6821738363636364,0.6699567545454546,0.6577396727272727,0.6455225909090909,0.6333055090909091,0.6210884272727273,0.6088713454545455,0.5966542636363636,0.5844371818181818,0.5722201,0.57281955,0.573419,0.5740184500000001,0.5746179,0.57521735,0.5758168,0.5764162500000001,0.5770157,0.57761515,0.5782146,0.5788140500000001,0.5794135,0.58001295,0.5806124,0.5812118500000001,0.5818113,0.58241075,0.5830102,0.5836096500000001,0.5842091
PD22,baseline,bolivia,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,bolivia,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.011124,0.0114098,0.0116876,0.0121374999999999,0.0126028,0.0129784,0.0133607999999999,0.013821,0.0143246,0.0149055,0.0153672,0.0151143,0.01562,0.0160858,0.0166684,0.0175101,0.0182706,0.0190052,0.019566,0.0203599,0.0211231,0.02197,0.0222571,0.0227649,0.0224603,0.0226273,0.0229332,0.0234306,0.0237876,0.0242221,0.0238521636363636,0.0234822272727272,0.0231122909090909,0.0227423545454545,0.0223724181818181,0.0220024818181818,0.0216325454545454,0.021262609090909,0.0208926727272727,0.0205227363636363,0.0201528,0.02024616,0.02033952,0.02043288,0.0205262399999999,0.0206196,0.02071296,0.02080632,0.02089968,0.02099304,0.0210863999999999,0.02117976,0.02127312,0.02136648,0.02145984,0.0215532,0.02164656,0.02173992,0.02183328,0.02192664,0.02202
PD22,baseline,bolivia,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0003866,0.0004161,0.0004362,0.0004733,0.0005082,0.0005398,0.0005681,0.0006044,0.0006464,0.0006822,0.0006619,0.0006788,0.0007106,0.000743,0.0007855,0.0008505,0.0009061,0.0009645,0.0010152,0.0010427,0.0011207,0.0011419,0.0011517,0.0011798,0.0011675,0.0011912,0.0012163999999999,0.0012632,0.0012823,0.0013212,0.001305409090909,0.0012896181818181,0.0012738272727272,0.0012580363636363,0.0012422454545454,0.0012264545454545,0.0012106636363636,0.0011948727272727,0.0011790818181818,0.0011632909090909,0.0011475,0.001156685,0.00116587,0.001175055,0.00118424,0.001193425,0.00120261,0.001211795,0.00122098,0.001230165,0.00123935,0.001248535,0.00125772,0.001266905,0.00127609,0.001285275,0.00129446,0.001303645,0.00131283,0.001322015,0.0013312
