model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,bosniaherz,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0085512404096226,0.0170167409743073,0.0253864447668872,0.0336491344275636,0.0417923030541403,0.0498020119232067,0.0576627340015504,0.0653571822055101,0.0728661213910509,0.0801681631175236,0.087239542333586,0.0940538752969095,0.1005818982745558,0.1067911868951668,0.1126458564566578,0.1181062440555036,0.1231285741194529,0.1276646098192496,0.131661293931322,0.1350603840451659,0.1377980885745214,0.139804711850497,0.1410043186447337,0.1413144307699249,0.1413144307699249,0.1413144307699249,0.1413144307699249,0.1413144307699249,0.1413144307699249,0.1413144307699249
PD22,baseline,bosniaherz,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,bosniaherz,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0002673,0.0005346,0.0004738,0.0004077,0.0003266999999999,0.0004563,0.0006614,0.0007062,0.0006792,0.0006737,0.0006537,0.0006346,0.0006041999999999,0.0006149,0.0006179,0.0006091,0.0006129,0.0006211,0.0005827,0.0005686,0.0005922,0.0005961,0.0005848,0.0005232,0.0005854,0.0005947,0.0006002,0.0005968,0.0005925,0.000593909090909,0.0005953181818181,0.0005967272727272,0.0005981363636363,0.0005995454545454,0.0006009545454545,0.0006023636363636,0.0006037727272727,0.0006051818181818,0.0006065909090909,0.000608,0.000608625,0.00060925,0.000609875,0.0006105,0.000611125,0.00061175,0.000612375,0.000613,0.000613625,0.00061425,0.000614875,0.0006155,0.000616125,0.00061675,0.000617375,0.000618,0.000618625,0.00061925,0.000619875,0.0006205
PD22,baseline,bosniaherz,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0,6.95e-06,1.39e-05,1.23e-05,1.06e-05,8.500000000000002e-06,1.18e-05,1.7100000000000002e-05,1.83e-05,1.76e-05,1.7500000000000002e-05,1.6899999999999997e-05,1.65e-05,1.57e-05,1.59e-05,1.6e-05,1.58e-05,1.59e-05,1.6100000000000002e-05,1.51e-05,1.47e-05,1.54e-05,1.55e-05,1.52e-05,1.36e-05,1.52e-05,1.54e-05,1.56e-05,1.55e-05,1.54e-05,1.5436363636363638e-05,1.5472727272727274e-05,1.550909090909091e-05,1.5545454545454547e-05,1.5581818181818183e-05,1.561818181818182e-05,1.5654545454545456e-05,1.5690909090909092e-05,1.572727272727273e-05,1.5763636363636365e-05,1.58e-05,1.5815e-05,1.5830000000000003e-05,1.5845e-05,1.586e-05,1.5875e-05,1.5890000000000002e-05,1.5905e-05,1.592e-05,1.5935000000000002e-05,1.595e-05,1.5965e-05,1.5980000000000003e-05,1.5995000000000002e-05,1.601e-05,1.6025000000000003e-05,1.6040000000000002e-05,1.6055e-05,1.607e-05,1.6085000000000003e-05,1.6100000000000002e-05
PD22,baseline,bosniaherz,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0,0.000121,0.000242,0.0002205,0.0001953,0.0001675,0.0001862,0.0002643,0.0002897,0.0002874,0.0002237,0.0002487,0.0002742,0.0001848,0.0002967,0.0002767,0.0002738,0.0002249,0.000279,0.0002724,0.0002198,0.0002284,0.0001976,0.0002462999999999,0.0002142,0.00023,0.0003156,0.0002408,0.0003268,0.0003127,0.0003121272727272,0.0003115545454545,0.0003109818181818,0.000310409090909,0.0003098363636363,0.0003092636363636,0.0003086909090909,0.0003081181818181,0.0003075454545454,0.0003069727272727,0.0003064,0.00030679,0.00030718,0.00030757,0.00030796,0.00030835,0.00030874,0.00030913,0.00030952,0.00030991,0.0003103,0.00031069,0.00031108,0.00031147,0.00031186,0.00031225,0.00031264,0.00031303,0.00031342,0.00031381,0.0003142
PD22,baseline,bosniaherz,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,bosniaherz,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0303395,0.060679,0.058266,0.0543115,0.044571,0.037349,0.0457846,0.0472173,0.0492446,0.0509034,0.0490175,0.046234,0.049859,0.0521968,0.0531616,0.0580561,0.0549626999999999,0.0537401,0.053647,0.05292,0.0514443,0.0498663,0.0501471999999999,0.0497635,0.0504491,0.050134,0.0488821,0.0481242,0.0467561,0.0477825272727272,0.0488089545454545,0.0498353818181818,0.050861809090909,0.0518882363636363,0.0529146636363636,0.0539410909090909,0.0549675181818181,0.0559939454545454,0.0570203727272727,0.0580467999999999,0.058017875,0.05798895,0.057960025,0.0579311,0.057902175,0.0578732499999999,0.0578443249999999,0.0578153999999999,0.057786475,0.05775755,0.057728625,0.0576997,0.057670775,0.05764185,0.0576129249999999,0.0575839999999999,0.057555075,0.05752615,0.057497225,0.0574683
PD22,baseline,bosniaherz,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,bosniaherz,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0,0.00613415,0.0122683,0.0116954,0.0112056,0.0094302,0.0079103,0.0091549,0.0099197,0.0103264999999999,0.0109822,0.0108779,0.0105488,0.011298,0.0117754,0.0123467,0.0133115,0.0119383,0.0115398,0.0117389,0.0119367,0.0115115,0.011123,0.0111273,0.0109876,0.0111896,0.0109593,0.0107783,0.0106124,0.0104024,0.0106298909090909,0.0108573818181818,0.0110848727272727,0.0113123636363636,0.0115398545454545,0.0117673454545454,0.0119948363636363,0.0122223272727272,0.0124498181818181,0.012677309090909,0.0129048,0.0129105849999999,0.01291637,0.012922155,0.0129279399999999,0.012933725,0.01293951,0.0129452949999999,0.01295108,0.012956865,0.01296265,0.012968435,0.01297422,0.012980005,0.01298579,0.012991575,0.01299736,0.013003145,0.01300893,0.013014715,0.0130205
PD22,baseline,bosniaherz,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0002634,0.0005268,0.0005023,0.0004724,0.0003889,0.0003215,0.0003918,0.0004177,0.0004386,0.000461,0.000448,0.0004289,0.0004545,0.0004703,0.0004868,0.0005335,0.0005013,0.0004916,0.0004995,0.0005036,0.0004825,0.0004698,0.0004852,0.0004703,0.0004636,0.0004575,0.0004503,0.0004437,0.0004329,0.0004422545454545,0.000451609090909,0.0004609636363636,0.0004703181818181,0.0004796727272727,0.0004890272727272,0.0004983818181818,0.0005077363636363,0.0005170909090909,0.0005264454545454,0.0005358,0.000536615,0.00053743,0.000538245,0.00053906,0.000539875,0.00054069,0.000541505,0.00054232,0.000543135,0.00054395,0.000544765,0.00054558,0.000546395,0.00054721,0.000548025,0.00054884,0.000549655,0.00055047,0.000551285,0.0005521
