model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,canada,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0444845630029624,0.0885478807514896,0.1321400609563688,0.175205333102142,0.217681363676678,0.2594984935883898,0.3005788894230051,0.3408355994223544,0.3801715042608305,0.4184781518592396,0.4556344646229754,0.4915053066387551,0.5259398975349048,0.5587700589352993,0.5898082787569379,0.6188455780680148,0.6456491649033539,0.6699598594104579,0.6914892750753648,0.7099167416797064,0.7248859572223978,0.7360013584853182,0.7428242034495673,0.7448683636304054,0.7448683636304054,0.7448683636304054,0.7448683636304054,0.7448683636304054,0.7448683636304054,0.7448683636304054
PD22,baseline,canada,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,canada,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0180063,0.0182767,0.0172525,0.0160963,0.0142133,0.0147193,0.016186,0.0151511,0.0145535,0.014313,0.0147107,0.0148762,0.012872,0.0143421,0.0130352,0.0130848,0.0133208,0.0130009,0.0139725,0.0135166,0.0122946,0.0126706,0.0140879,0.0152971,0.0136895,0.013942,0.0135109,0.0134986999999999,0.0145344,0.0143463,0.0143469727272727,0.0143476454545454,0.0143483181818181,0.0143489909090909,0.0143496636363636,0.0143503363636363,0.014351009090909,0.0143516818181818,0.0143523545454545,0.0143530272727272,0.0143537,0.01436172,0.01436974,0.01437776,0.01438578,0.0143938,0.01440182,0.01440984,0.01441786,0.01442588,0.0144339,0.01444192,0.01444994,0.01445796,0.01446598,0.014474,0.01448202,0.01449004,0.01449806,0.01450608,0.0145141
PD22,baseline,canada,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0004668,0.0004738,0.0004473,0.0004173,0.0003685,0.0003816,0.0004196,0.0003928,0.0003773,0.0003710999999999,0.0003814,0.0003857,0.0003337,0.0003718,0.000338,0.0003392,0.0003454,0.0003371,0.0003623,0.0003504,0.0003187,0.0003285,0.0003652,0.0003966,0.0003549,0.0003615,0.0003503,0.00035,0.0003768,0.0003719,0.0003719181818181,0.0003719363636363,0.0003719545454545,0.0003719727272727,0.0003719909090909,0.000372009090909,0.0003720272727272,0.0003720454545454,0.0003720636363636,0.0003720818181818,0.0003721,0.00037231,0.00037252,0.00037273,0.00037294,0.00037315,0.00037336,0.00037357,0.00037378,0.00037399,0.0003742,0.00037441,0.00037462,0.00037483,0.00037504,0.00037525,0.00037546,0.00037567,0.00037588,0.00037609,0.0003763
PD22,baseline,canada,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0137998999999999,0.0133024,0.0124888,0.0127217,0.0115668,0.0122469,0.0143268,0.0125187,0.012562,0.0132433,0.0128392,0.0108861,0.0091770999999999,0.0121633,0.0125289,0.0125784,0.0121896,0.0116781,0.0136716,0.0123837,0.0113783999999999,0.0119411,0.0128911,0.0161622999999999,0.0131978,0.0135027,0.0146273,0.0144855,0.0148472,0.0151268,0.0151104181818181,0.0150940363636363,0.0150776545454545,0.0150612727272727,0.0150448909090909,0.015028509090909,0.0150121272727272,0.0149957454545454,0.0149793636363636,0.0149629818181818,0.0149466,0.01499348,0.01504036,0.01508724,0.01513412,0.015181,0.01522788,0.01527476,0.01532164,0.01536852,0.0154154,0.01546228,0.01550916,0.01555604,0.01560292,0.0156498,0.01569668,0.01574356,0.01579044,0.01583732,0.0158842
PD22,baseline,canada,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4250481329170226,0.8425463126991568,1.2517519586944887,1.6518677498004974,2.042041637765937,2.4213678817070066,2.7888893028771595,3.1436009601674963,3.484455437315349,3.810369909407104,4.12023511625894,4.41292631158882,4.687316178673278,4.94228960626085,5.176760105979231,5.389687530008084,5.580096623737984,5.747095833158486,5.9071400731584855,6.043222299158486,6.155342511158486,6.243500709158486,6.307696893158486,6.347931063158486,6.368048148158486,6.368048148158486,6.368048148158486,6.368048148158486,6.368048148158486,6.368048148158486
PD22,baseline,canada,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.7256513,0.7259178000000001,0.7527996000000001,0.7482813,0.7557926,0.7958228,0.8325566,0.8327715,0.8271737000000001,0.8183615,0.8152445,0.8396553,0.8467532999999999,0.8306504,0.8876936,0.9062858,0.8900829,0.8592971,0.8359235,0.7956663,0.7769049,0.7500766999999999,0.7538066,0.7545342,0.7442696,0.7215954000000001,0.7204404,0.7169956,0.7211171000000001,0.7184159,0.7429507181818181,0.7674855363636364,0.7920203545454545,0.8165551727272727,0.8410899909090909,0.8656248090909091,0.8901596272727272,0.9146944454545456,0.9392292636363636,0.963764081818182,0.9882989,0.98889474,0.98949058,0.99008642,0.99068226,0.9912781,0.99187394,0.99246978,0.99306562,0.99366146,0.9942573,0.99485314,0.99544898,0.99604482,0.99664066,0.9972365,0.99783234,0.99842818,0.99902402,0.99961986,1.0002157
PD22,baseline,canada,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,canada,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.1948529,0.1905095,0.1935029999999999,0.1924223,0.1906767999999999,0.2007784,0.2044484,0.2029245,0.2062239,0.2100985,0.2129814,0.2204561,0.2289014,0.2317504,0.2319931,0.2327759,0.2347402999999999,0.2220774,0.2060898,0.2019183,0.2016124,0.2027526,0.20424,0.2041391,0.2048785,0.2077296,0.2127711,0.2162183,0.2202268,0.2230308,0.2245745818181818,0.2261183636363636,0.2276621454545454,0.2292059272727273,0.2307497090909091,0.2322934909090909,0.2338372727272727,0.2353810545454545,0.2369248363636363,0.2384686181818182,0.2400124,0.240015695,0.24001899,0.240022285,0.24002558,0.240028875,0.24003217,0.240035465,0.24003876,0.240042055,0.24004535,0.240048645,0.24005194,0.240055235,0.24005853,0.240061825,0.24006512,0.240068415,0.24007171,0.240075005,0.2400783
PD22,baseline,canada,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0052335,0.0052295,0.0054063,0.0054016,0.0054795,0.0057693,0.0060061,0.005982,0.0059916,0.0060062,0.0060263,0.0062112999999999,0.0063084,0.0062396,0.0065495,0.0066602,0.0065924,0.0063621,0.0061405,0.0058963999999999,0.0057892,0.0056509,0.0056859,0.005693,0.0056448,0.0055473,0.0055817,0.0055864,0.0056312,0.005636,0.0057856727272727,0.0059353454545454,0.0060850181818181,0.0062346909090909,0.0063843636363636,0.0065340363636363,0.006683709090909,0.0068333818181818,0.0069830545454545,0.0071327272727272,0.0072824,0.00729064,0.00729888,0.00730712,0.00731536,0.0073236,0.00733184,0.00734008,0.00734832,0.00735656,0.0073648,0.00737304,0.00738128,0.00738952,0.00739776,0.007406,0.00741424,0.00742248,0.00743072,0.00743896,0.0074472
