model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,colombia,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0972869287914521,0.1936018740837566,0.2888314816940573,0.3828494807932345,0.4755152872557076,0.5666724747022522,0.656147105452858,0.7437459144648065,0.8292543406578472,0.9124344019415986,0.993022412897276,1.070726547583436,1.1452242545090785,1.216159536638079,1.2831401165571672,1.345734515855777,1.4034690885151384,1.455825060834068,1.5022356452120824,1.5420833119438462,1.5746973218769955,1.5993516429622128,1.6152633947195674,1.621591985456025,1.621591985456025,1.621591985456025,1.621591985456025,1.621591985456025,1.621591985456025,1.621591985456025
PD22,baseline,colombia,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,colombia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0036534,0.0034647,0.0031487,0.0032698,0.0033171,0.003077,0.0029203,0.0028381,0.0025368,0.0028378,0.0029835,0.0029879,0.0028420999999999,0.0030063,0.0031606,0.0029674999999999,0.0030061,0.0030743999999999,0.0031113,0.0030352,0.0027472,0.003057,0.0031589,0.0031915,0.0027592,0.0025649,0.0027,0.002672,0.0026481,0.0026016,0.002781209090909,0.0029608181818181,0.0031404272727272,0.0033200363636363,0.0034996454545454,0.0036792545454545,0.0038588636363636,0.0040384727272727,0.0042180818181818,0.0043976909090909,0.0045773,0.00463899,0.00470068,0.00476237,0.00482406,0.00488575,0.00494744,0.00500913,0.00507082,0.00513251,0.0051941999999999,0.00525589,0.00531758,0.00537927,0.00544096,0.0055026499999999,0.0055643399999999,0.00562603,0.0056877199999999,0.00574941,0.0058111
PD22,baseline,colombia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,9.47e-05,8.98e-05,8.16e-05,8.48e-05,8.599999999999999e-05,7.98e-05,7.570000000000001e-05,7.36e-05,6.58e-05,7.36e-05,7.74e-05,7.75e-05,7.37e-05,7.79e-05,8.19e-05,7.69e-05,7.79e-05,7.97e-05,8.07e-05,7.87e-05,7.12e-05,7.93e-05,8.19e-05,8.269999999999999e-05,7.149999999999999e-05,6.65e-05,7.000000000000001e-05,6.93e-05,6.87e-05,6.74e-05,7.206363636363636e-05,7.672727272727273e-05,8.139090909090908e-05,8.605454545454545e-05,9.071818181818182e-05,9.538181818181818e-05,0.0001000454545454,0.000104709090909,0.0001093727272727,0.0001140363636363,0.0001187,0.0001203,0.0001219,0.0001235,0.0001251,0.0001267,0.0001283,0.0001299,0.0001315,0.0001331,0.0001347,0.0001363,0.0001379,0.0001395,0.0001411,0.0001427,0.0001443,0.0001459,0.0001475,0.0001491,0.0001507
PD22,baseline,colombia,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0011789,0.0010637,0.0009695,0.0009639,0.0009955,0.0009459,0.0008729,0.0008665,0.0007929,0.0008933,0.0008774,0.0008864,0.0008815,0.0010277,0.0010559,0.0009668,0.0009041,0.0009812,0.0010294,0.0010071,0.0008713999999999,0.0009196,0.0009899,0.0009458,0.0009487,0.0009689,0.0010672,0.0011204,0.0010255,0.0010408,0.0010908363636363,0.0011408727272727,0.001190909090909,0.0012409454545454,0.0012909818181818,0.0013410181818181,0.0013910545454545,0.0014410909090909,0.0014911272727272,0.0015411636363636,0.0015912,0.001623605,0.00165601,0.001688415,0.00172082,0.001753225,0.00178563,0.001818035,0.00185044,0.001882845,0.00191525,0.001947655,0.00198006,0.002012465,0.00204487,0.002077275,0.00210968,0.002142085,0.00217449,0.002206895,0.0022393
PD22,baseline,colombia,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0049309590974143,0.0097902073108397,0.0145692810879082,0.0192587272040328,0.0238479893476335,0.0283252822876339,0.0326774524098584,0.0368898233282443,0.0409460252013595,0.0448278063185141,0.048514825467864,0.0519844235677579,0.055211373040278,0.0581676034425199,0.0608219019589741,0.0631395875123574,0.0650821574883254,0.0666069064128181,0.0676966564128181,0.0685684564128181,0.0692223064128181,0.0696582064128181,0.0698761564128181,0.0698761564128181,0.0698761564128181,0.0698761564128181,0.0698761564128181,0.0698761564128181,0.0698761564128181,0.0698761564128181
PD22,baseline,colombia,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,1.5010762,1.5024896,1.5281228000000002,1.561471,1.583674,1.5842754,1.621174,1.5980911000000002,1.6045314000000002,1.5287213,1.5359602,1.5468400999999998,1.563255,1.5656407,1.5721586,1.6155131,1.6168818,1.6313933,1.6378578,1.6344063000000002,1.6811996,1.5565388,1.4558551,1.4193883,1.4084776,1.4067996,1.4103599,1.4688514,1.5801243,1.6512211,1.7028460454545455,1.754470990909091,1.8060959363636364,1.8577208818181816,1.9093458272727275,1.9609707727272727,2.012595718181818,2.064220663636364,2.115845609090909,2.1674705545454547,2.2190955,2.230031585,2.24096767,2.251903755,2.26283984,2.273775925,2.28471201,2.295648095,2.30658418,2.317520265,2.32845635,2.339392435,2.35032852,2.361264605,2.37220069,2.383136775,2.39407286,2.405008945,2.41594503,2.426881115,2.4378172
PD22,baseline,colombia,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,colombia,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0330088,0.0333063,0.0339635,0.034786,0.0354825,0.0356929,0.0358057,0.0352906,0.0351484,0.0337609,0.0341833,0.0347258,0.0348488,0.0350681,0.0350283,0.0355909,0.0366781999999999,0.0387918,0.0395021,0.039172,0.0400294,0.0373778,0.0342294,0.0329739,0.0333318,0.0333412,0.0334092,0.0355182,0.0376928,0.0381661,0.0393165818181818,0.0404670636363636,0.0416175454545454,0.0427680272727272,0.043918509090909,0.0450689909090909,0.0462194727272727,0.0473699545454545,0.0485204363636363,0.0496709181818181,0.0508213999999999,0.0510964099999999,0.0513714199999999,0.0516464299999999,0.05192144,0.05219645,0.05247146,0.05274647,0.0530214799999999,0.0532964899999999,0.0535714999999999,0.05384651,0.05412152,0.05439653,0.05467154,0.05494655,0.0552215599999999,0.0554965699999999,0.05577158,0.05604659,0.0563216
PD22,baseline,colombia,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0011871,0.0012293,0.0012404,0.0012567,0.0012851,0.0012874,0.0012778,0.0012861,0.0012186999999999,0.001189,0.0012883,0.0013844,0.0013665,0.0013465,0.0013004,0.0012732,0.0014642,0.0017622,0.0018967,0.0019675,0.0021727,0.0021727,0.0022544,0.0022262,0.002382,0.0023575,0.0021772999999999,0.0020891,0.0021922,0.0018065,0.0018489363636363,0.0018913727272727,0.001933809090909,0.0019762454545454,0.0020186818181818,0.0020611181818181,0.0021035545454545,0.0021459909090909,0.0021884272727272,0.0022308636363636,0.0022733,0.0022933349999999,0.00231337,0.0023334049999999,0.00235344,0.002373475,0.0023935099999999,0.002413545,0.00243358,0.002453615,0.00247365,0.002493685,0.00251372,0.002533755,0.00255379,0.002573825,0.00259386,0.002613895,0.00263393,0.002653965,0.002674
