model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,eqguinea,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.572000853759434e-06,1.4773335922536426e-05,2.1593740520283366e-05,2.802501248284568e-05,3.406120689475656e-05,3.969878115928907e-05,4.493668301723097e-05,4.977637691709541e-05,5.422180734342067e-05,5.827930103882058e-05,6.195741321093172e-05,6.5266725522276e-05,6.821960570360593e-05,7.082993987829227e-05,7.311284910009957e-05,7.508440124216803e-05,7.676132835588017e-05,7.816075811567376e-05,7.929996616954869e-05,8.019615430852282e-05,8.086625750971996e-05,8.132678121843589e-05,8.159366879472647e-05,8.168219790101495e-05,8.168219790101495e-05,8.168219790101495e-05,8.168219790101495e-05,8.168219790101495e-05,8.168219790101495e-05,8.168219790101495e-05
PD22,baseline,eqguinea,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,eqguinea,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,eqguinea,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0003713,0.0003742,0.0003774,0.0003807,0.0003821999999999,0.0003858,0.0003871,0.0003906,0.0003921,0.0003956,0.0003975,0.0004006,0.0004005,0.0004021,0.0004034,0.0004041,0.0004057,0.0004088,0.0004075,0.0004073,0.0004165,0.0004167,0.0004228,0.0004264,0.0004265999999999,0.0004278,0.0004290999999999,0.000431,0.0004322,0.000434,0.0004342636363636,0.0004345272727272,0.0004347909090909,0.0004350545454545,0.0004353181818181,0.0004355818181818,0.0004358454545454,0.000436109090909,0.0004363727272727,0.0004366363636363,0.0004369,0.000439465,0.00044203,0.000444595,0.00044716,0.000449725,0.00045229,0.000454855,0.00045742,0.000459985,0.00046255,0.000465115,0.00046768,0.000470245,0.00047281,0.000475375,0.00047794,0.000480505,0.00048307,0.000485635,0.0004882
PD22,baseline,eqguinea,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,eqguinea,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,2.15e-05,2.19e-05,2.23e-05,2.2700000000000003e-05,2.29e-05,2.32e-05,2.35e-05,2.3800000000000003e-05,2.41e-05,2.4500000000000003e-05,2.49e-05,2.53e-05,2.53e-05,2.53e-05,2.55e-05,2.56e-05,2.57e-05,2.58e-05,2.6e-05,2.6e-05,2.64e-05,2.67e-05,2.71e-05,2.76e-05,2.77e-05,2.78e-05,2.79e-05,2.81e-05,2.83e-05,2.85e-05,2.8545454545454548e-05,2.859090909090909e-05,2.863636363636364e-05,2.8681818181818183e-05,2.872727272727273e-05,2.877272727272728e-05,2.8818181818181825e-05,2.8863636363636368e-05,2.890909090909091e-05,2.8954545454545457e-05,2.9000000000000004e-05,2.9235000000000004e-05,2.9470000000000004e-05,2.9705000000000004e-05,2.994e-05,3.0175e-05,3.041e-05,3.0645e-05,3.088e-05,3.1115e-05,3.135e-05,3.1585e-05,3.1820000000000004e-05,3.2055000000000004e-05,3.229e-05,3.2525e-05,3.276e-05,3.2995e-05,3.323e-05,3.3465e-05,3.37e-05
PD22,baseline,eqguinea,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,2.6e-06,2.6e-06,2.7000000000000004e-06,2.7000000000000004e-06,2.8e-06,2.8e-06,2.9e-06,2.9e-06,3e-06,3e-06,3.1e-06,3.1e-06,3.1e-06,3.1e-06,3.2000000000000003e-06,3.2000000000000003e-06,3.2000000000000003e-06,3.2000000000000003e-06,3.2000000000000003e-06,3.2000000000000003e-06,3.3e-06,3.3e-06,3.3e-06,3.4e-06,3.5e-06,3.5e-06,3.5e-06,3.5e-06,3.5e-06,3.6e-06,3.609090909090909e-06,3.618181818181818e-06,3.627272727272727e-06,3.636363636363636e-06,3.645454545454545e-06,3.654545454545455e-06,3.663636363636364e-06,3.672727272727273e-06,3.681818181818182e-06,3.690909090909091e-06,3.7e-06,3.735e-06,3.77e-06,3.805e-06,3.8400000000000005e-06,3.875e-06,3.91e-06,3.945e-06,3.98e-06,4.0150000000000005e-06,4.05e-06,4.085e-06,4.12e-06,4.155e-06,4.1900000000000005e-06,4.225e-06,4.26e-06,4.295e-06,4.33e-06,4.3650000000000006e-06,4.4e-06
PD22,baseline,eqguinea,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,N2O,AFOLU,Mt,2.4e-06,2.5e-06,2.5e-06,2.6e-06,2.6e-06,2.7000000000000004e-06,2.7000000000000004e-06,2.7000000000000004e-06,2.8e-06,2.8e-06,2.9e-06,2.9e-06,2.9e-06,2.9e-06,3e-06,3e-06,3e-06,3e-06,3.1e-06,3.1e-06,3.1e-06,3.1e-06,3.2000000000000003e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.4e-06,3.4e-06,3.409090909090909e-06,3.4181818181818182e-06,3.4272727272727277e-06,3.4363636363636364e-06,3.445454545454545e-06,3.4545454545454545e-06,3.463636363636364e-06,3.4727272727272727e-06,3.4818181818181818e-06,3.490909090909091e-06,3.5e-06,3.535e-06,3.57e-06,3.605e-06,3.64e-06,3.675e-06,3.71e-06,3.745e-06,3.78e-06,3.815e-06,3.85e-06,3.885e-06,3.92e-06,3.954999999999999e-06,3.99e-06,4.025e-06,4.06e-06,4.095e-06,4.129999999999999e-06,4.165e-06,4.2e-06
PD22,baseline,eqguinea,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,N2O,AFOLU,Mt,2.2700000000000003e-05,2.29e-05,2.32e-05,2.35e-05,2.36e-05,2.3800000000000003e-05,2.4e-05,2.42e-05,2.4400000000000004e-05,2.47e-05,2.49e-05,2.52e-05,2.52e-05,2.52e-05,2.53e-05,2.54e-05,2.55e-05,2.56e-05,2.57e-05,2.57e-05,2.6200000000000003e-05,2.63e-05,2.68e-05,2.71e-05,2.71e-05,2.72e-05,2.7300000000000003e-05,2.74e-05,2.75e-05,2.77e-05,2.771818181818182e-05,2.7736363636363635e-05,2.7754545454545452e-05,2.7772727272727272e-05,2.779090909090909e-05,2.7809090909090908e-05,2.7827272727272728e-05,2.7845454545454544e-05,2.7863636363636364e-05,2.788181818181818e-05,2.79e-05,2.8085e-05,2.827e-05,2.8455e-05,2.864e-05,2.8825000000000003e-05,2.901e-05,2.9195e-05,2.938e-05,2.9565e-05,2.975e-05,2.9935e-05,3.0120000000000003e-05,3.0305e-05,3.049e-05,3.0675e-05,3.086e-05,3.1045e-05,3.1230000000000004e-05,3.1415e-05,3.16e-05
PD22,baseline,eqguinea,Agriculture,Emissions,Nitrogen Fertilizer Management,EM,Emissions,N2O,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
