model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,ethiopia,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0971541014828625,0.1933353824103711,0.2884303909809116,0.382312747623001,0.4748417471423238,0.5658608284478284,0.6551959040672353,0.7426535425211489,0.8280189979528447,0.9110540833256784,0.9914948861393182,1.069049329136619,1.1433945830505408,1.214174344266165,1.2809959975473637,1.3434276929014586,1.400995376413517,1.4531798276229746,1.4994137708211863,1.5390791444963896,1.5715046318666916,1.595963575635912,1.6116724211203253,1.617789852723153,1.617789852723153,1.617789852723153,1.617789852723153,1.617789852723153,1.617789852723153,1.617789852723153
PD22,baseline,ethiopia,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,ethiopia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0009748,0.0019496,0.0029243999999999,0.0041974,0.0048811,0.0061498,0.0055907,0.0048517,0.0056204,0.0056689999999999,0.006463,0.0052083,0.0061501,0.0061013,0.0068268,0.0057503,0.0077854,0.0077929,0.0082571,0.0085127,0.0086038,0.0088355,0.0088364999999999,0.0089935,0.009902,0.0100643,0.0105101,0.0085513,0.0082149,0.0084077909090909,0.0086006818181818,0.0087935727272727,0.0089864636363636,0.0091793545454545,0.0093722454545454,0.0095651363636363,0.0097580272727272,0.0099509181818181,0.010143809090909,0.0103367,0.01046821,0.01059972,0.01073123,0.01086274,0.01099425,0.01112576,0.01125727,0.01138878,0.01152029,0.0116518,0.01178331,0.01191482,0.01204633,0.01217784,0.01230935,0.01244086,0.01257237,0.01270388,0.01283539,0.0129669
PD22,baseline,ethiopia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0,2.526666666666667e-05,5.053333333333334e-05,7.580000000000001e-05,0.0001088,0.0001265,0.0001594,0.0001449,0.0001258,0.0001457,0.000147,0.0001676,0.000135,0.0001594,0.0001582,0.000177,0.0001491,0.0002018,0.000202,0.0002141,0.0002207,0.0002231,0.0002291,0.0002291,0.0002332,0.0002567,0.0002609,0.0002725,0.0002217,0.000213,0.000218,0.000223,0.000228,0.000233,0.000238,0.000243,0.000248,0.000253,0.000258,0.000263,0.000268,0.00027141,0.00027482,0.00027823,0.00028164,0.00028505,0.00028846,0.00029187,0.00029528,0.00029869,0.0003021,0.00030551,0.0003089199999999,0.00031233,0.00031574,0.00031915,0.00032256,0.0003259699999999,0.00032938,0.00033279,0.0003362
PD22,baseline,ethiopia,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0003335,0.000667,0.0010004999999999,0.0011592,0.001471,0.0019245,0.0018716,0.0015416,0.0017558,0.0016651,0.0020539,0.0018388,0.0019873,0.0020862,0.0024078,0.0024918,0.0027065,0.0028103,0.0032413,0.0034819,0.0036328999999999,0.0038331,0.0040663999999999,0.0043590999999999,0.0046889,0.0047863,0.0050472,0.0048242,0.0050332,0.0050302454545454,0.0050272909090909,0.0050243363636363,0.0050213818181818,0.0050184272727272,0.0050154727272727,0.0050125181818181,0.0050095636363636,0.005006609090909,0.0050036545454545,0.0050007,0.00512413,0.00524756,0.00537099,0.00549442,0.00561785,0.00574128,0.00586471,0.00598814,0.00611157,0.006235,0.00635843,0.00648186,0.00660529,0.00672872,0.0068521499999999,0.00697558,0.0070990099999999,0.00722244,0.00734587,0.0074693
PD22,baseline,ethiopia,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,ethiopia,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0,0.3800633333333333,0.7601266666666667,1.14019,1.1498712,1.1504668999999998,1.2029202,1.2526559,1.3587208000000002,1.3403932,1.2600068000000002,1.3538401,1.53654,1.497018,1.5156148,1.5793465000000002,1.7123072,1.9042982,2.0091241,2.0954248,2.2096665,2.1573065,2.2295711,2.307377,2.3893167,2.4324894,2.5090772,2.5713697000000004,2.5832101,2.6119947000000003,2.547813890909091,2.483633081818182,2.419452272727273,2.355271463636364,2.291090654545455,2.226909845454545,2.1627290363636367,2.0985482272727274,2.0343674181818185,1.9701866090909093,1.9060058,1.91328545,1.9205651,1.92784475,1.9351244,1.94240405,1.9496837,1.95696335,1.964243,1.97152265,1.9788023,1.98608195,1.9933616,2.00064125,2.0079209,2.0152005500000003,2.0224802000000004,2.02975985,2.0370395,2.04431915,2.0515988000000003
PD22,baseline,ethiopia,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,ethiopia,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0130184666666666,0.0260369333333333,0.0390554,0.0390872,0.0391174,0.0407341,0.0422909,0.0456755,0.0449112,0.0423727,0.0456629999999999,0.0525664,0.0511682,0.0518444999999999,0.0545184,0.0584325,0.064851,0.0674954,0.0696808999999999,0.073477,0.0717607,0.0742177,0.0768833999999999,0.0798417,0.0816897,0.0842759,0.0865107,0.0884697,0.0895827,0.0873704909090909,0.0851582818181818,0.0829460727272727,0.0807338636363636,0.0785216545454545,0.0763094454545454,0.0740972363636363,0.0718850272727272,0.0696728181818182,0.0674606090909091,0.0652484,0.065528635,0.06580887,0.066089105,0.06636934,0.066649575,0.06692981,0.067210045,0.06749028,0.067770515,0.06805075,0.068330985,0.06861122,0.068891455,0.06917169,0.069451925,0.06973216,0.070012395,0.07029263,0.070572865,0.0708531
PD22,baseline,ethiopia,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0001884,0.0003768,0.0005652,0.0005745,0.0005721,0.0005994,0.0006263999999999,0.0006785,0.0006696,0.0006284,0.0006801,0.0007584,0.0007395,0.0007448,0.0007649,0.0008387,0.0009307,0.0009903,0.0010517,0.0011093,0.0010831,0.0011213,0.0011537,0.0011963,0.0012146,0.0012537,0.0012828,0.0012583,0.0012719,0.0012444636363636,0.0012170272727272,0.0011895909090909,0.0011621545454545,0.0011347181818181,0.0011072818181818,0.0010798454545454,0.001052409090909,0.0010249727272727,0.0009975363636363,0.0009701,0.00097663,0.00098316,0.00098969,0.00099622,0.00100275,0.00100928,0.00101581,0.00102234,0.00102887,0.0010354,0.00104193,0.00104846,0.00105499,0.00106152,0.00106805,0.00107458,0.00108111,0.00108764,0.00109417,0.0011007
PD22,baseline,ethiopia,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0003453666666666,0.0006907333333333,0.0010361,0.0010969,0.0010484,0.0010957,0.0011433,0.0012376,0.0012263999999999,0.0011439,0.0012653,0.0012984,0.0012773,0.0012985,0.0012552,0.0014641,0.0016538,0.0019337,0.0021774,0.002345,0.0023019,0.0023677999999999,0.0024569,0.0025526,0.0025781,0.0026711,0.002715,0.0024148999999999,0.0024453,0.0023872181818181,0.0023291363636363,0.0022710545454545,0.0022129727272727,0.0021548909090909,0.002096809090909,0.0020387272727272,0.0019806454545454,0.0019225636363636,0.0018644818181818,0.0018064,0.00182612,0.00184584,0.00186556,0.00188528,0.001905,0.00192472,0.00194444,0.00196416,0.00198388,0.0020036,0.00202332,0.00204304,0.00206276,0.00208248,0.0021022,0.00212192,0.00214164,0.00216136,0.00218108,0.0022008
PD22,baseline,ethiopia,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0180571,0.0361142,0.0541713,0.0544916,0.0545938,0.0570593999999999,0.0593979,0.0645913,0.0635297,0.0596436,0.0641834,0.0732178,0.0714549,0.0726367,0.0759895999999999,0.0823645,0.0914834,0.0954107,0.0994261,0.1043636999999999,0.1019776,0.1056883,0.1095202,0.1134421,0.1155046,0.1191426,0.1221654,0.123546,0.1250034,0.1220652181818182,0.1191270363636363,0.1161888545454545,0.1132506727272727,0.1103124909090909,0.1073743090909091,0.1044361272727272,0.1014979454545454,0.0985597636363636,0.0956215818181818,0.0926834,0.09309636,0.09350932,0.09392228,0.09433524,0.0947482,0.09516116,0.09557412,0.09598708,0.09640004,0.096813,0.09722596,0.09763892,0.09805188,0.09846484,0.0988778,0.09929076,0.09970372,0.10011668,0.10052964,0.1009426
PD22,baseline,ethiopia,Agriculture,Emissions,Nitrogen Fertilizer Management,EM,Emissions,N2O,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,ethiopia,Agriculture,Emissions,Optimal Intensity,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.079551419065055,0.1587405581808725,0.2375245327593282,0.3158554116136287,0.3936796305723233,0.4709373398404821,0.5475616780971162,0.623477965697554,0.6986028087066811,0.7728431048332045,0.8460949416794304,0.9182423770833876,0.9891560907342952,1.0586918957193778,1.1266890982501083,1.1929686935698849,1.2573313860269977,1.3195554215858212,1.3793942217429038,1.436573809031142,1.4907900161760037,1.5417054736800289,1.5889463743500758,1.632099018268421,1.670706148192515,1.704263093619706,1.732213752056869,1.7539464486745897,1.768789730763671,1.7760081714582372
PD22,baseline,ethiopia,Agriculture,Emissions,Rice Cultivation,EM,Emissions,CH4,AFOLU,Mt,0.0,0.000252,0.000504,0.000756,0.0006982,0.000826,0.0007458,0.00091,0.00098,0.00105,0.001148,0.001171,0.001078,0.001008,0.00091,0.0008737,0.0008989,5.89e-05,0.000127,0.0066835,0.0041811999999999,0.0042908999999999,0.0058535,0.0047348,0.0065565,0.0063636,0.0067785,0.007435,0.0088706999999999,0.0080606,0.0074038181818181,0.0067470363636363,0.0060902545454545,0.0054334727272727,0.0047766909090909,0.004119909090909,0.0034631272727272,0.0028063454545454,0.0021495636363636,0.0014927818181818,0.0008359999999999,0.0008467349999999,0.0008574699999999,0.0008682049999999,0.0008789399999999,0.0008896749999999,0.0009004099999999,0.0009111449999999,0.0009218799999999,0.0009326149999999,0.0009433499999999,0.0009540849999999,0.0009648199999999,0.0009755549999999,0.00098629,0.000997025,0.00100776,0.001018495,0.00102923,0.001039965,0.0010507
PD22,baseline,ethiopia,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0002047333333333,0.0004094666666666,0.0006142,0.0008287,0.0009474,0.0016876,0.0011271,0.0015637,0.0016613,0.0015928,0.0013154999999999,0.0020331999999999,0.0007095,0.0017044,0.0016761999999999,0.0017621,0.0022075,0.0023273,0.0024645,0.0032511,0.0032315,0.0051822,0.0035821,0.004941,0.0050932,0.0072367,0.0078419,0.0087479,0.0079422,0.0077133,0.0074843999999999,0.0072555,0.0070266,0.0067977,0.0065688,0.0063399,0.006111,0.0058820999999999,0.0056532,0.0054243,0.00564017,0.00585604,0.00607191,0.00628778,0.00650365,0.00671952,0.00693539,0.00715126,0.00736713,0.007583,0.00779887,0.00801474,0.00823061,0.00844648,0.00866235,0.00887822,0.00909409,0.00930996,0.00952583,0.0097417
PD22,baseline,ethiopia,Commercial,Biofuels and Waste,Charcoal,CHARCOAL,Final consumption,Commercial and public services,COMMPUB,Mt,0.1101101279754762,0.1129332873679956,0.1157568317605458,0.1214035355456154,0.1242266949381348,0.1298733987232044,0.1355200933416066,0.138343252734126,0.1411667971266762,0.1439899565191956,0.1468135009117458,0.1496366603042652,0.1552833640893348,0.1609300678744044,0.166576771659474,0.1722234754445436,0.1778701792296132,0.183516498014652,0.0790534588242762,0.0705832106466564,0.0734067550392066,0.076229914431726,0.076229914431726,0.0790534588242762,0.0818766182167956,0.076229914431726,0.0734067550392066,0.0533863409375736,0.0600608389715334,0.0614470865824332,0.0631326900506148,0.0642025517983031,0.0653945124693434,0.0665864731403838,0.0677784338114241,0.0689703944824644,0.0701623551535047,0.0713543158245451,0.0725462764955854,0.0737382371666257,0.0749301978376661,0.0761221585087064,0.0773141191797467,0.078506079850787,0.0796980405218274,0.0808900011928677,0.082081961863908,0.0832739225349484,0.0844658832059887,0.085657843877029,0.0868498045480694,0.0880417652191097,0.08923372589015,0.0904256865611903,0.0916176472322307,0.092809607903271,0.0940015685743113,0.0951935292453516,0.096385489916392,0.0975774505874323,0.0987694112584726
PD22,baseline,ethiopia,Commercial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,Commercial and public services,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ethiopia,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ethiopia,Commercial,Emissions,Addtl Emissions,EM,Emissions,BC,IND,Mt,0.0004389005178095,0.0004578974246342,0.0004678093499213,0.0004893212398429,0.0005057134511407,0.0005252448313073,0.0005471074685983,0.0005655944691322,0.0005841945561937,0.0006030806559626,0.0006225123767016,0.000648630228236,0.0006692329244956,0.0006925630965493,0.0007185342569746,0.0007327707617227,0.0007567063457333,0.0007831964306932,0.0007709546634151,0.0008004482666993,0.0008361136124473,0.00087273632272,0.0009115517911754,0.0009585926996375,0.0009894274685831,0.0010364500007923,0.0010813997316115,0.0011764214864199,0.001168586627747,0.0011615041238226,0.0011615041238226,0.0011359744049497,0.0011396978471019,0.0011434212892541,0.0011471447314062,0.0011508681735584,0.0011545916157106,0.0011583150578627,0.0011620385000149,0.0011657619421671,0.0011694853843192,0.0011732088264714,0.0011769322686236,0.0011806557107757,0.0011843791529279,0.00118810259508,0.0011918260372322,0.0011955494793844,0.0011992729215365,0.0012029963636887,0.0012067198058409,0.001210443247993,0.0012141666901452,0.0012178901322974,0.0012216135744495,0.0012253370166017,0.0012290604587539,0.001232783900906,0.0012365073430582,0.0012402307852104,0.0012439542273625
PD22,baseline,ethiopia,Commercial,Emissions,Addtl Emissions,EM,Emissions,CH4,IND,Mt,0.0001833722781719,0.0001900776097647,0.0001962567034695,0.000206626365,0.0002370474418757,0.0002488115553005,0.0002625133691891,0.0002729684861184,0.0002863599146504,0.0002981182963115,0.0003103436547815,0.0003242985774414,0.0003388293016076,0.0003541323988125,0.0003700289863256,0.0003851742155561,0.0004060439218048,0.0004216654863033,0.0004181024111513,0.000439198643054,0.0004644931455902,0.0004912901365618,0.0005170818233351,0.000544619918631,0.000566107064085,0.0005908879679512,0.0006038433249497,0.0006547080451882,0.0006462772719212,0.0006385136470654,0.0006385136470654,0.0006244791950374,0.0006265260828439,0.0006285729706504,0.0006306198584568,0.0006326667462633,0.0006347136340698,0.0006367605218762,0.0006388074096827,0.0006408542974892,0.0006429011852957,0.0006449480731021,0.0006469949609086,0.0006490418487151,0.0006510887365215,0.000653135624328,0.0006551825121345,0.0006572293999409,0.0006592762877474,0.0006613231755539,0.0006633700633603,0.0006654169511668,0.0006674638389733,0.0006695107267798,0.0006715576145862,0.0006736045023927,0.0006756513901992,0.0006776982780056,0.0006797451658121,0.0006817920536186,0.000683838941425
PD22,baseline,ethiopia,Commercial,Emissions,Addtl Emissions,EM,Emissions,CO,IND,Mt,0.0018303835068214,0.0019162813608706,0.0019426838722251,0.0020646351850627,0.0023902741677136,0.002517743207614,0.0026775997811499,0.0027924868650827,0.0029377680306688,0.0030665172128403,0.0032000067811953,0.0034928583019143,0.0037554158818154,0.0040447596496026,0.0043622515622527,0.0045961908494339,0.0048698198655551,0.0050978031131297,0.0050830724809513,0.0053411442413646,0.0056437987846309,0.0059862038324503,0.0063548195757512,0.0068004419519265,0.0071473746913284,0.0074988270680689,0.007882579659133,0.0085919293970463,0.0085581801264348,0.0085282256581721,0.0085282256581721,0.008340776299128,0.0083681152936676,0.0083954542882071,0.0084227932827466,0.0084501322772861,0.0084774712718257,0.0085048102663652,0.0085321492609047,0.0085594882554442,0.0085868272499837,0.0086141662445233,0.0086415052390628,0.0086688442336023,0.0086961832281418,0.0087235222226814,0.0087508612172209,0.0087782002117604,0.0088055392062999,0.0088328782008394,0.008860217195379,0.0088875561899185,0.008914895184458,0.0089422341789975,0.0089695731735371,0.0089969121680766,0.0090242511626161,0.0090515901571556,0.0090789291516951,0.0091062681462347,0.0091336071407742
