model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,finland,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0048025382854718,0.00955377545753,0.0142477287028908,0.0188777334700145,0.0234363697541616,0.0279153813993084,0.0323055880061405,0.036596789080633,0.040777660127749,0.0448356404957699,0.0487568129159494,0.0525257748678413,0.056125502142047,0.059537205279341,0.0627401799487492,0.0657116527977451,0.0684266248750625,0.0708577153985136,0.0729750094209832,0.074745913836233,0.0761350271530274,0.0771040295310226,0.0776116006799821,0.0776133743222718,0.0776133743222718,0.0776133743222718,0.0776133743222718,0.0776133743222718,0.0776133743222718,0.0776133743222718
PD22,baseline,finland,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,finland,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0001943,0.0001278,9.49e-05,0.0001069,9.6e-05,0.0001088,0.0001215,0.0001348,0.0001482,0.0001271,0.0001615,0.0001562,0.0001885,0.0002066,0.0002432,0.000232,0.0002077,0.0002188,0.0002336,0.0002335,0.0002281,0.0002737,0.0002455,0.0002457,0.0002888,0.0002611,0.0002323,0.0002098,0.000192,0.0002134,0.0002140909090909,0.0002147818181818,0.0002154727272727,0.0002161636363636,0.0002168545454545,0.0002175454545454,0.0002182363636363,0.0002189272727272,0.0002196181818181,0.000220309090909,0.000221,0.000220945,0.00022089,0.000220835,0.00022078,0.000220725,0.00022067,0.000220615,0.00022056,0.000220505,0.00022045,0.000220395,0.00022034,0.000220285,0.00022023,0.000220175,0.00022012,0.000220065,0.00022001,0.000219955,0.0002199
PD22,baseline,finland,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,5e-06,3.3e-06,2.5e-06,2.8e-06,2.5e-06,2.8e-06,3.2000000000000003e-06,3.5e-06,3.8e-06,3.3e-06,4.2e-06,4e-06,4.9e-06,5.400000000000001e-06,6.3e-06,6e-06,5.400000000000001e-06,5.7000000000000005e-06,6.100000000000001e-06,6.100000000000001e-06,5.9e-06,7.100000000000001e-06,6.4000000000000006e-06,6.4000000000000006e-06,7.5e-06,6.8e-06,6e-06,5.400000000000001e-06,5e-06,5.5e-06,5.518181818181818e-06,5.536363636363636e-06,5.554545454545454e-06,5.5727272727272725e-06,5.590909090909091e-06,5.60909090909091e-06,5.627272727272728e-06,5.645454545454546e-06,5.663636363636364e-06,5.681818181818182e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06
PD22,baseline,finland,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0009739,0.0007943,0.0006163,0.0007632,0.0007815,0.0007733,0.0008528,0.0008758,0.0006786,0.0006979,0.0009328,0.0008511,0.0009011,0.0008779,0.0008459,0.0009438,0.0008801,0.000945,0.0009727,0.0009782,0.0007043,0.0008446,0.0008359,0.0009222,0.0009431,0.0008486,0.0008185,0.0007759,0.0006497,0.0009004999999999,0.0009077545454545,0.000915009090909,0.0009222636363636,0.0009295181818181,0.0009367727272727,0.0009440272727272,0.0009512818181818,0.0009585363636363,0.0009657909090909,0.0009730454545454,0.0009803,0.000978875,0.00097745,0.0009760249999999,0.0009745999999999,0.000973175,0.00097175,0.000970325,0.0009689,0.000967475,0.00096605,0.000964625,0.0009632,0.000961775,0.00096035,0.000958925,0.0009575,0.000956075,0.00095465,0.000953225,0.0009518
PD22,baseline,finland,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0123819956913553,0.024504976793907,0.0363393165852275,0.0478521543557877,0.0590070802650824,0.0697637988123895,0.080077771894707,0.0898998432281371,0.0991758469125831,0.1078462041507706,0.115845513616837,0.123102142727512,0.1295378291115625,0.1350673038975358,0.139597951021675,0.1430295195439057,0.145253908858817,0.1461550495621388,0.1461550495621388,0.1461550495621388,0.1461550495621388,0.1461550495621388,0.1461550495621388,0.1461550495621388,0.1461550495621388,0.1461550495621388,0.1461550495621388,0.1461550495621388,0.1461550495621388,0.1461550495621388
PD22,baseline,finland,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.1103289,0.1048742,0.1019342999999999,0.1007443,0.0990971,0.0936495,0.0930888,0.0929949,0.0908389,0.0882225,0.0858984,0.084171,0.0833933,0.0815615,0.078967,0.0777861,0.0769849,0.0749667,0.0740113,0.0740881,0.074549,0.0736517,0.0734021,0.073381,0.0735725,0.0737119,0.0732246,0.0717248,0.0689712,0.0675797,0.0681575,0.0687353,0.0693131,0.0698909,0.0704687,0.0710465,0.0716243,0.0722021,0.0727799,0.0733577,0.0739355,0.073670835,0.07340617,0.073141505,0.07287684,0.072612175,0.07234751,0.072082845,0.07181818,0.071553515,0.07128885,0.071024185,0.07075952,0.070494855,0.07023019,0.069965525,0.06970086,0.069436195,0.06917153,0.068906865,0.0686422
PD22,baseline,finland,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,finland,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0250094,0.0238542,0.023128,0.0228302,0.0227912,0.0226236,0.0224427,0.02282,0.0221249,0.0214392,0.0207844,0.0202720999999999,0.0205061,0.0205786,0.0201047,0.0201401,0.0201675,0.0199017,0.0199728,0.019298,0.0193146999999999,0.0189931,0.0186646,0.0188192999999999,0.0185148,0.0185012,0.0183887,0.0175879,0.0166736,0.0166107,0.0169128909090909,0.0172150818181818,0.0175172727272727,0.0178194636363636,0.0181216545454545,0.0184238454545454,0.0187260363636363,0.0190282272727272,0.0193304181818181,0.019632609090909,0.0199348,0.0198912199999999,0.01984764,0.01980406,0.01976048,0.0197169,0.0196733199999999,0.01962974,0.01958616,0.01954258,0.019499,0.0194554199999999,0.01941184,0.0193682599999999,0.01932468,0.0192811,0.0192375199999999,0.01919394,0.0191503599999999,0.01910678,0.0190632
PD22,baseline,finland,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.001013,0.0009594,0.000931,0.0009205,0.0009107,0.0008717,0.0008649,0.0008707,0.0008511,0.0008279,0.0008105,0.0007865,0.0007856,0.0007762,0.0007524999999999,0.0007449,0.0007386,0.0007206,0.0007165,0.0007046,0.0007059,0.0006984,0.000694,0.0006975,0.0006963,0.0006971,0.0006939,0.0006753,0.0006485,0.0006399,0.0006470272727272,0.0006541545454545,0.0006612818181818,0.000668409090909,0.0006755363636363,0.0006826636363636,0.0006897909090909,0.0006969181818181,0.0007040454545454,0.0007111727272727,0.0007183,0.00071605,0.0007138,0.00071155,0.0007093,0.00070705,0.0007048,0.00070255,0.0007003,0.00069805,0.0006958,0.00069355,0.0006913,0.00068905,0.0006868,0.00068455,0.0006823,0.00068005,0.0006778,0.00067555,0.0006733
