model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,france,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0013176424176975,0.0026232140440721,0.0039152916336793,0.0051922858640364,0.0064524223907082,0.0076937208501388,0.0089139716154001,0.0101107100986645,0.0112811883842493,0.012422343968262,0.0135307653761901,0.0146026544294312,0.0156337849372688,0.0166194576040203,0.0175544509642691,0.0184329681949347,0.0192485797046268,0.0199941614719721,0.0206618291996371,0.0212428684743393,0.021727661280392,0.0221056094106992,0.0223650555600024,0.0224932031755884,0.0224932031755884,0.0224932031755884,0.0224932031755884,0.0224932031755884,0.0224932031755884,0.0224932031755884
PD22,baseline,france,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,france,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0098062,0.0103325,0.0105341,0.009851,0.0094177,0.0095639,0.010083,0.0104739,0.0104349,0.0101701999999999,0.0104627,0.01035,0.0106146,0.0098436,0.0106037,0.0102048,0.0097509,0.0098193,0.0107057,0.0103046,0.0101697,0.0101855,0.0103714,0.0107532,0.0107386,0.0104286999999999,0.0099728,0.0097268,0.0095234,0.0097527,0.0097357454545454,0.0097187909090909,0.0097018363636363,0.0096848818181818,0.0096679272727272,0.0096509727272727,0.0096340181818181,0.0096170636363636,0.009600109090909,0.0095831545454545,0.0095662,0.00956771,0.00956922,0.00957073,0.00957224,0.00957375,0.00957526,0.00957677,0.00957828,0.00957979,0.0095813,0.00958281,0.00958432,0.00958583,0.00958734,0.00958885,0.00959036,0.00959187,0.00959338,0.00959489,0.0095964
PD22,baseline,france,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0002542,0.0002679,0.0002731,0.0002554,0.0002442,0.000248,0.0002614,0.0002715,0.0002705,0.0002637,0.0002713,0.0002682999999999,0.0002752,0.0002551999999999,0.0002748999999999,0.0002646,0.0002528,0.0002546,0.0002776,0.0002672,0.0002637,0.0002641,0.0002689,0.0002788,0.0002784,0.0002703999999999,0.0002586,0.0002522,0.0002469,0.0002528,0.0002523636363636,0.0002519272727272,0.0002514909090909,0.0002510545454545,0.0002506181818181,0.0002501818181818,0.0002497454545454,0.000249309090909,0.0002488727272727,0.0002484363636363,0.000248,0.00024804,0.00024808,0.00024812,0.00024816,0.0002482,0.00024824,0.00024828,0.00024832,0.00024836,0.0002483999999999,0.00024844,0.00024848,0.00024852,0.00024856,0.0002485999999999,0.00024864,0.00024868,0.0002487199999999,0.00024876,0.0002488
PD22,baseline,france,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0121306,0.012961,0.0128317999999999,0.0116771999999999,0.0113607999999999,0.0114208,0.0132433,0.0132663,0.0144451,0.0136056,0.0138569,0.012641,0.0146216,0.01174,0.0147373,0.0135213,0.0130621,0.0125173,0.0147304,0.0146924,0.0138206,0.0133052,0.0141852,0.0141248,0.0150339,0.0154966,0.0116372,0.0145563,0.0132576,0.0150526,0.0150614272727272,0.0150702545454545,0.0150790818181818,0.015087909090909,0.0150967363636363,0.0151055636363636,0.0151143909090909,0.0151232181818181,0.0151320454545454,0.0151408727272727,0.0151497,0.015157085,0.01516447,0.015171855,0.01517924,0.015186625,0.01519401,0.015201395,0.01520878,0.015216165,0.0152235499999999,0.015230935,0.01523832,0.015245705,0.01525309,0.0152604749999999,0.01526786,0.015275245,0.0152826299999999,0.0152900149999999,0.0152974
PD22,baseline,france,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.004777,0.009554,0.014331,0.0184736895797592,0.0225410480135607,0.0265241486458456,0.0304130119823468,0.0341964827614382,0.0378620929858246,0.0413959093901433,0.0447823636746876,0.0480040636815536,0.0510415835281367,0.0538732305456969,0.0564747867001387,0.0588192220015947,0.0608763772435328,0.062612613257118,0.0642049465904513,0.0657972799237846,0.067389613257118,0.0689819465904513,0.0705742799237846,0.072166613257118,0.0729627799237846,0.0729627799237846,0.0729627799237846,0.0729627799237846,0.0729627799237846,0.0729627799237846
PD22,baseline,france,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,1.6717708,1.6232235000000002,1.5804597000000002,1.5598334,1.5582607000000002,1.5576489999999998,1.5503698,1.5256751,1.5129798,1.5102664,1.5840893,1.5778962,1.5342221,1.4852757,1.4646968,1.4548345,1.4541843,1.4706932,1.476979,1.4554813,1.4381954,1.4051638,1.3968669,1.4028496,1.4108448,1.4150287,1.4115129,1.3844500000000002,1.3650304000000002,1.3336957,1.3388142090909092,1.343932718181818,1.3490512272727273,1.3541697363636365,1.3592882454545454,1.3644067545454546,1.3695252636363635,1.374643772727273,1.3797622818181818,1.3848807909090908,1.3899993,1.38509229,1.3801852799999998,1.37527827,1.37037126,1.36546425,1.36055724,1.35565023,1.35074322,1.34583621,1.3409292,1.33602219,1.3311151799999998,1.32620817,1.32130116,1.3163941499999998,1.31148714,1.30658013,1.30167312,1.29676611,1.2918591
PD22,baseline,france,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,france,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.3236874,0.3141619,0.3112246,0.3106192,0.3122137,0.3120322,0.3135326,0.3112089,0.3105271,0.3098422,0.3201596,0.3227296,0.3170565,0.3088316,0.3053404,0.3030489,0.2997432,0.302427,0.3035550999999999,0.2993689,0.2955741,0.2890829,0.2869201,0.2873969,0.2874767,0.286887,0.2827482,0.2814949,0.2831302,0.2776113,0.2792406,0.2808699,0.2824992,0.2841285,0.2857578,0.2873871,0.2890164,0.2906457,0.292275,0.2939043,0.2955336,0.294765125,0.29399665,0.293228175,0.2924597,0.291691225,0.29092275,0.290154275,0.2893858,0.288617325,0.28784885,0.287080375,0.2863119,0.285543425,0.28477495,0.284006475,0.283238,0.282469525,0.28170105,0.280932575,0.2801641
PD22,baseline,france,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0145889,0.0142404,0.0139888,0.0138972,0.0139494,0.0139693,0.0139598999999999,0.0138263,0.0137552,0.013701,0.0142382,0.0142532,0.013885,0.013445,0.01321,0.0130787,0.013002,0.013153,0.0131791,0.0129912,0.0129605,0.0126977,0.0126311,0.012679,0.012723,0.0127564,0.0126461,0.0124696,0.0123476,0.0120921,0.0121382,0.0121843,0.0122303999999999,0.0122765,0.0123226,0.0123687,0.0124148,0.0124609,0.0125069999999999,0.0125531,0.0125992,0.01255692,0.01251464,0.01247236,0.01243008,0.0123878,0.01234552,0.01230324,0.01226096,0.01221868,0.0121764,0.01213412,0.01209184,0.01204956,0.01200728,0.011965,0.01192272,0.01188044,0.01183816,0.01179588,0.0117536
