model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,germany,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0503574494782004,0.1002091276706684,0.1494955377205314,0.1981502745912753,0.2460992456465047,0.2932598089671606,0.339539822158108,0.3848365941340518,0.4290357322174845,0.4720098768697693,0.5136173165611969,0.5537004757291901,0.5920842695512355,0.6285743204610368,0.6629550330696417,0.6949875265422244,0.7244074266678903,0.7509225240032825,0.7742103097438691,0.7939154075613065,0.8096469277226697,0.8209757795452153,0.8274319897729504,0.8285020878628457,0.8285020878628457,0.8285020878628457,0.8285020878628457,0.8285020878628457,0.8285020878628457,0.8285020878628457
PD22,baseline,germany,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,germany,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0032423,0.0034138,0.0036046,0.0034802,0.0035624,0.0036628,0.0038067,0.0039315,0.0039474,0.0038102,0.0041807,0.0041996,0.0043324,0.0044519,0.0046072,0.0046241,0.0044466,0.0043201,0.0048759,0.0047378,0.0048213,0.0048254,0.004722,0.0047204,0.0047767999999999,0.0047752,0.0045818,0.0046252,0.0043886,0.0044907,0.0044807,0.0044707,0.0044607,0.0044507,0.0044407,0.0044307,0.0044207,0.0044107,0.0044007,0.0043907,0.0043807,0.004380665,0.00438063,0.004380595,0.00438056,0.004380525,0.00438049,0.004380455,0.00438042,0.004380385,0.00438035,0.004380315,0.00438028,0.004380245,0.00438021,0.004380175,0.00438014,0.004380105,0.00438007,0.004380035,0.00438
PD22,baseline,germany,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,8.41e-05,8.85e-05,9.35e-05,9.02e-05,9.24e-05,9.5e-05,9.87e-05,0.0001019,0.0001023,9.88e-05,0.0001083999999999,0.0001089,0.0001123,0.0001154,0.0001194,0.0001199,0.0001153,0.000112,0.0001264,0.0001228,0.000125,0.0001251,0.0001224,0.0001224,0.0001238,0.0001238,0.0001188,0.0001199,0.0001138,0.0001164,0.0001161454545454,0.0001158909090909,0.0001156363636363,0.0001153818181818,0.0001151272727272,0.0001148727272727,0.0001146181818181,0.0001143636363636,0.000114109090909,0.0001138545454545,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136,0.0001136
PD22,baseline,germany,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0087213999999999,0.0088071,0.0078865,0.0079091,0.0080321,0.0086915999999999,0.0091208,0.0096771,0.0094906,0.0095018,0.0096982,0.0104191,0.0091741,0.0084724,0.0108,0.0098500999999999,0.0094298,0.0088489,0.0107398,0.0106319999999999,0.0095268,0.009082,0.0096144,0.0101331,0.010999,0.0104749,0.0097641,0.0098223,0.008289,0.0096136,0.0097006636363636,0.0097877272727272,0.0098747909090909,0.0099618545454545,0.0100489181818181,0.0101359818181818,0.0102230454545454,0.010310109090909,0.0103971727272727,0.0104842363636363,0.0105713,0.010570765,0.01057023,0.010569695,0.01056916,0.010568625,0.01056809,0.010567555,0.01056702,0.010566485,0.01056595,0.010565415,0.01056488,0.010564345,0.01056381,0.010563275,0.01056274,0.010562205,0.01056167,0.010561135,0.0105606
PD22,baseline,germany,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0024920551264872,0.0048166134528754,0.0069539472701975,0.00888203225613,0.0105762868444359,0.0120092837021178,0.0131504307549304,0.0139656190781878,0.0144168348728228,0.0144617326884484,0.0140531670508775,0.0131386797199383,0.0116599399675398,0.0095521355537138,0.0067433125232832,0.0031536625874185,-0.0013052422613359,-0.0067312670723429,-0.0122966537390096,-0.0170379350723429,-0.0209551110723429,-0.0240481817390096,-0.0263171470723429,-0.0277620070723429,-0.0284844370723429,-0.0284844370723429,-0.0284844370723429,-0.0284844370723429,-0.0284844370723429,-0.0284844370723429
PD22,baseline,germany,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,1.6311844000000002,1.5302674,1.3709245,1.3156646,1.2971305,1.2994729,1.290998,1.2820591,1.2373035,1.2106734,1.1828174,1.1724567,1.1487904000000002,1.111115,1.0798404,1.0667296,1.0417967,1.0390549,1.0625843,1.0590904,1.0468106,1.0351811,1.0281838,1.0394539,1.0469992,1.0400126,1.0264036,1.0151066,0.9885916,0.9649026,0.969258890909091,0.973615181818182,0.9779714727272728,0.9823277636363636,0.9866840545454546,0.9910403454545454,0.9953966363636364,0.9997529272727272,1.004109218181818,1.0084655090909092,1.0128218,1.009224235,1.00562667,1.002029105,0.99843154,0.994833975,0.99123641,0.987638845,0.98404128,0.980443715,0.97684615,0.973248585,0.96965102,0.966053455,0.96245589,0.958858325,0.95526076,0.951663195,0.94806563,0.944468065,0.9408705
PD22,baseline,germany,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,germany,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.4480972,0.4089975999999999,0.3601035999999999,0.3559725,0.3515645,0.3429649999999999,0.3358814,0.3379884,0.3344965,0.3396397,0.3312762,0.3303244,0.3287797,0.3251784,0.3167533,0.3220022,0.3160982,0.3194674999999999,0.3206228,0.3209506,0.3165233,0.3178826,0.326359,0.3265685,0.3310185,0.3257814,0.3224516,0.3223591,0.3117649,0.3060989,0.3071573545454545,0.308215809090909,0.3092742636363636,0.3103327181818182,0.3113911727272727,0.3124496272727272,0.3135080818181818,0.3145665363636363,0.3156249909090909,0.3166834454545454,0.3177418999999999,0.317129405,0.31651691,0.315904415,0.31529192,0.314679425,0.3140669299999999,0.313454435,0.31284194,0.312229445,0.31161695,0.311004455,0.31039196,0.309779465,0.30916697,0.308554475,0.30794198,0.307329485,0.30671699,0.306104495,0.305492
PD22,baseline,germany,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0159123,0.0147472,0.0131738,0.0128063,0.0126493,0.0125448,0.0124139,0.0123844,0.0120848999999999,0.0120127,0.0117409,0.0116669,0.01151,0.0112581,0.0109411,0.0109467,0.0107159,0.0107664,0.0109392,0.0109301,0.0108165999999999,0.0107681,0.0108741,0.0110641,0.0110598,0.0110093,0.0109246,0.010858,0.0105613,0.0103455,0.0103672909090909,0.0103890818181818,0.0104108727272727,0.0104326636363636,0.0104544545454545,0.0104762454545454,0.0104980363636363,0.0105198272727272,0.0105416181818181,0.010563409090909,0.0105852,0.010553725,0.01052225,0.010490775,0.0104593,0.010427825,0.01039635,0.010364875,0.0103334,0.010301925,0.01027045,0.010238975,0.0102075,0.010176025,0.01014455,0.010113075,0.0100816,0.010050125,0.01001865,0.009987175,0.0099557
PD22,baseline,germany,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,N2O,AFOLU,Mt,0.0237853,0.0220305,0.0195667,0.019078,0.0188501,0.0186474,0.0184429,0.0184296,0.018099,0.0181274,0.0177571,0.0176884,0.017514,0.0171963,0.0166891,0.0167919,0.0164693,0.0166092,0.01681,0.0168129,0.0165985,0.016567,0.0168079,0.0172224,0.0170467,0.0170228,0.0169728,0.0168903,0.016433,0.0161251,0.0161414727272727,0.0161578454545454,0.0161742181818181,0.0161905909090909,0.0162069636363636,0.0162233363636363,0.016239709090909,0.0162560818181818,0.0162724545454545,0.0162888272727272,0.0163052,0.01626064,0.01621608,0.0161715199999999,0.01612696,0.0160824,0.0160378399999999,0.01599328,0.01594872,0.01590416,0.0158596,0.01581504,0.01577048,0.01572592,0.01568136,0.0156368,0.01559224,0.01554768,0.01550312,0.01545856,0.015414
