model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,jamaica,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0016565263048921,0.0032965381190245,0.0049181192498137,0.0065191375712714,0.0080972222745243,0.0096497391144898,0.0111737635764055,0.0126660519119843,0.0141230100309139,0.0155406602813627,0.0169146062154941,0.0182399955153277,0.0195114813533552,0.0207231825838441,0.0218686433072787,0.0229407925238964,0.0239319047939158,0.0248335630514953,0.0256366249743151,0.0263311945856966,0.0269066010523357,0.027351386924388,0.0276533083266157,0.0277993498243145,0.0277993498243145,0.0277993498243145,0.0277993498243145,0.0277993498243145,0.0277993498243145,0.0277993498243145
PD22,baseline,jamaica,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,jamaica,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,7.580000000000001e-05,8.07e-05,7.78e-05,7.620000000000001e-05,7.620000000000001e-05,7.71e-05,8.690000000000001e-05,7.82e-05,6.840000000000001e-05,7.08e-05,7.33e-05,6.79e-05,6.4e-05,5.8200000000000005e-05,5.79e-05,5.260000000000001e-05,5.6800000000000005e-05,5.79e-05,5.66e-05,5.11e-05,5.4e-05,5.48e-05,5.58e-05,5.800000000000001e-05,5.81e-05,5.38e-05,4.16e-05,4.01e-05,3.78e-05,3.2500000000000004e-05,3.603636363636364e-05,3.957272727272728e-05,4.3109090909090914e-05,4.664545454545455e-05,5.018181818181818e-05,5.3718181818181824e-05,5.7254545454545454e-05,6.07909090909091e-05,6.432727272727273e-05,6.786363636363636e-05,7.14e-05,7.155e-05,7.17e-05,7.185e-05,7.2e-05,7.214999999999999e-05,7.23e-05,7.245e-05,7.26e-05,7.274999999999999e-05,7.29e-05,7.305e-05,7.319999999999999e-05,7.335e-05,7.35e-05,7.365e-05,7.379999999999999e-05,7.395e-05,7.41e-05,7.424999999999999e-05,7.439999999999999e-05
PD22,baseline,jamaica,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,2e-06,2.1e-06,2e-06,2e-06,2e-06,2e-06,2.3e-06,2e-06,1.8e-06,1.8e-06,1.9e-06,1.8e-06,1.7e-06,1.5e-06,1.5e-06,1.4e-06,1.5e-06,1.5e-06,1.5e-06,1.3e-06,1.4e-06,1.4e-06,1.4e-06,1.5e-06,1.5e-06,1.4e-06,1.1e-06,1e-06,1e-06,8.000000000000001e-07,9.000000000000001e-07,1.0000000000000002e-06,1.1e-06,1.2000000000000002e-06,1.3000000000000005e-06,1.4e-06,1.5e-06,1.6e-06,1.7000000000000002e-06,1.8e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06,1.9e-06
PD22,baseline,jamaica,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,1.3e-06,1.3e-06,1.4e-06,1.3e-06,1.5e-06,1.7e-06,1.5e-06,1.3e-06,9e-07,9e-07,7e-07,8.000000000000001e-07,7e-07,8.000000000000001e-07,7e-07,8.000000000000001e-07,8.000000000000001e-07,7e-07,7e-07,9e-07,1.1e-06,1.3e-06,1.4e-06,1.4e-06,1.4e-06,1.3e-06,1.3e-06,1.3e-06,1.3e-06,1.2e-06,1.1909090909090909e-06,1.1818181818181818e-06,1.1727272727272727e-06,1.1636363636363636e-06,1.1545454545454543e-06,1.1454545454545457e-06,1.1363636363636364e-06,1.1272727272727273e-06,1.1181818181818182e-06,1.1090909090909091e-06,1.1e-06,1.12e-06,1.14e-06,1.16e-06,1.18e-06,1.2e-06,1.2200000000000002e-06,1.24e-06,1.26e-06,1.28e-06,1.3e-06,1.32e-06,1.34e-06,1.36e-06,1.38e-06,1.4e-06,1.42e-06,1.4400000000000002e-06,1.46e-06,1.48e-06,1.5e-06
PD22,baseline,jamaica,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,jamaica,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0249332,0.0266639,0.028962,0.0289911,0.027863,0.0284549999999999,0.0267405,0.0256375,0.0255707,0.025645,0.025613,0.0255724,0.0255104,0.0271775,0.0246226999999999,0.0233516,0.0148253,0.0133885,0.0131082,0.0126565,0.012787,0.012837,0.0130607,0.0129555,0.0128503,0.0123536,0.0115136,0.0110738,0.0107338,0.0104324,0.0113031,0.0121738,0.0130445,0.0139152,0.0147859,0.0156566,0.0165273,0.017398,0.0182687,0.0191394,0.0200101,0.020118255,0.02022641,0.020334565,0.02044272,0.020550875,0.02065903,0.020767185,0.02087534,0.020983495,0.02109165,0.021199805,0.02130796,0.021416115,0.02152427,0.021632425,0.02174058,0.021848735,0.02195689,0.022065045,0.0221732
PD22,baseline,jamaica,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,jamaica,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0009651,0.0008949,0.0009851999999999,0.0009948,0.0009746,0.0009672,0.0009685,0.0009588999999999,0.0009575,0.000989,0.0010024,0.0010276,0.0009873,0.0010331,0.001029,0.0011024,0.0009031,0.00084,0.000887,0.0008701,0.0008364,0.0008316,0.0008541,0.0008587,0.0008595,0.0008539,0.0008546,0.0008472,0.0008457,0.0008449,0.000853609090909,0.0008623181818181,0.0008710272727272,0.0008797363636363,0.0008884454545454,0.0008971545454545,0.0009058636363636,0.0009145727272727,0.0009232818181818,0.0009319909090909,0.0009407,0.00094376,0.00094682,0.00094988,0.00095294,0.000956,0.00095906,0.00096212,0.00096518,0.00096824,0.0009713,0.00097436,0.00097742,0.00098048,0.00098354,0.0009866,0.00098966,0.00099272,0.00099578,0.00099884,0.0010019
PD22,baseline,jamaica,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,8.010000000000001e-05,5.650000000000001e-05,6.59e-05,7.170000000000001e-05,7.159999999999999e-05,7.04e-05,6.94e-05,7.04e-05,7.02e-05,7.290000000000001e-05,7.37e-05,7.6e-05,6.74e-05,7.21e-05,7.98e-05,9.84e-05,8.76e-05,7.81e-05,8.840000000000001e-05,8.730000000000001e-05,8e-05,8.010000000000001e-05,8.26e-05,8.39e-05,8.43e-05,8.44e-05,8.52e-05,8.49e-05,8.55e-05,8.59e-05,8.306363636363636e-05,8.022727272727273e-05,7.73909090909091e-05,7.455454545454545e-05,7.171818181818181e-05,6.888181818181819e-05,6.604545454545455e-05,6.320909090909091e-05,6.037272727272728e-05,5.753636363636364e-05,5.47e-05,5.488e-05,5.5060000000000005e-05,5.524e-05,5.542e-05,5.56e-05,5.578e-05,5.596e-05,5.614e-05,5.632e-05,5.650000000000001e-05,5.668e-05,5.686e-05,5.704e-05,5.722e-05,5.74e-05,5.758e-05,5.776e-05,5.794e-05,5.812e-05,5.83e-05
