model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,jordan,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.129333333333348e-06,1.825866666666667e-05,2.738799999999999e-05,3.651733333333334e-05,4.564666666666666e-05,5.4776000000000005e-05,6.390533333333333e-05,7.303466666666665e-05,8.2164e-05,9.129333333333332e-05,0.0001004226666666,0.000109552,0.0001186813333333,0.0001278106666666,0.00013694,0.0001460693333333,0.0001551986666666,0.000164328,0.0001734573333333,0.0001825866666666,0.0001917159999999,0.0002008453333333,0.0002099746666666,0.000219104,0.000219104,0.000219104,0.000219104,0.000219104,0.000219104,0.000219104
PD22,baseline,jordan,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,jordan,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,6.3e-05,5.66e-05,5.69e-05,4.19e-05,3.3799999999999995e-05,4.56e-05,3.24e-05,4.340000000000001e-05,3.43e-05,7.2e-06,2.32e-05,1.67e-05,3.67e-05,3.34e-05,1.37e-05,3.52e-05,3.08e-05,2.46e-05,1.63e-05,2e-05,2.72e-05,1.76e-05,2.04e-05,2.52e-05,2.64e-05,2.66e-05,2.8e-05,1.2200000000000002e-05,1.3100000000000002e-05,1.38e-05,1.5554545454545453e-05,1.730909090909091e-05,1.9063636363636364e-05,2.0818181818181817e-05,2.257272727272727e-05,2.4327272727272724e-05,2.608181818181818e-05,2.7836363636363634e-05,2.9590909090909088e-05,3.1345454545454545e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05,3.31e-05
PD22,baseline,jordan,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,1.6e-06,1.5e-06,1.5e-06,1.1e-06,9e-07,1.2e-06,8.000000000000001e-07,1.1e-06,9e-07,2.0000000000000002e-07,6e-07,4.0000000000000003e-07,1e-06,9e-07,4.0000000000000003e-07,9e-07,8.000000000000001e-07,6e-07,4.0000000000000003e-07,5e-07,7e-07,5e-07,5e-07,7e-07,7e-07,7e-07,7e-07,3e-07,3e-07,4.0000000000000003e-07,4.454545454545455e-07,4.909090909090909e-07,5.363636363636364e-07,5.818181818181818e-07,6.272727272727272e-07,6.727272727272726e-07,7.181818181818181e-07,7.636363636363636e-07,8.09090909090909e-07,8.545454545454544e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07,9e-07
PD22,baseline,jordan,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,4.02e-05,3.54e-05,4.58e-05,2.88e-05,2.5e-05,3.17e-05,2.53e-05,2.78e-05,2.47e-05,9.1e-06,1.73e-05,1.62e-05,3.53e-05,2.54e-05,1.9e-05,3.09e-05,2.3e-05,1.82e-05,1.7100000000000002e-05,1.93e-05,2.47e-05,2.6e-05,2.59e-05,2.86e-05,3e-05,3.04e-05,3.2200000000000003e-05,2.77e-05,2.64e-05,3.48e-05,3.41e-05,3.34e-05,3.2699999999999995e-05,3.2e-05,3.13e-05,3.06e-05,2.99e-05,2.92e-05,2.85e-05,2.78e-05,2.71e-05,2.724e-05,2.738e-05,2.752e-05,2.766e-05,2.78e-05,2.794e-05,2.808e-05,2.822e-05,2.836e-05,2.85e-05,2.864e-05,2.878e-05,2.892e-05,2.906e-05,2.92e-05,2.934e-05,2.948e-05,2.962e-05,2.9760000000000003e-05,2.99e-05
PD22,baseline,jordan,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,jordan,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0132132,0.0163583,0.0206675,0.021639,0.0182459,0.0186962,0.0174227,0.0158154,0.0138538,0.0148009,0.0126795,0.0124989,0.0131965,0.0132277,0.0134079,0.0151492,0.0153541,0.0178713,0.0215857,0.0182705,0.0179688,0.0184816,0.0184883,0.0192256,0.0212019,0.0209608999999999,0.0246573,0.023023,0.0227697,0.0222621,0.0217750636363636,0.0212880272727272,0.0208009909090909,0.0203139545454545,0.0198269181818181,0.0193398818181818,0.0188528454545454,0.018365809090909,0.0178787727272727,0.0173917363636363,0.0169046999999999,0.0171172149999999,0.0173297299999999,0.0175422449999999,0.0177547599999999,0.0179672749999999,0.0181797899999999,0.0183923049999999,0.0186048199999999,0.0188173349999999,0.01902985,0.0192423649999999,0.01945488,0.019667395,0.01987991,0.020092425,0.02030494,0.020517455,0.02072997,0.020942485,0.021155
PD22,baseline,jordan,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,jordan,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0007090999999999,0.0008552,0.0010465,0.001092,0.0010333,0.0010513999999999,0.0010282,0.0009976,0.0009101,0.0009525,0.0009001,0.0009003,0.0009332,0.0009761,0.0010464,0.0011163,0.0010096,0.001094,0.0012151,0.0011485,0.0011759,0.0012114,0.0011416,0.0011758,0.0012467,0.0012538,0.0013919,0.0013376,0.0013319,0.0013205,0.0013334,0.0013463,0.0013592,0.0013721,0.001385,0.0013979,0.0014108,0.0014237,0.0014366,0.0014495,0.0014624,0.00148494,0.00150748,0.00153002,0.00155256,0.0015751,0.00159764,0.00162018,0.00164272,0.00166526,0.0016878,0.00171034,0.00173288,0.00175542,0.00177796,0.0018005,0.00182304,0.00184558,0.00186812,0.00189066,0.0019132
PD22,baseline,jordan,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,1.39e-05,1.67e-05,1.9900000000000003e-05,2.02e-05,2.11e-05,2.11e-05,2.17e-05,2.2700000000000003e-05,2.1600000000000003e-05,2.21e-05,2.25e-05,2.28e-05,2.3e-05,2.46e-05,2.71e-05,2.78e-05,2.39e-05,2.36e-05,2.37e-05,2.48e-05,2.68e-05,2.77e-05,2.4500000000000003e-05,2.49e-05,2.53e-05,2.66e-05,2.71e-05,2.7e-05,2.72e-05,2.81e-05,2.9281818181818184e-05,3.0463636363636363e-05,3.1645454545454545e-05,3.282727272727273e-05,3.400909090909091e-05,3.519090909090909e-05,3.637272727272727e-05,3.755454545454545e-05,3.873636363636363e-05,3.991818181818181e-05,4.11e-05,4.183e-05,4.256e-05,4.329e-05,4.402e-05,4.475e-05,4.548e-05,4.621e-05,4.694e-05,4.767e-05,4.84e-05,4.913e-05,4.986e-05,5.059e-05,5.132e-05,5.205e-05,5.278e-05,5.351e-05,5.424e-05,5.497e-05,5.57e-05
