model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,lithuania,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0031036373333333,0.0062072746666666,0.0093109119999999,0.0124145493333333,0.0151612137116051,0.0178654837338604,0.0205223357168803,0.0231261534679541,0.025670659103919,0.0281488359690555,0.0305528427939291,0.0328739181554665,0.0351022742119363,0.037226978595689,0.0392358232524088,0.0411151789196385,0.0428498338413508,0.0444228152219956,0.045815191836227,0.0470058561339533,0.0479712841203441,0.0486852712544053,0.0491186426070775,0.0492389355621295,0.0492389355621295,0.0492389355621295,0.0492389355621295,0.0492389355621295,0.0492389355621295,0.0492389355621295
PD22,baseline,lithuania,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,lithuania,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0001628,0.0003256,0.0004247,0.0003105,0.0003001,0.0003931,0.0004219,0.0004036,0.0003756999999999,0.0004153,0.0003931,0.0003697,0.0003706999999999,0.0003873,0.0004034,0.0003767,0.0003975,0.0004563,0.0005549,0.0005782,0.0006211,0.000712,0.0007672,0.0008158999999999,0.0009347,0.0009845,0.0009037,0.0008709,0.0010019,0.0009466727272727,0.0008914454545454,0.0008362181818181,0.0007809909090909,0.0007257636363636,0.0006705363636363,0.000615309090909,0.0005600818181818,0.0005048545454545,0.0004496272727272,0.0003944,0.000394315,0.0003942299999999,0.000394145,0.00039406,0.0003939749999999,0.00039389,0.000393805,0.00039372,0.000393635,0.00039355,0.000393465,0.00039338,0.000393295,0.00039321,0.000393125,0.00039304,0.000392955,0.00039287,0.000392785,0.0003927
PD22,baseline,lithuania,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0,4.2e-06,8.4e-06,1.1e-05,8.1e-06,7.8e-06,1.02e-05,1.09e-05,1.05e-05,9.7e-06,1.0800000000000002e-05,1.02e-05,9.6e-06,9.6e-06,1e-05,1.05e-05,9.8e-06,1.03e-05,1.18e-05,1.44e-05,1.5e-05,1.6100000000000002e-05,1.85e-05,1.9900000000000003e-05,2.12e-05,2.42e-05,2.55e-05,2.34e-05,2.26e-05,2.6e-05,2.456363636363636e-05,2.3127272727272725e-05,2.169090909090909e-05,2.0254545454545453e-05,1.8818181818181816e-05,1.7381818181818183e-05,1.5945454545454543e-05,1.4509090909090908e-05,1.3072727272727272e-05,1.1636363636363635e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05,1.02e-05
PD22,baseline,lithuania,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0,0.00031655,0.0006331,0.0007441,0.0005997,0.0005611,0.0007116,0.0007712,0.000731,0.0005809,0.0006902,0.0006012,0.0006502,0.0006383,0.0006664,0.0006703,0.0004749,0.0006894,0.0007678,0.0008294,0.0006377,0.0007331999999999,0.0010057,0.0009616,0.0011251,0.0013508,0.0011746,0.0011757,0.0009306,0.0011669,0.0011215272727272,0.0010761545454545,0.0010307818181818,0.000985409090909,0.0009400363636363,0.0008946636363636,0.0008492909090909,0.0008039181818181,0.0007585454545454,0.0007131727272727,0.0006678,0.0006673,0.0006667999999999,0.0006663,0.0006658,0.0006653,0.0006648,0.0006643,0.0006638,0.0006633,0.0006628,0.0006623,0.0006618,0.0006613,0.0006608,0.0006603,0.0006598,0.0006593,0.0006588,0.0006583,0.0006578
PD22,baseline,lithuania,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0015012183333333,0.0030024366666666,0.004503655,0.0060048733333333,0.0075060916666666,0.00900731,0.0105085283333333,0.0120097466666666,0.013262598924326,0.0144859550543788,0.0156763197990787,0.0168297856586443,0.0179419847581917,0.0190080352173971,0.0200224814259963,0.0209792275713087,0.0218714637037129,0.022691583562812,0.0234310933215552,0.024080510338799,0.0246292509440018,0.0250655062128061,0.0253761046315715,0.0255463604956556,0.0255599068444879,0.0255599068444879,0.0255599068444879,0.0255599068444879,0.0255599068444879,0.0255599068444879
PD22,baseline,lithuania,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0887735,0.177547,0.1433606,0.1213648,0.1056061,0.0996599,0.0998204,0.0953867,0.0875524,0.0821448,0.0718107,0.072201,0.0740405,0.0757513,0.0742473,0.0739775,0.0756073,0.0713442,0.0690156,0.0672639999999999,0.0666583,0.0656547,0.0634492,0.0620376,0.0632845,0.0618054,0.0594112,0.0551347,0.0529775,0.0548137818181818,0.0566500636363636,0.0584863454545454,0.0603226272727272,0.062158909090909,0.0639951909090909,0.0658314727272727,0.0676677545454545,0.0695040363636363,0.0713403181818181,0.0731766,0.07290671,0.0726368199999999,0.07236693,0.07209704,0.0718271499999999,0.07155726,0.07128737,0.07101748,0.07074759,0.0704777,0.07020781,0.06993792,0.0696680299999999,0.06939814,0.06912825,0.06885836,0.06858847,0.06831858,0.06804869,0.0677788
PD22,baseline,lithuania,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,lithuania,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0198933,0.0397866,0.0301158,0.0263563,0.0247409,0.0240076,0.0233058,0.0228981,0.0215883,0.018986,0.0173522,0.0183259,0.0188703,0.0190647,0.0189878,0.0191383,0.0192981,0.0174436,0.0167329,0.0166149999999999,0.0166453,0.0155021,0.0151235,0.0145329999999999,0.0144421,0.0139532,0.013464,0.0122113,0.0117865,0.0124544181818181,0.0131223363636363,0.0137902545454545,0.0144581727272727,0.0151260909090909,0.015794009090909,0.0164619272727272,0.0171298454545454,0.0177977636363636,0.0184656818181818,0.0191336,0.019085735,0.01903787,0.018990005,0.01894214,0.018894275,0.01884641,0.018798545,0.01875068,0.018702815,0.01865495,0.018607085,0.01855922,0.018511355,0.01846349,0.018415625,0.01836776,0.018319895,0.01827203,0.018224165,0.0181763
PD22,baseline,lithuania,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0,0.00081705,0.0016341,0.0012837,0.0011052,0.0009913,0.0009457,0.0009364,0.0009021,0.0008357,0.0007645999999999,0.0006808,0.0006989,0.000718,0.000733,0.0007235,0.0007254,0.0007361,0.0006875,0.0006621,0.0006502,0.0006479,0.0006254,0.0006071,0.0005915,0.0005981,0.0005803,0.0005601,0.0005175,0.0005034999999999,0.0005232454545454,0.0005429909090909,0.0005627363636363,0.0005824818181818,0.0006022272727272,0.0006219727272727,0.0006417181818181,0.0006614636363636,0.000681209090909,0.0007009545454545,0.0007207,0.00071831,0.00071592,0.00071353,0.00071114,0.00070875,0.00070636,0.00070397,0.00070158,0.00069919,0.0006968,0.00069441,0.00069202,0.00068963,0.00068724,0.00068485,0.00068246,0.00068007,0.00067768,0.00067529,0.0006729
PD22,baseline,lithuania,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,N2O,AFOLU,Mt,0.0,0.00116935,0.0023387,0.0017753,0.0015287,0.0013784,0.0013147,0.0012879,0.0012498,0.0011612,0.0010606,0.0009416,0.0009786,0.0010084,0.0010378,0.0010287,0.0010414,0.0010607,0.0009866,0.0009512,0.0009417,0.00094,0.0009021,0.0008798,0.0008566,0.0008677,0.0008425,0.0008192,0.0007623,0.0007522,0.0007777818181818,0.0008033636363636,0.0008289454545454,0.0008545272727272,0.000880109090909,0.0009056909090909,0.0009312727272727,0.0009568545454545,0.0009824363636363,0.0010080181818181,0.0010336,0.001030415,0.00102723,0.001024045,0.00102086,0.001017675,0.00101449,0.001011305,0.00100812,0.001004935,0.00100175,0.000998565,0.00099538,0.000992195,0.00098901,0.000985825,0.00098264,0.000979455,0.00097627,0.000973085,0.0009699
PD22,baseline,lithuania,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,N2O,AFOLU,Mt,0.0,0.00079415,0.0015883,0.0012623,0.001056,0.000902,0.0008433,0.0008419,0.0008085,0.00074,0.0007134,0.0006099,0.00061,0.0006245,0.0006498,0.0006377,0.00064,0.0006623,0.0006256,0.0006097,0.000596,0.0005882,0.0005817,0.0005652,0.0005535,0.0005712,0.0005663,0.0005505999999999,0.0005193,0.0005005,0.0005122181818181,0.0005239363636363,0.0005356545454545,0.0005473727272727,0.0005590909090909,0.000570809090909,0.0005825272727272,0.0005942454545454,0.0006059636363636,0.0006176818181818,0.0006294,0.000627225,0.00062505,0.000622875,0.0006207,0.000618525,0.00061635,0.000614175,0.000612,0.000609825,0.0006076499999999,0.000605475,0.0006033,0.000601125,0.00059895,0.000596775,0.0005946,0.0005924249999999,0.00059025,0.000588075,0.0005859
