model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,nepal,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0061154666666666,0.011747024400335,0.0173211127731057,0.022830921730739,0.0282688380191109,0.0336263514032034,0.0388939501753804,0.0440610047899814,0.0491156383503653,0.0540445825571234,0.0588330176030701,0.0634643943730578,0.0679202371765342,0.0721799251106443,0.0762204500251399,0.0800161489421184,0.0835384086798298,0.0867553403484383,0.0896314213367984,0.0921271024056996,0.0941983775604017,0.0957963145129521,0.0968665437861853,0.0973487048845398,0.0973487048845398,0.0973487048845398,0.0973487048845398,0.0973487048845398,0.0973487048845398,0.0973487048845398
PD22,baseline,nepal,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,nepal,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0049146,0.0048306,0.0046499,0.0049282,0.0048414,0.0051215,0.0051717,0.0051824,0.0051906999999999,0.0052561,0.0053428,0.0052755,0.0053488,0.0053801,0.0053904,0.0054177,0.0054332,0.005359,0.0055236,0.0055267,0.0054607,0.0056086,0.0055667,0.0053313,0.0056459,0.0054394,0.0053787,0.0056563,0.0056599,0.0056416,0.005712,0.0057824,0.0058528,0.0059232,0.0059936,0.006064,0.0061344,0.0062048,0.0062752,0.0063456,0.006416,0.006436135,0.00645627,0.006476405,0.00649654,0.006516675,0.00653681,0.006556945,0.00657708,0.006597215,0.00661735,0.006637485,0.00665762,0.006677755,0.00669789,0.006718025,0.00673816,0.006758295,0.0067784299999999,0.0067985649999999,0.0068187
PD22,baseline,nepal,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0001274,0.0001252,0.0001206,0.0001278,0.0001255,0.0001328,0.0001341,0.0001344,0.0001346,0.0001363,0.0001385,0.0001368,0.0001386999999999,0.0001395,0.0001398,0.0001405,0.0001409,0.0001389,0.0001431999999999,0.0001433,0.0001416,0.0001454,0.0001443,0.0001382,0.0001464,0.0001409999999999,0.0001394,0.0001466,0.0001467,0.0001463,0.0001481181818181,0.0001499363636363,0.0001517545454545,0.0001535727272727,0.0001553909090909,0.000157209090909,0.0001590272727272,0.0001608454545454,0.0001626636363636,0.0001644818181818,0.0001663,0.000166825,0.00016735,0.000167875,0.0001684,0.000168925,0.00016945,0.000169975,0.0001705,0.000171025,0.00017155,0.000172075,0.0001726,0.000173125,0.00017365,0.000174175,0.0001747,0.000175225,0.00017575,0.000176275,0.0001768
PD22,baseline,nepal,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0016543,0.0015887,0.0014355,0.0016413,0.0015626,0.0017253,0.0017921,0.0017955,0.0017968,0.0018532,0.001946,0.0019341999999999,0.001974,0.0020065,0.0020762,0.0020824,0.0020711,0.0019948,0.0021536,0.002162,0.002106,0.0022561,0.0024042,0.002225,0.0024174,0.0023474,0.0022131,0.0024591,0.0024771999999999,0.0025834,0.0026455181818181,0.0027076363636363,0.0027697545454545,0.0028318727272727,0.0028939909090909,0.002956109090909,0.0030182272727272,0.0030803454545454,0.0031424636363636,0.0032045818181818,0.0032667,0.00331713,0.00336756,0.00341799,0.00346842,0.00351885,0.00356928,0.00361971,0.00367014,0.00372057,0.003771,0.00382143,0.00387186,0.00392229,0.00397272,0.00402315,0.00407358,0.00412401,0.00417444,0.00422487,0.0042753
PD22,baseline,nepal,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,nepal,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.3882986,0.3896347,0.390581,0.3914895,0.4071073,0.4221634,0.4290625,0.434589,0.4394947,0.4425105,0.4463767,0.4518388,0.4565781,0.4649687,0.472979,0.4821008,0.4903405,0.5028360000000001,0.5128751,0.5275011,0.5393017999999999,0.5510179000000001,0.5616426,0.5706344,0.5681932000000001,0.5679645000000001,0.5734957,0.5762508000000001,0.5853417,0.591716,0.5896187363636364,0.5875214727272727,0.5854242090909091,0.5833269454545454,0.5812296818181818,0.5791324181818183,0.5770351545454546,0.574937890909091,0.5728406272727273,0.5707433636363637,0.5686461,0.572655635,0.5766651700000001,0.5806747050000001,0.5846842400000001,0.5886937750000001,0.5927033100000001,0.5967128450000001,0.6007223800000001,0.6047319150000001,0.6087414500000001,0.6127509850000001,0.61676052,0.620770055,0.62477959,0.6287891250000001,0.6327986600000001,0.6368081950000001,0.6408177300000001,0.6448272650000001,0.6488368000000001
PD22,baseline,nepal,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,nepal,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0292125,0.0293497,0.0294317,0.0295074,0.0306884,0.0318542,0.0324628999999999,0.0330173,0.0334765999999999,0.033854,0.0342766,0.0347564,0.0351511,0.0357322,0.0362978,0.0369651,0.0375407,0.038438,0.0391802,0.0402654,0.0411195,0.0421646,0.0430144,0.0437132,0.0435294,0.0435544,0.0442119,0.044492,0.0453764,0.0458984,0.0457288636363636,0.0455593272727272,0.0453897909090909,0.0452202545454545,0.0450507181818181,0.0448811818181818,0.0447116454545454,0.044542109090909,0.0443725727272727,0.0442030363636363,0.0440334999999999,0.0443693349999999,0.0447051699999999,0.0450410049999999,0.0453768399999999,0.0457126749999999,0.04604851,0.046384345,0.04672018,0.047056015,0.04739185,0.047727685,0.04806352,0.048399355,0.04873519,0.049071025,0.04940686,0.049742695,0.05007853,0.050414365,0.0507502
PD22,baseline,nepal,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0003866,0.00039,0.0003912,0.0003926,0.0004054,0.0004193,0.000427,0.0004366,0.0004455,0.0004542,0.0004623,0.0004716,0.0004802,0.0004888,0.000497,0.0005053,0.0005145999999999,0.0005293,0.0005412,0.0005557,0.0005695,0.0006044,0.0006246,0.0006382,0.0006388,0.0006428,0.0006862,0.0006933,0.0007124,0.0007267,0.0007198727272727,0.0007130454545454,0.0007062181818181,0.0006993909090909,0.0006925636363636,0.0006857363636363,0.000678909090909,0.0006720818181818,0.0006652545454545,0.0006584272727272,0.0006516,0.00065889,0.00066618,0.00067347,0.00068076,0.00068805,0.00069534,0.00070263,0.00070992,0.00071721,0.0007245,0.00073179,0.00073908,0.00074637,0.00075366,0.00076095,0.00076824,0.00077553,0.0007828199999999,0.00079011,0.0007974
