model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,paraguay,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0710048615381897,0.1413185743831795,0.210860728612801,0.2795417995230932,0.3472621739803964,0.4139110875634337,0.4793654680856116,0.5434886819326317,0.6061291808688621,0.6671190486451656,0.7262724489808949,0.7833839794052878,0.8382269391501131,0.8905515239138622,0.9400829659956144,0.9865196451417464,1.0295312035552475,1.068756707937762,1.1038029121540704,1.1342426860157335,1.1596136885293191,1.179417377324459,1.1931184592294617,1.2001448992017347,1.2001448992017347,1.2001448992017347,1.2001448992017347,1.2001448992017347,1.2001448992017347,1.2001448992017347
PD22,baseline,paraguay,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,paraguay,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0008405,0.0009368,0.0009808,0.0010052,0.000903,0.0012069,0.001246,0.0014125,0.0013089,0.0013135,0.0011769,0.0015548,0.0014668,0.0017002999999999,0.0017078,0.0016538,0.0022513999999999,0.0025101,0.0029223,0.0028885,0.0030134,0.0032351999999999,0.0036551,0.0037241,0.0031501,0.0036137,0.0035572,0.0035038,0.0037573,0.0038746,0.003737009090909,0.0035994181818181,0.0034618272727272,0.0033242363636363,0.0031866454545454,0.0030490545454545,0.0029114636363636,0.0027738727272727,0.0026362818181818,0.0024986909090909,0.0023611,0.002363065,0.00236503,0.002366995,0.00236896,0.002370925,0.00237289,0.002374855,0.00237682,0.002378785,0.00238075,0.002382715,0.00238468,0.002386645,0.00238861,0.002390575,0.00239254,0.002394505,0.00239647,0.002398435,0.0024004
PD22,baseline,paraguay,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,2.18e-05,2.43e-05,2.54e-05,2.61e-05,2.34e-05,3.13e-05,3.2300000000000006e-05,3.66e-05,3.39e-05,3.41e-05,3.05e-05,4.03e-05,3.8e-05,4.41e-05,4.43e-05,4.29e-05,5.84e-05,6.510000000000001e-05,7.580000000000001e-05,7.489999999999999e-05,7.81e-05,8.39e-05,9.48e-05,9.66e-05,8.17e-05,9.37e-05,9.22e-05,9.08e-05,9.74e-05,0.0001005,9.692727272727272e-05,9.335454545454544e-05,8.978181818181818e-05,8.620909090909091e-05,8.263636363636364e-05,7.906363636363636e-05,7.549090909090909e-05,7.191818181818182e-05,6.834545454545454e-05,6.477272727272727e-05,6.12e-05,6.125e-05,6.13e-05,6.135e-05,6.14e-05,6.145e-05,6.149999999999999e-05,6.154999999999999e-05,6.159999999999999e-05,6.165e-05,6.17e-05,6.175e-05,6.18e-05,6.185e-05,6.19e-05,6.194999999999999e-05,6.199999999999999e-05,6.204999999999999e-05,6.209999999999999e-05,6.214999999999999e-05,6.22e-05
PD22,baseline,paraguay,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0006918,0.0004652,0.0005191,0.0006718,0.0006747,0.0007804999999999,0.0008867,0.000991,0.0009832,0.0010247,0.0009935,0.0012565,0.0012318,0.0014643,0.001458,0.0015234,0.0016493,0.0021605,0.0023013,0.0019068,0.002831,0.0030804,0.0024327,0.0034214,0.0034163,0.003592,0.0036254,0.0038316,0.0039173,0.0037234,0.0036508545454545,0.003578309090909,0.0035057636363636,0.0034332181818181,0.0033606727272727,0.0032881272727272,0.0032155818181818,0.0031430363636363,0.0030704909090909,0.0029979454545454,0.0029254,0.002951815,0.00297823,0.003004645,0.00303106,0.003057475,0.0030838899999999,0.003110305,0.00313672,0.003163135,0.00318955,0.003215965,0.00324238,0.003268795,0.00329521,0.003321625,0.00334804,0.003374455,0.00340087,0.003427285,0.0034537
PD22,baseline,paraguay,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,paraguay,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.4760666,0.4403547,0.4550374,0.4955725,0.5242105,0.5631672,0.5614785000000001,0.5631235,0.5648912,0.5542912,0.5588289999999999,0.5673763000000001,0.5319392000000001,0.5807294000000001,0.5526569,0.5645118,0.5720778000000001,0.5995131,0.5999301,0.6644253,0.7017380000000001,0.7093641,0.7573763,0.7622816,0.8234199,0.8095962,0.7896539,0.7857111999999999,0.7671511000000001,0.7840950000000001,0.7891300272727274,0.7941650545454546,0.7992000818181819,0.8042351090909092,0.8092701363636364,0.8143051636363637,0.8193401909090909,0.8243752181818182,0.8294102454545456,0.8344452727272728,0.8394803000000001,0.8515321100000001,0.8635839200000001,0.8756357300000001,0.88768754,0.89973935,0.91179116,0.92384297,0.93589478,0.94794659,0.9599984,0.97205021,0.98410202,0.99615383,1.00820564,1.02025745,1.03230926,1.04436107,1.05641288,1.06846469,1.0805165
PD22,baseline,paraguay,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,paraguay,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0117327,0.0110852,0.0113006,0.01201,0.0126082,0.013334,0.0130533,0.0129264,0.0128664,0.0125291,0.0125698,0.0127282,0.0116465,0.0126402,0.0121884,0.0123292,0.0123205,0.0127875,0.012498,0.013672,0.014361,0.0145221,0.0154092,0.0155298,0.0166574,0.0164513,0.0161356,0.0161163,0.0157053999999999,0.016127,0.0162343363636363,0.0163416727272727,0.016449009090909,0.0165563454545454,0.0166636818181818,0.0167710181818181,0.0168783545454545,0.0169856909090909,0.0170930272727272,0.0172003636363636,0.0173077,0.017543,0.0177783,0.0180136,0.0182489,0.0184842,0.0187195,0.0189548,0.0191901,0.0194254,0.0196607,0.019896,0.0201313,0.0203666,0.0206019,0.0208372,0.0210725,0.0213078,0.0215431,0.0217784,0.0220137
PD22,baseline,paraguay,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0007515,0.0007772,0.0007606,0.0007573,0.0007662,0.0007787,0.0007071,0.0006619,0.0006334,0.0005915,0.000576,0.0005782,0.0004556,0.0004914,0.0005005,0.0004865,0.0004475,0.0004245999999999,0.0003842,0.0003953999999999,0.0004049,0.0004133,0.0004244,0.0004334,0.0004462,0.0004542,0.0004632,0.0004766,0.0004629,0.0004856,0.0004843818181818,0.0004831636363636,0.0004819454545454,0.0004807272727272,0.000479509090909,0.0004782909090909,0.0004770727272727,0.0004758545454545,0.0004746363636363,0.0004734181818181,0.0004722,0.000476285,0.00048037,0.000484455,0.00048854,0.000492625,0.00049671,0.000500795,0.00050488,0.000508965,0.00051305,0.000517135,0.00052122,0.000525305,0.00052939,0.0005334749999999,0.00053756,0.000541645,0.00054573,0.0005498149999999,0.0005539
