model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,serbia,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0089031206796768,0.0177180975847598,0.0264345105148306,0.0350407164846375,0.0435237085093603,0.0518689586528128,0.0600602437289723,0.0680794519196502,0.0759063684435728,0.0835184382880887,0.0908905038988088,0.0979945156207454,0.104799212604768,0.111269771845326,0.1173674230118575,0.1230490267925362,0.1282666146039722,0.132966887757132,0.1370906745356304,0.1405723441701761,0.1433391774201823,0.1453106944436349,0.1463979418976313,0.1465027428172207,0.1465027428172207,0.1465027428172207,0.1465027428172207,0.1465027428172207,0.1465027428172207,0.1465027428172207
PD22,baseline,serbia,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,serbia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0,0.00023386875,0.0004677375,0.00070160625,0.000935475,0.00116934375,0.0014032125,0.00163708125,0.00187095,0.00210481875,0.0023386875,0.00257255625,0.002806425,0.00304029375,0.0032741625,0.00350803125,0.0037419,0.0038489,0.0039659,0.0038764,0.0038266,0.0039302,0.0032868,0.0033291,0.0035093999999999,0.0033647,0.00337,0.0033069,0.0031293,0.0032213,0.0032700545454545,0.003318809090909,0.0033675636363636,0.0034163181818181,0.0034650727272727,0.0035138272727272,0.0035625818181818,0.0036113363636363,0.0036600909090909,0.0037088454545454,0.0037576,0.003761265,0.00376493,0.003768595,0.00377226,0.003775925,0.00377959,0.003783255,0.00378692,0.003790585,0.00379425,0.003797915,0.00380158,0.003805245,0.00380891,0.003812575,0.00381624,0.003819905,0.00382357,0.003827235,0.0038309
PD22,baseline,serbia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0,6.0625e-06,1.2125e-05,1.81875e-05,2.425e-05,3.03125e-05,3.6375e-05,4.24375e-05,4.85e-05,5.45625e-05,6.0625e-05,6.66875e-05,7.275e-05,7.88125e-05,8.4875e-05,9.09375e-05,9.7e-05,9.98e-05,0.0001028,0.0001005,9.92e-05,0.0001019,8.52e-05,8.63e-05,9.1e-05,8.72e-05,8.740000000000001e-05,8.57e-05,8.11e-05,8.350000000000001e-05,8.476363636363638e-05,8.602727272727274e-05,8.729090909090909e-05,8.855454545454546e-05,8.981818181818182e-05,9.10818181818182e-05,9.234545454545456e-05,9.360909090909092e-05,9.487272727272728e-05,9.613636363636364e-05,9.74e-05,9.7495e-05,9.759e-05,9.7685e-05,9.778e-05,9.7875e-05,9.797e-05,9.8065e-05,9.816e-05,9.8255e-05,9.835e-05,9.8445e-05,9.854e-05,9.8635e-05,9.873e-05,9.8825e-05,9.892e-05,9.9015e-05,9.911e-05,9.9205e-05,9.93e-05
PD22,baseline,serbia,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0,0.000105,0.00021,0.000315,0.00042,0.000525,0.00063,0.000735,0.00084,0.000945,0.00105,0.001155,0.00126,0.001365,0.00147,0.001575,0.00168,0.0013431,0.0017496,0.0017658,0.0018005,0.0017895,0.0013785,0.0018218,0.0020676,0.0017144999999999,0.0021187999999999,0.0014569,0.0020752,0.0020492,0.0020282727272727,0.0020073454545454,0.0019864181818181,0.0019654909090909,0.0019445636363636,0.0019236363636363,0.001902709090909,0.0018817818181818,0.0018608545454545,0.0018399272727272,0.001819,0.00182242,0.00182584,0.00182926,0.00183268,0.0018361,0.00183952,0.00184294,0.00184636,0.00184978,0.0018532,0.00185662,0.00186004,0.00186346,0.00186688,0.0018703,0.00187372,0.00187714,0.00188056,0.00188398,0.0018874
PD22,baseline,serbia,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,serbia,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0,0.00745101875,0.0149020375,0.02235305625,0.029804075,0.03725509375,0.0447061125,0.05215713125,0.05960815,0.06705916875,0.0745101875,0.08196120625,0.089412225,0.09686324375,0.1043142625,0.11176528125,0.1192163,0.1165305,0.1132841,0.1066859,0.1027814,0.1010062,0.0999728,0.097917,0.1000448,0.0986251,0.0955879999999999,0.0962089,0.0946774,0.0954924,0.0980052545454545,0.1005181090909091,0.1030309636363636,0.1055438181818181,0.1080566727272727,0.1105695272727272,0.1130823818181818,0.1155952363636363,0.1181080909090909,0.1206209454545454,0.1231338,0.123030595,0.12292739,0.122824185,0.12272098,0.122617775,0.12251457,0.122411365,0.12230816,0.122204955,0.12210175,0.121998545,0.12189534,0.121792135,0.12168893,0.121585725,0.12148252,0.121379315,0.12127611,0.121172905,0.1210697
PD22,baseline,serbia,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,serbia,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0,0.00244089375,0.0048817875,0.00732268125,0.009763575,0.01220446875,0.0146453625,0.01708625625,0.01952715,0.02196804375,0.0244089375,0.02684983125,0.029290725,0.03173161875,0.0341725125,0.03661340625,0.0390543,0.0421445,0.0401244,0.0392272,0.0383417,0.0363782,0.0354579,0.0346289,0.0357008,0.0354124,0.0332938,0.0326565,0.0316481,0.0325239,0.0333586909090909,0.0341934818181818,0.0350282727272727,0.0358630636363636,0.0366978545454545,0.0375326454545454,0.0383674363636363,0.0392022272727272,0.0400370181818181,0.040871809090909,0.0417066,0.041704705,0.04170281,0.041700915,0.04169902,0.041697125,0.04169523,0.041693335,0.04169144,0.041689545,0.04168765,0.041685755,0.04168386,0.041681965,0.04168007,0.041678175,0.04167628,0.041674385,0.04167249,0.041670595,0.0416687
PD22,baseline,serbia,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0,7.706250000000001e-05,0.000154125,0.0002311875,0.00030825,0.0003853125,0.000462375,0.0005394375,0.0006165,0.0006935625,0.000770625,0.0008476875,0.00092475,0.0010018125,0.001078875,0.0011559375,0.001233,0.0012534,0.0012083999999999,0.0011733,0.0011677999999999,0.001094,0.0010707,0.0010387,0.0010607,0.0010468,0.0010014,0.0009976,0.0009741999999999,0.00099,0.0010170545454545,0.001044109090909,0.0010711636363636,0.0010982181818181,0.0011252727272727,0.0011523272727272,0.0011793818181818,0.0012064363636363,0.0012334909090909,0.0012605454545454,0.0012876,0.00128769,0.00128778,0.00128787,0.00128796,0.00128805,0.00128814,0.00128823,0.00128832,0.00128841,0.0012885,0.00128859,0.00128868,0.00128877,0.00128886,0.00128895,0.00128904,0.00128913,0.00128922,0.00128931,0.0012894
