model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,singapore,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,singapore,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,singapore,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0003217999999999,2.18e-05,2.12e-05,2.09e-05,2.19e-05,1.23e-05,2.19e-05,1.23e-05,7.6e-06,1.2200000000000002e-05,1.21e-05,1.32e-05,1.2200000000000002e-05,1.27e-05,1.27e-05,1.34e-05,1.3100000000000002e-05,1.26e-05,1.28e-05,1.29e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.21e-05,1.21e-05,1.21e-05,1.2e-05,1.2e-05,1.1963636363636364e-05,1.1927272727272728e-05,1.1890909090909091e-05,1.1854545454545457e-05,1.181818181818182e-05,1.178181818181818e-05,1.1745454545454544e-05,1.1709090909090908e-05,1.1672727272727272e-05,1.1636363636363635e-05,1.16e-05,1.1645e-05,1.169e-05,1.1735e-05,1.178e-05,1.1825e-05,1.187e-05,1.1915e-05,1.196e-05,1.2005e-05,1.205e-05,1.2095e-05,1.214e-05,1.2185e-05,1.223e-05,1.2275e-05,1.232e-05,1.2365e-05,1.241e-05,1.2455e-05,1.25e-05
PD22,baseline,singapore,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0021167,4.1e-05,3.7e-05,3.7e-05,3.9e-05,4.26e-05,5.11e-05,4.26e-05,4.04e-05,4.07e-05,4.06e-05,4.27e-05,5.27e-05,5.67e-05,5.47e-05,5.47e-05,5.47e-05,6.07e-05,6.07e-05,6.47e-05,6.67e-05,6.67e-05,7.07e-05,7.07e-05,7.08e-05,7.159999999999999e-05,7.38e-05,7.42e-05,7.539999999999999e-05,7.66e-05,7.651818181818182e-05,7.643636363636364e-05,7.635454545454546e-05,7.627272727272727e-05,7.619090909090909e-05,7.610909090909092e-05,7.602727272727274e-05,7.594545454545456e-05,7.586363636363638e-05,7.578181818181819e-05,7.570000000000001e-05,7.6285e-05,7.687000000000001e-05,7.745500000000001e-05,7.804e-05,7.862500000000001e-05,7.921000000000001e-05,7.9795e-05,8.038000000000001e-05,8.096500000000001e-05,8.155e-05,8.213500000000001e-05,8.272000000000001e-05,8.330500000000002e-05,8.389000000000001e-05,8.447500000000001e-05,8.506000000000002e-05,8.564500000000001e-05,8.623e-05,8.681500000000001e-05,8.740000000000001e-05
PD22,baseline,singapore,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,3.55e-05,4.8e-06,4.3e-06,4.3e-06,4.5e-06,4.9e-06,5.8e-06,4.8e-06,4.6e-06,4.6e-06,4.6e-06,4.9e-06,6e-06,6.5e-06,6.3e-06,6.100000000000001e-06,6.2e-06,6.7e-06,6.7e-06,7.100000000000001e-06,7.3e-06,7.100000000000001e-06,7.4e-06,7.4e-06,7.4e-06,7.5e-06,7.7e-06,8e-06,8.1e-06,8.200000000000001e-06,8.21818181818182e-06,8.236363636363637e-06,8.254545454545456e-06,8.272727272727274e-06,8.290909090909092e-06,8.309090909090908e-06,8.327272727272727e-06,8.345454545454545e-06,8.363636363636363e-06,8.381818181818181e-06,8.4e-06,8.459999999999999e-06,8.52e-06,8.58e-06,8.639999999999999e-06,8.7e-06,8.759999999999999e-06,8.819999999999999e-06,8.88e-06,8.939999999999999e-06,8.999999999999999e-06,9.06e-06,9.12e-06,9.18e-06,9.24e-06,9.3e-06,9.36e-06,9.42e-06,9.48e-06,9.54e-06,9.6e-06
PD22,baseline,singapore,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,N2O,AFOLU,Mt,4.23e-05,1.28e-05,1.16e-05,1.15e-05,1.21e-05,1.35e-05,1.56e-05,1.32e-05,1.27e-05,1.27e-05,1.27e-05,1.34e-05,1.68e-05,1.8100000000000003e-05,1.7500000000000002e-05,1.7000000000000003e-05,1.7100000000000002e-05,1.87e-05,1.85e-05,1.96e-05,2.02e-05,1.97e-05,2.06e-05,2.06e-05,2.06e-05,2.08e-05,2.15e-05,2.22e-05,2.25e-05,2.29e-05,2.2945454545454547e-05,2.299090909090909e-05,2.303636363636364e-05,2.3081818181818183e-05,2.312727272727273e-05,2.3172727272727272e-05,2.3218181818181815e-05,2.3263636363636364e-05,2.330909090909091e-05,2.3354545454545453e-05,2.34e-05,2.3575e-05,2.375e-05,2.3925e-05,2.41e-05,2.4275e-05,2.445e-05,2.4625e-05,2.48e-05,2.4975e-05,2.515e-05,2.5325e-05,2.55e-05,2.5675e-05,2.585e-05,2.6025e-05,2.62e-05,2.6375e-05,2.655e-05,2.6725e-05,2.69e-05
PD22,baseline,singapore,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,N2O,AFOLU,Mt,2.81e-05,1.82e-05,1.6400000000000002e-05,1.63e-05,1.72e-05,1.91e-05,2.22e-05,1.86e-05,1.7899999999999998e-05,1.8e-05,1.8e-05,1.9e-05,2.36e-05,2.55e-05,2.46e-05,2.4e-05,2.42e-05,2.64e-05,2.61e-05,2.76e-05,2.8400000000000003e-05,2.78e-05,2.9000000000000004e-05,2.9000000000000004e-05,2.9000000000000004e-05,2.93e-05,3.03e-05,3.13e-05,3.18e-05,3.2200000000000003e-05,3.2254545454545456e-05,3.230909090909092e-05,3.236363636363637e-05,3.241818181818182e-05,3.2472727272727274e-05,3.2527272727272734e-05,3.2581818181818187e-05,3.263636363636364e-05,3.269090909090909e-05,3.274545454545455e-05,3.2800000000000004e-05,3.3050000000000004e-05,3.33e-05,3.355e-05,3.38e-05,3.405e-05,3.430000000000001e-05,3.4550000000000006e-05,3.4800000000000006e-05,3.5050000000000005e-05,3.5300000000000004e-05,3.5550000000000004e-05,3.58e-05,3.605e-05,3.63e-05,3.655000000000001e-05,3.680000000000001e-05,3.7050000000000006e-05,3.7300000000000005e-05,3.7550000000000005e-05,3.78e-05
PD22,baseline,singapore,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,N2O,AFOLU,Mt,5.41e-05,5.41e-05,5.41e-05,5.21e-05,6.24e-05,7.06e-05,5.78e-05,3.85e-05,5.12e-05,4.87e-05,3.34e-05,2.82e-05,4.81e-05,0.0001593,0.0002098,0.000201,0.0002368,0.0001734,0.0001547,6.49e-05,9.900000000000002e-06,6.93e-05,5.79e-05,5.39e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.573636363636364e-05,3.147272727272728e-05,4.720909090909091e-05,6.294545454545455e-05,7.86818181818182e-05,9.441818181818182e-05,0.0001101545454545,0.0001258909090909,0.0001416272727272,0.0001573636363636,0.0001731,0.000174045,0.00017499,0.000175935,0.00017688,0.000177825,0.00017877,0.000179715,0.00018066,0.000181605,0.00018255,0.000183495,0.00018444,0.000185385,0.00018633,0.000187275,0.00018822,0.000189165,0.00019011,0.000191055,0.000192
PD22,baseline,singapore,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,singapore,Commercial,Emissions,Addtl Emissions,EM,Emissions,BC,IND,Mt,4.15425531914895e-05,3.56485065135942e-05,2.20637507304162e-05,2.20371154573265e-05,2.20104801842368e-05,1.6633279483037202e-05,8.153731825525e-06,1.48141850911609e-05,5.4901813985691e-06,5.0300373874913e-06,4.8028571428571e-06,5.2714285714285e-06,1.10114285714286e-05,8.5514285714285e-06,9.4885714285714e-06,6.5599999999999e-06,6.091428571428501e-06,9.7228571428571e-06,9.6057142857142e-06,9.7228571428571e-06,9.8399999999999e-06,9.0199999999999e-06,9.0199999999999e-06,9.1371428571428e-06,8.3171428571428e-06,8.4342857142857e-06,8.0828571428571e-06,7.848571428571399e-06,7.919345334913799e-06,7.7044037119963e-06,7.7044037119963e-06,7.630623766630597e-06,7.706305172083615e-06,7.781986577536634e-06,7.857667982989652e-06,7.933349388442672e-06,8.00903079389569e-06,8.084712199348708e-06,8.160393604801726e-06,8.236075010254746e-06,8.311756415707765e-06,8.387437821160785e-06,8.463119226613803e-06,8.538800632066822e-06,8.614482037519842e-06,8.69016344297286e-06,8.76584484842588e-06,8.841526253878898e-06,8.917207659331917e-06,8.992889064784937e-06,9.068570470237957e-06,9.144251875690971e-06,9.219933281143993e-06,9.29561468659701e-06,9.371296092050028e-06,9.44697749750305e-06,9.522658902956068e-06,9.598340308409087e-06,9.674021713862104e-06,9.749703119315123e-06,9.825384524768145e-06
