model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,slovakia,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0044438790587928,0.0088478555380546,0.0132072089407606,0.0175166640060867,0.021770326434355,0.0259616113966074,0.0300831640772418,0.0341267714348356,0.0380832643017043,0.0419424088781669,0.0456927866146898,0.0493216614164028,0.0528148330529703,0.0561564756164324,0.059328959845395,0.06231265813216,0.0650857310578568,0.0676238943689605,0.0699001654283873,0.0718845883595893,0.0735439373691853,0.0748413981018252,0.075736227372095,0.0761833922568127,0.0761833922568127,0.0761833922568127,0.0761833922568127,0.0761833922568127,0.0761833922568127,0.0761833922568127
PD22,baseline,slovakia,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,slovakia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0002743666666666,0.0005487333333333,0.0008231,0.0008174,0.0008005999999999,0.0007999,0.0008171,0.0007756999999999,0.0006703,0.0008290999999999,0.0008158999999999,0.0008174,0.0007257,0.0007963,0.0008191,0.0007846999999999,0.0008141,0.00082,0.000799,0.0008193,0.0009374,0.0009925,0.0009953,0.0009933,0.000925,0.0009489,0.0009107,0.000919,0.0009719,0.0009535,0.0009351,0.0009167,0.0008983,0.0008799,0.0008615,0.0008431,0.0008247,0.0008063,0.0007879,0.0007695,0.00076969,0.00076988,0.00077007,0.00077026,0.00077045,0.00077064,0.00077083,0.00077102,0.00077121,0.0007714,0.00077159,0.00077178,0.00077197,0.00077216,0.00077235,0.0007725399999999,0.00077273,0.00077292,0.00077311,0.0007733
PD22,baseline,slovakia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0,7.1e-06,1.42e-05,2.13e-05,2.12e-05,2.08e-05,2.07e-05,2.12e-05,2.01e-05,1.74e-05,2.15e-05,2.12e-05,2.12e-05,1.88e-05,2.06e-05,2.12e-05,2.03e-05,2.11e-05,2.13e-05,2.07e-05,2.12e-05,2.43e-05,2.57e-05,2.58e-05,2.58e-05,2.4e-05,2.46e-05,2.36e-05,2.3800000000000003e-05,2.52e-05,2.4718181818181817e-05,2.4236363636363635e-05,2.3754545454545456e-05,2.3272727272727278e-05,2.279090909090909e-05,2.230909090909091e-05,2.1827272727272728e-05,2.1345454545454546e-05,2.0863636363636367e-05,2.0381818181818185e-05,1.9900000000000003e-05,1.9905000000000003e-05,1.9910000000000004e-05,1.9915e-05,1.992e-05,1.9925000000000003e-05,1.993e-05,1.9935e-05,1.994e-05,1.9945000000000003e-05,1.9950000000000004e-05,1.9955e-05,1.996e-05,1.9965000000000003e-05,1.997e-05,1.9975e-05,1.998e-05,1.9985000000000003e-05,1.9990000000000003e-05,1.9995e-05,2e-05
PD22,baseline,slovakia,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0002455666666666,0.0004911333333333,0.0007367,0.0008594,0.0008059,0.000764,0.0008409,0.0007946,0.0006339,0.000534,0.0007349,0.0007196,0.0005742,0.0008321,0.0007735999999999,0.000648,0.0006352,0.0008756,0.0007216,0.000555,0.0007765,0.0006511,0.0007355,0.0009754,0.0008429,0.0010193,0.0007678,0.0008573,0.0008823,0.0008736272727272,0.0008649545454545,0.0008562818181818,0.000847609090909,0.0008389363636363,0.0008302636363636,0.0008215909090909,0.0008129181818181,0.0008042454545454,0.0007955727272727,0.0007869,0.00078711,0.00078732,0.00078753,0.00078774,0.00078795,0.00078816,0.00078837,0.00078858,0.00078879,0.000789,0.00078921,0.00078942,0.00078963,0.00078984,0.00079005,0.00079026,0.00079047,0.00079068,0.00079089,0.0007911
PD22,baseline,slovakia,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006698999999999,0.0013397999999999,0.0020096999999999,0.0026796,0.0033494999999999,0.0040194,0.0046893,0.0053002886465357,0.0059042809398273,0.0065004478199319,0.0070878624448877,0.0076654887737602,0.0082321688457589,0.0087866086138453,0.0093273621777512,0.0098528142470302,0.0103611606497818,0.0108503866871535,0.0113288866871535,0.0117116866871535,0.0119987866871535,0.0121901866871535,0.0122858866871535,0.0122858866871535,0.0122858866871535,0.0122858866871535,0.0122858866871535,0.0122858866871535,0.0122858866871535,0.0122858866871535
PD22,baseline,slovakia,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0,0.031474,0.062948,0.094422,0.0803021,0.0744213,0.0752727,0.0721202,0.0652402,0.0579425,0.0543526,0.0528637999999999,0.0508567,0.0498981,0.0483086,0.0442358,0.0433334,0.0416941,0.0410329,0.039807,0.0384718,0.0381117,0.0375102,0.0380128,0.0375346,0.0372586,0.0365571,0.0354338,0.0347584,0.0339819,0.0346769181818181,0.0353719363636363,0.0360669545454545,0.0367619727272727,0.0374569909090909,0.038152009090909,0.0388470272727272,0.0395420454545454,0.0402370636363636,0.0409320818181818,0.0416271,0.041481475,0.04133585,0.041190225,0.0410446,0.040898975,0.04075335,0.040607725,0.0404621,0.040316475,0.0401708499999999,0.040025225,0.0398795999999999,0.039733975,0.0395883499999999,0.039442725,0.0392970999999999,0.039151475,0.0390058499999999,0.038860225,0.0387145999999999
PD22,baseline,slovakia,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,slovakia,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0063111999999999,0.0126223999999999,0.0189336,0.0174613,0.0163419,0.0167418,0.0160742,0.0147754999999999,0.0130271,0.0123688,0.0120504,0.0126235,0.0120889,0.0115479,0.0100829,0.009856,0.0096742,0.0091634,0.0083150999999999,0.0084187999999999,0.0082028,0.0077629,0.00799,0.0077446,0.0077532,0.0077978,0.0075572999999999,0.00765,0.007266,0.0075051272727272,0.0077442545454545,0.0079833818181818,0.008222509090909,0.0084616363636363,0.0087007636363636,0.0089398909090909,0.0091790181818181,0.0094181454545454,0.0096572727272727,0.0098964,0.00987467,0.00985294,0.00983121,0.00980948,0.00978775,0.00976602,0.00974429,0.00972256,0.00970083,0.0096791,0.00965737,0.00963564,0.00961391,0.00959218,0.00957045,0.00954872,0.00952699,0.00950526,0.00948353,0.0094618
PD22,baseline,slovakia,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0003379333333333,0.0006758666666666,0.0010138,0.0008953,0.0008227,0.00085,0.0008173,0.0007455,0.0006613,0.0006276,0.0006117,0.0006111,0.0006001,0.000575,0.000508,0.0004974,0.0004816,0.0004585,0.0004202,0.0004166,0.0004057,0.0003846999999999,0.0003957999999999,0.0003902,0.0003929,0.0003884,0.0003731999999999,0.0003769,0.0003656,0.0003765545454545,0.000387509090909,0.0003984636363636,0.0004094181818181,0.0004203727272727,0.0004313272727272,0.0004422818181818,0.0004532363636363,0.0004641909090909,0.0004751454545454,0.0004861,0.000484795,0.00048349,0.000482185,0.00048088,0.000479575,0.00047827,0.000476965,0.00047566,0.000474355,0.00047305,0.000471745,0.00047044,0.000469135,0.00046783,0.000466525,0.00046522,0.000463915,0.00046261,0.000461305,0.00046
