model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,southafric,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3896750178054073,0.775378141563424,1.1566461629947664,1.5329630914936452,1.903754446884176,2.2683810115201286,2.62613200992388,2.9762176876670714,3.3177612666169507,3.64979026149059,3.971227153434864,4.28087943072431,4.577429025358591,4.859421198126691,5.125252954405696,5.373161109396678,5.60121016542486,5.80728021595121,5.98905515139314,6.144011510639571,6.26940839855292,6.362278972200739,6.419424084353904,6.437408757829389,6.437408757829389,6.437408757829389,6.437408757829389,6.437408757829389,6.437408757829389,6.437408757829389
PD22,baseline,southafric,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,southafric,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0133943999999999,0.0123406,0.0125501,0.0134543,0.0142175,0.0114735999999999,0.0120799,0.0128773,0.0109763,0.0109591,0.0124097,0.0102359,0.0111223,0.0112393,0.010104,0.010133,0.006852,0.0081138,0.0088713,0.0077381,0.0084837,0.0075037,0.0082926,0.0085236,0.0082535,0.0081387,0.0062455,0.0080754,0.0072877,0.0073202,0.0077793545454545,0.008238509090909,0.0086976636363636,0.0091568181818181,0.0096159727272727,0.0100751272727272,0.0105342818181818,0.0109934363636363,0.0114525909090909,0.0119117454545454,0.0123709,0.012410445,0.01244999,0.012489535,0.01252908,0.012568625,0.01260817,0.012647715,0.01268726,0.012726805,0.01276635,0.012805895,0.01284544,0.012884985,0.01292453,0.012964075,0.01300362,0.0130431649999999,0.0130827099999999,0.013122255,0.0131618
PD22,baseline,southafric,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0003473,0.0003199,0.0003254,0.0003488,0.0003686,0.0002974999999999,0.0003131999999999,0.0003339,0.0002846,0.0002841,0.0003217,0.0002654,0.0002884,0.0002914,0.000262,0.0002627,0.0001776,0.0002104,0.00023,0.0002006,0.0002199,0.0001945,0.000215,0.000221,0.000214,0.000211,0.0001619,0.0002094,0.0001889,0.0001898,0.0002017,0.0002136,0.0002255,0.0002374,0.0002493,0.0002612,0.0002730999999999,0.000285,0.0002969,0.0003087999999999,0.0003207,0.000321725,0.00032275,0.000323775,0.0003248,0.0003258249999999,0.00032685,0.000327875,0.0003288999999999,0.000329925,0.00033095,0.000331975,0.000333,0.000334025,0.00033505,0.000336075,0.0003371,0.000338125,0.00033915,0.000340175,0.0003412
PD22,baseline,southafric,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.002439,0.0023967,0.0013922,0.0025996,0.0030629,0.0017822,0.0027461,0.00269,0.0021512,0.0021041,0.0028458,0.0022557,0.002593,0.0023297,0.0023718,0.0027023,0.0019843,0.0019599,0.0028553,0.0027465,0.0027716,0.002595,0.0028386,0.0028136,0.0031819,0.0025529,0.0021738,0.0035581,0.0030991,0.0027642,0.0028371363636363,0.0029100727272727,0.002983009090909,0.0030559454545454,0.0031288818181818,0.0032018181818181,0.0032747545454545,0.0033476909090909,0.0034206272727272,0.0034935636363636,0.0035665,0.003591465,0.00361643,0.003641395,0.00366636,0.003691325,0.00371629,0.003741255,0.00376622,0.003791185,0.00381615,0.003841115,0.00386608,0.003891045,0.00391601,0.003940975,0.00396594,0.003990905,0.00401587,0.004040835,0.0040658
PD22,baseline,southafric,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0040397095056134,0.0080145431991579,0.0119168600323342,0.0157381294195123,0.0194688302888232,0.0230983393298512,0.0266148074466234,0.0300050233766769,0.033254263399422,0.0363461260344742,0.0392623506289647,0.0419826187593244,0.0444843374366052,0.0467424032158609,0.0487289464824426,0.0504130554365749,0.0517604796401007,0.0527333134461845,0.0534752634461845,0.0542172134461845,0.0549591634461845,0.0557011134461845,0.0564430634461845,0.0571850134461845,0.0575559884461845,0.0575559884461845,0.0575559884461845,0.0575559884461845,0.0575559884461845,0.0575559884461845
PD22,baseline,southafric,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.625587,0.633669,0.6248262,0.6014464,0.5840501,0.5873836,0.6016807000000001,0.6148496999999999,0.6246280000000001,0.6233016,0.6207897,0.6181920000000001,0.605858,0.60058,0.597233,0.6063959999999999,0.5967490000000001,0.6083569,0.6112702000000001,0.6069917,0.6031993,0.5999709000000001,0.6059325,0.6061839,0.6049816,0.5966567,0.5840038,0.566307,0.5599558,0.5483148999999999,0.563434409090909,0.5785539181818181,0.5936734272727272,0.6087929363636363,0.6239124454545455,0.6390319545454546,0.6541514636363637,0.6692709727272728,0.6843904818181819,0.6995099909090909,0.7146295,0.717733835,0.7208381700000001,0.723942505,0.72704684,0.730151175,0.73325551,0.736359845,0.73946418,0.742568515,0.74567285,0.748777185,0.75188152,0.754985855,0.75809019,0.761194525,0.76429886,0.767403195,0.7705075299999999,0.773611865,0.7767162
PD22,baseline,southafric,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,southafric,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0230984,0.0233297,0.0231131,0.0224048,0.0219761,0.0222586,0.0229014,0.0234578,0.0237593,0.0237495,0.0237024,0.02389,0.02386,0.0236397,0.0235578,0.0233542,0.0231705,0.0238512,0.0244088,0.0245619,0.0246671,0.024634,0.0248433999999999,0.0240511,0.0240094,0.0237351,0.0233261,0.022958,0.0226857,0.0223592,0.0229260636363636,0.0234929272727272,0.0240597909090909,0.0246266545454545,0.0251935181818181,0.0257603818181818,0.0263272454545454,0.026894109090909,0.0274609727272727,0.0280278363636363,0.0285947,0.02872881,0.02886292,0.02899703,0.02913114,0.02926525,0.02939936,0.02953347,0.02966758,0.02980169,0.0299358,0.03006991,0.03020402,0.03033813,0.03047224,0.03060635,0.03074046,0.03087457,0.03100868,0.03114279,0.0312769
PD22,baseline,southafric,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0010468,0.0010567999999999,0.0010441,0.0010182,0.001019,0.0010752,0.0010768,0.0010921,0.0011068,0.0010608,0.0010756,0.0010975,0.0011259999999999,0.0011201,0.0011141,0.001108,0.0011093,0.0011187,0.0011219,0.0011271,0.0011237,0.0011192,0.0011198999999999,0.0010979,0.0010914,0.0010678,0.0010586,0.0010423,0.001026,0.0009915,0.0010228909090909,0.0010542818181818,0.0010856727272727,0.0011170636363636,0.0011484545454545,0.0011798454545454,0.0012112363636363,0.0012426272727272,0.0012740181818181,0.001305409090909,0.0013368,0.001344605,0.00135241,0.001360215,0.00136802,0.001375825,0.0013836299999999,0.001391435,0.00139924,0.001407045,0.00141485,0.0014226549999999,0.00143046,0.001438265,0.0014460699999999,0.0014538749999999,0.00146168,0.001469485,0.00147729,0.0014850949999999,0.0014929
