model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,spain,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.107416769462568,0.2138046038931651,0.3190418644205228,0.4229926381516766,0.5255050897198772,0.6264096291279546,0.7255168770974949,0.822615407645067,0.9174692461177588,1.0098150994722372,1.0993592942284538,1.1857743963414669,1.2686954863039397,1.3477160622330722,1.4223835436545187,1.492194349352275,1.5565885242289832,1.614943892883632,1.66656972188472,1.7106998788762149,1.746485485142825,1.7729870695852326,1.7891662467797866,1.7938769605354974,1.7938769605354974,1.7938769605354974,1.7938769605354974,1.7938769605354974,1.7938769605354974,1.7938769605354974
PD22,baseline,spain,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,spain,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0035833,0.0038531,0.0036145,0.0029825,0.003152,0.0033452,0.0035187,0.0037291,0.0034747,0.0038582,0.0038864,0.0039083,0.0040251,0.0037957999999999,0.0038285,0.0037527,0.0031624,0.0030731,0.0033641,0.0030339,0.0031358,0.003333,0.0035849,0.0036555,0.003639,0.0035881,0.0035697,0.0033244,0.0032551,0.0031906,0.0031959818181818,0.0032013636363636,0.0032067454545454,0.0032121272727272,0.003217509090909,0.0032228909090909,0.0032282727272727,0.0032336545454545,0.0032390363636363,0.0032444181818181,0.0032498,0.00324992,0.00325004,0.00325016,0.00325028,0.0032504,0.00325052,0.00325064,0.00325076,0.00325088,0.003251,0.00325112,0.00325124,0.00325136,0.00325148,0.0032516,0.00325172,0.00325184,0.00325196,0.00325208,0.0032522
PD22,baseline,spain,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,9.29e-05,9.99e-05,9.37e-05,7.73e-05,8.17e-05,8.67e-05,9.12e-05,9.67e-05,9.01e-05,0.0001,0.0001008,0.0001013,0.0001044,9.84e-05,9.93e-05,9.73e-05,8.2e-05,7.97e-05,8.72e-05,7.87e-05,8.13e-05,8.640000000000001e-05,9.29e-05,9.48e-05,9.43e-05,9.3e-05,9.25e-05,8.62e-05,8.44e-05,8.269999999999999e-05,8.284545454545454e-05,8.299090909090908e-05,8.313636363636363e-05,8.328181818181817e-05,8.342727272727272e-05,8.357272727272728e-05,8.371818181818182e-05,8.386363636363637e-05,8.400909090909091e-05,8.415454545454546e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05,8.43e-05
PD22,baseline,spain,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0046547,0.0048007,0.0037593,0.0043161,0.0038088,0.0030567,0.0051994,0.0045153,0.0051482,0.0042458999999999,0.0055865,0.0041293,0.0049581999999999,0.004874,0.0055585,0.0034082,0.0044034,0.0054939,0.005425,0.0041097,0.0045255,0.0049156,0.0039677,0.0055343,0.0045577,0.0044557,0.0052844,0.0037789,0.0054747,0.004493,0.0045323,0.0045716,0.0046109,0.0046502,0.0046895,0.0047288,0.0047681,0.0048074,0.0048467,0.004886,0.0049253,0.004923495,0.00492169,0.004919885,0.00491808,0.004916275,0.00491447,0.004912665,0.00491086,0.004909055,0.00490725,0.004905445,0.00490364,0.004901835,0.00490003,0.004898225,0.00489642,0.004894615,0.00489281,0.0048910049999999,0.0048892
PD22,baseline,spain,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0071298320181975,0.014158275778944,0.0210733898121071,0.0278618424739739,0.0345087541837724,0.0409975227765803,0.0473096304234142,0.0534244304943958,0.0593189126821984,0.0649674446677379,0.070341488607475,0.0754092907630887,0.0801355426936207,0.084481012604386,0.0884021457162618,0.0918506329073435,0.0947729474142514,0.0971098500944202,0.0993281834277536,0.1012945140944203,0.1030088420944203,0.1044711674277536,0.1056814900944203,0.1066398100944202,0.1071189700944202,0.1071189700944202,0.1071189700944202,0.1071189700944202,0.1071189700944202,0.1071189700944202
PD22,baseline,spain,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.6241515000000001,0.6277885,0.62039,0.6119009999999999,0.6064020000000001,0.6128709999999999,0.6103235,0.6546961,0.6622085,0.659376,0.6683387000000001,0.6859699,0.68628,0.6868919,0.684211,0.6698209,0.6496887,0.6715146,0.617786,0.6188637,0.6044865,0.5804547999999999,0.5697475,0.5633926,0.5810009,0.601075,0.6008958,0.608112,0.6111575,0.6131779,0.6150887727272728,0.6169996454545454,0.6189105181818182,0.6208213909090909,0.6227322636363637,0.6246431363636363,0.6265540090909091,0.6284648818181818,0.6303757545454546,0.6322866272727272,0.6341975,0.632330435,0.63046337,0.628596305,0.62672924,0.624862175,0.62299511,0.621128045,0.61926098,0.617393915,0.61552685,0.613659785,0.61179272,0.609925655,0.60805859,0.606191525,0.60432446,0.602457395,0.60059033,0.598723265,0.5968562
PD22,baseline,spain,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,spain,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.2159526,0.2079848,0.2133409,0.2190859,0.2187845,0.2282542,0.2250643,0.2270513,0.2337039,0.2501768,0.2571481,0.2576593,0.2678985,0.2720287,0.2785636999999999,0.2758889,0.2824638,0.284858,0.2783478,0.2806065,0.2748109,0.2719005,0.2675889,0.269207,0.2803335,0.2953522,0.301942,0.3075253,0.3049004,0.3088056,0.3062045909090909,0.3036035818181818,0.3010025727272727,0.2984015636363636,0.2958005545454545,0.2931995454545454,0.2905985363636363,0.2879975272727272,0.2853965181818182,0.2827955090909091,0.2801945,0.279829485,0.27946447,0.279099455,0.27873444,0.278369425,0.27800441,0.277639395,0.27727438,0.276909365,0.27654435,0.276179335,0.27581432,0.275449305,0.27508429,0.274719275,0.27435426,0.273989245,0.27362423,0.273259215,0.2728942
PD22,baseline,spain,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.005515,0.0054076,0.0054177,0.005421,0.0054128,0.005582,0.0056019,0.0057875,0.0058799,0.0060615,0.0061951,0.0062855,0.0064086,0.0064607,0.0065394,0.0064314,0.0064052,0.0065672,0.0062555,0.0062917,0.0061765,0.0060557,0.0059691,0.0059611,0.006196,0.0064276,0.00651,0.0066033,0.0062562,0.0063221,0.0063219545454545,0.006321809090909,0.0063216636363636,0.0063215181818181,0.0063213727272727,0.0063212272727272,0.0063210818181818,0.0063209363636363,0.0063207909090909,0.0063206454545454,0.0063205,0.006305915,0.0062913299999999,0.006276745,0.00626216,0.006247575,0.00623299,0.006218405,0.00620382,0.006189235,0.00617465,0.006160065,0.00614548,0.006130895,0.00611631,0.006101725,0.00608714,0.006072555,0.00605797,0.006043385,0.0060288
