model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,switland,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0048125746440528,0.0095754688097143,0.0142829025491382,0.0189284407345952,0.0235049230716611,0.028004387699897,0.0324179880640437,0.0367359027994811,0.0409472384632792,0.045039925062875,0.0490006044954234,0.0528145122202248,0.0564653527530683,0.0599351699040265,0.0632042130883664,0.0662508015322689,0.0690511887777617,0.0715794305684117,0.0738072599678629,0.0757039744191897,0.0772363403766159,0.0783685221021853,0.0790620421725722,0.0792757821210094,0.0792757821210094,0.0792757821210094,0.0792757821210094,0.0792757821210094,0.0792757821210094,0.0792757821210094
PD22,baseline,switland,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,switland,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0001817,0.0001799,0.0001655,0.000161,0.0001885,0.0001812,0.0001707,0.0001603,0.0001622,0.0001601,0.0001627,0.0001648,0.0001544,0.0001503,0.000146,0.0001558,0.0001497,0.0001454,0.0001463,0.0001438,0.0001441,0.0001369,0.00014,0.0001372,0.0001361,0.000129,0.0001338,0.000135,0.0001324,0.0001367,0.0001373909090909,0.0001380818181818,0.0001387727272727,0.0001394636363636,0.0001401545454545,0.0001408454545454,0.0001415363636363,0.0001422272727272,0.0001429181818181,0.000143609090909,0.0001443,0.000144275,0.00014425,0.000144225,0.0001442,0.000144175,0.00014415,0.000144125,0.0001441,0.000144075,0.00014405,0.000144025,0.000144,0.000143975,0.00014395,0.000143925,0.0001439,0.000143875,0.00014385,0.000143825,0.0001438
PD22,baseline,switland,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,4.7e-06,4.7e-06,4.3e-06,4.2e-06,4.9e-06,4.7e-06,4.4e-06,4.2e-06,4.2e-06,4.2e-06,4.2e-06,4.3e-06,4e-06,3.9e-06,3.8e-06,4e-06,3.9e-06,3.8e-06,3.8e-06,3.7e-06,3.7e-06,3.5e-06,3.6e-06,3.6e-06,3.5e-06,3.3e-06,3.5e-06,3.5e-06,3.4e-06,3.5e-06,3.518181818181818e-06,3.5363636363636363e-06,3.5545454545454544e-06,3.5727272727272726e-06,3.5909090909090908e-06,3.609090909090909e-06,3.627272727272728e-06,3.6454545454545457e-06,3.663636363636364e-06,3.681818181818182e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06
PD22,baseline,switland,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0002823,0.000287,0.0002721,0.0002879,0.0002724,0.0002801,0.0002997,0.0002691,0.0002752999999999,0.0002301,0.0002561,0.0002322,0.0002318,0.0001906,0.0002348,0.0002285,0.0002211,0.000222,0.0002196,0.0002214,0.0002033,0.0002181,0.0002076,0.0001907,0.0002197,0.0002033,0.0001674,0.0002155,0.0001974,0.0002049,0.0002103545454545,0.000215809090909,0.0002212636363636,0.0002267181818181,0.0002321727272727,0.0002376272727272,0.0002430818181818,0.0002485363636363,0.0002539909090909,0.0002594454545454,0.0002649,0.000265255,0.00026561,0.000265965,0.00026632,0.000266675,0.00026703,0.000267385,0.00026774,0.000268095,0.00026845,0.000268805,0.00026916,0.000269515,0.00026987,0.000270225,0.00027058,0.000270935,0.00027129,0.000271645,0.000272
PD22,baseline,switland,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0011109256621057,0.0022107223956278,0.0032980794396199,0.0043715334400949,0.0054294511330445,0.006470010174221,0.0074911779456321,0.0084906881604793,0.0094660150818245,0.0104143451664064,0.0113325459447393,0.0122171319531717,0.0130642275444865,0.0138695264227455,0.0146282477776406,0.0153350889362477,0.0159841745088328,0.0165690020837406,0.0171360154170739,0.0175896260837406,0.0179298340837406,0.0181566394170739,0.0182700420837406,0.0182700420837406,0.0182700420837406,0.0182700420837406,0.0182700420837406,0.0182700420837406,0.0182700420837406,0.0182700420837406
PD22,baseline,switland,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.1597489,0.1583699,0.1549814,0.1518854,0.1524759,0.151064,0.1506262,0.1449049,0.1428683,0.1395947,0.1376533,0.1390583,0.1374957,0.1351011,0.1325666,0.1333945,0.1340491,0.1340226,0.1367123,0.1345095,0.1340419,0.1331137,0.1321543,0.1313351999999999,0.1312292,0.129655,0.1290404,0.1282711,0.1276733,0.1259752,0.1270993636363636,0.1282235272727273,0.1293476909090909,0.1304718545454545,0.1315960181818182,0.1327201818181818,0.1338443454545454,0.1349685090909091,0.1360926727272727,0.1372168363636363,0.138341,0.138452835,0.13856467,0.138676505,0.13878834,0.138900175,0.13901201,0.139123845,0.13923568,0.139347515,0.13945935,0.139571185,0.13968302,0.139794855,0.13990669,0.140018525,0.14013036,0.140242195,0.14035403,0.140465865,0.1405777
PD22,baseline,switland,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,switland,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0349558,0.0342894,0.0336942,0.0331397,0.0329953,0.0313903,0.0309477,0.0302207,0.0305135,0.0297434,0.0296841,0.0301188,0.0299237,0.0293187,0.0289523,0.029501,0.0296791,0.0292899,0.0294979,0.0291426,0.0292758,0.0291413,0.0288299999999999,0.0283643,0.0284122,0.0282212,0.0278637,0.0277271,0.0274622,0.0268684,0.0272174,0.0275664,0.0279154,0.0282644,0.0286134,0.0289624,0.0293114,0.0296604,0.0300094,0.0303584,0.0307074,0.03074267,0.03077794,0.03081321,0.03084848,0.03088375,0.03091902,0.03095429,0.03098956,0.03102483,0.0310601,0.03109537,0.03113064,0.03116591,0.03120118,0.03123645,0.03127172,0.03130699,0.03134226,0.03137753,0.0314128
PD22,baseline,switland,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0014405,0.001416,0.0013872,0.0013625,0.0013639,0.0013344,0.0013269,0.0012825,0.0012741,0.0012433,0.0012304,0.0012435,0.0012315,0.0012083,0.0011886,0.0012005,0.0012044999999999,0.0012,0.0012192,0.0012002999999999,0.0011992,0.0011944,0.0011858,0.0011754,0.0011767,0.0011668,0.0011586,0.0011533,0.0011463,0.0011285,0.0011398727272727,0.0011512454545454,0.0011626181818181,0.0011739909090909,0.0011853636363636,0.0011967363636363,0.001208109090909,0.0012194818181818,0.0012308545454545,0.0012422272727272,0.0012536,0.001255095,0.00125659,0.001258085,0.00125958,0.001261075,0.00126257,0.001264065,0.00126556,0.001267055,0.00126855,0.001270045,0.00127154,0.001273035,0.00127453,0.001276025,0.00127752,0.001279015,0.00128051,0.001282005,0.0012835
