model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,tajikistan,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.003037044,0.006074088,0.0091111319999999,0.012148176,0.01518522,0.018222264,0.0208060820880262,0.0233360747520373,0.0258058637401909,0.0282083185289357,0.0305354684883366,0.0327784050158162,0.0349271725490832,0.0369706472651523,0.0388964021623921,0.04069055710723,0.0423376123076729,0.0438202635539224,0.0451191974444996,0.0462128646977774,0.0470772295380743,0.0476854930482618,0.048007788304644,0.0480108450641353,0.0480108450641353,0.0480108450641353,0.0480108450641353,0.0480108450641353,0.0480108450641353,0.0480108450641353
PD22,baseline,tajikistan,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,tajikistan,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0001212,0.0002424,0.0002645,0.0002377,0.0002515,0.0003839,0.0004389,0.0004227,0.0004059,0.0004404,0.0003734,0.0003973,0.0004551,0.0004288,0.0004729,0.0004687,0.0004112,0.0004127,0.000448,0.0004259,0.0003902,0.0003851,0.0003994,0.000372,0.0003879,0.000387,0.0003724,0.0003366,0.0003493,0.0003528272727272,0.0003563545454545,0.0003598818181818,0.000363409090909,0.0003669363636363,0.0003704636363636,0.0003739909090909,0.0003775181818181,0.0003810454545454,0.0003845727272727,0.0003881,0.000387985,0.00038787,0.000387755,0.00038764,0.000387525,0.00038741,0.000387295,0.00038718,0.000387065,0.00038695,0.000386835,0.00038672,0.000386605,0.00038649,0.000386375,0.00038626,0.000386145,0.00038603,0.000385915,0.0003858
PD22,baseline,tajikistan,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0,3.15e-06,6.3e-06,6.9e-06,6.2e-06,6.5e-06,1e-05,1.14e-05,1.1e-05,1.05e-05,1.14e-05,9.7e-06,1.03e-05,1.18e-05,1.11e-05,1.23e-05,1.2200000000000002e-05,1.07e-05,1.07e-05,1.16e-05,1.1e-05,1.01e-05,1e-05,1.04e-05,9.6e-06,1.01e-05,1e-05,9.7e-06,8.7e-06,9.1e-06,9.190909090909092e-06,9.281818181818184e-06,9.372727272727272e-06,9.463636363636364e-06,9.554545454545457e-06,9.645454545454546e-06,9.736363636363637e-06,9.827272727272727e-06,9.918181818181818e-06,1.0009090909090907e-05,1.01e-05,1.0095e-05,1.009e-05,1.0085e-05,1.008e-05,1.0075e-05,1.007e-05,1.0065e-05,1.006e-05,1.0055e-05,1.005e-05,1.0045e-05,1.004e-05,1.0035e-05,1.003e-05,1.0025e-05,1.002e-05,1.0015000000000002e-05,1.001e-05,1.0005e-05,1e-05
PD22,baseline,tajikistan,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0,4.415e-05,8.83e-05,8.680000000000001e-05,7.620000000000001e-05,7.76e-05,0.0001109,0.0001622,0.0001497999999999,0.0001484,0.0001682,0.0001479,0.0001956,0.0002392,0.0002374,0.0002459,0.0002453,0.0002483,0.0002512,0.0003634,0.0003597,0.0002835,0.0003164,0.0003549,0.0003271,0.0003454,0.0003547,0.0003495,0.0003216,0.0003482,0.0003390636363636,0.0003299272727272,0.0003207909090909,0.0003116545454545,0.0003025181818181,0.0002933818181818,0.0002842454545454,0.000275109090909,0.0002659727272727,0.0002568363636363,0.0002477,0.000247895,0.00024809,0.000248285,0.00024848,0.000248675,0.00024887,0.000249065,0.00024926,0.000249455,0.00024965,0.000249845,0.00025004,0.000250235,0.00025043,0.000250625,0.00025082,0.000251015,0.00025121,0.000251405,0.0002516
PD22,baseline,tajikistan,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,tajikistan,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0475664,0.0951328,0.087174,0.0865684,0.083068,0.0790211,0.0763483,0.0732978,0.0737608,0.0729912,0.074982,0.0770392,0.0804945,0.0861011,0.0922156,0.0985963,0.1026519,0.1210707,0.1288876,0.1309807999999999,0.1357932,0.1435379,0.1491162,0.1515692,0.1578191,0.1627046,0.1656747,0.1665124999999999,0.1688866,0.1643052636363636,0.1597239272727272,0.1551425909090909,0.1505612545454545,0.1459799181818181,0.1413985818181818,0.1368172454545454,0.1322359090909091,0.1276545727272727,0.1230732363636363,0.1184919,0.119148675,0.11980545,0.1204622249999999,0.121119,0.121775775,0.12243255,0.123089325,0.1237461,0.124402875,0.12505965,0.125716425,0.1263732,0.127029975,0.12768675,0.128343525,0.1290003,0.129657075,0.13031385,0.130970625,0.1316274
PD22,baseline,tajikistan,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,tajikistan,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0,0.0030874,0.0061748,0.0059133,0.0059135,0.0057493,0.0054725,0.005309,0.0052146,0.0056077,0.0053334,0.0055372,0.005654,0.0059249,0.0063687,0.0069375999999999,0.0076474,0.0080341,0.0092456999999999,0.0099362999999999,0.0101237999999999,0.0104825,0.0110437,0.0112030999999999,0.0114473,0.0120594,0.0124365,0.0127072,0.0128187,0.0130441,0.0126957818181818,0.0123474636363636,0.0119991454545454,0.0116508272727272,0.011302509090909,0.0109541909090909,0.0106058727272727,0.0102575545454545,0.0099092363636363,0.0095609181818181,0.0092126,0.009261255,0.00930991,0.009358565,0.0094072199999999,0.0094558749999999,0.00950453,0.009553185,0.00960184,0.009650495,0.00969915,0.009747805,0.00979646,0.009845115,0.00989377,0.009942425,0.00999108,0.010039735,0.01008839,0.010137045,0.0101857
PD22,baseline,tajikistan,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0004212,0.0008424,0.0007268,0.000724,0.0006865,0.0006471,0.0006231,0.0005891,0.0005649,0.0005745,0.0005868,0.0006052999999999,0.0006293,0.0006726999999999,0.0007141,0.0007397,0.0007633,0.000924,0.0009720999999999,0.0009878,0.0010248,0.0010908,0.0011484,0.0011619999999999,0.0011981,0.0012346,0.0012544,0.0012611,0.0012825,0.001248709090909,0.0012149181818181,0.0011811272727272,0.0011473363636363,0.0011135454545454,0.0010797545454545,0.0010459636363636,0.0010121727272727,0.0009783818181818,0.0009445909090909,0.0009108,0.00091677,0.00092274,0.00092871,0.00093468,0.00094065,0.00094662,0.00095259,0.00095856,0.00096453,0.0009705,0.00097647,0.00098244,0.00098841,0.00099438,0.00100035,0.00100632,0.0010122899999999,0.00101826,0.00102423,0.0010302
