model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,tanzania,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.36820156535987,0.7302643496521792,1.0855609610625354,1.4334122882506706,1.7730860453450568,2.103795964918784,2.424701811107042,2.7349103997812545,3.033477822059844,3.319413068853262,3.5916832447732574,3.849220536669112,4.090931062605744,4.3157056692416695,4.522432668429328,4.710012408282383,4.877373462979849,5.023490104809622,5.147400599622306,5.248225753482698,5.32518704584686,5.377623625198228,5.405007427395783,5.406955712394316,5.406955712394316,5.406955712394316,5.406955712394316,5.406955712394316,5.406955712394316,5.406955712394316
PD22,baseline,tanzania,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,tanzania,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0050585,0.0056206,0.0056843,0.0055271,0.0038504,0.0043609,0.0051191,0.0049626,0.0067362,0.0032349,0.0034684,0.0029711,0.0055411,0.0103314,0.0095465,0.0095116,0.0079749,0.0079871,0.0121836,0.0094321,0.0100685,0.0107565,0.0125241,0.0127216,0.012812,0.0121181,0.0122478999999999,0.0120606,0.0112437,0.010956,0.0108172727272727,0.0106785454545454,0.0105398181818181,0.0104010909090909,0.0102623636363636,0.0101236363636363,0.009984909090909,0.0098461818181818,0.0097074545454545,0.0095687272727272,0.00943,0.009456855,0.00948371,0.0095105649999999,0.00953742,0.009564275,0.00959113,0.0096179849999999,0.00964484,0.009671695,0.00969855,0.009725405,0.00975226,0.009779115,0.00980597,0.009832825,0.00985968,0.009886535,0.00991339,0.009940245,0.0099671
PD22,baseline,tanzania,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0001311,0.0001457,0.0001474,0.0001433,9.98e-05,0.0001131,0.0001327,0.0001287,0.0001746,8.39e-05,8.989999999999999e-05,7.7e-05,0.0001437,0.0002679,0.0002475,0.0002466,0.0002068,0.0002071,0.0003159,0.0002445,0.000261,0.0002789,0.0003247,0.0003298,0.0003322,0.0003142,0.0003175,0.0003127,0.0002915,0.0002839999999999,0.000280409090909,0.0002768181818181,0.0002732272727272,0.0002696363636363,0.0002660454545454,0.0002624545454545,0.0002588636363636,0.0002552727272727,0.0002516818181818,0.0002480909090909,0.0002445,0.0002451949999999,0.0002458899999999,0.000246585,0.00024728,0.000247975,0.00024867,0.000249365,0.00025006,0.000250755,0.00025145,0.000252145,0.00025284,0.000253535,0.00025423,0.000254925,0.00025562,0.000256315,0.00025701,0.000257705,0.0002584
PD22,baseline,tanzania,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0010843,0.0011286,0.0010888,0.0011482,0.0009737,0.00125,0.0013492,0.001109,0.0013876,0.0011361,0.0011192,0.0012294,0.0016196,0.0013887,0.001826,0.0017158,0.0017073,0.0018207,0.0021234,0.0018885,0.0024325,0.0023191,0.0023892,0.0025286,0.0027088999999999,0.0025942,0.0026158,0.0027612,0.0026871,0.0026442,0.0026636636363636,0.0026831272727272,0.0027025909090909,0.0027220545454545,0.0027415181818181,0.0027609818181818,0.0027804454545454,0.002799909090909,0.0028193727272727,0.0028388363636363,0.0028583,0.0029217799999999,0.00298526,0.00304874,0.0031122199999999,0.0031757,0.00323918,0.00330266,0.00336614,0.00342962,0.0034931,0.00355658,0.00362006,0.00368354,0.00374702,0.0038105,0.00387398,0.00393746,0.00400094,0.00406442,0.0041279
PD22,baseline,tanzania,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.000664714,0.001329428,0.001994142,0.0026588559999999,0.0033235699999999,0.003988284,0.004652998,0.005317712,0.0059824259999999,0.0066471399999999,0.007311854,0.007976568,0.008641282,0.009305996,0.0099707099999999,0.010635424,0.0113001379999999,0.0119648519999999,0.012629566,0.01329428,0.013958994,0.014623708,0.015288422,0.0154433859999999,0.0155208679999999,0.0155208679999999,0.0155208679999999,0.0155208679999999,0.0155208679999999,0.0155208679999999
PD22,baseline,tanzania,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.5126763999999999,0.5177154,0.5235471,0.5282401999999999,0.5328355,0.606746,0.5421909,0.5483279,0.5605262,0.6621676,0.6483039,0.6636708,0.6824733000000001,0.7026065,0.7021157,0.7140769,0.75029,0.75385,0.770405,0.7824099999999999,0.7883936,0.87412,0.92565,0.9854357,1.034185,1.0531614,1.06251,1.0523646000000002,1.0840684,1.1064215,1.0947623,1.0831031,1.0714439,1.0597847,1.0481255,1.0364663,1.0248071,1.0131479,1.0014887,0.9898295,0.9781703,0.990183185,1.00219607,1.014208955,1.02622184,1.038234725,1.05024761,1.062260495,1.0742733800000002,1.086286265,1.09829915,1.110312035,1.12232492,1.134337805,1.14635069,1.158363575,1.17037646,1.182389345,1.19440223,1.206415115,1.218428
PD22,baseline,tanzania,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,tanzania,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0159404,0.0161415,0.0163244,0.0165142,0.0166008,0.019058,0.0169513,0.0171436999999999,0.0173382,0.0209443,0.0204523,0.0208453,0.0212175,0.0217078,0.0214293,0.0216643,0.0225622,0.0226452,0.0229772,0.0232922,0.023452,0.0262146,0.0278955,0.0298072,0.0313649,0.0321396,0.0324478999999999,0.0321467,0.0330959,0.0337702,0.0334373181818181,0.0331044363636363,0.0327715545454545,0.0324386727272727,0.0321057909090909,0.031772909090909,0.0314400272727272,0.0311071454545454,0.0307742636363636,0.0304413818181818,0.0301085,0.030529815,0.03095113,0.031372445,0.03179376,0.032215075,0.03263639,0.033057705,0.03347902,0.033900335,0.03432165,0.034742965,0.03516428,0.035585595,0.03600691,0.036428225,0.03684954,0.037270855,0.03769217,0.038113485,0.0385348
PD22,baseline,tanzania,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.000413,0.0004216,0.000426,0.0004314,0.0004314,0.000473,0.0004512,0.0004639,0.0004825,0.0005407,0.0005363,0.0005484,0.0005625,0.0005759,0.0005826,0.0005930999999999,0.0006166,0.0006227,0.0006363,0.0006457,0.0006519,0.0006953,0.0007199999999999,0.0007487,0.0007752,0.00078,0.000787,0.0007852,0.000803,0.0008158,0.0008203181818181,0.0008248363636363,0.0008293545454545,0.0008338727272727,0.0008383909090909,0.000842909090909,0.0008474272727272,0.0008519454545454,0.0008564636363636,0.0008609818181818,0.0008655,0.000885185,0.00090487,0.000924555,0.00094424,0.000963925,0.00098361,0.001003295,0.00102298,0.001042665,0.00106235,0.001082035,0.00110172,0.001121405,0.00114109,0.001160775,0.00118046,0.001200145,0.00121983,0.001239515,0.0012592
