model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,togo,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0171622870388707,0.0339143201571714,0.0502211745586668,0.0660464493048111,0.0813525128974683,0.0961008151315078,0.1102522676122284,0.1237676926141781,0.1366083365896195,0.1487364407239526,0.1601158566793713,0.170712691356857,0.1804959605107941,0.1894382277920621,0.1975162037023095,0.2047112783894986,0.211009963462624,0.2164042211404759,0.2208916639570302,0.2244756145926952,0.2271650226700638,0.2289742429059764,0.2299226861711824,0.2300343611504794,0.2300343611504794,0.2300343611504794,0.2300343611504794,0.2300343611504794,0.2300343611504794,0.2300343611504794
PD22,baseline,togo,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,togo,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0008269,0.0007273,0.0007606,0.0009569,0.001087,0.0009791,0.001198,0.001191,0.0011539999999999,0.0011691,0.001131,0.001159,0.0011361,0.0011836,0.0013427,0.0012372,0.0013157,0.0013127,0.0013906,0.001469,0.0015137,0.0014775,0.0020141,0.0021601,0.0020054,0.0016653,0.0019479,0.0020003,0.0020601,0.00214,0.0020748,0.0020096,0.0019444,0.0018792,0.001814,0.0017488,0.0016836,0.0016184,0.0015532,0.001488,0.0014228,0.001426795,0.00143079,0.001434785,0.00143878,0.001442775,0.00144677,0.001450765,0.00145476,0.001458755,0.00146275,0.001466745,0.00147074,0.001474735,0.00147873,0.001482725,0.00148672,0.001490715,0.00149471,0.001498705,0.0015027
PD22,baseline,togo,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,2.14e-05,1.89e-05,1.97e-05,2.48e-05,2.82e-05,2.54e-05,3.11e-05,3.09e-05,2.99e-05,3.03e-05,2.93e-05,3e-05,2.95e-05,3.07e-05,3.48e-05,3.2099999999999994e-05,3.41e-05,3.4000000000000007e-05,3.61e-05,3.810000000000001e-05,3.92e-05,3.83e-05,5.22e-05,5.6e-05,5.2e-05,4.3200000000000007e-05,5.05e-05,5.19e-05,5.34e-05,5.55e-05,5.380909090909091e-05,5.211818181818182e-05,5.042727272727273e-05,4.873636363636364e-05,4.704545454545455e-05,4.5354545454545456e-05,4.3663636363636365e-05,4.197272727272728e-05,4.028181818181818e-05,3.859090909090909e-05,3.69e-05,3.7005e-05,3.711e-05,3.7215e-05,3.732e-05,3.7425e-05,3.753e-05,3.7635e-05,3.774e-05,3.7845e-05,3.795e-05,3.8055e-05,3.816e-05,3.8265e-05,3.837e-05,3.8475e-05,3.858e-05,3.8685e-05,3.879e-05,3.8895e-05,3.9e-05
PD22,baseline,togo,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.000161,0.0001536,0.0001496,0.0002034999999999,0.0001924,0.0001941,0.0002346999999999,0.0002262,0.0002054,0.0002183,0.0002144,0.0002262,0.0002293,0.0002239,0.0002284,0.0002422999999999,0.0002544,0.0002535,0.0002675,0.0002943,0.0002974999999999,0.0002956,0.0003838,0.0004077,0.0004084,0.0003878,0.0003987,0.0004109999999999,0.000422,0.000431,0.0004282363636363,0.0004254727272727,0.000422709090909,0.0004199454545454,0.0004171818181818,0.0004144181818181,0.0004116545454545,0.0004088909090909,0.0004061272727272,0.0004033636363636,0.0004006,0.000408095,0.00041559,0.000423085,0.00043058,0.000438075,0.00044557,0.000453065,0.00046056,0.000468055,0.00047555,0.000483045,0.00049054,0.000498035,0.00050553,0.000513025,0.00052052,0.000528015,0.00053551,0.000543005,0.0005505
PD22,baseline,togo,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,togo,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0248996,0.0215948,0.0181788999999999,0.0171225999999999,0.0163754999999999,0.0137558,0.0172622,0.0212353,0.0223098,0.0236484,0.0247379,0.025124,0.0258908,0.0264863,0.0265334,0.0284386,0.0291447,0.0294861,0.0297318,0.0306229,0.0311895,0.0314902,0.0382056,0.0399792,0.0411252,0.0415345,0.0393897,0.0420788,0.0436602,0.0464271,0.0462294181818181,0.0460317363636363,0.0458340545454545,0.0456363727272727,0.0454386909090909,0.0452410090909091,0.0450433272727272,0.0448456454545454,0.0446479636363636,0.0444502818181818,0.0442526,0.044936785,0.04562097,0.046305155,0.04698934,0.047673525,0.04835771,0.049041895,0.04972608,0.050410265,0.05109445,0.051778635,0.05246282,0.053147005,0.05383119,0.054515375,0.05519956,0.055883745,0.05656793,0.057252115,0.0579363
PD22,baseline,togo,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,togo,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0014322999999999,0.0013507,0.0012113,0.0011626,0.0011177,0.0009346,0.0010932,0.0012202,0.0013149,0.0014129,0.0014873,0.0015351,0.0015999,0.0016619,0.0016999,0.0018217,0.001896,0.0019589,0.0019564,0.0020942,0.0021579999999999,0.0022015,0.0025066,0.0026727,0.0028105,0.0029539,0.0030196,0.0032234,0.0033327,0.0035051,0.0034949272727272,0.0034847545454545,0.0034745818181818,0.003464409090909,0.0034542363636363,0.0034440636363636,0.0034338909090909,0.0034237181818181,0.0034135454545454,0.0034033727272727,0.0033932,0.00346909,0.00354498,0.00362087,0.00369676,0.00377265,0.00384854,0.00392443,0.00400032,0.00407621,0.0041521,0.00422799,0.0043038799999999,0.00437977,0.00445566,0.00453155,0.00460744,0.0046833299999999,0.00475922,0.00483511,0.004911
PD22,baseline,togo,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0001698,0.0001993,0.0002015,0.0001992,0.0001951,0.0001546,0.0001391,0.0001505,0.0001661,0.0001805,0.0001898,0.0001987,0.0002088,0.0002193,0.0002297,0.0002412999999999,0.0002530999999999,0.0002658,0.0002633,0.0002717,0.0002747,0.0002773,0.0003,0.0003307999999999,0.0003708,0.0004179,0.0004634,0.0004916,0.0004989,0.0005132,0.0005125909090909,0.0005119818181818,0.0005113727272727,0.0005107636363636,0.0005101545454545,0.0005095454545454,0.0005089363636363,0.0005083272727272,0.0005077181818181,0.000507109090909,0.0005065,0.000523285,0.00054007,0.000556855,0.00057364,0.000590425,0.00060721,0.000623995,0.00064078,0.000657565,0.00067435,0.000691135,0.00070792,0.000724705,0.00074149,0.000758275,0.0007750599999999,0.000791845,0.00080863,0.0008254149999999,0.0008422
