model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,uganda,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0171918097498947,0.0336769470821157,0.0494234209503232,0.0644019859191332,0.0785867453446412,0.0919557167158764,0.1044913345503024,0.1161808674142586,0.1270167286001674,0.1369966646246229,0.1461238117019576,0.154406617209348,0.1618586302888008,0.1684981724890566,0.1743479051473836,0.179434314585496,0.1837871388643454,0.1874387607308306,0.1904235906088005,0.192777461304186,0.1945370528761214,0.1957393622790121,0.1964212282976017,0.1966189183168533,0.1966189183168533,0.1966189183168533,0.1966189183168533,0.1966189183168533,0.1966189183168533,0.1966189183168533
PD22,baseline,uganda,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,uganda,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0011866,0.0012448,0.0012938,0.0014703,0.0016317,0.0016551,0.0016999,0.0017433,0.0017979,0.0017842,0.0018479,0.0019165,0.0019991,0.0021122999999999,0.0022334,0.0023269,0.0024513,0.0025288,0.0031113,0.0027669,0.0030198,0.0030993,0.0031874,0.0032149,0.003262,0.0033103,0.0028175,0.002979,0.0030809,0.0028238,0.0028340363636363,0.0028442727272727,0.002854509090909,0.0028647454545454,0.0028749818181818,0.0028852181818181,0.0028954545454545,0.0029056909090909,0.0029159272727272,0.0029261636363636,0.0029364,0.002958575,0.00298075,0.003002925,0.0030251,0.003047275,0.00306945,0.003091625,0.0031138,0.003135975,0.00315815,0.003180325,0.0032025,0.003224675,0.00324685,0.003269025,0.0032912,0.003313375,0.00333555,0.003357725,0.0033799
PD22,baseline,uganda,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,3.08e-05,3.2300000000000006e-05,3.35e-05,3.810000000000001e-05,4.23e-05,4.29e-05,4.41e-05,4.52e-05,4.66e-05,4.63e-05,4.79e-05,4.97e-05,5.18e-05,5.48e-05,5.79e-05,6.03e-05,6.36e-05,6.560000000000001e-05,8.07e-05,7.170000000000001e-05,7.829999999999999e-05,8.04e-05,8.26e-05,8.33e-05,8.46e-05,8.58e-05,7.3e-05,7.72e-05,7.99e-05,7.32e-05,7.346363636363637e-05,7.372727272727273e-05,7.399090909090909e-05,7.425454545454546e-05,7.451818181818183e-05,7.478181818181818e-05,7.504545454545455e-05,7.530909090909092e-05,7.557272727272729e-05,7.583636363636364e-05,7.61e-05,7.667500000000001e-05,7.725000000000001e-05,7.782500000000001e-05,7.840000000000001e-05,7.897500000000001e-05,7.955000000000001e-05,8.012500000000001e-05,8.070000000000001e-05,8.127500000000001e-05,8.185000000000001e-05,8.242500000000001e-05,8.3e-05,8.3575e-05,8.415e-05,8.4725e-05,8.53e-05,8.5875e-05,8.645e-05,8.7025e-05,8.76e-05
PD22,baseline,uganda,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0005061999999999,0.0005226,0.0005626,0.000598,0.0006156,0.0006416,0.0005579,0.0005726,0.0006738,0.0006945,0.000703,0.0007619,0.0007941,0.0008327,0.0007953,0.0008458,0.000865,0.0008909,0.0008774,0.000868,0.0008935999999999,0.0009327,0.0009408999999999,0.0009437,0.000944,0.0009921,0.0008464,0.0009464,0.0009503,0.0009268,0.0009792636363636,0.0010317272727272,0.0010841909090909,0.0011366545454545,0.0011891181818181,0.0012415818181818,0.0012940454545454,0.001346509090909,0.0013989727272727,0.0014514363636363,0.0015039,0.00154341,0.00158292,0.00162243,0.00166194,0.00170145,0.00174096,0.00178047,0.00181998,0.00185949,0.001899,0.00193851,0.00197802,0.00201753,0.00205704,0.00209655,0.00213606,0.00217557,0.00221508,0.00225459,0.0022941
PD22,baseline,uganda,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0001684279999999,0.0003368559999999,0.0005052839999999,0.0006737119999999,0.0008421399999999,0.0010105679999999,0.0011789959999999,0.0013474239999999,0.001515852,0.0016842799999999,0.0018527079999999,0.0020211359999999,0.0021895639999999,0.0023579919999999,0.0025264199999999,0.0026948479999999,0.0028632759999999,0.0030317039999999,0.0032001319999999,0.0033685599999999,0.003536988,0.003705416,0.003873844,0.0040422719999999,0.0042106999999999,0.0042106999999999,0.0042106999999999,0.0042106999999999,0.0042106999999999,0.0042106999999999
PD22,baseline,uganda,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.1995082,0.208181,0.211983,0.218543,0.210318,0.215705,0.218939,0.224971,0.233048,0.240063,0.2459675,0.253787,0.2680198,0.285686,0.293962,0.303302,0.3118211,0.3213224,0.4750352,0.4893168,0.5039707,0.5175665,0.53122,0.5399125,0.5571020999999999,0.5776626,0.6070700000000001,0.6293744,0.6481477,0.6669159,0.6474533727272728,0.6279908454545454,0.6085283181818182,0.589065790909091,0.5696032636363637,0.5501407363636364,0.5306782090909091,0.5112156818181819,0.4917531545454545,0.4722906272727273,0.4528281,0.46006382,0.46729954,0.47453526,0.48177098,0.4890067,0.49624242,0.50347814,0.51071386,0.51794958,0.5251853,0.53242102,0.53965674,0.54689246,0.55412818,0.5613639,0.56859962,0.57583534,0.58307106,0.5903067799999999,0.5975425
PD22,baseline,uganda,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,uganda,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0073853,0.0077112,0.0078526,0.008095,0.0079033,0.0081096,0.0082497,0.0084835,0.0087597,0.0090157,0.0093436,0.0096999,0.0100426,0.0104131,0.0106747,0.0110044,0.0111197,0.0115215,0.0165406,0.0170771,0.0176336,0.0181524,0.0186896,0.018914,0.0193970999999999,0.0199813,0.0210843,0.0217618,0.0223753,0.0229888,0.0226789181818181,0.0223690363636363,0.0220591545454545,0.0217492727272727,0.0214393909090909,0.021129509090909,0.0208196272727272,0.0205097454545454,0.0201998636363636,0.0198899818181818,0.0195801,0.020074925,0.02056975,0.021064575,0.0215594,0.022054225,0.02254905,0.023043875,0.0235387,0.024033525,0.02452835,0.025023175,0.025518,0.026012825,0.02650765,0.027002475,0.0274973,0.027992125,0.02848695,0.028981775,0.0294766
PD22,baseline,uganda,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0006187,0.0006454,0.0006554999999999,0.0006758,0.0006881,0.0007080999999999,0.0007272,0.0007488,0.0007746,0.000797,0.0008250999999999,0.0008615,0.0009025,0.0009479,0.0010217,0.0010535,0.0010787,0.0011131,0.0012093,0.001238,0.0012768,0.001318,0.0013527,0.0013788,0.0013619,0.001384,0.0014732,0.0014922,0.001523,0.0015539,0.0016744,0.0017948999999999,0.0019153999999999,0.0020358999999999,0.0021564,0.0022769,0.0023974,0.0025179,0.0026384,0.0027589,0.0028794,0.002992135,0.00310487,0.003217605,0.0033303399999999,0.003443075,0.00355581,0.003668545,0.0037812799999999,0.003894015,0.00400675,0.004119485,0.00423222,0.004344955,0.00445769,0.0045704249999999,0.00468316,0.004795895,0.00490863,0.005021365,0.0051341
