model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,usa,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2416034233333337,0.4832068466666661,0.7248102699999999,0.9664136933333332,1.1810006666813542,1.3923791476695482,1.6001689335836775,1.803944979368288,2.003232161868888,2.19749944609914,2.38615338860488,2.568530906805459,2.743891236637809,2.911406993955205,3.070154248011184,3.219101508093936,3.3570975171122064,3.482857738869099,3.594949419158819,3.6917750950271664,3.771554421994868,3.832304186316693,3.871816369148131,3.887634132694135,3.887634132694135,3.887634132694135,3.887634132694135,3.887634132694135,3.887634132694135,3.887634132694135
PD22,baseline,usa,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,usa,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.1056187,0.102771,0.1087259,0.0985499,0.1088882,0.1004333,0.109139,0.1093648,0.1077335,0.1033581,0.104904,0.0990477,0.0984364,0.1032157,0.1049581,0.1066527,0.0999711,0.1191033,0.1125996,0.1111477,0.1126013,0.1138198,0.1190928,0.1174982,0.1134924,0.1109923,0.1164534,0.1088821,0.1085081,0.1073432,0.1087260636363636,0.1101089272727272,0.1114917909090909,0.1128746545454545,0.1142575181818181,0.1156403818181818,0.1170232454545454,0.1184061090909091,0.1197889727272727,0.1211718363636363,0.1225547,0.122749035,0.12294337,0.123137705,0.12333204,0.123526375,0.12372071,0.123915045,0.12410938,0.124303715,0.12449805,0.124692385,0.12488672,0.125081055,0.12527539,0.125469725,0.12566406,0.125858395,0.12605273,0.126247065,0.1264414
PD22,baseline,usa,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0027383,0.0026644,0.0028188,0.002555,0.002823,0.0026038,0.0028295,0.0028354,0.0027931,0.0026797,0.0027197,0.0025678999999999,0.0025521,0.002676,0.0027210999999999,0.0027651,0.0025918,0.0030878999999999,0.0029192,0.0028816,0.0029192999999999,0.0029509,0.0030876,0.0030461999999999,0.0029424,0.0028776,0.0030192,0.0028229,0.0028132,0.002783,0.0028188454545454,0.0028546909090909,0.0028905363636363,0.0029263818181818,0.0029622272727272,0.0029980727272727,0.0030339181818181,0.0030697636363636,0.003105609090909,0.0031414545454545,0.0031772999999999,0.0031823399999999,0.0031873799999999,0.0031924199999999,0.0031974599999999,0.0032024999999999,0.0032075399999999,0.0032125799999999,0.0032176199999999,0.0032226599999999,0.0032277,0.00323274,0.00323778,0.00324282,0.00324786,0.0032529,0.00325794,0.00326298,0.00326802,0.00327306,0.0032781
PD22,baseline,usa,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0724269,0.0663174,0.0791125,0.0632511,0.080644,0.0671704,0.0773867,0.0796714,0.0818371,0.0787559,0.0800811,0.0771408,0.0716082,0.0795643,0.0880175,0.084055,0.0798082,0.0888581,0.0902878,0.093643,0.0909515,0.0866026,0.0835177,0.0957515999999999,0.0998182,0.0983178,0.1109084,0.1010888,0.1013083,0.0934721,0.0947226454545454,0.0959731909090909,0.0972237363636363,0.0984742818181818,0.0997248272727272,0.1009753727272727,0.1022259181818181,0.1034764636363636,0.1047270090909091,0.1059775545454545,0.1072281,0.107501435,0.10777477,0.108048105,0.10832144,0.108594775,0.10886811,0.109141445,0.10941478,0.109688115,0.10996145,0.110234785,0.11050812,0.110781455,0.11105479,0.111328125,0.11160146,0.111874795,0.11214813,0.112421465,0.1126948
PD22,baseline,usa,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.902472749758477,1.792958651229748,2.6701781399122133,3.532733224173164,4.379100756081579,5.207626345665043,6.016519222043669,6.803848396678867,7.567540535305063,8.30537999251963,9.01501150191338,9.69394603931875,10.339570380490994,10.949160849835888,11.519901695970583,12.048908425883075,12.533256276890894,12.970013802198608,13.359885162198609,13.707217038198609,14.012009430198606,14.274262338198607,14.493975762198607,14.671149702198608,14.759736672198606,14.759736672198606,14.759736672198606,14.759736672198606,14.759736672198606,14.759736672198606
PD22,baseline,usa,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,6.100821,6.123394500000001,6.1737150000000005,6.2463551,6.3345251,6.419168300000001,6.4458603000000005,6.3396906,6.2307283,6.191403,6.1460135000000005,6.0965949,6.0755116,6.0550728000000005,6.0017445,6.0352215,6.1381731,6.1370377,6.1253537,6.0459348,6.0085861000000005,5.954538400000001,5.8651366,5.8050675,5.7280324,5.7668023,5.9209829,6.0203071,6.0649878,6.0922606,6.115531036363636,6.138801472727272,6.162071909090908,6.185342345454545,6.208612781818181,6.231883218181818,6.255153654545454,6.278424090909091,6.301694527272727,6.324964963636364,6.3482354,6.343696315,6.33915723,6.334618145,6.33007906,6.325539975,6.3210008900000005,6.316461805,6.31192272,6.307383635,6.30284455,6.298305465,6.29376638,6.289227295,6.2846882100000006,6.280149125,6.27561004,6.271070955,6.26653187,6.261992785,6.2574537
PD22,baseline,usa,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,usa,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,1.2455765,1.2822683,1.2848036,1.2800856,1.2991184,1.2846713,1.2607165,1.3093658,1.3141246000000002,1.2832702,1.2843399,1.2878562999999998,1.2892513,1.2961898,1.2931783,1.3031165,1.315774,1.3305005,1.3975252,1.3512912,1.3482574,1.3662933000000002,1.3658545,1.3486339,1.3829875,1.3969186,1.4287974,1.4546768,1.4803163,1.5161355,1.5042662181818185,1.4923969363636365,1.4805276545454549,1.4686583727272728,1.456789090909091,1.444919809090909,1.4330505272727272,1.4211812454545454,1.4093119636363636,1.3974426818181818,1.3855734,1.38675443,1.38793546,1.38911649,1.39029752,1.39147855,1.39265958,1.39384061,1.39502164,1.39620267,1.3973837,1.39856473,1.39974576,1.40092679,1.40210782,1.40328885,1.40446988,1.40565091,1.40683194,1.40801297,1.409194
PD22,baseline,usa,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0458436,0.0464247,0.04695,0.0474855999999999,0.0482657,0.0488869,0.0491917,0.0490793,0.0483896,0.0479401999999999,0.0478989,0.0477997999999999,0.0477947,0.0475352,0.0471061,0.0472225,0.0479221,0.0481661,0.0486203,0.0473124,0.0471337,0.0469308,0.0465048,0.0459414,0.0458161,0.0460741,0.0471784,0.047895,0.0481953,0.0484656,0.0487131909090909,0.0489607818181818,0.0492083727272727,0.0494559636363636,0.0497035545454545,0.0499511454545454,0.0501987363636363,0.0504463272727272,0.0506939181818181,0.050941509090909,0.0511891,0.051236855,0.05128461,0.051332365,0.05138012,0.051427875,0.05147563,0.051523385,0.05157114,0.051618895,0.05166665,0.051714405,0.05176216,0.051809915,0.05185767,0.051905425,0.05195318,0.052000935,0.05204869,0.052096445,0.0521442
