scenario,sector,product_category,product_long,flow_category,flow_long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pathway,Agriculture,Emissions,Agroforestry,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Biochar,Emissions,CO2e,0.0,0.0011065962038202,0.0032829020713333,0.0053854348585918,0.0074141945655956,0.0093691811923447,0.0112503947388391,0.0130578352050789,0.0153618252499561,0.0181433541181738,0.0213834110544363,0.0250629853034471,0.0291630661099097,0.0339489528201246,0.0393921576754087,0.0454641929170791,0.0521365707864528,0.0593808035248468,0.0704609526938687,0.0852387788908259,0.103576042713025,0.1253345047577742,0.1503759256223807,0.1785305704737349,0.2096612497568249,0.2457914739402521,0.286712030134884,0.332213705451588,0.3800840641297006,0.4347205492376339,0.4958293925865792,0.563116825987727,0.6289174480791266,0.6932213278692047,0.7709632579702914,0.8615970338458857,0.9515101034759152,1.0405918072399971,1.12873148551775,1.2226047508443745,1.3218943789747746,1.4161960983882007,1.5055289176154865,1.5899118475246543,1.6693733760119494,1.7439419910039244,1.81364618046412,1.8785144324012115,1.938575234878953,1.9939668276723257,2.044827450638334,2.091295343734079,2.1335087470388143,2.1716059007808552,2.2057239955227463,2.2360002220490154,2.262643794749206,2.285863928343443,2.305869837955264,2.32280396510479,2.3369600813083014
pathway,Agriculture,Emissions,Burning - Crop residues,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Crop Residues,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Cropland Soil Health,Emissions,CO2e,0.0,0.0002800341442576,0.0008307679612976,0.0013628328353871,0.0018762287665261,0.0023709557547146,0.0028470137999526,0.0033044029022401,0.0038874483513098,0.0045913393041709,0.005411264917832,0.0063424143493021,0.0073799767555901,0.0085910885276911,0.0099685405814812,0.0115051238328364,0.0131936291976328,0.0150268475917462,0.0178307792156596,0.0215704413424286,0.0262108512451091,0.0317170261967569,0.0380539834704279,0.0451787701366104,0.0530566691417793,0.0621997480499789,0.0725550636537652,0.0840696727456936,0.096183698513587,0.1100099535645492,0.1254740972103696,0.1425017887628377,0.1591532293112261,0.1754259057285994,0.1950992019080351,0.2180348958680727,0.2407882086162091,0.2633311367380186,0.2856356768190753,0.3093911527855206,0.334517288182667,0.3583811883178713,0.3809876634712045,0.402341524514184,0.4224499805657449,0.4413202407524924,0.4589595142103915,0.4753750100868285,0.490573937543129,0.5045912794004479,0.5174620185006968,0.5292211377111185,0.5399036199298667,0.5495444480928172,0.5581783395084601,0.5658400115414606,0.5725824077789556,0.5784584718917386,0.5835211476526904,0.5878064811724483,0.591388813981269
pathway,Agriculture,Emissions,Enteric Fermentation,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Enteric Fermentation,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004339326580922,0.0009313389067835,0.0015007895274048,0.0021516343352758,0.002893940203636,0.0037383848682184,0.0046961027960783,0.0057784841020294,0.0069969342679372,0.0083626109936862,0.0098861641000342,0.0115775137381168,0.0134457097171609,0.0154989192698611,0.0177445916900893,0.0201898472836634,0.0228421384421415,0.0257102384816843,0.0288056386404469,0.0321444902201992,0.0357503435200876,0.0396581604356183,0.0439205303554026,0.0486179843144087,0.0538775429146443,0.0599094399709514,0.0670893524408065,0.0761771538880715,0.0890813310118696,0.1134383483160217
pathway,Agriculture,Emissions,Fertilized Soils,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001217120592053,0.0002612275754055,0.0004209505332405,0.0006035034255195,0.0008117098697995,0.0010485648220477,0.0013171913449976,0.0016207842070145,0.0019625424867067,0.0023455957632925,0.002772931162978,0.0032473311498157,0.0037713340690901,0.0043472307156759,0.0049771105126205,0.0056629706064103,0.0064069012889496,0.0072113633530743,0.0080795799308357,0.0090160812371434,0.0100274728024881,0.0111235609509997,0.0123190962728007,0.0136366666001574,0.0151118994405725,0.0168037624473025,0.0188176277679327,0.0213666293403419,0.0249860710689137,0.0318178747529785
pathway,Agriculture,Emissions,Improved Rice,Emissions,CO2e,0.0,7.300034240514891e-05,0.0002165676824686,0.0003552683330383,0.0004891022941144,0.0006180695656969,0.0007421701477856,0.0008614040403807,0.0010133944968755,0.0011968874088237,0.0014106286677785,0.0016533641652937,0.001923839792923,0.002239556914807,0.0025986362400795,0.0029991984778747,0.0034393643373264,0.003917254527569,0.004648193853446,0.005623062887568,0.0068327422025453,0.0082681123709883,0.0099200539655071,0.0117773698566592,0.0138310098737898,0.0162144616942996,0.0189139238859322,0.0219155950164309,0.0250735243157498,0.028677803913785,0.0327090544033986,0.0371478963774532,0.0414886558401738,0.0457306776602821,0.0508591856897002,0.0568381477081382,0.0627695659138303,0.0686461402725361,0.074460570750015,0.0806532365913351,0.0872032110316736,0.0934241412886256,0.0993172813238933,0.1048838852533596,0.1101258323769651,0.1150450019966501,0.1196432734167947,0.1239225259447564,0.1278846388915264,0.1315387317090534,0.1348939238546976,0.1379593347924218,0.1407440839942475,0.1432572909420295,0.1455080058728875,0.1475052790385853,0.1492629119703589,0.1507947062212523,0.1521144633709221,0.1532315800535746,0.1541654358958553
pathway,Agriculture,Emissions,Manure Management,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
