model,scenario,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,pathway,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Rice Cultivation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Commercial,Biofuels and Waste,Charcoal,CHARCOAL,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002642348949724,0.0005430050189915,0.0008366094082996,0.0011452805584593,0.0014691703378734,0.0018083355934367,0.0021627244319934,0.002532164485643,0.0029163547177524,0.0033148624028758,0.0037271267170471,0.0041524698348485,0.0045901155482663,0.0050392143067618,0.0054988724433977,0.0059681824782232,0.0064462510369986,0.0069322212323012,0.0074252872833692,0.0079247004787171,0.0084297669840034,0.0089398391465662,0.0094543026342674,0.0099725619104897,0.0104940262688568,0.0110180980921321,0.0115441643375571,0.0120715916296545,0.0125997248490579,0.0131278887747083
PD22,pathway,Commercial,Emissions,Addtl Emissions,EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002367224625817,0.0004972079394179,0.0007830940165215,0.0010959327169449,0.0014371116825547,0.0018077607734591,0.0022086479831438,0.0026400717363072,0.0031017599613319,0.0035927890813743,0.0041115372956338,0.0046556852775279,0.0052222731133121,0.0058078151021267,0.0064084650600922,0.0070202159760126,0.0076391115134347,0.0082614447213176,0.0088839220159349,0.0095037772297943,0.010118829398473,0.0107274867144036,0.0113287058583686,0.0119219197483309,0.0125069475961704,0.0130838997010909,0.0136530865961398,0.0142149389178578,0.0147699413594561,0.0153185816669607
PD22,pathway,Commercial,Natural gas,Natural gas,NATGAS,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106808897251149,0.0221484041954508,0.0344271722879712,0.0475391962499626,0.0615031403230473,0.0763335811114446,0.0920402618448154,0.1086274092743889,0.1260931861103915,0.144429359134254,0.1636212583823729,0.1836480821020777,0.2044835645483775,0.2260969729395971,0.2484543451501968,0.2715198338407327,0.2952569985678275,0.3196298932116629,0.3446038318971722,0.3701457738817632,0.396224332260899,0.4228094676610195,0.4498719652817803,0.4773828074013632,0.5053125460413174,0.5336307584860218,0.5623056396961063,0.591303757205345,0.6205899703746499,0.6501274989313
PD22,pathway,Commercial,Oil products,Liquified petroleum gases (LPG),LPG,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051400776789435,0.0110936832647161,0.0179471621977871,0.0257837391180214,0.034678887658285,0.0446947479368847,0.0558738134858103,0.0682323077677555,0.0817538819450616,0.0963844452625612,0.1120290277534213,0.1285515116267536,0.1457778138098899,0.1635026645726212,0.1814995729593747,0.1995330188858976,0.217371504595769,0.2347999471672682,0.2516300404807389,0.2677076139495122,0.2829165526002609,0.2971793807336749,0.3104550343338093,0.3227345936479539,0.3340358128761839,0.3443972071407875,0.3538722951276245,0.3625244042694178,0.3704222650459947,0.3776364751101637
PD22,pathway,Electric Power,Biofuels and Waste,Municipal waste (non-renewable),MUNWASTEN,Electricity output,CO2e,ELAUTOC,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.210190492109962e-05,0.0001317802660256,0.0001887290804648,0.000252101484147,0.0003309620636497,0.000434641598475,0.0005730240994808,0.000756780508912,0.0009975521854556,0.0013080782045688,0.0017022525542516,0.0021950902655192,0.0028025758199893,0.0035413639185357,0.0044283036027777,0.0054797639955133,0.0067107558139826,0.0081338688113326,0.0097580810179554,0.0115875375094601,0.0136204368104263,0.0158481906609377,0.0182550250387356,0.0208181572350148,0.0235086136133828,0.0262926552342662,0.0291336747375825,0.0301189782806226,0.0306607007226657
PD22,pathway,Electric Power,Coal,Other bituminous coal,BITCOAL,Electricity output,CO2e,ELMAINE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227533523177907,0.0415861803470489,0.0595576394982675,0.0795562044430591,0.1044424061512723,0.137160778663107,0.1808304404209932,0.238818843487679,0.3147996763177678,0.4127930361944374,0.5371834786214675,0.6927093290444235,0.8844148445083082,1.1175557845821649,1.3974492373595382,1.7292608419253366,2.1177275624177403,2.5668223741591065,3.079378493398883,3.656703990510653,4.29823037004389,5.001247416451707,5.760777287798973,6.569630395949712,7.418663468510747,8.29722943617392,9.193776036037274,9.504710382075643,9.6756628915239
PD22,pathway,Electric Power,Emissions,"Fossil Fuels, Addtl Emissions",EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008655017245789,0.0015818728733381,0.0022654789051586,0.0030261928521443,0.0039728248119471,0.0052173802268548,0.0068785054551438,0.0090842930753071,0.0119744844163854,0.0157019976542578,0.0204336143821172,0.0263495730451587,0.0336417492453026,0.0425100638077286,0.0531567703982011,0.0657783618004687,0.0805550246777367,0.0976378847606299,0.1171347131378112,0.1390952667483191,0.1634979209196231,0.1902395833162712,0.2191309046626323,0.2498984043373114,0.2821942866434782,0.315613553815563,0.349716775947819,0.3615442292816561,0.3680469937834333
