scenario,sector,product_category,product_long,flow_category,flow_long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pathway,Agriculture,Emissions,Agroforestry,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1427882978462804,0.4678299770777911,0.9688912713174068,1.466357246758676,1.9597735092720967,2.79929943877152,3.972793515326032,5.162323228574909,6.365940091601551,7.581695617489384,8.966015154756157,10.51167108863747,11.975369208037147,13.357750734810631,14.659456945510488,15.881129117270447,17.023408527933654,18.08693645620869,19.072354181860597,19.98030298594333,20.81142415108396,21.566358961829152,22.245748705068067,22.85023467054868,23.380458151507387,23.837060445437853,24.220682855028763,24.53196668930858,24.77155326504228,24.940083908436023,25.038199957217092,25.07130237310077
pathway,Agriculture,Emissions,Biochar,Emissions,CO2e,0.0,0.0076028804716032,0.0225552120657565,0.0370006849618029,0.0509392991597424,0.0643710546595751,0.0772959514613008,0.0897139895649196,0.1055435765981042,0.1246540989732652,0.1469149431028136,0.1721954953991604,0.2003651422747165,0.2332466255861355,0.2706442198976871,0.3123621997736405,0.3582048397782653,0.4079764144758311,0.484102692018424,0.5856338971840533,0.7116202547507278,0.8611119894964564,1.033159326199248,1.22659609996215,1.4404797485523382,1.6887128212219242,1.969857918688584,2.2824776416699946,2.611371427773699,2.98675195431993,3.406600883980073,3.868899879425512,4.320983722647566,4.762784182667643,5.296910904004422,5.919611182835381,6.537359842077142,7.149396593682545,7.754961149604427,8.399918373651873,9.08208877342302,9.729989695630891,10.343751738579892,10.923505516632096,11.469446756168349,11.981771183777736,12.460674526303464,12.906352510898842,13.319000865095587,13.69956936667351,14.049007793975951,14.368265926033972,14.658293542717882,14.92004042492213,15.154449141801788,15.362462264037092,15.545517201218956,15.705051365209544,15.842502170642694,15.958848263430912,16.056108003764244
pathway,Agriculture,Emissions,Burning - Crop residues,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Crop Residues,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Cropland Soil Health,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Enteric Fermentation,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Enteric Fermentation,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032609271351056,0.0068779838681702,0.0108949347902527,0.0153596229937065,0.0203237462784144,0.025842433260653,0.0319736090131606,0.038777168355077,0.0463140158594992,0.054645083873094,0.0638304993905887,0.0739291310273984,0.0849988013102507,0.09709749242589,0.110285908467997,0.1246318008683484,0.1402165536194832,0.1571447295087278,0.1755577178088874,0.1956535194178812,0.2177165090251556,0.2421647453107525,0.2696305988031913,0.3011101524620674,0.3382700465635118,0.3841691794499375,0.4453250722224329,0.5399324412471476,0.7667493382167976,0.3127197510308033
pathway,Agriculture,Emissions,Fertilized Soils,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012037343993345,0.002538930015044,0.0040217420513206,0.0056698312450205,0.0075022812547205,0.0095394421860914,0.0118026964251116,0.0143141534673798,0.0170962955477582,0.0201716151534032,0.0235623074849096,0.0272901032263668,0.0313763469100498,0.0358424420049239,0.0407107967411377,0.0460064207940531,0.0517593561447791,0.0580082009645588,0.0648051475055799,0.0722232855616429,0.080367588835565,0.0893923789644972,0.0995310883824558,0.1111514098569799,0.1248685648108685,0.1418117109978167,0.1643867176760824,0.1993099587689952,0.2830368529684106,0.1154369619655248
pathway,Agriculture,Emissions,Improved Rice,Emissions,CO2e,0.0,0.0001028013417347,0.000304977313813,0.0005002998631091,0.0006887689896228,0.0008703846933542,0.0010451469743033,0.0012130558324701,0.0014270934978255,0.0016854938960372,0.0019864909527729,0.0023283185937001,0.0027092107444866,0.0031538133678303,0.0036594799881643,0.0042235641299222,0.0048434193175371,0.0055163990754423,0.0065457304587095,0.0079185712074177,0.0096220790616453,0.011643411761471,0.0139697270469735,0.0165852567738899,0.0194772562117767,0.0228337068397577,0.026635173053737,0.0308622192496195,0.035309313035451,0.0403849711276947,0.0460619028453738,0.0523128175075114,0.0584256093412669,0.0643993557704966,0.0716214795188438,0.0800412388984011,0.0883940456092387,0.0966696195171833,0.1048576804880615,0.1135783842057176,0.1228022609521879,0.1315627674947977,0.1398616697012297,0.1477007336562884,0.1550826058483198,0.1620099327684856,0.1684853609113834,0.174511536775804,0.1800911068656547,0.185236913475442,0.1899617989072921,0.1942786054726304,0.1982001754942297,0.2017393513087106,0.2049088777401149,0.207721499633106,0.2101966527311659,0.2123537728084868,0.2142122956767377,0.2157854539670592,0.2171005386695461
pathway,Agriculture,Emissions,Manure Management,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
