model,scenario,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,pathway,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008853981645093,0.0028942957883529,0.0050004275938475,0.0071982875406092,0.0094823695882541,0.0123587807637428,0.0158049612577799,0.0190357584052762,0.0220540319975193,0.0248626420024907,0.0274644483900498,0.0298623111323473,0.03205909020433,0.0340576455843572,0.0358608372549519,0.037471525203719,0.0388925694244648,0.0401268299185623,0.0411771666966201,0.0420464397805156,0.0427375092058789,0.0432532350251222,0.043596477311138,0.0437700961618107,0.0437769517055236,0.0436199041078786,0.0433018135798958
PD22,pathway,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Optimal Intensity,EM,Emissions,CO2e,AFOLU,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007562725826,0.0015261885747023,0.0023084516103977,0.0044847624147018,0.0080077247186745,0.0116237487678249,0.0153256447427318,0.0191062228239732,0.0235829992644488,0.0287279607089929,0.0335819284000473,0.0381479276322654,0.0424289839160533,0.0464281227641097,0.0501483696919312,0.0535927502184289,0.0567642898666799,0.0596660141648468,0.062300948647296,0.0646721188559668,0.0667825503420382,0.0686352686679656,0.0702332994099646,0.0715796681610435,0.0726774005347026,0.073529522169449,0.0741390587343074,0.0745090359355423,0.0746424795248641,0.0745424153094413
PD22,pathway,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Commercial,Emissions,Addtl Emissions,EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004255912217245,0.0008919927519401,0.00140192320713,0.0019576871639967,0.0025609597629294,0.0032125453125672,0.0039121250095774,0.0046580168511862,0.0054469781403723,0.0062740855560908,0.0071327271673962,0.008014733010752,0.0089106553036496,0.0098101876390474,0.0107026886458823,0.0115777553238993,0.01242578019359,0.0132384280060954,0.0140089818877271,0.0147325316560956,0.0154060026243535,0.0160280454548562,0.0165988223578259,0.0171197307403269,0.0175931033764049,0.0180219168594479,0.0184095304226678,0.0187594675813289,0.0190752449869294,0.0193602470411768
PD22,pathway,Commercial,Natural gas,Natural gas,NATGAS,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055786141462169,0.0114101352272535,0.0174974770175617,0.0238421313651567,0.0304439092781165,0.0373006825078015,0.0444081457493097,0.0517596254849076,0.0593459656349912,0.0671555206708393,0.0751742818178284,0.0833861502688164,0.091773353262148,0.1003169768596451,0.1089975677126109,0.1177957405229414,0.1266927231303661,0.1356707794942129,0.1447134709260291,0.1538057429759877,0.1629338527723072,0.17208517319256,0.1812479221708857,0.1904108669834221,0.1995630464404287,0.2086935419474551,0.2177913149289214,0.2268451158968987,0.2358434610834634,0.2447746665261547
PD22,pathway,Commercial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089398316139587,0.0190003642563407,0.0302692704513416,0.0428217841050723,0.0567137804002962,0.0719739907601517,0.0885958366322109,0.1065296251127409,0.1256760890346535,0.1458824057200914,0.1669418135591576,0.1885976985068605,0.2105525225534936,0.2324812643132276,0.25404826867987,0.2749257428403546,0.2948117724035785,0.3134457769493558,0.3306197753552867,0.3461845661701514,0.3600507532329723,0.3721852662214473,0.3826045045905633,0.391365425099189,0.3985558319352256,0.4042848965757719,0.4086746254004751,0.4118526842078999,0.4139467294227159,0.4150802071535485
PD22,pathway,Commercial,Oil products,Liquified petroleum gases (LPG),LPG,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00063042325798,0.0013398766391289,0.0021345426758173,0.0030197267480841,0.003999369088395,0.0050754957927839,0.0062476429517913,0.0075123062978176,0.0088624856620021,0.010287404222741,0.0117724814674071,0.0132996213658651,0.0148478419925543,0.0163942233362464,0.017915095512011,0.019387343071808,0.0207896754743515,0.0221037169867913,0.0233148010983429,0.024412406350769,0.0253902286634684,0.0262459359678713,0.0269806847284714,0.0275984914488271,0.028105547946032,0.0285095528257474,0.0288191097913391,0.0290432216397436,0.0291908905068641,0.0292708216235536
PD22,pathway,Electric Power,Biofuels and Waste,Municipal waste (non-renewable),MUNWASTEN,Electricity output,CO2e,ELMAINE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.626930341990065e-05,0.0001648079795015,0.0002685547482589,0.0003909265572518,0.0005358745101726,0.0007079336515086,0.000912265966968,0.0011546995416699,0.0014417673191442,0.0017807389537532,0.0021796135670666,0.0026470057817198,0.0031918338877807,0.0038227363427144,0.0045472197691656,0.0053706700289366,0.006295489674315,0.007320672301884,0.0084420042876413,0.009652811041346,0.0109448959597823,0.01230925277837,0.0137363164578035,0.0152158064883342,0.0167364121348434,0.0182855890258574,0.0198496308040836,0.0214140432534812,0.0229641464106729
PD22,pathway,Electric Power,Coal,Blast furnace gas,BLFURGS,Electricity output,CO2e,ELAUTOE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79046056862005e-05,0.0001035155812095,0.0001686787310706,0.0002455402335892,0.0003365817695459,0.0004446517918332,0.000572992533942,0.0007252646051481,0.000905571334966,0.0011184787795949,0.0013690111722118,0.001662579341053,0.0020047848472963,0.0024010534897889,0.002856100164062,0.0033733077197594,0.0039541851954432,0.0045981004710252,0.0053024069772129,0.0060629124164604,0.0068744685177405,0.0077314184632503,0.0086277544698349,0.0095570193687035,0.0105121089084524,0.0114851439930086,0.0124675156851979,0.0134501201952511,0.0144237370658474
PD22,pathway,Electric Power,Emissions,"Fossil Fuels, Addtl Emissions",EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.808249324680104e-05,3.907390054360034e-05,6.367095547030015e-05,9.26837733468992e-05,0.0001270491112,0.000167842171078,0.0002162867949138,0.0002737647484389,0.0003418249104543,0.0004221908246403,0.0005167589821841,0.0006275718018392,0.0007567436980906,0.0009063227406308,0.001078088655341,0.0012733183623627,0.0014925814766461,0.0017356393925905,0.0020014931129043,0.0022885601761306,0.0025948972706668,0.0029183691243762,0.0032567079866585,0.0036074764778628,0.0039679929648526,0.0043352833348154,0.004706097982706,0.0050770005120729,0.0054445104881046
PD22,pathway,Electric Power,Emissions,"Fossil fuel Heat, Addtl Emissions",EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2470219732500556e-05,4.855520303700088e-05,7.912074626320077e-05,0.0001151735396388,0.0001578776447749,0.0002085691620619,0.0002687688993208,0.0003401939084633,0.0004247689045456,0.0005246356500274,0.0006421508206784,0.0007798524292355,0.0009403679539699,0.0011262424297601,0.0013396874339079,0.0015822897318976,0.0018547571560468,0.0021567932029799,0.0024871564681875,0.0028438805051098,0.0032245504565621,0.0036265129255024,0.0040469498904558,0.0044828325403189,0.0049308285422654,0.005387242113447,0.005848035130447,0.0063089373534096,0.0067656238181881
PD22,pathway,Electric Power,Emissions,"Fugitive Natural Gas, Distribution, Addtl Emissions",EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001325526282121,0.000286428875756,0.0004667361061974,0.0006794128211237,0.000931325861523,0.0012303569312899,0.0015854773300394,0.0020068160082844,0.0025057269288387,0.0030948444248967,0.0037880706109378,0.0046003773146865,0.0055472641242415,0.0066437442911911,0.0079028639889752,0.0093339836038187,0.0109412786638283,0.0127230000850089,0.0146718247778505,0.0167761526039098,0.0190217382344633,0.0213929291856559,0.0238731018482231,0.0264443891573636,0.0290871335627956,0.031779533509586,0.034497767963573,0.0372166466274291,0.0399106563832883
