model,scenario,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,pathway,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Commercial,Emissions,Addtl Emissions,EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.278777522779984e-05,0.0001339957055033,0.0002143561865897,0.0003045273362722,0.0004050422776615,0.0005162508710002,0.0006382571084752,0.0007708573676377,0.0009134866412178,0.0010651812260833,0.0012245665632672,0.0013898774411902,0.0015590143713564,0.0017296349057707,0.0018992728790091,0.0020654733679383,0.0022259279657411,0.0023785947116922,0.0025217898205251,0.0026542434400022,0.0027751176635095,0.0028839904800504,0.0029808131859037,0.0030658505702858,0.0031396130844565,0.003202788758706,0.00325618051239,0.0033006522876552,0.0033370855147345,0.0033663459704506
PD22,pathway,Commercial,Oil products,Fuel oil,RESFUEL,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002904677737955,0.000619888730481,0.0009916510672993,0.0014087993579307,0.001873799927748,0.0023882712944566,0.0029526945450009,0.0035661276845541,0.0042259568857733,0.0049277238810652,0.0056650697083299,0.0064298281747699,0.0072122866612149,0.0080016085732474,0.0087863849769169,0.0095552589471738,0.0102975513703395,0.0110038157612681,0.0116662626202328,0.0122790173776851,0.0128382037238165,0.0133418693582932,0.013789788968759,0.0141831875187351,0.01452442644945,0.0148166887153241,0.0150636887686836,0.0152694233644897,0.0154379701607965,0.0155733344001137
PD22,pathway,Commercial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007977712143543,0.0017025275431358,0.0027235746872618,0.0038692745837912,0.0051464010078731,0.0065593992265958,0.0081095905476932,0.009794387777595,0.0116066120262419,0.0135340186390722,0.015559142694417,0.0176595557023289,0.0198085819049814,0.0219764585408305,0.0241318509148999,0.0262435671749243,0.0282822770810062,0.0302220358137694,0.0320414494726949,0.0337243835227141,0.0352601916592736,0.0366435118796007,0.0378737253621671,0.0389541964754978,0.0398914109299073,0.040694110725859,0.041372497625511,0.0419375487366422,0.0424004633677842,0.0427722419378095
PD22,pathway,Commercial,Oil products,Liquified petroleum gases (LPG),LPG,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005965887151082,0.0012731829641378,0.0020367417298826,0.0028935182303022,0.0038485780252214,0.0049052453711849,0.0060645083676241,0.007324432261241,0.0086796485394608,0.0101210004132182,0.0116354272769283,0.013206156672825,0.0148132399542291,0.016434419953486,0.0180462639807747,0.0196254461668111,0.0211500327919779,0.0226006218194795,0.0239612144774974,0.0252197450492295,0.0263682520226032,0.0274027255884311,0.0283227029800283,0.029130700137127,0.0298315671991073,0.0304318416026804,0.030939152422534,0.0313617085517782,0.0317078850495369,0.031985908241406
PD22,pathway,Commercial,Oil products,Motor gasoline excl. biofuels,NONBIOGASO,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7568879440999982e-05,3.7493833585500094e-05,5.9979796798900016e-05,8.521091945090003e-05,0.0001133363766895,0.0001444540642025,0.0001785930804276,0.000215696449015,0.0002556060731924,0.0002980522956248,0.0003426504958872,0.0003889067436036,0.0004362335731388,0.0004839755354618,0.0005314425637109,0.000577947736771,0.000622845130799,0.0006655633772177,0.0007056313298483,0.0007426936666435,0.0007765159298564,0.0008069800350309,0.0008340723541984,0.000857866979008,0.0008785067407136,0.0008961841596133,0.0009111239035398,0.000923567715338,0.0009337622312589,0.0009419497075153
PD22,pathway,Commercial,Oil products,Other kerosene,OTHKERO,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.189223139500019e-06,1.3208452092500004e-05,2.11298818173e-05,3.0018385417e-05,3.9926514807699966e-05,5.088875700710004e-05,6.291536290929997e-05,7.598626069680003e-05,9.00457555142e-05,0.0001049988515807,0.0001207100535371,0.0001370053579516,0.0001536778104813,0.0001704965073669,0.0001872183495644,0.000203601346225,0.0002194179491537,0.0002344668747328,0.0002485821460229,0.0002616385889945,0.0002735536080948,0.0002842856041394,0.0002938297762226,0.0003022122255964,0.0003094832693287,0.0003157107291088,0.0003209737516663,0.0003253574989727,0.0003289488568647,0.0003318331681647
PD22,pathway,Electric Power,Coal,Other bituminous coal,BITCOAL,Electricity output,CO2e,ELMAINE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001013135664014,0.0002189361555046,0.0003562970900002,0.0005173527908112,0.000706650968255,0.0009293936539322,0.0011914946629447,0.001499625222388,0.0018612392500757,0.002284567187076,0.0027785645699115,0.0033527990447148,0.0040172578893309,0.0047820582159588,0.0056570450374541,0.0066512695911955,0.0077723528544618,0.0090257575066487,0.0104140147963079,0.0119359779414245,0.0135861955999577,0.0153545105505258,0.0172259828002371,0.0191812081566504,0.0211970535011311,0.0232477662705077,0.0253063518420401,0.0273460647817254,0.0293418411444634
