model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,pathway,singapore,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,singapore,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,singapore,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,singapore,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,singapore,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,singapore,Commercial,Emissions,Addtl Emissions,EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002116270623977,0.0004491987303643,0.0007149770188205,0.0010111276815059,0.0013396040019402,0.0017020075860827,0.0020994317893686,0.0025322982745782,0.0030002023523983,0.0035017870963613,0.0040346682882413,0.004595430568439,0.005179708805341,0.005782357853702,0.006397700216732,0.007019827624565,0.0076429226435845,0.0082615628833555,0.0088709741613502,0.0094672089637695,0.0100472398737309,0.0106089709123723,0.011151180121207,0.0116734126933875,0.0121758454598504,0.0126591415243077,0.0131243097489957,0.0135725789944098,0.0140052925244877,0.0144238243733985
PD22,pathway,singapore,Commercial,Natural gas,Natural gas,NATGAS,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037317048425882,0.0077382417868635,0.012028215705809,0.0166093137766974,0.0214880569395103,0.0266695379895063,0.0321571610304863,0.0379524028109643,0.0440546214159574,0.0504609403115443,0.057166234084428,0.0641632349878972,0.0714427662576278,0.078994090429499,0.0868053417665169,0.0948639958729013,0.1031573211333548,0.1116727586400663,0.1203981897913756,0.1293220707644076,0.1384334355566411,0.1477217889678946,0.1571769238885801,0.166788702064693,0.1765468349185381,0.1864406933173252,0.1964591651699744,0.2065905697926361,0.2168226296975322,0.2271424945392933
PD22,pathway,singapore,Commercial,Oil products,Liquified petroleum gases (LPG),LPG,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051200068711154,0.0110503650117987,0.0178770827036568,0.0256830596136927,0.0345434746677904,0.0445202253415473,0.0556556392395943,0.0679658764757766,0.0814346520508443,0.0960080864214477,0.1115915804563862,0.1280495478730854,0.145208585352787,0.1628642246958353,0.1807908593411608,0.198753888855661,0.2165227194278107,0.2338831079846736,0.2506474836981929,0.2666622779819833,0.2818118292646813,0.2960189643715632,0.3092427796321154,0.3214743901231872,0.3327314807188322,0.3430524161487439,0.3524905061207617,0.3611088307887125,0.3689758522558857,0.3761618925076757
PD22,pathway,singapore,Electric Power,Biofuels and Waste,Municipal waste (non-renewable),MUNWASTEN,Electricity output,CO2e,ELMAINE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000400104576547,0.0005465375561697,0.0005330337075429,0.0004424066668443,0.0003511903301593,0.000333053917691,0.0004613667908044,0.0008111223921647,0.0014603201096393,0.0024908252689986,0.003988668788142,0.006043704696556,0.0087485164174099,0.0121964561327848,0.0164787232554613,0.0216804465563917,0.0278758363402433,0.0351226183184796,0.04345613817496,0.0528837085220531,0.0633799156346506,0.0748836603600175,0.0872976290618239,0.1004906535501912,0.1143030422368182,0.128554513984066,0.1430539415781982,0.1576098183880421,0.1720402730999916
PD22,pathway,singapore,Electric Power,Coal,Other bituminous coal,BITCOAL,Electricity output,CO2e,ELMAINE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004004818201605,0.0005470528659531,0.0005335362850533,0.0004428237955138,0.0003515214543627,0.0003333679417507,0.0004618017962643,0.000811887169076,0.0014616969907534,0.002493173774815,0.0039924295544894,0.0060494030792606,0.0087567650657386,0.012207955714279,0.0164942604261716,0.0217008882370973,0.0279021194218389,0.0351557341192701,0.0434971113393716,0.0529335705893,0.0634396741822977,0.0749542653575284,0.0873799387252802,0.1005854024221035,0.1144108142924817,0.1286757232184466,0.1431888217795731,0.1577584227802616,0.1722024834272591
