scenario,sector,product_category,product_long,flow_category,flow_long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pathway,Agriculture,Emissions,Agroforestry,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0230672366438977,0.061544737970302,0.1092138872673458,0.1785956488296036,0.2689109952806507,0.3793808992440624,0.488222536012985,0.595357004788676,0.7431795717217073,0.9301955304483563,1.117865943771269,1.3059309130211776,1.4941305395288162,1.70139069890032,1.9268119666572416,2.140897262535614,2.343700411201868,2.5352752439485644,2.715675592138676,2.884955287221101,3.0431681607496035,3.190368044405906,3.326608770027885,3.4519441696439803,3.566428075515179,3.670114320186255,3.763056736548288,3.845309157914968,3.9169254181157,3.9779593516092455,4.028464793622376,4.069264488207212,4.100951578423819,4.123929898362653,4.139032315806779
pathway,Agriculture,Emissions,Biochar,Emissions,CO2e,0.0,0.0017194398072007,0.0051010047613622,0.0083679403950437,0.0115202467082451,0.0145579237009665,0.0174809713732078,0.0202893897249691,0.0238693515799614,0.0281913178440612,0.0332257494231446,0.038943107223088,0.0453138521497676,0.0527502088749101,0.0612079128455297,0.0706426995086413,0.0810103043112592,0.0922664627003985,0.1094829048724986,0.1324448331162601,0.1609374497203832,0.1947459569735685,0.2336555571645165,0.2774025146797227,0.3257736630712943,0.3819131523353991,0.4454959054760083,0.5161968454970943,0.5905782684695936,0.6754729636581212,0.7704244712300984,0.8749763313529473,0.9772179697861216,1.077133955659556,1.197930113140434,1.338757744375201,1.4784655353252782,1.6168815420099458,1.7538338204484831,1.8996950014983296,2.053972179081422,2.2004990962054216,2.339305288508064,2.4704202952586263,2.59388838122384,2.7097538112175275,2.818060850110984,2.9188537628456346,3.0121768144484893,3.098244803209309,3.1772725275453126,3.249474786029241,3.315066377423644,3.374262100722678,3.4272751239397525,3.4743186154331904,3.5157176545303743,3.5517973210723457,3.5828826955269744,3.609195104895965,3.631191014182156
pathway,Agriculture,Emissions,Burning - Crop residues,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Crop Residues,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Cropland Soil Health,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Enteric Fermentation,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Enteric Fermentation,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002389586501978,0.0004951485595408,0.000769915611843,0.0010646859863616,0.0013809570483198,0.0017202843515562,0.0020842652769967,0.0024745207179543,0.0028926773486299,0.0033403542628638,0.0038191589441565,0.0043306983585551,0.0048766111881783,0.0054586267009495,0.0060786545769839,0.0067389086018527,0.0074420662289276,0.0081914665695843,0.0089913524533058,0.0098471689412344,0.0107659425068467,0.0117567844323003,0.0128315936810967,0.014006088957293,0.0153013993990929,0.0167466394448536,0.0183833092061278,0.0202733228601552,0.0225149387862131,0.0252781676160791
pathway,Agriculture,Emissions,Fertilized Soils,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001788769931091,0.0003706527694208,0.0005763348155849,0.0007969907249142,0.0010337413783163,0.0012877512148821,0.0015602159841547,0.0018523490363175,0.0021653680489456,0.002500485025193,0.0028589032770756,0.0032418257292596,0.0036504790480735,0.0040861577095537,0.004550291240677,0.005044536812281,0.0055708986824566,0.0061318764058432,0.0067306460322702,0.0073712835646929,0.0080590488020203,0.0088007621659215,0.0096053308493793,0.0104845213840294,0.0114541503837749,0.0125360120091747,0.0137611719494689,0.0151759772268152,0.0168539809995458,0.0189224479244692
pathway,Agriculture,Emissions,Improved Rice,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Manure Management,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
