model,scenario,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,pathway,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Rice Cultivation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Commercial,Biofuels and Waste,Municipal waste (non-renewable),MUNWASTEN,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080127665196245,0.0177008523621401,0.0292889467068933,0.0430082764753005,0.0590882115328401,0.077745250562519,0.0991695235427185,0.1235093548688188,0.1508549295587689,0.1812226200582529,0.2145419441659833,0.2506472894062626,0.2892763225283991,0.3300763398856339,0.3726187590319602,0.4164206930374262,0.4609713737258716,0.5057603955806924,0.5503045415081624,0.5941703602794901,0.6369905536207756,0.6784733443339004,0.718405062085861,0.7566469934861793,0.7931280008107991,0.8278345288407642,0.8607994726764797,0.8920910791613906,0.921802700689158,0.950043885390737
PD22,pathway,Commercial,Emissions,Addtl Emissions,EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116017193203106,0.0248749561726476,0.039989299543817,0.0571098721599507,0.0763889078827066,0.0979554960876797,0.1219038604088351,0.1482809036377493,0.1770741471929922,0.2082015424349936,0.2415048233656499,0.2767479922091995,0.3136221026381217,0.3517567321464253,0.3907375272228696,0.4301281753632666,0.4694943644201958,0.5084269479681429,0.5465617375430089,0.5835940223616668,0.619286877731338,0.6534733146642389,0.6860531282877724,0.7169857965127878,0.7462809436482393,0.7739877777660347,0.8001846363287203,0.8249694331505751,0.8484514689296896,0.8707447935654714
PD22,pathway,Commercial,Natural gas,Natural gas,NATGAS,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184538995776541,0.0382668894958323,0.0594815222790798,0.0821358122943977,0.1062620066718902,0.1318852901290633,0.1590224965239907,0.187680928623082,0.2178574120502472,0.2495377218679959,0.2826965120572123,0.3172978424046085,0.3532963322880771,0.3906388831660751,0.4292668170005115,0.4691181985763176,0.510130067943532,0.5522403192193682,0.5953890239080046,0.6395190958900779,0.6845763064637399,0.7305087551228221,0.777265966016941,0.8247978037979942,0.8730533897422905,0.9219801610246924,0.9715231665111912,1.0216246432821954,1.0722238771236727,1.1232573209457553
PD22,pathway,Commercial,Oil products,Aviation gasoline,AVGAS,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001397277110511,0.0003015703393076,0.0004878750965251,0.0007009043587146,0.0009427097987536,0.001214980631677,0.0015188720003314,0.0018548249228192,0.0022223949728486,0.0026201117490208,0.0030453935907243,0.0034945402761837,0.0039628195365899,0.0044446513260095,0.0049338787213815,0.0054240993520934,0.0059090201903662,0.0063827944287749,0.0068403031596454,0.007277355414566,0.0076907947277292,0.0080785150021453,0.0084393999548872,0.0087732071116763,0.0090804191021326,0.0093620829201375,0.0096196534159752,0.0098548520805984,0.0100695472812243,0.0102656581422406
PD22,pathway,Commercial,Oil products,Fuel oil,RESFUEL,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088683853576461,0.0191403835452137,0.0309649698677056,0.0444857351857418,0.0598328972318948,0.077113668883038,0.0964013659605328,0.1177239794652925,0.1410533020818705,0.166296008827441,0.193288244150419,0.2217951584825616,0.2515163992087738,0.2820978061035765,0.3131486050971016,0.3442624437960425,0.3750399096931173,0.4051099114638737,0.4341475568909902,0.4618868491824353,0.4881274504457525,0.512735688701597,0.5356407145308583,0.5568271383209142,0.5763255921162238,0.5942025276258628,0.6105502828181817,0.6254781190919724,0.6391046199432429,0.6515515903775899
PD22,pathway,Commercial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212646573607517,0.0458949043628813,0.0742479547142209,0.1066681112757863,0.1434676107573915,0.1849035287144445,0.231151662178479,0.2822791281070458,0.3382182908625593,0.3987453753492185,0.4634674879318695,0.5318215051783884,0.6030872401336728,0.6764154856938455,0.7508692419016322,0.8254741550203715,0.8992725118057193,0.9713745076826844,1.041001114519098,1.1075145239187876,1.1704343647129705,1.229440117582191,1.2843618994461778,1.3351628090172527,1.381916295959972,1.4247816985041877,1.463980425077611,1.499774463191423,1.5324481529266616,1.562293558915656
PD22,pathway,Commercial,Oil products,Gasoline type jet fuel,JETGAS,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017105314656907,0.0036917913463523,0.0059725139534232,0.0085803950483486,0.0115405509877119,0.0148736609585378,0.0185938660941119,0.0227065652901617,0.0272063179282789,0.0320751235142104,0.0372813776390917,0.0427797825897558,0.0485124064453171,0.0544109388893939,0.0604000075384539,0.066401235266687,0.0723375835113852,0.0781374762909549,0.0837382484935101,0.0890885947388498,0.0941498739153177,0.0988963034122659,0.1033142178153235,0.1074006487806968,0.111161504607788,0.1146096024819963,0.1177627525225232,0.1206420290346769,0.1232703043670363,0.1256710722319686
