model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,algeria,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,algeria,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,32727.6001,35636.4004,39844.8001,39682.8002,39610.7998,40305.5993,38455.2012,39128.4009,35654.3994,35629.1991,32328.0371,33380.39361134637,34626.76049360358,35873.12737586078,37119.49425811799,38365.86114037519,39612.22802263239,40858.5949048896,42104.96178714681,43351.32866940401,44597.69555166121,45844.062433918414,47090.42931617562,48336.79619843283,49583.16308069003,50829.52996294724,52075.89684520444,53322.26372746164,54568.63060971885,55814.99749197605,57061.36437423326,58307.73125649046,59554.098138747664,60800.46502100487,62046.83190326208,63293.19878551928,64539.56566777648,65785.93255003369,67032.29943229089,68278.6663145481,69525.0331968053,70771.4000790625,72017.7669613197,73264.13384357691,74510.50072583412,75756.86760809133,77003.23449034852,78249.60137260573,79495.96825486294,80742.33513712014,81988.70201937735,83235.06890163454,84481.43578389176,85727.80266614896,86974.16954840616,88220.53643066337,89466.90331292056,90713.2701951778,91959.63707743498,93206.0039596922,94452.3708419494,95698.73772420658,96945.1046064638,98191.471488721,99437.8383709782,100684.2052532354,101930.57213549262,103176.93901774984,104423.30590000702,105669.67278226424,106916.03966452144,108162.40654677864,109408.77342903583,110655.14031129304,111901.50719355023,113147.87407580746,114394.24095806466,115640.60784032189,116886.97472257906,118133.34160483629,119379.70848709348,120626.07536935068,121872.44225160788,123118.80913386508,124365.17601612228,125611.5428983795,126857.9097806367,128104.27666289391,129350.64354515112,130597.01042740831,131843.37730966552
PD22,baseline,algeria,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,9017.9988,16351.1999,17110.7985,17542.8009,23576.3983,23709.6014,25073.9999,26902.7984,27727.2002,29491.1996,32176.0479,33223.45679192304,34463.96392139801,35704.47105087299,36944.97818034797,38185.485309822936,39425.99243929791,40666.49956877288,41907.00669824786,43147.51382772283,44388.020957197805,45628.528086672784,46869.03521614776,48109.54234562273,49350.0494750977,50590.556604572674,51831.06373404765,53071.57086352263,54312.0779929976,55552.58512247258,56793.09225194755,58033.59938142252,59274.10651089749,60514.61364037247,61755.120769847446,62995.62789932242,64236.13502879739,65476.64215827237,66717.14928774734,67957.65641722232,69198.1635466973,70438.67067617227,71679.17780564724,72919.6849351222,74160.19206459718,75400.69919407216,76641.20632354714,77881.71345302211,79122.22058249707,80362.72771197205,81603.23484144703,82843.74197092201,84084.24910039698,85324.75622987194,86565.26335934692,87805.7704888219,89046.27761829688,90286.78474777186,91527.29187724684,92767.7990067218,94008.30613619676,95248.81326567176,96489.32039514671,97729.8275246217,98970.33465409666,100210.84178357164,101451.34891304662,102691.8560425216,103932.36317199658,105172.87030147151,106413.37743094652,107653.88456042147,108894.39168989648,110134.89881937145,111375.4059488464,112615.91307832138,113856.42020779636,115096.92733727134,116337.43446674632,117577.94159622128,118818.44872569625,120058.95585517124,121299.4629846462,122539.97011412118,123780.47724359616,125020.98437307111,126261.4915025461,127501.99863202107,128742.50576149604,129983.01289097103,131223.52002044598
PD22,baseline,algeria,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,algeria,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,algeria,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,626.4,1807.2,2239.2000000000003,1188.0,914.4,522.0,784.8000000000001,201.6,421.3440000000001,547.2,178.5924,184.4060185143445,191.29142427202447,198.17683002970443,205.0622357873844,211.9476415450644,218.83304730274432,225.7184530604243,232.60385881810427,239.48926457578423,246.3746703334642,253.26007609114416,260.14548184882415,267.0308876065041,273.91629336418407,280.80169912186403,287.687104879544,294.572510637224,301.4579163949039,308.3433221525839,315.22872791026384,322.1141336679438,328.99953942562377,335.8849451833038,342.7703509409837,349.6557566986637,356.5411624563436,363.4265682140236,370.31197397170354,377.1973797293836,384.0827854870635,390.9681912447435,397.8535970024234,404.7390027601034,411.62440851778337,418.5098142754633,425.3952200331433,432.2806257908233,439.16603154850327,446.0514373061832,452.9368430638632,459.8222488215431,466.7076545792231,473.5930603369031,480.47846609458304,487.363871852263,494.24927760994296,501.1346833676229,508.0200891253029,514.9054948829828,521.7909006406628,528.6763063983428,535.5617121560227,542.4471179137026,549.3325236713827,556.2179294290627,563.1033351867426,569.9887409444226,576.8741467021025,583.7595524597825,590.6449582174625,597.5303639751424,604.4157697328224,611.3011754905024,618.1865812481824,625.0719870058623,631.9573927635422,638.8427985212222,645.7282042789022,652.6136100365821,659.499015794262,666.3844215519421,673.2698273096221,680.155233067302,687.040638824982,693.9260445826619,700.8114503403419,707.6968560980218,714.5822618557019,721.4676676133818,728.3530733710618
PD22,baseline,algeria,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,626.3997,1807.1987,2239.2011,1188.0003,914.4013,522.0019,784.7989,201.5986,421.3428,547.198,178.5921,184.40570874861223,191.29110294016888,198.17649713172548,205.0618913232821,211.94728551483877,218.83267970639537,225.718073897952,232.6034680895086,239.4888622810652,246.37425647262185,253.25965066417845,260.1450448557351,267.0304390472917,273.91583323884834,280.80122743040494,287.68662162196154,294.5720158135182,301.4574100050748,308.3428041966314,315.22819838818805,322.11359257974465,328.99898677130125,335.8843809628579,342.76977515441456,349.6551693459711,356.54056353752776,363.4259577290844,370.31135192064096,377.1967461121976,384.0821403037543,390.9675344953109,397.8529286868675,404.7383228784241,411.6237170699807,418.5091112615373,425.394505453094,432.2798996446506,439.1652938362072,446.05068802776384,452.9360822193205,459.821476410877,466.7068706024337,473.5922647939903,480.4776589855469,487.3630531771036,494.24844736866015,501.1338415602168,508.0192357517734,514.9046299433301,521.7900241348866,528.6754183264433,535.5608125179999,542.4462067095565,549.3316009011131,556.2169950926698,563.1023892842263,569.987783475783,576.8731776673396,583.7585718588962,590.6439660504528,597.5293602420095,604.414754433566,611.3001486251227,618.1855428166793,625.0709370082359,631.9563311997925,638.8417253913492,645.7271195829057,652.6125137744624,659.497907966019,666.3833021575756,673.2686963491324,680.1540905406889,687.0394847322455,693.9248789238022,700.8102731153588,707.6956673069154,714.581061498472,721.4664556900286,728.3518498815853
PD22,baseline,algeria,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,algeria,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,3.6,69.264,69.84,69.84,36.0,36.0,28.8,29.737510292784695,30.847858134132835,31.958205975480976,33.06855381682911,34.17890165817725,35.28924949952539,36.39959734087353,37.509945182221664,38.6202930235698,39.730640864917945,40.84098870626608,41.95133654761422,43.06168438896236,44.17203223031049,45.28238007165863,46.392727913006766,47.50307575435491,48.61342359570304,49.723771437051184,50.83411927839932,51.94446711974746,53.0548149610956,54.16516280244373,55.27551064379188,56.38585848514001,57.49620632648815,58.606554167836286,59.71690200918442,60.82724985053257,61.937597691880704,63.04794553322884,64.15829337457697,65.26864121592511,66.37898905727326,67.48933689862139,68.59968473996952,69.71003258131768,70.8203804226658,71.93072826401394,73.04107610536208,74.15142394671022,75.26177178805835,76.3721196294065,77.48246747075464,78.59281531210277,79.7031631534509,80.81351099479905,81.92385883614719,83.03420667749532,84.14455451884346,85.25490236019161,86.36525020153974,87.47559804288787,88.58594588423601,89.69629372558416,90.80664156693229,91.91698940828044,93.02733724962856,94.1376850909767,95.24803293232485,96.358380773673,97.46872861502112,98.57907645636924,99.68942429771738,100.79977213906554,101.91011998041368,103.0204678217618,104.13081566310996,105.24116350445809,106.35151134580622,107.46185918715436,108.5722070285025,109.68255486985063,110.79290271119876,111.90325055254692,113.01359839389504,114.12394623524318,115.23429407659134,116.34464191793948,117.4549897592876
PD22,baseline,algeria,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,50.112,50.112,50.112,50.112,50.112,50.112,75.16799999999999,493.776,566.2880640000001,582.80256,574.75008,593.4595979089871,615.6183656396354,637.7771333702835,659.9359011009318,682.0946688315801,704.2534365622282,726.4122042928765,748.5709720235247,770.7297397541729,792.888507484821,815.0472752154693,837.2060429461176,859.3648106767657,881.523578407414,903.6823461380624,925.8411138687104,947.9998815993588,970.1586493300068,992.3174170606552,1014.4761847913034,1036.6349525219516,1058.7937202525998,1080.952487983248,1103.1112557138963,1125.2700234445444,1147.4287911751926,1169.587558905841,1191.7463266364891,1213.9050943671373,1236.0638620977857,1258.2226298284338,1280.381397559082,1302.5401652897303,1324.6989330203785,1346.8577007510266,1369.016468481675,1391.175236212323,1413.334003942971,1435.4927716736197,1457.6515394042676,1479.810307134916,1501.9690748655644,1524.1278425962123,1546.286610326861,1568.445378057509,1590.604145788157,1612.7629135188054,1634.9216812494535,1657.0804489801017,1679.23921671075,1701.3979844413984,1723.5567521720463,1745.7155199026947,1767.874287633343,1790.033055363991,1812.1918230946396,1834.350590825288,1856.509358555936,1878.668126286584,1900.826894017232,1922.9856617478804,1945.1444294785288,1967.3031972091767,1989.461964939825,2011.6207326704732,2033.7795004011211,2055.9382681317697,2078.097035862418,2100.255803593066,2122.4145713237144,2144.573339054363,2166.7321067850107,2188.890874515659,2211.0496422463075,2233.2084099769554,2255.367177707604,2277.525945438252,2299.6847131689,2321.8434808995485,2344.002248630197
