model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,bahrain,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,bahrain,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,5810.3992,5626.7996,5101.2013,4863.6004,3862.8003,2426.4013,2469.6007,5110.7347,1944.0736,2588.84915,5728.6854,6046.477284889716,6125.157251524098,6203.83721815848,6282.517184792861,6361.197151427244,6439.877118061625,6518.557084696007,6597.237051330389,6675.91701796477,6754.596984599152,6833.2769512335335,6911.956917867916,6990.636884502297,7069.316851136678,7147.996817771061,7226.676784405442,7305.356751039824,7384.036717674206,7462.716684308587,7541.396650942969,7620.076617577351,7698.756584211733,7777.436550846114,7856.116517480496,7934.796484114878,8013.47645074926,8092.156417383641,8170.836384018023,8249.516350652404,8328.196317286787,8406.876283921169,8485.55625055555,8564.236217189931,8642.916183824313,8721.596150458696,8800.276117093077,8878.956083727458,8957.63605036184,9036.31601699622,9114.995983630604,9193.675950264986,9272.355916899369,9351.035883533748,9429.71585016813,9508.395816802513,9587.075783436894,9665.755750071276,9744.43571670566,9823.115683340038,9901.79564997442,9980.475616608805,10059.155583243184,10137.835549877567,10216.515516511949,10295.19548314633,10373.875449780711,10452.555416415093,10531.235383049476,10609.915349683855,10688.595316318238,10767.27528295262,10845.955249587,10924.635216221384,11003.315182855766,11081.995149490149,11160.675116124528,11239.35508275891,11318.035049393293,11396.715016027674,11475.394982662056,11554.07494929644,11632.754915930818,11711.4348825652,11790.114849199585,11868.794815833964,11947.474782468347,12026.154749102729,12104.83471573711,12183.514682371491,12262.194649005873
PD22,baseline,bahrain,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bahrain,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bahrain,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bahrain,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.559646768301079,4.618979308339065,4.678311848377052,4.737644388415038,4.796976928453025,4.856309468491011,4.915642008528998,4.974974548566984,5.034307088604971,5.093639628642958,5.152972168680944,5.21230470871893,5.271637248756917,5.330969788794904,5.39030232883289,5.449634868870876,5.508967408908863,5.56829994894685,5.627632488984836,5.686965029022822,5.746297569060809,5.805630109098796,5.864962649136782,5.924295189174769,5.983627729212755,6.042960269250742,6.102292809288729,6.161625349326715,6.220957889364701,6.280290429402688,6.339622969440675,6.398955509478661,6.458288049516647,6.5176205895546335,6.576953129592621,6.636285669630607,6.695618209668593,6.75495074970658,6.814283289744567,6.873615829782553,6.93294836982054,6.992280909858526,7.051613449896513,7.1109459899345,7.170278529972485,7.229611070010472,7.2889436100484595,7.348276150086445,7.407608690124432,7.466941230162418,7.526273770200403,7.585606310238392,7.644938850276378,7.704271390314364,7.763603930352351,7.822936470390338,7.882269010428324,7.941601550466311,8.000934090504298,8.060266630542284,8.11959917058027,8.178931710618256,8.238264250656243,8.297596790694229,8.356929330732216,8.416261870770203,8.475594410808188,8.534926950846176,8.594259490884163,8.653592030922148,8.712924570960135,8.772257110998122,8.831589651036108,8.890922191074095,8.950254731112082,9.009587271150068,9.068919811188056,9.128252351226042,9.187584891264027,9.246917431302014
PD22,baseline,bahrain,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Agriculture/forestry,AGRICULT,TJ,176.3983,172.8018,161.9999,187.2002,172.8018,205.1993,219.6018,212.4006,219.6018,231.76035,268.5707,271.86292151747097,272.9269729459713,273.99102437447164,275.05507580297194,276.11912723147225,277.1831786599726,278.2472300884729,279.3112815169732,280.3753329454736,281.4393843739739,282.50343580247426,283.56748723097456,284.63153865947487,285.69559008797523,286.75964151647554,287.82369294497585,288.8877443734762,289.9517958019765,291.0158472304768,292.0798986589772,293.1439500874775,294.2080015159778,295.27205294447816,296.33610437297847,297.40015580147883,298.46420722997914,299.52825865847944,300.5923100869798,301.6563615154801,302.7204129439804,303.7844643724808,304.8485158009811,305.9125672294814,306.97661865798176,308.04067008648207,309.10472151498243,310.16877294348274,311.23282437198304,312.2968758004833,313.3609272289837,314.424978657484,315.4890300859844,316.5530815144847,317.617132942985,318.68118437148536,319.74523579998566,320.809287228486,321.87333865698633,322.93739008548664,324.00144151398695,325.0654929424873,326.1295443709876,327.193595799488,328.2576472279883,329.3216986564886,330.3857500849889,331.44980151348926,332.5138529419896,333.57790437048993,334.64195579899024,335.70600722749055,336.7700586559909,337.8341100844912,338.8981615129916,339.9622129414919,341.0262643699922,342.0903157984925,343.15436722699286,344.2184186554932,345.2824700839936,346.34652151249384,347.41057294099414,348.47462436949445,349.5386757979948,350.6027272264951,351.6667786549955,352.7308300834958,353.7948815119961,354.85893294049646,355.9229843689968
PD22,baseline,bahrain,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Final consumption not elsewhere specified,ONONSPEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0350942090640067,1.0398573217728937,1.0446204344817809,1.0493835471906676,1.0541466598995548,1.0589097726084418,1.0636728853173287,1.0684359980262157,1.0731991107351029,1.0779622234439896,1.0827253361528766,1.0874884488617638,1.0922515615706507,1.0970146742795377,1.1017777869884249,1.1065408996973116,1.1113040124061986,1.1160671251150855,1.1208302378239727,1.1255933505328597,1.1303564632417469,1.1351195759506336,1.1398826886595206,1.1446458013684075,1.1494089140772945,1.1541720267861817,1.1589351394950689,1.1636982522039556,1.1684613649128426,1.1732244776217295,1.1779875903306165,1.1827507030395037,1.1875138157483909,1.1922769284572776,1.1970400411661646,1.2018031538750515,1.2065662665839385,1.2113293792928257,1.2160924920017124,1.2208556047105996,1.2256187174194866,1.2303818301283735,1.2351449428372605,1.2399080555461477,1.2446711682550344,1.2494342809639214,1.2541973936728086,1.2589605063816955,1.2637236190905825,1.2684867317994697,1.2732498445083564,1.2780129572172434,1.2827760699261304,1.2875391826350175,1.2923022953439045,1.2970654080527917,1.3018285207616784,1.3065916334705654,1.3113547461794524,1.316117858888339,1.3208809715972265,1.3256440843061132,1.3304071970150004,1.3351703097238874,1.3399334224327744,1.344696535141661,1.3494596478505485,1.3542227605594357,1.3589858732683222,1.3637489859772094,1.3685120986860964,1.373275211394983,1.3780383241038705,1.3828014368127572,1.3875645495216444,1.3923276622305312,1.3970907749394184,1.401853887648305,1.4066170003571925,1.4113801130660792
PD22,baseline,bahrain,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Industry not elsewhere specified,INONSPEC,TJ,5068.7997,6555.5993,6260.4006,7261.2007,9475.2015,9820.8009,9313.2017,9756.0018,9957.6004,10615.1792,7829.2281,7925.201164880154,7956.219817860021,7987.238470839888,8018.257123819754,8049.275776799621,8080.294429779487,8111.313082759355,8142.331735739222,8173.350388719088,8204.369041698954,8235.387694678822,8266.406347658689,8297.425000638556,8328.443653618422,8359.462306598289,8390.480959578155,8421.499612558022,8452.518265537889,8483.536918517755,8514.555571497622,8545.574224477488,8576.592877457355,8607.611530437222,8638.630183417088,8669.648836396955,8700.667489376821,8731.686142356688,8762.704795336555,8793.723448316421,8824.742101296288,8855.760754276154,8886.779407256023,8917.79806023589,8948.816713215756,8979.835366195623,9010.85401917549,9041.872672155356,9072.891325135222,9103.909978115087,9134.928631094956,9165.947284074822,9196.965937054689,9227.984590034555,9259.003243014422,9290.021895994289,9321.040548974155,9352.059201954022,9383.077854933888,9414.096507913757,9445.115160893623,9476.13381387349,9507.152466853357,9538.171119833223,9569.18977281309,9600.208425792956,9631.227078772825,9662.24573175269,9693.264384732556,9724.283037712425,9755.30169069229,9786.320343672156,9817.338996652024,9848.35764963189,9879.376302611756,9910.394955591622,9941.413608571487,9972.432261551356,10003.450914531222,10034.469567511089,10065.488220490955,10096.506873470822,10127.525526450689,10158.544179430555,10189.562832410424,10220.58148539029,10251.600138370157,10282.618791350023,10313.63744432989,10344.656097309757,10375.674750289623
PD22,baseline,bahrain,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Non-ferrous metals,NONFERR,TJ,36198.001,37843.1999,38433.6015,40186.7988,39603.5985,40543.2002,41133.6018,40245.0791,42281.8652,51346.10295,55717.3357,56400.33578708208,56621.08254256887,56841.82929805567,57062.576053542456,57283.32280902925,57504.069564516045,57724.81632000284,57945.563075489634,58166.30983097643,58387.05658646322,58607.80334195002,58828.55009743681,59049.29685292361,59270.0436084104,59490.79036389719,59711.53711938399,59932.28387487078,60153.03063035758,60373.77738584437,60594.52414133117,60815.27089681796,61036.01765230476,61256.76440779155,61477.51116327834,61698.257918765135,61919.004674251926,62139.75142973872,62360.49818522552,62581.24494071231,62801.991696199104,63022.7384516859,63243.48520717269,63464.23196265949,63684.97871814628,63905.72547363308,64126.47222911987,64347.21898460666,64567.96574009346,64788.71249558025,65009.45925106705,65230.20600655384,65450.95276204064,65671.69951752744,65892.44627301423,66113.19302850102,66333.93978398781,66554.68653947461,66775.4332949614,66996.1800504482,67216.92680593499,67437.67356142178,67658.42031690858,67879.16707239537,68099.91382788216,68320.66058336895,68541.40733885576,68762.15409434255,68982.90084982934,69203.64760531613,69424.39436080292,69645.14111628973,69865.88787177652,70086.63462726331,70307.3813827501,70528.1281382369,70748.8748937237,70969.62164921049,71190.36840469728,71411.11516018407,71631.86191567087,71852.60867115766,72073.35542664446,72294.10218213126,72514.84893761805,72735.59569310484,72956.34244859163,73177.08920407842,73397.83595956521,73618.58271505202,73839.32947053881
