model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,bosniaherz,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,bosniaherz,Commercial,Electricity and Heat,Heat – High Temperature,HHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,bosniaherz,Commercial,Electricity and Heat,Heat – Low Temperature,LHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,bosniaherz,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,5767.1998,5576.3989,5385.5981,5212.8005,4759.1984,5018.399,4888.8008,4849.202,4856.3991,4525.1981,4428.0015,4350.4685665997895,4397.709968517732,4444.951370435675,4492.192772353617,4539.434174271561,4586.675576189503,4633.916978107446,4681.158380025388,4728.399781943332,4775.641183861274,4822.882585779216,4870.12398769716,4917.365389615102,4964.606791533045,5011.848193450987,5059.0895953689305,5106.330997286873,5153.572399204816,5200.813801122758,5248.055203040702,5295.296604958644,5342.538006876586,5389.779408794529,5437.020810712472,5484.262212630415,5531.503614548357,5578.7450164663005,5625.986418384243,5673.227820302185,5720.469222220128,5767.710624138071,5814.952026056014,5862.193427973956,5909.434829891899,5956.676231809842,6003.917633727784,6051.159035645727,6098.400437563671,6145.641839481613,6192.883241399555,6240.124643317498,6287.366045235441,6334.607447153384,6381.848849071326,6429.090250989269,6476.331652907212,6523.573054825154,6570.814456743097,6618.0558586610405,6665.297260578983,6712.538662496925,6759.780064414868,6807.021466332811,6854.262868250753,6901.504270168696,6948.745672086639,6995.987074004582,7043.228475922524,7090.469877840467,7137.7112797584105,7184.952681676352,7232.194083594295,7279.435485512238,7326.676887430181,7373.918289348123,7421.159691266066,7468.401093184009,7515.642495101952,7562.883897019894,7610.125298937837,7657.3667008557795,7704.608102773722,7751.849504691665,7799.090906609608,7846.332308527551,7893.573710445493,7940.815112363436,7988.056514281379,8035.297916199321,8082.539318117264
PD22,baseline,bosniaherz,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,3477.5979,3790.7999,3769.2002,3592.8019,3556.7996,3546.0019,4168.8009,4316.3982,4492.8007,3956.4004,4463.9997,4385.8364492787305,4433.461908301108,4481.0873673234855,4528.712826345863,4576.33828536824,4623.963744390618,4671.589203412995,4719.214662435373,4766.84012145775,4814.465580480127,4862.091039502505,4909.716498524882,4957.341957547259,5004.967416569637,5052.592875592014,5100.218334614392,5147.843793636769,5195.469252659146,5243.094711681524,5290.720170703901,5338.345629726278,5385.971088748656,5433.596547771033,5481.22200679341,5528.847465815788,5576.472924838165,5624.098383860543,5671.7238428829205,5719.349301905298,5766.974760927676,5814.600219950053,5862.225678972431,5909.851137994808,5957.476597017185,6005.102056039563,6052.72751506194,6100.352974084317,6147.978433106695,6195.603892129072,6243.229351151449,6290.854810173827,6338.480269196204,6386.105728218581,6433.731187240959,6481.356646263336,6528.982105285713,6576.607564308091,6624.233023330469,6671.858482352845,6719.483941375223,6767.109400397601,6814.7348594199775,6862.360318442356,6909.9857774647335,6957.611236487111,7005.236695509488,7052.862154531866,7100.487613554243,7148.11307257662,7195.738531598998,7243.363990621375,7290.989449643752,7338.61490866613,7386.240367688507,7433.865826710884,7481.491285733262,7529.116744755639,7576.742203778016,7624.367662800394,7671.993121822772,7719.618580845148,7767.244039867526,7814.869498889904,7862.494957912281,7910.120416934658,7957.745875957036,8005.371334979413,8052.9967940017905,8100.622253024168,8148.2477120465455
PD22,baseline,bosniaherz,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Pumped storage plants,EPUMPST,TJ,248.3987,248.3987,248.3987,248.3987,248.3987,248.3987,248.3987,248.3987,129.5982,89.9995,107.9985,106.10747974903066,107.25969267060148,108.41190559217227,109.5641185137431,110.7163314353139,111.86854435688473,113.02075727845552,114.17297020002634,115.32518312159716,116.47739604316796,117.62960896473878,118.7818218863096,119.9340348078804,121.08624772945122,122.23846065102202,123.39067357259285,124.54288649416364,125.69509941573446,126.84731233730528,127.99952525887608,129.1517381804469,130.30395110201772,131.45616402358854,132.60837694515934,133.76058986673016,134.91280278830095,136.06501570987177,137.2172286314426,138.36944155301342,139.5216544745842,140.67386739615503,141.82608031772585,142.97829323929665,144.13050616086747,145.28271908243826,146.43493200400908,147.58714492557988,148.7393578471507,149.89157076872152,151.04378369029234,152.19599661186314,153.34820953343396,154.50042245500475,155.65263537657555,156.8048482981464,157.95706121971722,159.109274141288,160.26148706285883,161.41369998442963,162.56591290600045,163.71812582757127,164.8703387491421,166.0225516707129,167.1747645922837,168.3269775138545,169.47919043542532,170.63140335699617,171.78361627856697,172.93582920013776,174.08804212170855,175.24025504327938,176.3924679648502,177.54468088642102,178.69689380799184,179.84910672956264,181.00131965113343,182.15353257270425,183.30574549427507,184.4579584158459,185.61017133741672,186.7623842589875,187.9145971805583,189.06681010212912,190.21902302369995,191.3712359452708,192.5234488668416,193.6756617884124,194.8278747099832,195.980087631554,197.1323005531248
PD22,baseline,bosniaherz,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bosniaherz,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bosniaherz,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,28893.6,15793.2,15174.0,26049.6,21366.0,19983.6,20307.6,13644.0,23104.8,21963.6,16488.0,16199.300231966346,16375.207181144897,16551.114130323444,16727.021079501996,16902.928028680544,17078.834977859093,17254.74192703764,17430.64887621619,17606.55582539474,17782.46277457329,17958.36972375184,18134.276672930388,18310.183622108936,18486.090571287485,18661.99752046604,18837.904469644585,19013.81141882313,19189.71836800168,19365.62531718023,19541.53226635878,19717.43921553733,19893.34616471588,20069.25311389443,20245.160063072977,20421.06701225153,20596.97396143008,20772.880910608623,20948.78785978717,21124.694808965723,21300.601758144272,21476.50870732282,21652.41565650137,21828.32260567992,22004.22955485847,22180.13650403702,22356.043453215567,22531.95040239412,22707.857351572668,22883.764300751216,23059.671249929765,23235.578199108317,23411.48514828686,23587.39209746541,23763.29904664396,23939.20599582251,24115.11294500106,24291.019894179608,24466.92684335816,24642.83379253671,24818.740741715257,24994.64769089381,25170.554640072354,25346.461589250903,25522.36853842945,25698.275487608,25874.182436786552,26050.0893859651,26225.99633514365,26401.9032843222,26577.81023350075,26753.7171826793,26929.624131857847,27105.531081036395,27281.438030214944,27457.34497939349,27633.25192857204,27809.158877750597,27985.06582692914,28160.97277610769,28336.87972528624,28512.78667446479,28688.69362364334,28864.600572821888,29040.50752200044,29216.414471178985,29392.321420357533,29568.22836953608,29744.135318714634,29920.042267893183,30095.94921707173
PD22,baseline,bosniaherz,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,28893.6008,15793.1999,15174.0015,26049.5997,21365.9982,19983.6006,20307.6003,13643.9983,23104.8014,21963.6011,16487.9994,16199.29964247216,16375.206585249438,16551.113528026715,16727.020470803993,16902.92741358127,17078.834356358548,17254.74129913582,17430.6482419131,17606.555184690376,17782.462127467654,17958.36907024493,18134.27601302221,18310.18295579949,18486.089898576764,18661.99684135404,18837.90378413132,19013.8107269086,19189.717669685877,19365.62461246315,19541.531555240428,19717.438498017706,19893.34544079498,20069.252383572257,20245.15932634953,20421.06626912681,20596.97321190409,20772.880154681367,20948.787097458644,21124.69404023592,21300.6009830132,21476.50792579048,21652.41486856775,21828.321811345028,22004.228754122305,22180.135696899582,22356.04263967686,22531.949582454137,22707.85652523141,22883.76346800869,23059.67041078597,23235.577353563247,23411.484296340524,23587.3912391178,23763.29818189508,23939.20512467236,24115.112067449634,24291.01901022691,24466.92595300419,24642.832895781463,24818.73983855874,24994.646781336018,25170.55372411329,25346.460666890573,25522.36760966785,25698.274552445127,25874.1814952224,26050.08843799968,26225.99538077696,26401.902323554237,26577.80926633151,26753.71620910879,26929.623151886062,27105.530094663343,27281.43703744062,27457.3439802179,27633.250922995176,27809.157865772453,27985.06480854973,28160.971751327008,28336.878694104285,28512.785636881563,28688.69257965884,28864.59952243612,29040.506465213395,29216.41340799067,29392.320350767943,29568.227293545224,29744.1342363225,29920.04117909978,30095.948121877056
