model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,congo,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,congo,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,1677.6005,2415.5994,2725.2007,2698.2,2901.59895,4442.4,4903.1992,4766.0773,4982.4553,5844.3248,6167.5039,6368.271205105547,6606.051574614964,6843.831944124381,7081.612313633798,7319.392683143215,7557.173052652633,7794.953422162049,8032.733791671466,8270.514161180883,8508.2945306903,8746.074900199717,8983.855269709135,9221.635639218552,9459.416008727969,9697.196378237386,9934.976747746805,10172.75711725622,10410.537486765636,10648.317856275056,10886.098225784472,11123.878595293889,11361.658964803306,11599.439334312725,11837.21970382214,12075.000073331556,12312.780442840973,12550.560812350392,12788.341181859809,13026.121551369226,13263.90192087864,13501.68229038806,13739.462659897476,13977.243029406894,14215.02339891631,14452.803768425729,14690.584137935144,14928.364507444565,15166.144876953978,15403.925246463396,15641.705615972813,15879.485985482232,16117.266354991649,16355.046724501066,16592.82709401048,16830.6074635199,17068.387833029316,17306.168202538734,17543.94857204815,17781.728941557565,18019.509311066984,18257.2896805764,18495.07005008582,18732.850419595237,18970.630789104653,19208.411158614068,19446.191528123487,19683.971897632902,19921.75226714232,20159.532636651737,20397.313006161155,20635.09337567057,20872.87374517999,21110.654114689405,21348.434484198824,21586.21485370824,21823.99522321766,22061.775592727077,22299.555962236493,22537.336331745908,22775.116701255323,23012.897070764742,23250.67744027416,23488.457809783577,23726.238179292992,23964.01854880241,24201.798918311822,24439.579287821245,24677.35965733066,24915.14002684008,25152.92039634949
PD22,baseline,congo,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,316.7984,522.0019,687.5982,673.1998,723.6005,1115.9999,1188.0003,1192.6853,1245.5437,1470.4544,1541.9775,1592.1726311629309,1651.6216377091946,1711.0706442554583,1770.519650801722,1829.968657347986,1889.4176638942497,1948.8666704405132,2008.315676986777,2067.764683533041,2127.213690079305,2186.6626966255685,2246.111703171832,2305.560709718096,2365.00971626436,2424.4587228106234,2483.907729356887,2543.3567359031517,2602.8057424494145,2662.2547489956787,2721.7037555419424,2781.152762088206,2840.60176863447,2900.0507751807336,2959.4997817269973,3018.948788273261,3078.397794819525,3137.8468013657885,3197.2958079120526,3256.744814458316,3316.19382100458,3375.642827550844,3435.0918340971075,3494.540840643371,3553.989847189635,3613.438853735898,3672.8878602821615,3732.336866828426,3791.78587337469,3851.234879920954,3910.6838864672177,3970.1328930134814,4029.581899559745,4089.030906106009,4148.479912652272,4207.928919198536,4267.3779257448,4326.826932291064,4386.275938837327,4445.724945383591,4505.173951929855,4564.622958476119,4624.071965022383,4683.520971568647,4742.96997811491,4802.418984661173,4861.867991207438,4921.316997753702,4980.766004299965,5040.215010846228,5099.664017392493,5159.113023938757,5218.56203048502,5278.011037031284,5337.460043577548,5396.909050123812,5456.358056670075,5515.807063216339,5575.256069762603,5634.705076308866,5694.154082855131,5753.603089401394,5813.052095947658,5872.501102493921,5931.950109040185,5991.399115586449,6050.848122132713,6110.297128678977,6169.74613522524,6229.1951417715045,6288.644148317768
PD22,baseline,congo,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,congo,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,congo,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,1544.4,2847.6,3553.2000000000003,3456.0,3736.8,3952.8,4057.2,4330.8,3939.6528,3048.804,3241.6200000000003,3347.142642892248,3472.119232109989,3597.09582132773,3722.072410545472,3847.0489997632126,3972.0255889809537,4097.002178198695,4221.978767416436,4346.955356634177,4471.931945851919,4596.90853506966,4721.885124287401,4846.861713505142,4971.838302722883,5096.814891940625,5221.791481158366,5346.768070376107,5471.744659593848,5596.721248811589,5721.69783802933,5846.674427247071,5971.651016464813,6096.627605682554,6221.604194900296,6346.580784118036,6471.557373335778,6596.533962553519,6721.51055177126,6846.487140989001,6971.463730206742,7096.440319424484,7221.416908642224,7346.393497859966,7471.3700870777075,7596.346676295449,7721.32326551319,7846.299854730931,7971.276443948672,8096.253033166413,8221.229622384155,8346.206211601895,8471.182800819635,8596.159390037377,8721.13597925512,8846.112568472861,8971.089157690601,9096.065746908342,9221.042336126084,9346.018925343826,9470.995514561566,9595.972103779306,9720.948692997048,9845.92528221479,9970.901871432532,10095.878460650272,10220.855049868012,10345.831639085754,10470.808228303496,10595.784817521237,10720.761406738977,10845.73799595672,10970.71458517446,11095.691174392205,11220.667763609945,11345.644352827683,11470.620942045423,11595.597531263167,11720.574120480907,11845.55070969865,11970.52729891639,12095.503888134132,12220.480477351872,12345.457066569614,12470.433655787354,12595.410245005096,12720.386834222838,12845.363423440578,12970.34001265832,13095.31660187606,13220.293191093802
PD22,baseline,congo,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,1544.4017,2847.6018,3553.199,3455.9982,3736.7985,3952.7997,4057.2018,4330.8008,3939.6532,3048.8026,3241.6215,3347.144191720909,3472.120838769267,3597.0974858176246,3722.074132865983,3847.0507799143406,3972.027426962699,4097.004074011057,4221.980721059415,4346.957368107773,4471.934015156131,4596.910662204489,4721.887309252847,4846.863956301206,4971.840603349563,5096.817250397921,5221.79389744628,5346.770544494637,5471.747191542996,5596.723838591353,5721.700485639712,5846.67713268807,5971.653779736427,6096.630426784785,6221.607073833144,6346.583720881502,6471.56036792986,6596.5370149782175,6721.513662026576,6846.490309074934,6971.466956123291,7096.4436031716505,7221.420250220008,7346.396897268366,7471.373544316724,7596.350191365082,7721.32683841344,7846.303485461798,7971.280132510156,8096.256779558515,8221.233426606872,8346.210073655231,8471.186720703588,8596.163367751946,8721.140014800305,8846.116661848662,8971.09330889702,9096.06995594538,9221.046602993738,9346.023250042095,9470.999897090453,9595.976544138812,9720.953191187167,9845.929838235526,9970.906485283886,10095.883132332245,10220.8597793806,10345.83642642896,10470.81307347732,10595.789720525674,10720.766367574031,10845.743014622392,10970.71966167075,11095.696308719109,11220.672955767466,11345.649602815824,11470.62624986418,11595.60289691254,11720.579543960896,11845.556191009257,11970.532838057614,12095.509485105971,12220.48613215433,12345.462779202688,12470.439426251049,12595.416073299404,12720.39272034776,12845.36936739612,12970.346014444478,13095.322661492835,13220.299308541194
PD22,baseline,congo,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,congo,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,congo,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.497664,0.864,0.864,0.864,0.8921253087835409,0.9254357440239852,0.9587461792644292,0.9920566145048734,1.0253670497453176,1.0586774849857616,1.0919879202262055,1.1252983554666498,1.158608790707094,1.1919192259475382,1.2252296611879825,1.2585400964284266,1.2918505316688706,1.3251609669093147,1.358471402149759,1.3917818373902031,1.4250922726306472,1.4584027078710915,1.4917131431115354,1.5250235783519797,1.5583340135924235,1.5916444488328678,1.624954884073312,1.6582653193137562,1.6915757545542005,1.7248861897946446,1.758196625035089,1.7915070602755327,1.824817495515977,1.858127930756421,1.8914383659968648,1.9247488012373093,1.9580592364777532,1.9913696717181977,2.024680106958642,2.057990542199086,2.09130097743953,2.124611412679974,2.1579218479204183,2.1912322831608626,2.2245427184013065,2.2578531536417508,2.291163588882195,2.324474024122639,2.3577844593630832,2.3910948946035275,2.4244053298439714,2.457715765084416,2.49102620032486,2.524336635565304,2.557647070805748,2.590957506046192,2.6242679412866363,2.6575783765270806,2.6908888117675245,2.724199247007969,2.757509682248413,2.790820117488857,2.824130552729301,2.857440987969745,2.8907514232101894,2.9240618584506337,2.957372293691078,2.990682728931522,3.023993164171966,3.0573035994124105,3.0906140346528543,3.123924469893298,3.157234905133743,3.190545340374187,3.223855775614631,3.257166210855075,3.2904766460955197,3.323787081335964,3.3570975165764074,3.390407951816852,3.423718387057296,3.45702882229774,3.490339257538184,3.5236496927786285
