model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,coteivoire,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,coteivoire,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,4334.4014,4914.0011,4917.6018,6048.0001,4273.1988,6278.3997,7552.7988,5856.8266,6745.2572,7043.83045,6251.6209,6455.1264187617335,6696.149813596521,6937.173208431309,7178.196603266097,7419.219998100884,7660.243392935672,7901.266787770461,8142.290182605248,8383.313577440036,8624.336972274825,8865.360367109612,9106.383761944398,9347.407156779189,9588.430551613976,9829.453946448764,10070.477341283551,10311.500736118338,10552.524130953128,10793.547525787915,11034.570920622702,11275.594315457489,11516.617710292276,11757.641105127066,11998.664499961851,12239.68789479664,12480.711289631428,12721.734684466215,12962.758079301006,13203.781474135792,13444.80486897058,13685.828263805368,13926.851658640157,14167.875053474943,14408.89844830973,14649.92184314452,14890.945237979307,15131.968632814096,15372.99202764888,15614.01542248367,15855.038817318458,16096.062212153249,16337.085606988032,16578.10900182282,16819.13239665761,17060.155791492398,17301.179186327186,17542.20258116197,17783.22597599676,18024.24937083155,18265.272765666337,18506.29616050112,18747.31955533591,18988.3429501707,19229.36634500549,19470.38973984028,19711.413134675066,19952.43652950985,20193.45992434464,20434.483319179428,20675.506714014213,20916.530108849,21157.55350368379,21398.57689851858,21639.600293353364,21880.623688188152,22121.64708302294,22362.67047785773,22603.69387269252,22844.717267527307,23085.74066236209,23326.76405719688,23567.78745203167,23808.810846866458,24049.834241701243,24290.85763653603,24531.88103137082,24772.90442620561,25013.9278210404,25254.951215875182,25495.97461070997
PD22,baseline,coteivoire,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,410.3985,421.2005,485.9996,529.199,572.3984,601.1994,658.8014,744.1325,694.946,725.5892,647.4844,668.5615975492196,693.524545668893,718.4874937885664,743.4504419082398,768.4133900279132,793.3763381475866,818.3392862672599,843.3022343869334,868.2651825066067,893.2281306262802,918.1910787459536,943.154026865627,968.1169749853004,993.0799231049735,1018.0428712246472,1043.0058193443206,1067.9687674639938,1092.9317155836673,1117.8946637033407,1142.857611823014,1167.8205599426874,1192.7835080623609,1217.7464561820343,1242.7094043017075,1267.672352421381,1292.6353005410542,1317.5982486607277,1342.5611967804011,1367.5241449000746,1392.487093019748,1417.4500411394213,1442.4129892590947,1467.375937378768,1492.3388854984414,1517.3018336181149,1542.2647817377883,1567.2277298574618,1592.190677977135,1617.1536260968082,1642.1165742164817,1667.0795223361552,1692.0424704558286,1717.005418575502,1741.9683666951753,1766.9313148148487,1791.8942629345222,1816.8572110541957,1841.820159173869,1866.7831072935423,1891.746055413216,1916.709003532889,1941.6719516525625,1966.634899772236,1991.5978478919087,2016.5607960115824,2041.523744131256,2066.486692250929,2091.4496403706025,2116.412588490276,2141.375536609949,2166.338484729623,2191.3014328492964,2216.26438096897,2241.2273290886437,2266.1902772083167,2291.15322532799,2316.116173447663,2341.0791215673366,2366.04206968701,2391.005017806684,2415.967965926357,2440.93091404603,2465.8938621657035,2490.856810285377,2515.8197584050504,2540.782706524724,2565.7456546443973,2590.7086027640707,2615.671550883744,2640.634499003417
PD22,baseline,coteivoire,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,coteivoire,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,coteivoire,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,5824.8,6386.400000000001,6440.400000000001,5781.6,6886.8,4867.2,5504.400000000001,7369.8984,10663.2072,12438.0,12074.4,12467.451190249983,12932.96452273519,13398.477855220395,13863.991187705604,14329.50452019081,14795.017852676016,15260.531185161224,15726.04451764643,16191.557850131638,16657.071182616844,17122.58451510205,17588.097847587258,18053.611180072465,18519.12451255767,18984.63784504288,19450.151177528085,19915.66451001329,20381.1778424985,20846.691174983705,21312.204507468912,21777.71783995412,22243.23117243933,22708.744504924533,23174.25783740974,23639.771169894942,24105.284502380156,24570.79783486536,25036.311167350566,25501.824499835773,25967.33783232098,26432.851164806187,26898.364497291397,27363.8778297766,27829.391162261807,28294.904494747014,28760.41782723222,29225.931159717427,29691.444492202638,30156.95782468784,30622.471157173048,31087.98448965825,31553.49782214346,32019.011154628668,32484.524487113875,32950.03781959908,33415.551152084285,33881.06448456949,34346.5778170547,34812.091149539905,35277.60448202511,35743.11781451032,36208.631146995525,36674.14447948073,37139.65781196594,37605.171144451146,38070.68447693635,38536.19780942156,39001.711141906766,39467.22447439197,39932.73780687718,40398.25113936239,40863.76447184759,41329.2778043328,41794.79113681801,42260.30446930321,42725.81780178842,43191.33113427363,43656.844466758834,44122.35779924404,44587.87113172925,45053.38446421445,45518.89779669966,45984.41112918487,46449.92446167008,46915.43779415528,47380.95112664049,47846.464459125695,48311.9777916109,48777.49112409611,49243.00445658132
PD22,baseline,coteivoire,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,5824.8018,6386.3982,6440.3995,5781.5982,6886.8003,4867.2011,5504.3985,7369.8984,10663.206,12437.9989,12074.4004,12467.45160327096,12932.964951177664,13398.478299084369,13863.991646991071,14329.504994897778,14795.018342804482,15260.531690711186,15726.04503861789,16191.558386524595,16657.071734431298,17122.585082338002,17588.098430244707,18053.61177815141,18519.12512605812,18984.63847396482,19450.151821871525,19915.66516977823,20381.178517684933,20846.69186559164,21312.205213498342,21777.718561405047,22243.23190931175,22708.745257218456,23174.25860512516,23639.771953031865,24105.28530093857,24570.798648845277,25036.311996751974,25501.82534465868,25967.338692565387,26432.85204047209,26898.3653883788,27363.8787362855,27829.392084192204,28294.90543209891,28760.418780005613,29225.93212791232,29691.44547581902,30156.958823725727,30622.472171632427,31087.985519539136,31553.49886744584,32019.012215352544,32484.525563259245,32950.03891116595,33415.552259072654,33881.06560697936,34346.57895488606,34812.09230279277,35277.60565069947,35743.11899860618,36208.63234651288,36674.14569441959,37139.65904232629,37605.172390233,38070.6857381397,38536.19908604641,39001.71243395311,39467.225781859815,39932.73912976652,40398.25247767322,40863.765825579925,41329.27917348663,41794.79252139333,42260.30586930004,42725.81921720674,43191.33256511345,43656.84591302015,44122.35926092686,44587.87260883356,45053.38595674027,45518.89930464697,45984.41265255367,46449.92600046038,46915.43934836708,47380.95269627379,47846.46604418049,48311.9793920872,48777.4927399939,49243.006087900605
PD22,baseline,coteivoire,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,coteivoire,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,coteivoire,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,1.728,1.728,1.728,2.592,3.456,4.320000000000001,4.320000000000001,5.8752,5.8752,9.5904,9.5904,9.902590927497302,10.272336758666231,10.64208258983516,11.01182842100409,11.38157425217302,11.75132008334195,12.12106591451088,12.490811745679808,12.860557576848738,13.230303408017669,13.600049239186596,13.969795070355527,14.339540901524456,14.709286732693386,15.079032563862317,15.448778395031244,15.818524226200172,16.188270057369103,16.55801588853803,16.92776171970696,17.297507550875892,17.66725338204482,18.03699921321375,18.40674504438268,18.77649087555161,19.146236706720536,19.515982537889467,19.8857283690584,20.25547420022733,20.625220031396257,20.994965862565188,21.364711693734115,21.734457524903043,22.104203356071974,22.473949187240905,22.843695018409832,23.21344084957876,23.58318668074769,23.95293251191662,24.32267834308555,24.69242417425448,25.06217000542341,25.43191583659234,25.801661667761262,26.1714074989302,26.541153330099128,26.910899161268052,27.280644992436983,27.65039082360592,28.020136654774845,28.38988248594377,28.759628317112707,29.129374148281634,29.49911997945056,29.86886581061949,30.238611641788424,30.60835747295735,30.97810330412628,31.347849135295213,31.71759496646414,32.08734079763307,32.457086628802,32.82683245997093,33.19657829113986,33.566324122308785,33.93606995347772,34.30581578464665,34.675561615815575,35.0453074469845,35.41505327815344,35.784799109322364,36.15454494049129,36.52429077166022,36.89403660282915,37.26378243399808,37.63352826516701,38.00327409633594,38.37301992750487,38.7427657586738,39.112511589842725
