model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,ethiopia,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,4085.9986,5587.2009,6264.0013,5958.0006,7736.3983,7505.9987,9349.1998,10601.9992,11415.5991,11981.68375,12177.7474,12574.162800362225,13043.660562100866,13513.158323839509,13982.65608557815,14452.153847316791,14921.651609055432,15391.149370794074,15860.647132532717,16330.144894271358,16799.64265601,17269.14041774864,17738.638179487283,18208.135941225923,18677.63370296457,19147.131464703205,19616.629226441848,20086.12698818049,20555.62474991913,21025.122511657773,21494.620273396416,21964.118035135056,22433.6157968737,22903.113558612346,23372.61132035098,23842.10908208962,24311.606843828264,24781.104605566907,25250.602367305542,25720.10012904419,26189.597890782832,26659.09565252147,27128.593414260115,27598.09117599876,28067.5889377374,28537.08669947604,29006.58446121468,29476.08222295332,29945.579984691965,30415.077746430605,30884.575508169248,31354.073269907887,31823.57103164653,32293.068793385173,32762.566555123813,33232.06431686245,33701.5620786011,34171.05984033974,34640.55760207838,35110.055363817024,35579.55312555566,36049.0508872943,36518.54864903295,36988.04641077159,37457.54417251023,37927.04193424888,38396.53969598752,38866.03745772616,39335.5352194648,39805.03298120343,40274.53074294208,40744.028504680726,41213.52626641936,41683.024028158005,42152.52178989664,42622.01955163528,43091.51731337393,43561.01507511257,44030.51283685121,44500.010598589855,44969.508360328495,45439.006122067134,45908.50388380578,46378.00164554442,46847.49940728306,47316.997169021706,47786.494930760346,48255.992692498985,48725.49045423762,49194.98821597627,49664.48597771491
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,28.801,25.2003,28.801,17.9991,35.9981,136.7995,179.9989,75.601,147.6014,152.7973,157.4572,162.58281616920345,168.65338082631183,174.72394548342024,180.79451014052864,186.86507479763705,192.93563945474543,199.00620411185383,205.0767687689622,211.14733342607065,217.21789808317905,223.28846274028743,229.35902739739583,235.4295920545042,241.50015671161265,247.57072136872105,253.6412860258294,259.71185068293784,265.7824153400462,271.85297999715465,277.923544654263,283.9941093113714,290.06467396847984,296.1352386255882,302.2058032826966,308.276367939805,314.34693259691346,320.4174972540218,326.4880619111302,332.55862656823865,338.62919122534703,344.6997558824554,350.77032053956384,356.8408851966722,362.9114498537806,368.982014510889,375.0525791679974,381.1231438251058,387.1937084822142,393.26427313932265,399.334837796431,405.4054024535394,411.47596711064784,417.5465317677562,423.6170964248646,429.687661081973,435.7582257390815,441.8287903961898,447.8993550532982,453.96991971040666,460.040484367515,466.1110490246234,472.1816136817319,478.25217833884017,484.3227429959486,490.393307653057,496.46387231016536,502.5344369672738,508.6050016243822,514.6755662814907,520.746130938599,526.8166955957074,532.8872602528158,538.9578249099242,545.0283895670326,551.098954224141,557.1695188812494,563.2400835383578,569.3106481954662,575.3812128525747,581.451777509683,587.5223421667914,593.5929068238999,599.6634714810082,605.7340361381166,611.804600795225,617.8751654523334,623.9457301094418,630.0162947665502,636.0868594236586,642.157424080767
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,64.8,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0325524407216908,1.0711061852129455,1.1096599297042002,1.1482136741954552,1.18676741868671,1.2253211631779646,1.2638749076692193,1.302428652160474,1.3409823966517287,1.3795361411429834,1.418089885634238,1.456643630125493,1.4951973746167475,1.5337511191080024,1.5723048635992571,1.610858608090512,1.6494123525817668,1.6879660970730217,1.7265198415642762,1.7650735860555309,1.8036273305467856,1.8421810750380403,1.880734819529295,1.9192885640205497,1.9578423085118049,1.9963960530030596,2.0349497974943143,2.073503541985569,2.112057286476824,2.1506110309680784,2.189164775459333,2.227718519950588,2.2662722644418425,2.304826008933097,2.343379753424352,2.3819334979156066,2.4204872424068613,2.459040986898116,2.4975947313893707,2.5361484758806254,2.57470222037188,2.613255964863135,2.65180970935439,2.6903634538456447,2.7289171983368994,2.767470942828154,2.806024687319409,2.8445784318106635,2.883132176301918,2.9216859207931734,2.960239665284428,2.9987934097756828,3.037347154266937,3.075900898758192,3.114454643249447,3.1530083877407016,3.1915621322319563,3.230115876723211,3.2686696212144657,3.3072233657057204,3.345777110196975,3.38433085468823,3.4228845991794845,3.461438343670739,3.499992088161994,3.5385458326532486,3.5770995771445038,3.615653321635758,3.6542070661270127,3.692760810618267,3.731314555109522,3.7698682996007777,3.808422044092032,3.846975788583287,3.885529533074542,3.924083277565797,3.9626370220570513,4.001190766548306,4.039744511039561,4.078298255530815
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,647.9994,288.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0325524407216908,1.0711061852129455,1.1096599297042002,1.1482136741954552,1.18676741868671,1.2253211631779646,1.2638749076692193,1.302428652160474,1.3409823966517287,1.3795361411429834,1.418089885634238,1.456643630125493,1.4951973746167475,1.5337511191080024,1.5723048635992571,1.610858608090512,1.6494123525817668,1.6879660970730217,1.7265198415642762,1.7650735860555309,1.8036273305467856,1.8421810750380403,1.880734819529295,1.9192885640205497,1.9578423085118049,1.9963960530030596,2.0349497974943143,2.073503541985569,2.112057286476824,2.1506110309680784,2.189164775459333,2.227718519950588,2.2662722644418425,2.304826008933097,2.343379753424352,2.3819334979156066,2.4204872424068613,2.459040986898116,2.4975947313893707,2.5361484758806254,2.57470222037188,2.613255964863135,2.65180970935439,2.6903634538456447,2.7289171983368994,2.767470942828154,2.806024687319409,2.8445784318106635,2.883132176301918,2.9216859207931734,2.960239665284428,2.9987934097756828,3.037347154266937,3.075900898758192,3.114454643249447,3.1530083877407016,3.1915621322319563,3.230115876723211,3.2686696212144657,3.3072233657057204,3.345777110196975,3.38433085468823,3.4228845991794845,3.461438343670739,3.499992088161994,3.5385458326532486,3.5770995771445038,3.615653321635758,3.6542070661270127,3.692760810618267,3.731314555109522,3.7698682996007777,3.808422044092032,3.846975788583287,3.885529533074542,3.924083277565797,3.9626370220570513,4.001190766548306,4.039744511039561,4.078298255530815
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,17751.600000000002,22543.2,26596.8,30016.8,32446.8,34826.4,42310.8,45651.6,49158.0,52141.674600000006,53461.4076,55201.70690179715,57262.844350550375,59323.981799303605,61385.11924805683,63446.25669681006,65507.39414556328,67568.5315943165,69629.66904306973,71690.80649182296,73751.94394057618,75813.08138932941,77874.21883808263,79935.35628683586,81996.49373558909,84057.63118434232,86118.76863309553,88179.90608184876,90241.04353060198,92302.1809793552,94363.31842810844,96424.45587686168,98485.5933256149,100546.73077436812,102607.86822312136,104669.00567187456,106730.1431206278,108791.28056938102,110852.41801813424,112913.55546688748,114974.6929156407,117035.83036439391,119096.96781314714,121158.10526190036,123219.2427106536,125280.38015940682,127341.51760816004,129402.65505691328,131463.7925056665,133524.92995441973,135586.06740317296,137647.2048519262,139708.34230067942,141769.47974943265,143830.61719818588,145891.75464693908,147952.8920956923,150014.02954444554,152075.16699319874,154136.30444195197,156197.4418907052,158258.57933945843,160319.71678821166,162380.8542369649,164441.99168571812,166503.12913447135,168564.26658322458,170625.4040319778,172686.54148073102,174747.67892948425,176808.81637823748,178869.95382699068,180931.0912757439,182992.22872449717,185053.3661732504,187114.5036220036,189175.64107075683,191236.7785195101,193297.9159682633,195359.0534170165,197420.1908657697,199481.32831452292,201542.46576327615,203603.6032120294,205664.74066078264,207725.87810953584,209787.01555828907,211848.1530070423,213909.29045579556,215970.4279045488,218031.565353302
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,17751.6008,22543.2008,26596.8019,30016.8021,32446.7998,34826.4011,42310.8002,45651.5986,49158.0017,52141.6745,53461.4083,55201.70762458386,57262.84510032471,59323.98257606555,61385.1200518064,63446.25752754724,65507.39500328809,67568.53247902893,69629.66995476978,71690.80743051063,73751.94490625148,75813.08238199231,77874.21985773316,79935.357333474,81996.49480921486,84057.6322849557,86118.76976069654,88179.90723643739,90241.04471217823,92302.18218791908,94363.31966365992,96424.45713940077,98485.5946151416,100546.73209088246,102607.8695666233,104669.00704236416,106730.144518105,108791.28199384584,110852.41946958668,112913.55694532752,114974.69442106836,117035.83189680922,119096.96937255004,121158.10684829092,123219.24432403177,125280.3817997726,127341.51927551343,129402.65675125428,131463.79422699517,133524.93170273598,135586.0691784768,137647.20665421768,139708.3441299585,141769.48160569937,143830.6190814402,145891.75655718104,147952.8940329219,150014.03150866274,152075.1689844036,154136.30646014443,156197.44393588527,158258.58141162613,160319.71888736697,162380.85636310783,164441.99383884866,166503.1313145895,168564.26879033036,170625.4062660712,172686.54374181206,174747.6812175529,176808.81869329372,178869.9561690346,180931.09364477545,182992.23112051623,185053.36859625712,187114.50607199795,189175.6435477388,191236.78102347965,193297.91849922048,195359.05597496132,197420.19345070215,199481.330926443,201542.46840218388,203603.6058779247,205664.7433536656,207725.8808294064,209787.01830514724,211848.1557808881,213909.2932566289,215970.43073236977,218031.56820811064
PD22,baseline,ethiopia,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
