model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,france,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,france,Commercial,Electricity and Heat,Geothermal,GEOTHERM,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,france,Commercial,Electricity and Heat,Heat – High Temperature,HHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,france,Commercial,Electricity and Heat,Heat – Low Temperature,LHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,france,Commercial,Electricity and Heat,Solar thermal,SOLARTH,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,france,Electric Power,Electricity and Heat,Elec/heat from manufactured gases,MANGAS,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0073175704814008,1.0203614196267954,1.0334052687721902,1.0464491179175848,1.0594929670629794,1.0725368162083742,1.0855806653537687,1.098624514499163,1.111668363644558,1.1247122127899527,1.1377560619353475,1.150799911080742,1.163843760226137,1.1768876093715317,1.189931458516926,1.2029753076623206,1.2160191568077154,1.22906300595311,1.2421068550985046,1.2551507042438994,1.268194553389294,1.2812384025346888,1.2942822516800834,1.307326100825478,1.3203699499708723,1.3334137991162671,1.346457648261662,1.3595014974070567,1.3725453465524513,1.385589195697846,1.3986330448432405,1.4116768939886353,1.42472074313403,1.4377645922794249,1.4508084414248192,1.4638522905702138,1.4768961397156086,1.4899399888610032,1.5029838380063978,1.5160276871517926,1.5290715362971872,1.5421153854425818,1.5551592345879766,1.5682030837333711,1.581246932878766,1.5942907820241603,1.607334631169555,1.6203784803149497,1.6334223294603445,1.646466178605739,1.659510027751134,1.6725538768965285,1.685597726041923,1.6986415751873176,1.7116854243327124,1.7247292734781072,1.7377731226235018,1.7508169717688964,1.763860820914291,1.7769046700596856,1.7899485192050804,1.8029923683504752,1.8160362174958695,1.8290800666412643,1.842123915786659,1.8551677649320537,1.8682116140774483,1.881255463222843,1.8942993123682377,1.9073431615136325,1.9203870106590268,1.9334308598044216,1.9464747089498164,1.959518558095211,1.9725624072406056,1.985606256386,1.9986501055313948,2.0116939546767894,2.024737803822184,2.037781652967579
PD22,baseline,france,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,127490.4004,132921.6179,136279.3268,139626.7697,124296.9145,130105.5469,134920.9447,138957.4846,139033.027,137168.7036,129216.7144,130162.26681499704,131847.75014469418,133533.23347439134,135218.71680408847,136904.20013378563,138589.68346348277,140275.1667931799,141960.65012287706,143646.1334525742,145331.61678227136,147017.1001119685,148702.58344166563,150388.0667713628,152073.55010105993,153759.0334307571,155444.51676045422,157130.00009015138,158815.48341984852,160500.96674954565,162186.45007924282,163871.93340893995,165557.41673863708,167242.90006833425,168928.38339803138,170613.86672772854,172299.35005742568,173984.83338712284,175670.31671681997,177355.8000465171,179041.28337621427,180726.7667059114,182412.2500356085,184097.7333653057,185783.2166950029,187468.7000247,189154.18335439716,190839.6666840943,192525.15001379143,194210.63334348856,195896.1166731857,197581.6000028829,199267.08333258,200952.56666227715,202638.04999197432,204323.53332167145,206009.01665136855,207694.49998106572,209379.98331076288,211065.46664046,212750.9499701572,214436.43329985437,216121.91662955144,217807.3999592486,219492.88328894577,221178.3666186429,222863.84994834004,224549.3332780372,226234.81660773436,227920.29993743147,229605.78326712863,231291.2665968258,232976.74992652293,234662.2332562201,236347.7165859172,238033.1999156144,239718.6832453115,241404.16657500865,243089.6499047058,244775.1332344029,246460.61656410008,248146.09989379725,249831.5832234944,251517.06655319151,253202.54988288868,254888.0332125858,256573.51654228292,258258.9998719801,259944.48320167727,261629.9665313744,263315.44986107154
PD22,baseline,france,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Nuclear industry,ENUC,TJ,28623.0624,28623.0624,11574.777,5433.7714,5690.6776,5583.8263,5144.3463,4879.1711,4614.7496,4895.8011,4514.4087,4547.443203844099,4606.328469907557,4665.213735971013,4724.099002034471,4782.984268097928,4841.869534161386,4900.754800224842,4959.6400662883,5018.525332351757,5077.410598415214,5136.295864478671,5195.181130542129,5254.066396605585,5312.951662669043,5371.8369287325,5430.722194795958,5489.607460859415,5548.492726922872,5607.377992986329,5666.263259049787,5725.148525113244,5784.033791176701,5842.919057240159,5901.804323303615,5960.689589367073,6019.57485543053,6078.460121493987,6137.345387557444,6196.230653620902,6255.115919684358,6314.001185747816,6372.886451811273,6431.771717874731,6490.656983938188,6549.542250001645,6608.427516065102,6667.31278212856,6726.198048192016,6785.083314255474,6843.968580318931,6902.853846382388,6961.739112445845,7020.624378509303,7079.50964457276,7138.394910636218,7197.2801766996745,7256.165442763131,7315.050708826589,7373.935974890046,7432.821240953504,7491.706507016961,7550.591773080418,7609.477039143875,7668.362305207333,7727.247571270789,7786.132837334247,7845.018103397704,7903.903369461161,7962.788635524618,8021.673901588076,8080.559167651532,8139.444433714991,8198.329699778447,8257.214965841904,8316.100231905362,8374.985497968819,8433.870764032275,8492.756030095734,8551.64129615919,8610.526562222647,8669.411828286105,8728.297094349562,8787.182360413019,8846.067626476477,8904.952892539935,8963.83815860339,9022.723424666849,9081.608690730309,9140.493956793762,9199.37922285722
PD22,baseline,france,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,89959.9671,92169.5173,89525.9467,87584.0669,85956.0088,87550.56,85183.5945,86860.4707,86355.5803,85931.0764,80958.7574,81551.17881336113,82607.19263188532,83663.20645040953,84719.22026893373,85775.23408745794,86831.24790598213,87887.26172450634,88943.27554303054,89999.28936155475,91055.30318007896,92111.31699860316,93167.33081712735,94223.34463565156,95279.35845417576,96335.37227269995,97391.38609122417,98447.39990974838,99503.41372827256,100559.42754679678,101615.44136532098,102671.4551838452,103727.46900236938,104783.4828208936,105839.4966394178,106895.510457942,107951.5242764662,109007.5380949904,110063.5519135146,111119.5657320388,112175.579550563,113231.5933690872,114287.6071876114,115343.62100613564,116399.63482465982,117455.64864318402,118511.66246170824,119567.67628023244,120623.69009875663,121679.70391728084,122735.71773580504,123791.73155432924,124847.74537285345,125903.75919137764,126959.77300990184,128015.78682842606,129071.80064695026,130127.81446547444,131183.82828399865,132239.84210252285,133295.85592104707,134351.86973957127,135407.88355809546,136463.8973766197,137519.91119514388,138575.92501366808,139631.93883219227,140687.95265071647,141743.9664692407,142799.9802877649,143855.9941062891,144912.0079248133,145968.0217433375,147024.0355618617,148080.0493803859,149136.0631989101,150192.0770174343,151248.09083595852,152304.1046544827,153360.11847300694,154416.13229153113,155472.14611005533,156528.15992857952,157584.17374710372,158640.18756562792,159696.20138415214,160752.21520267634,161808.22902120056,162864.24283972476,163920.25665824895,164976.27047677315
PD22,baseline,france,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Pumped storage plants,EPUMPST,TJ,6426.0011,6724.8507,6607.6999,6988.3972,7772.924,6909.0113,6758.0855,7094.4154,7348.2234,6256.419,6090.3119,6134.878186581964,6214.319296253966,6293.760405925968,6373.20151559797,6452.642625269971,6532.0837349419735,6611.524844613975,6690.965954285977,6770.407063957979,6849.848173629981,6929.289283301983,7008.730392973985,7088.171502645987,7167.612612317988,7247.053721989991,7326.494831661992,7405.935941333994,7485.377051005997,7564.818160677998,7644.25927035,7723.700380022002,7803.141489694004,7882.582599366005,7962.023709038008,8041.46481871001,8120.905928382012,8200.347038054013,8279.788147726016,8359.229257398018,8438.670367070019,8518.111476742022,8597.552586414024,8676.993696086025,8756.434805758026,8835.875915430028,8915.317025102031,8994.758134774032,9074.199244446034,9153.640354118035,9233.081463790038,9312.52257346204,9391.963683134043,9471.404792806044,9550.845902478046,9630.28701215005,9709.72812182205,9789.169231494052,9868.610341166052,9948.051450838057,10027.492560510058,10106.93367018206,10186.37477985406,10265.815889526064,10345.256999198064,10424.698108870069,10504.13921854207,10583.580328214071,10663.021437886073,10742.462547558076,10821.903657230076,10901.34476690208,10980.78587657408,11060.226986246082,11139.668095918085,11219.109205590086,11298.550315262088,11377.99142493409,11457.432534606092,11536.873644278094,11616.314753950095,11695.755863622097,11775.1969732941,11854.6380829661,11934.079192638104,12013.520302310106,12092.961411982107,12172.402521654109,12251.843631326112,12331.284740998111,12410.725850670116
