model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,ghana,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,ghana,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,8290.8018,9514.8003,9183.5993,9910.8004,10486.7994,8672.3994,6703.2008,6912.4068,8654.1156,8905.3236,4647.348,4798.630520283068,4977.803187637011,5156.975854990956,5336.1485223449,5515.321189698843,5694.493857052787,5873.666524406731,6052.839191760675,6232.011859114618,6411.184526468562,6590.357193822506,6769.52986117645,6948.7025285303935,7127.875195884337,7307.047863238281,7486.220530592225,7665.393197946169,7844.565865300112,8023.738532654056,8202.911200008,8382.083867361944,8561.256534715887,8740.42920206983,8919.601869423775,9098.77453677772,9277.947204131662,9457.119871485607,9636.29253883955,9815.465206193494,9994.637873547435,10173.81054090138,10352.983208255326,10532.155875609267,10711.328542963212,10890.501210317158,11069.6738776711,11248.846545025044,11428.019212378988,11607.19187973293,11786.364547086876,11965.53721444082,12144.709881794764,12323.882549148708,12503.055216502651,12682.227883856594,12861.400551210538,13040.573218564485,13219.745885918426,13398.91855327237,13578.091220626313,13757.263887980256,13936.4365553342,14115.609222688145,14294.781890042088,14473.954557396031,14653.127224749976,14832.29989210392,15011.472559457863,15190.645226811806,15369.817894165752,15548.990561519697,15728.163228873638,15907.335896227583,16086.508563581529,16265.68123093547,16444.853898289413,16624.026565643355,16803.1992329973,16982.371900351245,17161.54456770519,17340.717235059135,17519.889902413077,17699.06256976702,17878.235237120964,18057.40790447491,18236.58057182885,18415.753239182795,18594.925906536737,18774.09857389068,18953.271241244627
PD22,baseline,ghana,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,197.998,241.2015,255.6,273.599,291.5981,259.2006,255.6,255.3948,180.0324,1825.4448,2219.004,2291.237996171195,2376.788909412267,2462.3398226533395,2547.890735894412,2633.441649135484,2718.992562376556,2804.543475617628,2890.0943888587008,2975.6453020997733,3061.1962153408454,3146.7471285819174,3232.29804182299,3317.848955064062,3403.399868305134,3488.9507815462066,3574.501694787279,3660.052608028351,3745.6035212694233,3831.154434510496,3916.705347751568,4002.25626099264,4087.807174233712,4173.358087474785,4258.9090007158575,4344.459913956929,4430.010827198002,4515.561740439074,4601.112653680146,4686.663566921218,4772.214480162291,4857.765393403362,4943.316306644436,5028.867219885507,5114.418133126579,5199.9690463676525,5285.519959608724,5371.070872849797,5456.621786090869,5542.172699331941,5627.723612573013,5713.274525814086,5798.825439055157,5884.37635229623,5969.927265537302,6055.478178778374,6141.029092019448,6226.580005260519,6312.130918501592,6397.681831742663,6483.232744983736,6568.783658224808,6654.334571465881,6739.885484706952,6825.436397948025,6910.987311189097,6996.53822443017,7082.089137671242,7167.640050912314,7253.190964153387,7338.741877394458,7424.292790635531,7509.843703876603,7595.394617117676,7680.945530358747,7766.49644359982,7852.0473568408925,7937.598270081964,8023.149183323037,8108.700096564109,8194.251009805183,8279.801923046252,8365.352836287326,8450.9037495284,8536.454662769469,8622.005576010542,8707.556489251616,8793.107402492687,8878.658315733759,8964.209228974833,9049.760142215904
PD22,baseline,ghana,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ghana,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ghana,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,25185.6,27219.6,29055.6,29638.8,30193.2,21042.0,20019.6,20217.6,21661.2,26105.76,26254.8,27109.45782065985,28121.678671528844,29133.89952239784,30146.12037326684,31158.34122413583,32170.562075004826,33182.78292587382,34195.003776742815,35207.22462761181,36219.4454784808,37231.6663293498,38243.88718021879,39256.10803108779,40268.32888195678,41280.54973282578,42292.77058369478,43304.99143456377,44317.21228543277,45329.43313630176,46341.65398717076,47353.87483803975,48366.09568890875,49378.31653977774,50390.53739064674,51402.75824151574,52414.97909238473,53427.19994325373,54439.42079412272,55451.64164499172,56463.86249586071,57476.083346729705,58488.3041975987,59500.525048467694,60512.74589933669,61524.96675020568,62537.18760107468,63549.40845194367,64561.62930281267,65573.85015368166,66586.07100455066,67598.29185541965,68610.51270628865,69622.73355715764,70634.95440802664,71647.17525889563,72659.39610976464,73671.61696063363,74683.83781150263,75696.05866237162,76708.27951324062,77720.50036410961,78732.7212149786,79744.9420658476,80757.1629167166,81769.38376758559,82781.60461845458,83793.82546932358,84806.04632019257,85818.26717106157,86830.48802193056,87842.70887279956,88854.92972366855,89867.15057453755,90879.37142540654,91891.59227627554,92903.81312714456,93916.03397801354,94928.25482888252,95940.47567975151,96952.69653062052,97964.91738148952,98977.13823235851,99989.35908322752,101001.5799340965,102013.8007849655,103026.02163583448,104038.24248670349,105050.46333757248,106062.68418844148,107074.90503931048
PD22,baseline,ghana,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,25185.5991,27219.601,29055.6007,29638.801,30193.2003,21041.9985,20019.5987,20217.6008,21661.2011,26105.7614,26254.799,27109.456788107407,28121.67760042266,29133.898412737908,30146.11922505316,31158.34003736841,32170.56084968366,33182.78166199891,34195.00247431416,35207.223286629414,36219.44409894467,37231.66491125991,38243.88572357517,39256.106535890416,40268.32734820567,41280.54816052092,42292.76897283617,43304.98978515142,44317.21059746667,45329.43140978192,46341.65222209717,47353.87303441242,48366.09384672767,49378.31465904293,50390.53547135818,51402.75628367343,52414.97709598868,53427.197908303926,54439.41872061918,55451.63953293443,56463.86034524968,57476.08115756493,58488.30196988018,59500.52278219543,60512.743594510684,61524.96440682594,62537.18521914119,63549.40603145644,64561.62684377168,65573.84765608693,66586.06846840218,67598.28928071744,68610.51009303269,69622.73090534794,70634.95171766319,71647.17252997844,72659.3933422937,73671.61415460895,74683.83496692419,75696.05577923944,76708.27659155469,77720.49740386994,78732.7182161852,79744.93902850045,80757.1598408157,81769.38065313095,82781.6014654462,83793.82227776146,84806.0430900767,85818.26390239195,86830.4847147072,87842.70552702245,88854.9263393377,89867.14715165296,90879.3679639682,91891.58877628346,92903.8095885987,93916.03040091397,94928.2512132292,95940.47202554446,96952.69283785972,97964.91365017496,98977.1344624902,99989.35527480546,101001.57608712072,102013.79689943595,103026.0177117512,104038.23852406646,105050.45933638173,106062.68014869696,107074.90096101222
PD22,baseline,ghana,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ghana,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ghana,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,2.592,2.592,2.592,2.592,3.456,2.592,23.328000000000003,24.192000000000004,28.3392,44.2368,49.136544,50.73605843582875,52.63045619838805,54.52485396094735,56.41925172350665,58.31364948606595,60.20804724862524,62.10244501118454,63.99684277374384,65.89124053630314,67.78563829886244,69.68003606142173,71.57443382398102,73.46883158654033,75.36322934909963,77.25762711165893,79.15202487421823,81.04642263677752,82.94082039933681,84.83521816189612,86.72961592445542,88.62401368701472,90.51841144957402,92.41280921213333,94.3072069746926,96.20160473725193,98.0960024998112,99.99040026237051,101.8847980249298,103.7791957874891,105.6735935500484,107.5679913126077,109.462389075167,111.3567868377263,113.2511846002856,115.14558236284488,117.03998012540418,118.93437788796348,120.8287756505228,122.72317341308208,124.6175711756414,126.51196893820068,128.40636670075995,130.3007644633193,132.19516222587856,134.08955998843788,135.98395775099718,137.87835551355647,139.77275327611576,141.66715103867506,143.56154880123438,145.45594656379365,147.35034432635297,149.24474208891226,151.13913985147155,153.03353761403088,154.92793537659014,156.82233313914946,158.71673090170876,160.61112866426805,162.50552642682734,164.39992418938664,166.29432195194596,168.18871971450525,170.08311747706455,171.97751523962384,173.8719130021831,175.76631076474246,177.66070852730172,179.55510628986104,181.4495040524203,183.34390181497963,185.23829957753892,187.13269734009825,189.02709510265757,190.9214928652168,192.81589062777613,194.7102883903354,196.60468615289471,198.49908391545404,200.39348167801333
