model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,india,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,india,Commercial,Electricity and Heat,Solar thermal,SOLARTH,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,india,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,700333.1996,750241.5136,764032.9333,801098.2801,821970.035,867113.423,897112.7996,933746.3995,972601.2725,974525.3039,909006.1,1012928.2811938124,1120981.856558974,1229035.431924136,1337089.007289298,1445142.5826544596,1553196.1580196214,1661249.7333847834,1769303.3087499454,1877356.8841151071,1985410.4594802689,2093464.0348454309,2201517.610210593,2309571.1855757544,2417624.7609409164,2525678.3363060784,2633731.9116712403,2741785.487036402,2849839.062401564,2957892.637766726,3065946.2131318874,3173999.7884970494,3282053.363862212,3390106.9392273733,3498160.514592536,3606214.089957697,3714267.665322859,3822321.240688021,3930374.8160531824,4038428.391418344,4146481.9667835054,4254535.542148668,4362589.11751383,4470642.692878991,4578696.268244154,4686749.843609315,4794803.418974477,4902856.994339639,5010910.569704801,5118964.145069962,5227017.720435125,5335071.295800286,5443124.871165449,5551178.44653061,5659232.021895772,5767285.597260934,5875339.172626096,5983392.747991258,6091446.32335642,6199499.898721581,6307553.474086744,6415607.049451905,6523660.624817067,6631714.200182229,6739767.775547391,6847821.350912552,6955874.926277715,7063928.501642876,7171982.077008038,7280035.6523732,7388089.227738362,7496142.803103524,7604196.378468686,7712249.953833847,7820303.52919901,7928357.104564171,8036410.679929333,8144464.255294495,8252517.830659657,8360571.406024818,8468624.98138998,8576678.556755142,8684732.132120304,8792785.707485465,8900839.282850627,9008892.85821579,9116946.433580952,9225000.008946111,9333053.584311277,9441107.159676436,9549160.735041598
PD22,baseline,india,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,247614.1221,269793.5025,301430.1942,327088.2234,362452.3562,369808.702,400613.0411,438366.2415,461069.9809,470329.2231,444646.1693,495480.3713731535,548335.4714272544,601190.5714813552,654045.6715354561,706900.7715895569,759755.8716436578,812610.9716977587,865466.0717518595,918321.1718059604,971176.2718600612,1024031.371914162,1076886.471968263,1129741.5720223638,1182596.6720764646,1235451.7721305655,1288306.8721846663,1341161.9722387672,1394017.072292868,1446872.172346969,1499727.2724010698,1552582.3724551706,1605437.4725092717,1658292.5725633723,1711147.6726174732,1764002.772671574,1816857.8727256749,1869712.972779776,1922568.0728338768,1975423.1728879772,2028278.2729420783,2081133.3729961792,2133988.47305028,2186843.5731043806,2239698.6731584817,2292553.7732125823,2345408.8732666834,2398263.973320784,2451119.073374885,2503974.1734289858,2556829.273483087,2609684.3735371875,2662539.473591289,2715394.573645389,2768249.67369949,2821104.773753591,2873959.873807692,2926814.9738617926,2979670.073915893,3032525.1739699943,3085380.2740240954,3138235.374078196,3191090.4741322966,3243945.5741863977,3296800.674240499,3349655.7742945994,3402510.8743487,3455365.974402801,3508221.074456902,3561076.174511003,3613931.274565104,3666786.374619205,3719641.4746733056,3772496.5747274063,3825351.674781507,3878206.774835608,3931061.874889709,3983916.9749438097,4036772.0749979103,4089627.1750520114,4142482.275106113,4195337.375160214,4248192.475214314,4301047.575268415,4353902.675322516,4406757.775376617,4459612.875430717,4512467.975484818,4565323.075538919,4618178.17559302,4671033.275647121
PD22,baseline,india,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,india,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,india,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,535.644,472.608,425.448,464.616,520.884,396.324,518.4,404.928,972.144,1130.688,1262.016,1406.296060850516,1556.311930895877,1706.3278009412372,1856.3436709865975,2006.3595410319583,2156.375411077319,2306.391281122679,2456.40715116804,2606.4230212134007,2756.438891258761,2906.4547613041213,3056.470631349482,3206.486501394843,3356.502371440203,3506.5182414855635,3656.5341115309247,3806.549981576285,3956.565851621645,4106.581721667006,4256.597591712367,4406.613461757727,4556.629331803088,4706.645201848448,4856.661071893809,5006.676941939169,5156.69281198453,5306.70868202989,5456.724552075251,5606.740422120612,5756.756292165972,5906.772162211333,6056.788032256693,6206.803902302054,6356.819772347414,6506.835642392774,6656.851512438136,6806.867382483496,6956.883252528856,7106.8991225742175,7256.914992619578,7406.930862664938,7556.946732710298,7706.962602755659,7856.97847280102,8006.99434284638,8157.010212891741,8307.026082937102,8457.041952982461,8607.057823027822,8757.073693073182,8907.089563118543,9057.105433163904,9207.121303209264,9357.137173254623,9507.153043299986,9657.168913345346,9807.184783390709,9957.200653436068,10107.216523481427,10257.232393526789,10407.24826357215,10557.26413361751,10707.28000366287,10857.29587370823,11007.311743753591,11157.327613798952,11307.343483844312,11457.359353889671,11607.375223935032,11757.391093980394,11907.406964025757,12057.422834071114,12207.438704116475,12357.454574161837,12507.470444207196,12657.486314252556,12807.50218429792,12957.518054343278,13107.53392438864,13257.549794434
PD22,baseline,india,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,449181.072,511514.892,454267.044,533525.508,515727.684,490984.74,495406.8,509950.8,543729.6,619628.832,578010.2760000001,644091.3382000859,712799.4325897759,781507.5269794659,850215.6213691558,918923.7157588456,987631.8101485358,1056339.9045382256,1125047.9989279157,1193756.0933176056,1262464.1877072956,1331172.2820969855,1399880.376486675,1468588.4708763654,1537296.5652660553,1606004.6596557451,1674712.7540454352,1743420.8484351253,1812128.942824815,1880837.037214505,1949545.131604195,2018253.2259938847,2086961.3203835748,2155669.414773265,2224377.509162955,2293085.6035526446,2361793.6979423347,2430501.792332025,2499209.886721715,2567917.9811114045,2636626.0755010946,2705334.1698907847,2774042.2642804743,2842750.3586701644,2911458.4530598545,2980166.547449544,3048874.641839234,3117582.736228924,3186290.8306186143,3254998.925008304,3323707.019397994,3392415.113787684,3461123.2081773737,3529831.302567064,3598539.396956754,3667247.491346444,3735955.5857361336,3804663.680125824,3873371.774515514,3942079.8689052034,4010787.9632948935,4079496.057684584,4148204.1520742737,4216912.246463964,4285620.340853654,4354328.435243344,4423036.529633034,4491744.624022723,4560452.718412413,4629160.812802103,4697868.907191793,4766577.001581484,4835285.095971174,4903993.190360863,4972701.284750553,5041409.379140243,5110117.473529933,5178825.567919623,5247533.662309313,5316241.756699002,5384949.851088692,5453657.945478383,5522366.039868073,5591074.134257763,5659782.228647453,5728490.323037143,5797198.417426832,5865906.511816522,5934614.606206212,6003322.700595902,6072030.794985592
PD22,baseline,india,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,535.6424,472.606,425.4501,464.6176,520.884,396.3225,518.4012,404.9264,972.1457,1130.6893,1262.0146,1406.2945007954254,1556.3102044227546,1706.325908050084,1856.341611677413,2006.3573153047423,2156.373018932072,2306.388722559401,2456.4044261867302,2606.4201298140592,2756.435833441388,2906.4515370687177,3056.467240696047,3206.482944323376,3356.498647950705,3506.5143515780346,3656.530055205364,3806.545758832693,3956.561462460023,4106.577166087352,4256.592869714681,4406.60857334201,4556.62427696934,4706.6399805966685,4856.655684223997,5006.671387851327,5156.687091478656,5306.702795105985,5456.718498733315,5606.734202360643,5756.749905987974,5906.765609615302,6056.781313242631,6206.797016869961,6356.81272049729,6506.82842412462,6656.844127751949,6806.859831379277,6956.875535006608,7106.891238633936,7256.906942261265,7406.922645888595,7556.938349515924,7706.954053143254,7856.9697567705825,8006.985460397911,8157.001164025241,8307.01686765257,8457.032571279899,8607.048274907229,8757.063978534557,8907.079682161888,9057.095385789216,9207.111089416543,9357.126793043875,9507.142496671204,9657.158200298534,9807.173903925865,9957.189607553191,10107.205311180522,10257.22101480785,10407.23671843518,10557.25242206251,10707.268125689838,10857.283829317168,11007.299532944497,11157.315236571823,11307.330940199156,11457.346643826484,11607.362347453814,11757.378051081145,11907.393754708472,12057.409458335802,12207.42516196313,12357.44086559046,12507.45656921779,12657.472272845118,12807.487976472446,12957.503680099777,13107.519383727104,13257.535087354436
PD22,baseline,india,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,449181.0725,511514.8919,454267.0422,533525.5066,515727.6836,490984.7381,495406.7986,509950.7997,543729.6007,619628.8322,578010.2775,644091.3398715734,712799.4344395683,781507.5290075634,850215.6235755583,918923.7181435532,987631.8127115484,1056339.907279543,1125048.0018475382,1193756.0964155332,1262464.1909835285,1331172.285551523,1399880.380119518,1468588.474687513,1537296.569255508,1606004.663823503,1674712.758391498,1743420.8529594932,1812128.947527488,1880837.0420954828,1949545.1366634776,2018253.231231473,2086961.325799468,2155669.420367463,2224377.514935458,2293085.6095034527,2361793.704071448,2430501.798639443,2499209.893207438,2567917.987775433,2636626.082343428,2705334.176911423,2774042.2714794176,2842750.3660474126,2911458.460615408,2980166.5551834027,3048874.649751398,3117582.7443193924,3186290.8388873874,3254998.9334553825,3323707.028023377,3392415.1225913726,3461123.217159368,3529831.311727362,3598539.4062953573,3667247.500863352,3735955.5954313474,3804663.6899993424,3873371.7845673375,3942079.879135332,4010787.973703327,4079496.068271322,4148204.162839317,4216912.257407312,4285620.351975308,4354328.446543302,4423036.541111297,4491744.6356792925,4560452.730247287,4629160.824815283,4697868.919383277,4766577.013951273,4835285.108519267,4903993.203087262,4972701.297655257,5041409.392223252,5110117.486791247,5178825.581359242,5247533.675927237,5316241.770495232,5384949.865063227,5453657.959631222,5522366.054199217,5591074.148767212,5659782.243335207,5728490.337903202,5797198.432471197,5865906.527039192,5934614.621607186,6003322.716175182,6072030.810743176
